specimenID,start_date,initial_weight,mid_weight,final_weight,weight_difference,treatment,temperature,run,plant_ID,rlc_order,initial_axes,primary_axes,secondary_apices,mean_apices_per_axis,axes_diff,%_N,_15N,,,,,,
ac01,11/16/23,0.3816,0.4162,0.4402,0.0586,0,28,1,1,1,5,5,43,8.6,0,2.085331518,4.2,,,,,,
ac02,11/16/23,0.3584,0.3745,0.4062,0.0478,1,28,1,1,3,4,4,45,11.3,0,2.468539537,1.0,,,,,,
ac03,11/16/23,0.4111,0.4514,0.4344,0.0233,0,28,1,2,1,4,4,35,8.8,0,,,,,,,,
ac04,11/16/23,0.4073,0.4688,0.5257,0.1184,1,28,1,2,3,3,6,41,6.8,3,,,,,,,,
ac05,11/16/23,0.3874,0.3862,0.4129,0.0255,0,28,1,3,2,3,3,34,11.3,0,,,,,,,,
ac06,11/16/23,0.3804,0.3613,0.4087,0.0283,1,28,1,3,4,4,6,43,7.2,2,,,,,,,,
ac07,11/16/23,0.4157,0.4392,0.4768,0.0611,0,28,1,4,2,3,3,39,13,0,1.890983126,4.3,,,,,,
ac08,11/16/23,0.3856,0.3978,0.4296,0.044,1,28,1,4,4,3,3,38,12.7,0,2.469863539,1.0,,,,,,
ac09,11/16/23,0.3272,0.324,0.2728,-0.0544,0,24,1,5,5,11,9,23,2.6,-2,,,,,,,,
ac10,11/16/23,0.3271,0.3108,0.3133,-0.0138,1,24,1,5,7,10,7,77,11,-3,,,,,data,Species,Location,experiment type
ac11,11/16/23,0.3614,0.4237,0.4983,0.1369,0,24,1,6,5,6,8,37,4.6,2,,,,,growth rates,As,UHM,lab
ac12,11/16/23,0.4085,0.4472,0.5132,0.1047,1,24,1,6,7,4,4,43,10.8,0,,,,,ps,as,UHM,lab
ac13,11/16/23,0.3601,0.3903,0.2937,-0.0664,0,24,1,7,6,7,4,38,9.5,-3,1.985494107,4.5,,,growth rates,Ct,Midway,lab
ac14,11/16/23,0.3894,0.4084,0.3067,-0.0827,1,24,1,7,8,8,8,53,6.6,0,3.327962502,0.9,,,ps,Ct,Midway,lab
ac15,11/16/23,0.3665,0.3496,0.3027,-0.0638,0,24,1,8,6,4,4,24,6,0,2.141886081,4.3,,,death/dessication,As,UHM,lab
ac16,11/16/23,0.3977,0.3571,0.367,-0.0307,1,24,1,8,8,6,4,44,11,-2,2.694861518,1.0,,,death/dessication,Ct,Midway,lab
ac17,11/16/23,0.2898,0.3082,0.3466,0.0568,0,28,1,9,9,6,9,32,3.6,3,,,,,local distribution,As,Midway,field
ac18,11/16/23,0.3855,0.3984,0.4258,0.0403,1,28,1,9,11,6,10,54,5.4,4,,,,,local distribution,Ct,Midway,field
ac19,11/16/23,0.3121,0.3466,0.3917,0.0796,0,28,1,10,9,4,4,58,14.5,0,,,,,,,,
ac20,11/16/23,0.3492,0.3836,0.4389,0.0897,1,28,1,10,11,7,7,57,8.1,0,,,,,,,,
ac21,11/16/23,0.3887,0.4188,0.4253,0.0366,0,28,1,11,10,7,8,27,3.4,1,2.132625141,4.4,,,,,,
ac22,11/16/23,0.3975,0.4029,0.467,0.0695,1,28,1,11,12,5,6,88,14.7,1,3.175809148,0.8,,,,,,
ac23,11/16/23,0.3799,0.3974,0.322,-0.0579,0,28,1,12,10,6,6,47,7.8,0,,,,,,,,
ac24,11/16/23,0.4069,0.4308,0.4905,0.0836,1,28,1,12,12,7,6,71,11.8,-1,,,,,,,,
ac25,11/16/23,0.3835,0.4362,0.4332,0.0497,0,24,1,13,13,5,6,58,9.7,1,,,,,,,,
ac26,11/16/23,0.3832,0.4166,0.4651,0.0819,1,24,1,13,15,4,4,200,50,0,,,,,,,,
ac27,11/16/23,0.2751,0.2871,0.3107,0.0356,0,24,1,14,13,6,7,34,4.9,1,,,,,,,,
ac28,11/16/23,0.3564,0.3865,0.4048,0.0484,1,24,1,14,15,6,7,73,10.4,1,,,,,,,,
ac29,11/16/23,0.3871,0.4037,0.3388,-0.0483,0,24,1,15,14,4,5,40,8,1,,,,,,,,
ac30,11/16/23,0.3561,0.3542,0.3207,-0.0354,1,24,1,15,16,4,5,39,7.8,1,,,,,,,,
ac31,11/16/23,0.3545,0.383,0.3761,0.0216,0,24,1,16,14,6,5,41,8.2,-1,,,,,,,,
ac32,11/16/23,0.3879,0.4224,0.4842,0.0963,1,24,1,16,16,7,7,50,7.1,0,,,,,,,,
ac33,11/16/23,0.3657,0.3902,0.3766,0.0109,0,28,1,17,17,4,5,36,7.2,1,1.672600049,4.5,,,,,,
ac34,11/16/23,0.3522,0.3624,0.2494,-0.1028,1,28,1,17,19,3,3,50,16.7,0,2.822182751,0.5,,,,,,
ac35,11/16/23,0.3809,0.4101,0.4793,0.0984,0,28,1,18,17,5,8,52,6.5,3,1.672325976,4.2,,,,,,
ac36,11/16/23,0.3857,0.3964,0.4672,0.0815,1,28,1,18,19,7,7,66,9.4,0,2.92861677,1.6,,,,,,
ac37,11/16/23,0.392,0.3523,0.1864,-0.2056,0,28,1,19,18,8,7,33,4.7,-1,2.588518579,4.3,,,,,,
ac38,11/16/23,0.3858,0.3871,0.3547,-0.0311,1,28,1,19,20,6,7,71,10.1,1,3.211460976,1.1,,,,,,
ac39,11/16/23,0.3696,0.3764,0.3471,-0.0225,0,28,1,20,18,7,7,36,5.1,0,2.275684672,4.4,,,,,,
ac40,11/16/23,0.3649,0.3744,0.3499,-0.015,1,28,1,20,20,5,7,72,10.3,2,3.271179133,1.4,,,,,,
ac41,11/16/23,0.3304,0.3539,0.3653,0.0349,0,24,1,21,21,6,7,20,2.9,1,,,,,,,,
ac42,11/16/23,0.3639,0.3743,0.4573,0.0934,1,24,1,21,23,7,10,60,6,3,,,,,,,,
ac43,11/16/23,0.3589,0.3645,0.3091,-0.0498,0,24,1,22,21,5,4,17,4.3,-1,1.801857971,4.3,,,,,,
ac44,11/16/23,0.3841,0.3231,0.2825,-0.1016,1,24,1,22,23,5,4,37,9.3,-1,3.128165771,0.8,,,,,,
ac45,11/16/23,0.3741,0.3933,0.3118,-0.0623,0,24,1,23,22,4,5,22,4.4,1,,,,,,,,
ac46,11/16/23,0.3593,0.3589,0.3774,0.0181,1,24,1,23,24,6,8,52,6.5,2,,,,,,,,
ac47,11/16/23,0.3693,0.3775,0.363,-0.0063,0,24,1,24,22,5,3,20,6.7,-2,,,,,,,,
ac48,11/16/23,0.3606,0.3969,0.4063,0.0457,1,24,1,24,24,7,8,54,6.8,1,,,,,,,,
ac101,12/4/23,0.3264,0.2996,0.2454,-0.081,0,28,2,25,1,4,4,28,7,0,,,,,,,,
ac102,12/4/23,0.3361,0.3185,0.2649,-0.0712,1,28,2,25,3,6,4,41,10.3,-2,,,,,,,,
ac103,12/4/23,0.3195,0.3242,0.2898,-0.0297,0,28,2,26,1,5,5,28,5.6,0,1.551633452,4.3,,,,,,
ac104,12/4/23,0.3528,0.3415,0.3323,-0.0205,1,28,2,26,3,5,7,44,6.3,2,2.220410211,1.4,,,,,,
ac105,12/4/23,0.3371,0.3786,0.4076,0.0705,0,28,2,27,2,4,5,29,5.8,1,1.18080318,3.9,,,,,,
ac106,12/4/23,0.3512,0.3427,0.3195,-0.0317,1,28,2,27,4,5,6,40,6.7,1,2.093973442,2.2,,,,,,
ac107,12/4/23,0.3637,0.3563,0.2846,-0.0791,0,28,2,28,2,6,2,12,6,-4,,,,,,,,
ac108,12/4/23,0.3107,0.2559,0.2211,-0.0896,1,28,2,28,4,5,4,57,14.3,-1,,,,,,,,
ac109,12/4/23,0.3971,0.3852,0.3758,-0.0213,0,24,2,29,5,4,3,46,15.3,-1,1.700434153,4.2,,,,,,
ac110,12/4/23,0.3805,0.3995,0.3805,0,1,24,2,29,7,7,7,74,10.6,0,2.561776003,1.4,,,,,,
ac111,12/4/23,0.3873,0.3942,0.3858,-0.0015,0,24,2,30,5,5,5,54,10.8,0,1.740216728,4.2,,,,,,
ac112,12/4/23,0.3722,0.3629,0.3286,-0.0436,1,24,2,30,7,4,5,87,17.4,1,2.965695094,1.7,,,,,,
ac113,12/4/23,0.3455,0.2953,0.2366,-0.1089,0,24,2,31,6,4,2,36,18,-2,,,,,,,,
ac114,12/4/23,0.2988,0.3116,0.2755,-0.0233,1,24,2,31,8,3,5,38,7.6,2,,,,,,,,
ac115,12/4/23,0.3993,0.4204,0.3959,-0.0034,0,24,2,32,6,4,4,40,10,0,,,,,,,,
ac116,12/4/23,0.4285,0.4506,0.4961,0.0676,1,24,2,32,8,4,5,66,13.2,1,,,,,,,,
ac117,12/4/23,0.3738,0.4257,0.3831,0.0093,0,28,2,33,9,5,5,73,14.6,0,1.584872664,4.3,,,,,,
ac118,12/4/23,0.3609,0.3722,0.3468,-0.0141,1,28,2,33,11,4,5,56,11.2,1,2.773811332,1.5,,,,,,
ac119,12/4/23,0.3838,0.4558,0.4324,0.0486,0,28,2,34,9,7,8,47,5.9,1,1.492169532,4.2,,,,,,
ac120,12/4/23,0.4065,0.4428,0.4388,0.0323,1,28,2,34,11,5,5,79,15.8,0,2.674105981,1.5,,,,,,
ac121,12/4/23,0.3233,0.3004,0.2654,-0.0579,0,28,2,35,10,6,3,53,17.7,-3,,,,,,,,
ac122,12/4/23,0.3025,0.3289,0.2929,-0.0096,1,28,2,35,12,4,6,79,13.2,2,,,,,,,,
ac123,12/4/23,0.4049,0.4182,0.3484,-0.0565,0,28,2,36,10,5,3,28,9.3,-2,1.956729731,4.6,,,,,,
ac124,12/4/23,0.3796,0.3523,0.2715,-0.1081,1,28,2,36,12,5,5,37,7.4,0,3.050030139,1.4,,,,,,
ac125,12/4/23,0.3907,0.4494,0.4269,0.0362,0,24,2,37,13,4,4,70,17.5,0,1.945730203,4.2,,,,,,
ac126,12/4/23,0.3937,0.4559,0.4417,0.048,1,24,2,37,15,7,8,117,14.6,1,2.619449129,2.0,,,,,,
ac127,12/4/23,0.3426,0.3831,0.3324,-0.0102,0,24,2,38,13,4,8,54,6.8,4,1.911635913,4.4,,,,,,
ac128,12/4/23,0.3869,0.3814,0.3881,0.0012,1,24,2,38,15,5,5,83,16.6,0,2.646439107,1.9,,,,,,
ac129,12/4/23,0.3652,0.3799,0.418,0.0528,0,24,2,39,14,5,5,54,10.8,0,1.405553651,4.2,,,,,,
ac130,12/4/23,0.3331,0.3365,0.3105,-0.0226,1,24,2,39,16,4,5,71,14.2,1,2.938334754,1.7,,,,,,
ac131,12/4/23,0.335,0.3512,0.3161,-0.0189,0,24,2,40,14,5,6,63,10.5,1,1.654539155,4.4,,,,,,
ac132,12/4/23,0.3876,0.3413,0.3155,-0.0721,1,24,2,40,16,6,7,66,9.4,1,2.800966272,1.8,,,,,,
ac133,12/4/23,0.3799,0.3595,0.2838,-0.0961,0,28,2,41,17,6,2,42,21,-4,,,,,,,,
ac134,12/4/23,0.3724,0.3823,0.2912,-0.0812,1,28,2,41,19,6,4,108,27,-2,,,,,,,,
ac135,12/4/23,0.3333,0.3496,0.2615,-0.0718,0,28,2,42,17,3,9,52,5.8,6,,,,,,,,
ac136,12/4/23,0.3273,0.3552,0.2857,-0.0416,1,28,2,42,19,5,6,86,14.3,1,,,,,,,,
ac137,12/4/23,0.3236,0.3079,0.3067,-0.0169,0,28,2,43,18,3,3,34,11.3,0,,,,,,,,
ac138,12/4/23,0.3592,0.3844,0.2686,-0.0906,1,28,2,43,20,5,9,54,6,4,,,,,,,,
ac139,12/4/23,0.3959,0.3243,0.2061,-0.1898,0,28,2,44,18,8,3,46,15.3,-5,,,,,,,,
ac140,12/4/23,0.3056,0.2524,0.1763,-0.1293,1,28,2,44,20,6,3,105,35,-3,,,,,,,,
ac141,12/4/23,0.4007,0.3957,0.4023,0.0016,0,24,2,45,21,7,6,75,12.5,-1,1.938883035,4.3,,,,,,
ac142,12/4/23,0.3231,0.3427,0.2918,-0.0313,1,24,2,45,23,5,6,62,10.3,1,3.141404883,1.7,,,,,,
ac143,12/4/23,0.3074,0.3133,0.2847,-0.0227,0,24,2,46,21,6,6,33,5.5,0,,,,,,,,
ac144,12/4/23,0.3424,0.3479,0.3029,-0.0395,1,24,2,46,23,4,4,57,14.3,0,,,,,,,,
ac145,12/4/23,0.4087,0.4062,0.4043,-0.0044,0,24,2,47,22,7,8,32,4,1,1.526445602,4.1,,,,,,
ac146,12/4/23,0.3978,0.4119,0.4079,0.0101,1,24,2,47,24,5,7,56,8,2,2.610548748,1.6,,,,,,
ac147,12/4/23,0.386,0.3694,0.4065,0.0205,0,24,2,48,22,5,9,48,5.3,4,1.619853176,4.4,,,,,,
ac148,12/4/23,0.3489,0.3801,0.3994,0.0505,1,24,2,48,24,6,7,60,8.6,1,2.625996832,2.0,,,,,,
