"2023-12-04";"11:58:02";"WinControl (rev 1195) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:Fo'";"1:qP";"1:qN";"1:NPQ";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-II (CFMG0360A) ";""
"2023-12-04 07:59:35.211";"2023-12-04";"07:59:35";"SLCS";"";"Light Curve start ";"Ac108 do not use"
"2023-12-04 07:59:35.211";"2023-12-04";"07:59:35";"REG1";"";"#1: alpha: 0.268, ETRm: 29.056, Ik: 108.539   ( beta: 0.016, ETRmPot: 36.418 )   (Platt et al. 1980) ";""
"2023-12-04 07:59:35.211";"2023-12-04";"07:59:35";"REG2";"";"#1: alpha: 0.223, ETRm: 27.678, Ik: 124.364   (Jassby and Platt 1976) ";""
"2023-12-04 07:59:36.885";"2023-12-04";"07:59:36";"FO";"1";"150";"476";"0";"0.685";"0.0";"-";"-";"-";"-";"150";"476";"0.685"
"2023-12-04 08:00:07.180";"2023-12-04";"08:00:07";"F";"2";"203";"413";"66";"0.508";"14.1";"143";"0.778";"0.172";"0.153";"150";"476";"0.685"
"2023-12-04 08:00:37.478";"2023-12-04";"08:00:37";"F";"3";"205";"381";"90";"0.462";"17.5";"139";"0.727";"0.258";"0.249";"150";"476";"0.685"
"2023-12-04 08:01:07.771";"2023-12-04";"08:01:07";"F";"4";"222";"358";"125";"0.380";"20.0";"136";"0.613";"0.319";"0.330";"150";"476";"0.685"
"2023-12-04 08:01:38.071";"2023-12-04";"08:01:38";"F";"5";"232";"337";"190";"0.312";"24.9";"133";"0.515";"0.374";"0.412";"150";"476";"0.685"
"2023-12-04 08:02:08.363";"2023-12-04";"08:02:08";"F";"6";"247";"323";"285";"0.235";"28.1";"131";"0.396";"0.411";"0.474";"150";"476";"0.685"
"2023-12-04 08:02:38.664";"2023-12-04";"08:02:38";"F";"7";"254";"306";"420";"0.170";"30.0";"128";"0.292";"0.454";"0.556";"150";"476";"0.685"
"2023-12-04 08:03:08.958";"2023-12-04";"08:03:08";"F";"8";"263";"293";"625";"0.102";"26.8";"125";"0.179";"0.485";"0.625";"150";"476";"0.685"
"2023-12-04 08:03:39.250";"2023-12-04";"08:03:39";"F";"9";"259";"280";"820";"0.075";"25.8";"123";"0.134";"0.518";"0.700";"150";"476";"0.685"
"2023-12-04 08:03:41.972";"2023-12-04";"08:03:41";"SLCE";"";"Light Curve end ";""
"2023-12-04 08:06:07.677";"2023-12-04";"08:06:07";"SLCS";"";"Light Curve start ";"Ac101"
"2023-12-04 08:06:07.677";"2023-12-04";"08:06:07";"REG1";"";"#1: alpha: 0.130, ETRm: 19.823, Ik: 153.008   ( beta: 0.241, ETRmPot: 126.281 )   (Platt et al. 1980) ";""
"2023-12-04 08:06:07.677";"2023-12-04";"08:06:07";"REG2";"";"#1: alpha: 0.126, ETRm: 17.806, Ik: 141.725   (Jassby and Platt 1976) ";""
"2023-12-04 08:06:09.433";"2023-12-04";"08:06:09";"FO";"10";"93";"207";"0";"0.551";"0.0";"-";"-";"-";"-";"93";"207";"0.551"
"2023-12-04 08:06:39.725";"2023-12-04";"08:06:39";"F";"11";"117";"164";"66";"0.287";"8.0";"83";"0.580";"0.289";"0.262";"93";"207";"0.551"
"2023-12-04 08:07:10.024";"2023-12-04";"08:07:10";"F";"12";"112";"154";"90";"0.273";"10.3";"81";"0.575";"0.360";"0.344";"93";"207";"0.551"
"2023-12-04 08:07:40.320";"2023-12-04";"08:07:40";"F";"13";"112";"147";"125";"0.238";"12.5";"79";"0.515";"0.404";"0.408";"93";"207";"0.551"
"2023-12-04 08:08:10.618";"2023-12-04";"08:08:10";"F";"14";"115";"140";"190";"0.179";"14.3";"77";"0.397";"0.447";"0.479";"93";"207";"0.551"
"2023-12-04 08:08:40.915";"2023-12-04";"08:08:40";"F";"15";"115";"136";"285";"0.154";"18.4";"75";"0.344";"0.465";"0.522";"93";"207";"0.551"
"2023-12-04 08:09:11.214";"2023-12-04";"08:09:11";"F";"16";"118";"132";"420";"0.106";"18.7";"74";"0.241";"0.491";"0.568";"93";"207";"0.551"
"2023-12-04 08:09:41.505";"2023-12-04";"08:09:41";"F";"17";"119";"129";"625";"0.078";"20.5";"73";"0.179";"0.509";"0.605";"93";"207";"0.551"
