"","Date","rlc_end_time","specimenID","uid","plantID","treatment","temperature","rlc_order","rlc_day","deltaNPQ","pmax","rETRmax","rETRmaxYpoint1","maxNPQ_Ypoint1","deltaNPQ.1","alpha.est","alpha.st_err","alpha.t","alpha.p","ek.est","ek.st_err","ek.t","ek.p","run"
"1","2023-11-16","8:07:14","Ac01","2023-11-16_Ac01",1,0,28,1,1,0.653,72.67,74.34,74.34,0.749,0.622,0.655,0.012,55.6,0,110.96,4.082,27.18,0,1
"2","2023-11-16","8:11:58","Ac02","2023-11-16_Ac02",1,1,28,1,1,0.585,69.79,65.94,65.94,0.623,0.476,0.552,0.023,23.653,0,126.356,11.503,10.985,0,1
"3","2023-11-16","8:18:19","Ac03","2023-11-16_Ac03",2,0,28,2,1,0.598,77.45,73.92,73.92,0.796,0.54,0.621,0.016,39.003,0,124.657,6.846,18.209,0,1
"4","2023-11-16","8:24:17","Ac04","2023-11-16_Ac04",2,1,28,2,1,0.639,80.3,76.86,76.86,0.755,0.581,0.626,0.022,28.534,0,128.198,9.729,13.177,0,1
"5","2023-11-16","8:30:10","Ac05","2023-11-16_Ac05",3,0,28,3,1,0.576,76.96,76.26,76.02,0.596,0.508,0.629,0.01,61.938,0,122.351,4.2,29.129,0,1
"6","2023-11-16","8:35:48","Ac06","2023-11-16_Ac06",3,1,28,3,1,1.014,85.07,87.36,87.36,1.022,0.953,0.729,0.029,25.503,0,116.656,9.545,12.222,0,1
"7","2023-11-16","8:41:41","Ac07","2023-11-16_Ac07",4,0,28,4,1,0.803,100.17,95.34,95.34,0.978,0.803,0.727,0.025,29.593,0,137.73,10.363,13.29,0,1
"8","2023-11-16","8:46:37","Ac08","2023-11-16_Ac08",4,1,28,4,1,0.818,84.84,81.22,81.22,0.84,0.745,0.73,0.023,31.683,0,116.151,7.637,15.209,0,1
"9","2023-11-16","8:54:01","Ac09","2023-11-16_Ac09",5,0,24,5,1,0.735,81.45,81.48,81.48,0.86,0.682,0.662,0.026,25.23,0,122.983,10.386,11.842,0,1
"10","2023-11-16","8:58:49","Ac10","2023-11-16_Ac10",5,1,24,5,1,0.5,92.9,95.12,95.12,0.597,0.5,0.622,0.011,56.535,0,149.334,6.068,24.611,0,1
