"","specimenID","run","treatment","temperature","rlc_order","plantID","ek.est","posix_date","day1_rlc_time","day1_pmax","day1_pmax_min","day9_rlc_time","day9_ek","day9_pmax","day9_pmax_min","day5_ek","day5_pmax","day5_rlc_end_time","day5_pmax_min","supersat_p1","supersat_p2","supersat_p3","supersat_avg","day_length_avg","supersat_rel","dspi_pmax1","dspi_pmax5","dspi_pmax9","dspi_pmax_total"
"1","Ac01","1","0",28,"1","1",110.96,2023-11-16,"8:07:14",72.67,4360.2,"8:19:11",63.846,32.97,1978.2,118.209,75.24,"11:02:44",4514.4,587.333333333333,591.5,171,403.222222222222,610.444444444444,65.4,2560890.8,2670267.6,338272.2,5569430.6
"2","Ac02","1","1",28,"1","1",126.356,2023-11-16,"8:11:58",69.79,4187.4,"8:47:10",104.604,50.13,3007.8,122.71,74.12,"11:22:57",4447.2,510,570,526.5,530.666666666667,613.111111111111,88.5,2135574,2534904,1583606.7,6254084.7
"3","Ac03","1","0",28,"2","2",124.657,2023-11-16,"8:18:19",77.45,4647,"8:13:15",78.837,33.9,2034,102.115,60.36,"10:57:12",3621.6,515.666666666667,655,89.5,357.222222222222,608.555555555556,59.3,2396303,2372148,182043,4950494
"4","Ac04","1","1",28,"2","2",128.198,2023-11-16,"8:24:17",80.3,4818,"8:40:31",114.25,48.32,2899.2,121.188,76.19,"11:17:51",4571.4,498.666666666667,576,499.25,516.111111111111,610.888888888889,86.7,2402576,2633126.4,1447425.6,6483128
"5","Ac05","1","0",28,"3","3",122.351,2023-11-16,"8:30:10",76.96,4617.6,"8:32:11",82.262,33.97,2038.2,122.121,76.54,"11:12:34",4592.4,519.666666666667,572,71.25,332,609.333333333333,55.7,2399612.8,2626852.8,145221.75,5171687.35
"6","Ac06","1","1",28,"3","3",116.656,2023-11-16,"8:35:48",85.07,5104.2,"8:58:12",74.503,29.5,1770,93.62,53.06,"11:33:09",3183.6,545.333333333333,35.5,107.75,237.555555555556,611.666666666667,43.3,2783490.4,113017.8,190717.5,3087225.7
"7","Ac07","1","0",28,"4","4",137.73,2023-11-16,"8:41:41",100.17,6010.2,"8:25:42",77.987,34.84,2090.4,114.538,66.68,"11:07:32",4000.8,453.333333333333,608.5,93,327.666666666667,607.444444444444,55.3,2724624,2434486.8,194407.2,5353518
"8","Ac08","1","1",28,"4","4",116.151,2023-11-16,"8:46:37",84.84,5090.4,"8:52:15",90.008,35.64,2138.4,137.838,73.82,"11:28:23",4429.2,545.333333333333,517,39.5,314.222222222222,609.777777777778,53.4,2775964.8,2289896.4,84466.8,5150328
"9","Ac09","1","0",24,"5","5",122.983,2023-11-16,"8:54:01",81.45,4887,"9:07:44",96.046,42.23,2533.8,125.613,66.42,"11:42:08",3985.2,508.666666666667,557,18.5,301.555555555556,610.666666666667,51.7,2485854,2219756.4,46875.3,4752485.7
"10","Ac10","1","1",24,"5","5",149.334,2023-11-16,"8:58:49",92.9,5574,"9:33:45",102.201,50.12,3007.2,108.502,75.38,"12:02:36",4522.8,406.333333333333,636,543,518.111111111111,613.111111111111,86.3,2264902,2876500.8,1632909.6,6774312.4
"11","Ac11","1","0",24,"6","6",111.933,2023-11-16,"9:04:09",72.88,4372.8,"9:02:49",101.546,55.8,3348,151.826,103.39,"11:37:43",6203.4,563.333333333333,481,536.75,533.222222222222,609,89.5,2463344,2983835.4,1797039,7244218.4
"12","Ac12","1","1",24,"6","6",135.009,2023-11-16,"9:10:05",93.14,5588.4,"9:27:35",100.575,52.79,3167.4,122.087,70.65,"11:56:36",4239,455,572,545.25,521.111111111111,611,87.2,2542722,2424708,1727024.85,6694454.85
"13","Ac13","1","0",24,"7","7",125.243,2023-11-16,"9:15:35",82.7,4962,"9:23:04",80.526,42,2520,126.86,67.05,"11:51:56",4023,493.666666666667,552.5,78.75,322.333333333333,610,54.6,2449574,2222707.5,198450,4870731.5
