"2024-08-04";"19:08:38";"WinControl (rev 1195) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:Fo'";"1:NPQ";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-III (CFMG1129B) ";""
"2024-08-04 16:29:19.409";"2024-08-04";"16:29:19";"SLCS";"";"Light Curve start ";""
"2024-08-04 16:29:20.796";"2024-08-04";"16:29:20";"FO";"1";"108";"270";"0";"0.600";"0.0";"-";"-";"108";"270";"0.600"
"2024-08-04 16:29:22.738";"2024-08-04";"16:29:22";"SLCE";"";"Light Curve end ";""
"2024-08-04 16:29:33.017";"2024-08-04";"16:29:33";"SLCS";"";"Light Curve start ";"bicarb_fresh1"
"2024-08-04 16:29:33.017";"2024-08-04";"16:29:33";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.004, ETRmPot: 21.852 )   (Platt et al. 1980) ";""
"2024-08-04 16:29:33.017";"2024-08-04";"16:29:33";"REG2";"";"#1: alpha: 0.143, ETRm: 23.975, Ik: 167.879   (Jassby and Platt 1976) ";""
"2024-08-04 16:29:34.416";"2024-08-04";"16:29:34";"FO";"2";"105";"228";"0";"0.539";"0.0";"-";"-";"105";"228";"0.539"
"2024-08-04 16:29:44.409";"2024-08-04";"16:29:44";"F";"3";"138";"212";"65";"0.349";"9.5";"101";"0.075";"105";"228";"0.539"
"2024-08-04 16:29:54.398";"2024-08-04";"16:29:54";"F";"4";"136";"202";"90";"0.327";"12.4";"99";"0.129";"105";"228";"0.539"
"2024-08-04 16:30:04.387";"2024-08-04";"16:30:04";"F";"5";"140";"198";"125";"0.293";"15.4";"98";"0.152";"105";"228";"0.539"
"2024-08-04 16:30:14.377";"2024-08-04";"16:30:14";"F";"6";"147";"192";"190";"0.234";"18.7";"97";"0.188";"105";"228";"0.539"
"2024-08-04 16:30:24.369";"2024-08-04";"16:30:24";"F";"7";"154";"187";"285";"0.176";"21.1";"95";"0.219";"105";"228";"0.539"
"2024-08-04 16:30:34.357";"2024-08-04";"16:30:34";"F";"8";"158";"182";"420";"0.132";"23.3";"94";"0.253";"105";"228";"0.539"
"2024-08-04 16:30:44.341";"2024-08-04";"16:30:44";"F";"9";"160";"176";"625";"0.091";"23.9";"92";"0.295";"105";"228";"0.539"
