"2024-08-07";"19:36:55";"WinControl (rev 1195) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:Fo'";"1:NPQ";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-III (CFMG1129B) ";""
"2024-08-07 19:02:57.726";"2024-08-07";"19:02:57";"SLCS";"";"Light Curve start ";"dawn_seawater1"
"2024-08-07 19:02:57.726";"2024-08-07";"19:02:57";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.001, ETRmPot: 0.044 )   (Platt et al. 1980) ";""
"2024-08-07 19:02:57.726";"2024-08-07";"19:02:57";"REG2";"";"#1: alpha: 0.006, ETRm: 179.229, Ik: 29194.167   (Jassby and Platt 1976) ";""
"2024-08-07 19:02:59.129";"2024-08-07";"19:02:59";"FO";"1";"83";"83";"0";"0.000";"0.0";"-";"-";"83";"83";"0.000"
"2024-08-07 19:03:09.114";"2024-08-07";"19:03:09";"F";"2";"82";"83";"65";"0.012";"0.3";"83";"0.000";"83";"83";"0.000"
"2024-08-07 19:03:19.103";"2024-08-07";"19:03:19";"F";"3";"82";"83";"90";"0.012";"0.5";"83";"0.000";"83";"83";"0.000"
"2024-08-07 19:03:29.091";"2024-08-07";"19:03:29";"F";"4";"81";"83";"125";"0.024";"1.3";"83";"0.000";"83";"83";"0.000"
"2024-08-07 19:03:39.087";"2024-08-07";"19:03:39";"F";"5";"81";"82";"190";"0.012";"1.0";"82";"0.012";"83";"83";"0.000"
"2024-08-07 19:03:49.075";"2024-08-07";"19:03:49";"F";"6";"81";"82";"285";"0.012";"1.4";"82";"0.012";"83";"83";"0.000"
"2024-08-07 19:03:59.059";"2024-08-07";"19:03:59";"F";"7";"82";"83";"420";"0.012";"2.1";"83";"0.000";"83";"83";"0.000"
"2024-08-07 19:04:09.054";"2024-08-07";"19:04:09";"F";"8";"82";"82";"625";"0.000";"0.0";"82";"0.012";"83";"83";"0.000"
"2024-08-07 19:04:19.039";"2024-08-07";"19:04:19";"F";"9";"81";"83";"820";"0.024";"8.3";"83";"0.000";"83";"83";"0.000"
"2024-08-07 19:04:22.330";"2024-08-07";"19:04:22";"SLCE";"";"Light Curve end ";""
"2024-08-07 19:06:15.781";"2024-08-07";"19:06:15";"SLCS";"";"Light Curve start ";"notdawn"
"2024-08-07 19:06:15.781";"2024-08-07";"19:06:15";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.003, ETRmPot: 25.392 )   (Platt et al. 1980) ";""
"2024-08-07 19:06:15.781";"2024-08-07";"19:06:15";"REG2";"";"#1: alpha: 0.271, ETRm: 26.846, Ik: 99.118   (Jassby and Platt 1976) ";""
"2024-08-07 19:06:17.172";"2024-08-07";"19:06:17";"FO";"10";"110";"358";"0";"0.693";"0.0";"-";"-";"110";"358";"0.693"
"2024-08-07 19:06:27.166";"2024-08-07";"19:06:27";"F";"11";"122";"315";"65";"0.613";"16.7";"106";"0.137";"110";"358";"0.693"
"2024-08-07 19:06:37.154";"2024-08-07";"19:06:37";"F";"12";"122";"253";"90";"0.518";"19.6";"98";"0.415";"110";"358";"0.693"
"2024-08-07 19:06:47.145";"2024-08-07";"19:06:47";"F";"13";"123";"208";"125";"0.409";"21.5";"90";"0.721";"110";"358";"0.693"
"2024-08-07 19:06:57.136";"2024-08-07";"19:06:57";"F";"14";"125";"180";"190";"0.306";"24.4";"84";"0.989";"110";"358";"0.693"
"2024-08-07 19:07:07.119";"2024-08-07";"19:07:07";"F";"15";"127";"164";"285";"0.226";"27.1";"81";"1.183";"110";"358";"0.693"
"2024-08-07 19:07:17.118";"2024-08-07";"19:07:17";"F";"16";"130";"153";"420";"0.150";"26.5";"78";"1.340";"110";"358";"0.693"
"2024-08-07 19:07:27.106";"2024-08-07";"19:07:27";"F";"17";"133";"148";"625";"0.101";"26.5";"77";"1.419";"110";"358";"0.693"
"2024-08-07 19:07:37.096";"2024-08-07";"19:07:37";"F";"18";"132";"144";"820";"0.083";"28.6";"76";"1.486";"110";"358";"0.693"
"2024-08-07 19:07:40.850";"2024-08-07";"19:07:40";"SLCE";"";"Light Curve end ";""
"2024-08-07 19:19:26.759";"2024-08-07";"19:19:26";"SLCS";"";"Light Curve start ";"dawn_seawater2"
"2024-08-07 19:19:26.759";"2024-08-07";"19:19:26";"REG1";"";"#1: Error: First 3 ETR-Values are not increasing ";""
"2024-08-07 19:19:26.759";"2024-08-07";"19:19:26";"REG2";"";"#1: Error: First 3 ETR-Values are not increasing ";""
"2024-08-07 19:19:28.158";"2024-08-07";"19:19:28";"FO";"19";"82";"82";"0";"0.000";"0.0";"-";"-";"82";"82";"0.000"
"2024-08-07 19:19:38.148";"2024-08-07";"19:19:38";"F";"20";"79";"82";"65";"0.037";"1.0";"82";"0.000";"82";"82";"0.000"
"2024-08-07 19:19:48.141";"2024-08-07";"19:19:48";"F";"21";"79";"80";"90";"0.013";"0.5";"80";"0.025";"82";"82";"0.000"
