"2024-08-15";"08:53:15";"WinControl (rev 1195) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:NPQ";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-III (CFMG1129B) ";""
"2024-08-15 07:38:07.862";"2024-08-15";"07:38:07";"SLCS";"";"Light Curve start ";"hot_seawater_1under"
"2024-08-15 07:38:07.862";"2024-08-15";"07:38:07";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: 0.000, ETRmPot: 12.083 )   (Platt et al. 1980) ";""
"2024-08-15 07:38:07.862";"2024-08-15";"07:38:07";"REG2";"";"#1: alpha: 0.164, ETRm: 12.069, Ik: 73.375   (Jassby and Platt 1976) ";""
"2024-08-15 07:38:09.244";"2024-08-15";"07:38:09";"FO";"1";"201";"537";"0";"0.626";"0.0";"-";"201";"537";"0.626"
"2024-08-15 07:38:19.238";"2024-08-15";"07:38:19";"F";"2";"262";"397";"65";"0.340";"9.3";"0.353";"201";"537";"0.626"
"2024-08-15 07:38:29.230";"2024-08-15";"07:38:29";"F";"3";"271";"363";"90";"0.253";"9.6";"0.479";"201";"537";"0.626"
"2024-08-15 07:38:39.217";"2024-08-15";"07:38:39";"F";"4";"276";"346";"125";"0.202";"10.6";"0.552";"201";"537";"0.626"
"2024-08-15 07:38:49.209";"2024-08-15";"07:38:49";"F";"5";"285";"337";"190";"0.154";"12.3";"0.593";"201";"537";"0.626"
"2024-08-15 07:38:59.192";"2024-08-15";"07:38:59";"F";"6";"294";"327";"285";"0.101";"12.1";"0.642";"201";"537";"0.626"
"2024-08-15 07:39:09.184";"2024-08-15";"07:39:09";"F";"7";"300";"322";"420";"0.068";"12.0";"0.668";"201";"537";"0.626"
"2024-08-15 07:39:19.172";"2024-08-15";"07:39:19";"F";"8";"304";"319";"625";"0.047";"12.3";"0.683";"201";"537";"0.626"
"2024-08-15 07:39:29.162";"2024-08-15";"07:39:29";"F";"9";"305";"316";"820";"0.035";"12.1";"0.699";"201";"537";"0.626"
"2024-08-15 07:39:32.850";"2024-08-15";"07:39:32";"SLCE";"";"Light Curve end ";""
"2024-08-15 07:40:19.730";"2024-08-15";"07:40:19";"SLCS";"";"Light Curve start ";"hot_seawater_4canopy"
"2024-08-15 07:40:19.730";"2024-08-15";"07:40:19";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.010, ETRmPot: 14.467 )   (Platt et al. 1980) ";""
"2024-08-15 07:40:19.730";"2024-08-15";"07:40:19";"REG2";"";"#1: alpha: 0.109, ETRm: 22.115, Ik: 203.142   (Jassby and Platt 1976) ";""
"2024-08-15 07:40:21.121";"2024-08-15";"07:40:21";"FO";"10";"86";"275";"0";"0.687";"0.0";"-";"86";"275";"0.687"
"2024-08-15 07:40:31.113";"2024-08-15";"07:40:31";"F";"11";"124";"178";"65";"0.303";"8.3";"0.545";"86";"275";"0.687"
"2024-08-15 07:40:41.105";"2024-08-15";"07:40:41";"F";"12";"111";"162";"90";"0.315";"11.9";"0.698";"86";"275";"0.687"
"2024-08-15 07:40:51.086";"2024-08-15";"07:40:51";"F";"13";"114";"148";"125";"0.230";"12.1";"0.858";"86";"275";"0.687"
"2024-08-15 07:41:01.083";"2024-08-15";"07:41:01";"F";"14";"117";"145";"190";"0.193";"15.4";"0.897";"86";"275";"0.687"
"2024-08-15 07:41:11.070";"2024-08-15";"07:41:11";"F";"15";"121";"141";"285";"0.142";"17.0";"0.950";"86";"275";"0.687"
"2024-08-15 07:41:21.063";"2024-08-15";"07:41:21";"F";"16";"124";"139";"420";"0.108";"19.1";"0.978";"86";"275";"0.687"
"2024-08-15 07:41:31.050";"2024-08-15";"07:41:31";"F";"17";"127";"139";"625";"0.086";"22.6";"0.978";"86";"275";"0.687"
"2024-08-15 07:41:41.037";"2024-08-15";"07:41:41";"F";"18";"127";"137";"820";"0.073";"25.1";"1.007";"86";"275";"0.687"
"2024-08-15 07:41:44.796";"2024-08-15";"07:41:44";"SLCE";"";"Light Curve end ";""
"2024-08-15 07:42:47.711";"2024-08-15";"07:42:47";"SLCS";"";"Light Curve start ";"hot_seawater_8canopy"
"2024-08-15 07:42:47.711";"2024-08-15";"07:42:47";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.005, ETRmPot: 16.047 )   (Platt et al. 1980) ";""
"2024-08-15 07:42:47.711";"2024-08-15";"07:42:47";"REG2";"";"#1: alpha: 0.096, ETRm: 19.691, Ik: 205.460   (Jassby and Platt 1976) ";""
"2024-08-15 07:42:49.107";"2024-08-15";"07:42:49";"FO";"19";"76";"212";"0";"0.642";"0.0";"-";"76";"212";"0.642"
"2024-08-15 07:42:59.089";"2024-08-15";"07:42:59";"F";"20";"103";"137";"65";"0.248";"6.8";"0.547";"76";"212";"0.642"
"2024-08-15 07:43:09.079";"2024-08-15";"07:43:09";"F";"21";"93";"129";"90";"0.279";"10.5";"0.643";"76";"212";"0.642"
"2024-08-15 07:43:19.066";"2024-08-15";"07:43:19";"F";"22";"97";"121";"125";"0.198";"10.4";"0.752";"76";"212";"0.642"
"2024-08-15 07:43:29.064";"2024-08-15";"07:43:29";"F";"23";"99";"119";"190";"0.168";"13.4";"0.782";"76";"212";"0.642"
"2024-08-15 07:43:39.045";"2024-08-15";"07:43:39";"F";"24";"102";"117";"285";"0.128";"15.3";"0.812";"76";"212";"0.642"
"2024-08-15 07:43:49.044";"2024-08-15";"07:43:49";"F";"25";"103";"116";"420";"0.112";"19.8";"0.828";"76";"212";"0.642"
"2024-08-15 07:43:59.031";"2024-08-15";"07:43:59";"F";"26";"105";"113";"625";"0.071";"18.6";"0.876";"76";"212";"0.642"
"2024-08-15 07:44:09.015";"2024-08-15";"07:44:09";"F";"27";"106";"113";"820";"0.062";"21.4";"0.876";"76";"212";"0.642"
"2024-08-15 07:44:12.208";"2024-08-15";"07:44:12";"SLCE";"";"Light Curve end ";""
"2024-08-15 07:44:51.262";"2024-08-15";"07:44:51";"SLCS";"";"Light Curve start ";"hot_seawater_9under"
