"2024-08-15";"16:20:38";"WinControl (rev 1195) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:Fo'";"1:NPQ";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-III (CFMG1129B) ";""
"2024-08-15 14:16:22.835";"2024-08-15";"14:16:22";"SLCS";"";"Light Curve start ";"hot_seawater_under11"
"2024-08-15 14:16:22.835";"2024-08-15";"14:16:22";"REG1";"";"#1: alpha: 0.308, ETRm: 29.885, Ik: 97.172   ( beta: 0.007, ETRmPot: 33.485 )   (Platt et al. 1980) ";""
"2024-08-15 14:16:22.835";"2024-08-15";"14:16:22";"REG2";"";"#1: alpha: 0.243, ETRm: 29.058, Ik: 119.631   (Jassby and Platt 1976) ";""
"2024-08-15 14:16:24.233";"2024-08-15";"14:16:24";"FO";"1";"133";"351";"0";"0.621";"0.0";"-";"-";"133";"351";"0.621"
"2024-08-15 14:16:34.221";"2024-08-15";"14:16:34";"F";"2";"157";"354";"65";"0.556";"15.2";"133";"- 0.008";"133";"351";"0.621"
"2024-08-15 14:16:44.213";"2024-08-15";"14:16:44";"F";"3";"166";"325";"90";"0.489";"18.5";"129";"0.080";"133";"351";"0.621"
"2024-08-15 14:16:54.195";"2024-08-15";"14:16:54";"F";"4";"176";"303";"125";"0.419";"22.0";"125";"0.158";"133";"351";"0.621"
"2024-08-15 14:17:04.192";"2024-08-15";"14:17:04";"F";"5";"193";"287";"190";"0.328";"26.2";"123";"0.223";"133";"351";"0.621"
"2024-08-15 14:17:14.181";"2024-08-15";"14:17:14";"F";"6";"204";"270";"285";"0.244";"29.2";"119";"0.300";"133";"351";"0.621"
"2024-08-15 14:17:24.171";"2024-08-15";"14:17:24";"F";"7";"215";"260";"420";"0.173";"30.5";"117";"0.350";"133";"351";"0.621"
"2024-08-15 14:17:34.154";"2024-08-15";"14:17:34";"F";"8";"223";"250";"625";"0.108";"28.4";"115";"0.404";"133";"351";"0.621"
"2024-08-15 14:17:44.144";"2024-08-15";"14:17:44";"F";"9";"225";"245";"820";"0.082";"28.2";"114";"0.433";"133";"351";"0.621"
"2024-08-15 14:17:47.872";"2024-08-15";"14:17:47";"SLCE";"";"Light Curve end ";""
"2024-08-15 14:20:16.927";"2024-08-15";"14:20:16";"SLCS";"";"Light Curve start ";"hot_seawater_intermed12"
"2024-08-15 14:20:16.927";"2024-08-15";"14:20:16";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.005, ETRmPot: 29.254 )   (Platt et al. 1980) ";""
"2024-08-15 14:20:16.927";"2024-08-15";"14:20:16";"REG2";"";"#1: alpha: 0.151, ETRm: 31.832, Ik: 210.674   (Jassby and Platt 1976) ";""
"2024-08-15 14:20:18.328";"2024-08-15";"14:20:18";"FO";"10";"72";"248";"0";"0.710";"0.0";"-";"-";"72";"248";"0.710"
"2024-08-15 14:20:28.313";"2024-08-15";"14:20:28";"F";"11";"113";"192";"65";"0.411";"11.2";"66";"0.292";"72";"248";"0.710"
"2024-08-15 14:20:38.312";"2024-08-15";"14:20:38";"F";"12";"112";"184";"90";"0.391";"14.8";"65";"0.348";"72";"248";"0.710"
"2024-08-15 14:20:48.300";"2024-08-15";"14:20:48";"F";"13";"118";"177";"125";"0.333";"17.5";"64";"0.401";"72";"248";"0.710"
"2024-08-15 14:20:58.278";"2024-08-15";"14:20:58";"F";"14";"125";"171";"190";"0.269";"21.5";"64";"0.450";"72";"248";"0.710"
"2024-08-15 14:21:08.276";"2024-08-15";"14:21:08";"F";"15";"130";"164";"285";"0.207";"24.8";"63";"0.512";"72";"248";"0.710"
"2024-08-15 14:21:18.266";"2024-08-15";"14:21:18";"F";"16";"133";"162";"420";"0.179";"31.6";"62";"0.531";"72";"248";"0.710"
"2024-08-15 14:21:28.257";"2024-08-15";"14:21:28";"F";"17";"139";"158";"625";"0.120";"31.5";"62";"0.570";"72";"248";"0.710"
"2024-08-15 14:21:38.240";"2024-08-15";"14:21:38";"F";"18";"141";"156";"820";"0.096";"33.1";"61";"0.590";"72";"248";"0.710"
"2024-08-15 14:21:41.844";"2024-08-15";"14:21:41";"SLCE";"";"Light Curve end ";""
"2024-08-15 14:22:29.225";"2024-08-15";"14:22:29";"SLCS";"";"Light Curve start ";"hot_seawater_intermed13"
"2024-08-15 14:22:29.225";"2024-08-15";"14:22:29";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.004, ETRmPot: 10.208 )   (Platt et al. 1980) ";""
"2024-08-15 14:22:29.225";"2024-08-15";"14:22:29";"REG2";"";"#1: alpha: 0.155, ETRm: 12.012, Ik: 77.379   (Jassby and Platt 1976) ";""
"2024-08-15 14:22:30.624";"2024-08-15";"14:22:30";"FO";"19";"105";"262";"0";"0.599";"0.0";"-";"-";"105";"262";"0.599"
"2024-08-15 14:22:40.606";"2024-08-15";"14:22:40";"F";"20";"121";"181";"65";"0.331";"9.0";"89";"0.448";"105";"262";"0.599"
