#,Date-Time (U.S. Outlying Islands Standard Time),Temperature   (°C),Host Connected,Button Down,Button Up,End of File
1243,08/03/2024 00:00:00,25.920,,,,
1244,08/03/2024 00:10:00,25.845,,,,
1245,08/03/2024 00:20:00,25.780,,,,
1246,08/03/2024 00:30:00,25.716,,,,
1247,08/03/2024 00:40:00,25.662,,,,
1248,08/03/2024 00:50:00,25.609,,,,
1249,08/03/2024 01:00:00,25.544,,,,
1250,08/03/2024 01:10:00,25.491,,,,
1251,08/03/2024 01:20:00,25.437,,,,
1252,08/03/2024 01:30:00,25.373,,,,
1253,08/03/2024 01:40:00,25.319,,,,
1254,08/03/2024 01:50:00,25.266,,,,
1255,08/03/2024 02:00:00,25.233,,,,
1256,08/03/2024 02:10:00,25.201,,,,
1257,08/03/2024 02:20:00,25.158,,,,
1258,08/03/2024 02:30:00,25.126,,,,
1259,08/03/2024 02:40:00,25.083,,,,
1260,08/03/2024 02:50:00,25.051,,,,
1261,08/03/2024 03:00:00,25.008,,,,
1262,08/03/2024 03:10:00,24.965,,,,
1263,08/03/2024 03:20:00,24.922,,,,
1264,08/03/2024 03:30:00,24.879,,,,
1265,08/03/2024 03:40:00,24.826,,,,
1266,08/03/2024 03:50:00,24.794,,,,
1267,08/03/2024 04:00:00,24.740,,,,
1268,08/03/2024 04:10:00,24.708,,,,
1269,08/03/2024 04:20:00,24.665,,,,
1270,08/03/2024 04:30:00,24.622,,,,
1271,08/03/2024 04:40:00,24.579,,,,
1272,08/03/2024 04:50:00,24.536,,,,
1273,08/03/2024 05:00:00,24.483,,,,
1274,08/03/2024 05:10:00,24.440,,,,
1275,08/03/2024 05:20:00,24.397,,,,
1276,08/03/2024 05:30:00,24.343,,,,
1277,08/03/2024 05:40:00,24.311,,,,
1278,08/03/2024 05:50:00,24.279,,,,
1279,08/03/2024 06:00:00,24.247,,,,
1280,08/03/2024 06:10:00,24.204,,,,
1281,08/03/2024 06:20:00,24.182,,,,
1282,08/03/2024 06:30:00,24.150,,,,
1283,08/03/2024 06:40:00,24.129,,,,
1284,08/03/2024 06:50:00,24.118,,,,
1285,08/03/2024 07:00:00,24.097,,,,
1286,08/03/2024 07:10:00,24.086,,,,
1287,08/03/2024 07:20:00,24.054,,,,
1288,08/03/2024 07:30:00,24.043,,,,
1289,08/03/2024 07:40:00,24.043,,,,
1290,08/03/2024 07:50:00,24.086,,,,
1291,08/03/2024 08:00:00,24.075,,,,
1292,08/03/2024 08:10:00,24.064,,,,
1293,08/03/2024 08:20:00,24.054,,,,
1294,08/03/2024 08:30:00,24.043,,,,
1295,08/03/2024 08:40:00,24.054,,,,
1296,08/03/2024 08:50:00,24.086,,,,
1297,08/03/2024 09:00:00,24.225,,,,
1298,08/03/2024 09:10:00,24.365,,,,
1299,08/03/2024 09:20:00,24.311,,,,
1300,08/03/2024 09:30:00,24.365,,,,
1301,08/03/2024 09:40:00,24.429,,,,
1302,08/03/2024 09:50:00,24.429,,,,
1303,08/03/2024 10:00:00,24.461,,,,
1304,08/03/2024 10:10:00,24.536,,,,
1305,08/03/2024 10:20:00,24.547,,,,
1306,08/03/2024 10:30:00,24.686,,,,
1307,08/03/2024 10:40:00,24.879,,,,
1308,08/03/2024 10:50:00,24.987,,,,
1309,08/03/2024 11:00:00,25.094,,,,
1310,08/03/2024 11:10:00,25.169,,,,
1311,08/03/2024 11:20:00,25.319,,,,
1312,08/03/2024 11:30:00,25.384,,,,
1313,08/03/2024 11:40:00,25.437,,,,
1314,08/03/2024 11:50:00,25.544,,,,
1315,08/03/2024 12:00:00,25.684,,,,
1316,08/03/2024 12:10:00,25.780,,,,
1317,08/03/2024 12:20:00,25.866,,,,
1,08/03/2024 13:00:00,26.295,,,,
2,08/03/2024 13:10:00,26.370,,,,
3,08/03/2024 13:20:00,26.242,,,,
4,08/03/2024 13:30:00,26.435,,,,
5,08/03/2024 13:40:00,26.520,,,,
6,08/03/2024 13:50:00,26.510,,,,
7,08/03/2024 14:00:00,26.638,,,,
8,08/03/2024 14:10:00,26.756,,,,
9,08/03/2024 14:20:00,26.649,,,,
10,08/03/2024 14:30:00,26.746,,,,
11,08/03/2024 14:40:00,26.810,,,,
12,08/03/2024 14:50:00,26.874,,,,
13,08/03/2024 15:00:00,26.928,,,,
14,08/03/2024 15:10:00,26.949,,,,
15,08/03/2024 15:20:00,27.014,,,,
16,08/03/2024 15:30:00,27.014,,,,
17,08/03/2024 15:40:00,27.067,,,,
18,08/03/2024 15:50:00,27.142,,,,
19,08/03/2024 16:00:00,27.164,,,,
20,08/03/2024 16:10:00,27.100,,,,
21,08/03/2024 16:20:00,27.089,,,,
22,08/03/2024 16:30:00,27.046,,,,
23,08/03/2024 16:40:00,27.014,,,,
24,08/03/2024 16:50:00,26.992,,,,
25,08/03/2024 17:00:00,27.014,,,,
26,08/03/2024 17:10:00,26.982,,,,
27,08/03/2024 17:20:00,26.960,,,,
28,08/03/2024 17:30:00,26.928,,,,
29,08/03/2024 17:40:00,26.906,,,,
30,08/03/2024 17:50:00,26.885,,,,
31,08/03/2024 18:00:00,26.864,,,,
32,08/03/2024 18:10:00,26.842,,,,
33,08/03/2024 18:20:00,26.810,,,,
34,08/03/2024 18:30:00,26.778,,,,
35,08/03/2024 18:40:00,26.713,,,,
36,08/03/2024 18:50:00,26.649,,,,
37,08/03/2024 19:00:00,26.585,,,,
38,08/03/2024 19:10:00,26.520,,,,
39,08/03/2024 19:20:00,26.467,,,,
40,08/03/2024 19:30:00,26.413,,,,
41,08/03/2024 19:40:00,26.370,,,,
42,08/03/2024 19:50:00,26.327,,,,
43,08/03/2024 20:00:00,26.263,,,,
44,08/03/2024 20:10:00,26.231,,,,
45,08/03/2024 20:20:00,26.177,,,,
46,08/03/2024 20:30:00,26.145,,,,
47,08/03/2024 20:40:00,26.091,,,,
48,08/03/2024 20:50:00,26.038,,,,
49,08/03/2024 21:00:00,26.006,,,,
50,08/03/2024 21:10:00,25.963,,,,
51,08/03/2024 21:20:00,25.920,,,,
52,08/03/2024 21:30:00,25.888,,,,
53,08/03/2024 21:40:00,25.855,,,,
54,08/03/2024 21:50:00,25.813,,,,
55,08/03/2024 22:00:00,25.780,,,,
56,08/03/2024 22:10:00,25.748,,,,
57,08/03/2024 22:20:00,25.695,,,,
58,08/03/2024 22:30:00,25.662,,,,
59,08/03/2024 22:40:00,25.630,,,,
60,08/03/2024 22:50:00,25.598,,,,
61,08/03/2024 23:00:00,25.566,,,,
62,08/03/2024 23:10:00,25.523,,,,
63,08/03/2024 23:20:00,25.502,,,,
64,08/03/2024 23:30:00,25.469,,,,
65,08/03/2024 23:40:00,25.437,,,,
66,08/03/2024 23:50:00,25.405,,,,
67,08/04/2024 00:00:00,25.384,,,,
68,08/04/2024 00:10:00,25.362,,,,
69,08/04/2024 00:20:00,25.330,,,,
70,08/04/2024 00:30:00,25.319,,,,
71,08/04/2024 00:40:00,25.287,,,,
72,08/04/2024 00:50:00,25.266,,,,
73,08/04/2024 01:00:00,25.233,,,,
74,08/04/2024 01:10:00,25.201,,,,
75,08/04/2024 01:20:00,25.169,,,,
76,08/04/2024 01:30:00,25.148,,,,
77,08/04/2024 01:40:00,25.126,,,,
78,08/04/2024 01:50:00,25.083,,,,
79,08/04/2024 02:00:00,25.073,,,,
80,08/04/2024 02:10:00,25.040,,,,
81,08/04/2024 02:20:00,25.019,,,,
82,08/04/2024 02:30:00,24.997,,,,
83,08/04/2024 02:40:00,24.955,,,,
84,08/04/2024 02:50:00,24.922,,,,
85,08/04/2024 03:00:00,24.890,,,,
86,08/04/2024 03:10:00,24.858,,,,
87,08/04/2024 03:20:00,24.826,,,,
88,08/04/2024 03:30:00,24.783,,,,
89,08/04/2024 03:40:00,24.740,,,,
90,08/04/2024 03:50:00,24.719,,,,
91,08/04/2024 04:00:00,24.676,,,,
92,08/04/2024 04:10:00,24.654,,,,
93,08/04/2024 04:20:00,24.633,,,,
94,08/04/2024 04:30:00,24.601,,,,
95,08/04/2024 04:40:00,24.579,,,,
96,08/04/2024 04:50:00,24.547,,,,
97,08/04/2024 05:00:00,24.536,,,,
98,08/04/2024 05:10:00,24.515,,,,
99,08/04/2024 05:20:00,24.483,,,,
100,08/04/2024 05:30:00,24.472,,,,
101,08/04/2024 05:40:00,24.450,,,,
102,08/04/2024 05:50:00,24.429,,,,
103,08/04/2024 06:00:00,24.418,,,,
104,08/04/2024 06:10:00,24.397,,,,
105,08/04/2024 06:20:00,24.386,,,,
106,08/04/2024 06:30:00,24.365,,,,
107,08/04/2024 06:40:00,24.354,,,,
108,08/04/2024 06:50:00,24.343,,,,
109,08/04/2024 07:00:00,24.311,,,,
110,08/04/2024 07:10:00,24.311,,,,
111,08/04/2024 07:20:00,24.311,,,,
112,08/04/2024 07:30:00,24.311,,,,
113,08/04/2024 07:40:00,24.332,,,,
114,08/04/2024 07:50:00,24.354,,,,
115,08/04/2024 08:00:00,24.354,,,,
116,08/04/2024 08:10:00,24.375,,,,
117,08/04/2024 08:20:00,24.386,,,,
118,08/04/2024 08:30:00,24.450,,,,
119,08/04/2024 08:40:00,24.440,,,,
120,08/04/2024 08:50:00,24.483,,,,
121,08/04/2024 09:00:00,24.719,,,,
122,08/04/2024 09:10:00,24.858,,,,
123,08/04/2024 09:20:00,24.815,,,,
124,08/04/2024 09:30:00,24.837,,,,
125,08/04/2024 09:40:00,24.879,,,,
126,08/04/2024 09:50:00,24.944,,,,
127,08/04/2024 10:00:00,25.030,,,,
128,08/04/2024 10:10:00,25.094,,,,
129,08/04/2024 10:20:00,25.148,,,,
130,08/04/2024 10:30:00,25.212,,,,
131,08/04/2024 10:40:00,25.223,,,,
132,08/04/2024 10:50:00,25.384,,,,
133,08/04/2024 11:00:00,25.491,,,,
134,08/04/2024 11:10:00,25.662,,,,
135,08/04/2024 11:20:00,25.759,,,,
136,08/04/2024 11:30:00,25.802,,,,
137,08/04/2024 11:40:00,25.855,,,,
138,08/04/2024 11:50:00,26.048,,,,
139,08/04/2024 12:00:00,26.091,,,,
140,08/04/2024 12:10:00,26.284,,,,
141,08/04/2024 12:20:00,26.520,,,,
142,08/04/2024 12:30:00,26.671,,,,
143,08/04/2024 12:40:00,26.799,,,,
144,08/04/2024 12:50:00,26.896,,,,
145,08/04/2024 13:00:00,26.778,,,,
146,08/04/2024 13:10:00,26.842,,,,
147,08/04/2024 13:20:00,27.046,,,,
148,08/04/2024 13:30:00,27.142,,,,
149,08/04/2024 13:40:00,27.207,,,,
150,08/04/2024 13:50:00,27.303,,,,
151,08/04/2024 14:00:00,27.389,,,,
152,08/04/2024 14:10:00,27.464,,,,
153,08/04/2024 14:20:00,27.475,,,,
154,08/04/2024 14:30:00,27.529,,,,
155,08/04/2024 14:40:00,27.529,,,,
156,08/04/2024 14:50:00,27.593,,,,
157,08/04/2024 15:00:00,27.561,,,,
158,08/04/2024 15:10:00,27.453,,,,
159,08/04/2024 15:20:00,27.421,,,,
160,08/04/2024 15:30:00,27.421,,,,
161,08/04/2024 15:40:00,27.389,,,,
162,08/04/2024 15:50:00,27.421,,,,
163,08/04/2024 16:00:00,27.336,,,,
164,08/04/2024 16:10:00,27.336,,,,
165,08/04/2024 16:20:00,27.411,,,,
166,08/04/2024 16:30:00,27.421,,,,
167,08/04/2024 16:40:00,27.432,,,,
168,08/04/2024 16:50:00,27.432,,,,
169,08/04/2024 17:00:00,27.443,,,,
170,08/04/2024 17:10:00,27.453,,,,
171,08/04/2024 17:20:00,27.421,,,,
