#,Date-Time (U.S. Outlying Islands Standard Time),Temperature   (°C),Button Down,Button Up,End of File
1,07/25/2024 09:00:00,26.896,,,
2,07/25/2024 09:10:00,26.617,,,
3,07/25/2024 09:20:00,26.360,,,
4,07/25/2024 09:30:00,26.188,,,
5,07/25/2024 09:40:00,26.016,,,
6,07/25/2024 09:50:00,27.968,,,
7,07/25/2024 10:00:00,28.569,,,
8,07/25/2024 10:10:00,28.601,,,
9,07/25/2024 10:20:00,28.966,,,
10,07/25/2024 10:30:00,29.395,,,
11,07/25/2024 10:40:00,30.145,,,
12,07/25/2024 10:50:00,30.296,,,
13,07/25/2024 11:00:00,30.564,,,
14,07/25/2024 11:10:00,30.210,,,
15,07/25/2024 11:20:00,30.392,,,
16,07/25/2024 11:30:00,30.692,,,
17,07/25/2024 11:40:00,31.186,,,
18,07/25/2024 11:50:00,31.432,,,
19,07/25/2024 12:00:00,31.701,,,
20,07/25/2024 12:10:00,31.926,,,
21,07/25/2024 12:20:00,31.958,,,
22,07/25/2024 12:30:00,31.883,,,
23,07/25/2024 12:40:00,32.215,,,
24,07/25/2024 12:50:00,32.366,,,
25,07/25/2024 13:00:00,32.516,,,
26,07/25/2024 13:10:00,32.494,,,
27,07/25/2024 13:20:00,32.698,,,
28,07/25/2024 13:30:00,32.398,,,
29,07/25/2024 13:40:00,32.130,,,
30,07/25/2024 13:50:00,32.033,,,
31,07/25/2024 14:00:00,31.861,,,
32,07/25/2024 14:10:00,31.808,,,
33,07/25/2024 14:20:00,31.808,,,
34,07/25/2024 14:30:00,31.722,,,
35,07/25/2024 14:40:00,31.497,,,
36,07/25/2024 14:50:00,31.046,,,
37,07/25/2024 15:00:00,30.510,,,
38,07/25/2024 15:10:00,30.467,,,
39,07/25/2024 15:20:00,30.478,,,
40,07/25/2024 15:30:00,30.574,,,
41,07/25/2024 15:40:00,31.100,,,
42,07/25/2024 15:50:00,31.143,,,
43,07/25/2024 16:00:00,31.111,,,
44,07/25/2024 16:10:00,31.089,,,
45,07/25/2024 16:20:00,31.079,,,
46,07/25/2024 16:30:00,31.003,,,
47,07/25/2024 16:40:00,30.886,,,
48,07/25/2024 16:50:00,30.843,,,
49,07/25/2024 17:00:00,30.746,,,
50,07/25/2024 17:10:00,30.682,,,
51,07/25/2024 17:20:00,30.639,,,
52,07/25/2024 17:30:00,30.553,,,
53,07/25/2024 17:40:00,30.489,,,
54,07/25/2024 17:50:00,30.392,,,
55,07/25/2024 18:00:00,30.349,,,
56,07/25/2024 18:10:00,30.285,,,
57,07/25/2024 18:20:00,30.210,,,
58,07/25/2024 18:30:00,30.167,,,
59,07/25/2024 18:40:00,30.092,,,
60,07/25/2024 18:50:00,30.038,,,
61,07/25/2024 19:00:00,29.910,,,
62,07/25/2024 19:10:00,29.834,,,
63,07/25/2024 19:20:00,29.738,,,
64,07/25/2024 19:30:00,29.631,,,
65,07/25/2024 19:40:00,29.545,,,
66,07/25/2024 19:50:00,29.448,,,
67,07/25/2024 20:00:00,29.309,,,
68,07/25/2024 20:10:00,29.202,,,
69,07/25/2024 20:20:00,29.084,,,
70,07/25/2024 20:30:00,28.998,,,
71,07/25/2024 20:40:00,28.901,,,
72,07/25/2024 20:50:00,28.794,,,
73,07/25/2024 21:00:00,28.698,,,
74,07/25/2024 21:10:00,28.590,,,
75,07/25/2024 21:20:00,28.494,,,
76,07/25/2024 21:30:00,28.387,,,
77,07/25/2024 21:40:00,28.311,,,
78,07/25/2024 21:50:00,28.204,,,
79,07/25/2024 22:00:00,28.118,,,
80,07/25/2024 22:10:00,28.033,,,
81,07/25/2024 22:20:00,27.936,,,
82,07/25/2024 22:30:00,27.850,,,
83,07/25/2024 22:40:00,27.797,,,
84,07/25/2024 22:50:00,27.711,,,
85,07/25/2024 23:00:00,27.647,,,
86,07/25/2024 23:10:00,27.571,,,
87,07/25/2024 23:20:00,27.486,,,
88,07/25/2024 23:30:00,27.443,,,
89,07/25/2024 23:40:00,27.389,,,
90,07/25/2024 23:50:00,27.314,,,
91,07/26/2024 00:00:00,27.239,,,
92,07/26/2024 00:10:00,27.164,,,
93,07/26/2024 00:20:00,27.164,,,
94,07/26/2024 00:30:00,27.078,,,
95,07/26/2024 00:40:00,27.035,,,
96,07/26/2024 00:50:00,26.960,,,
97,07/26/2024 01:00:00,26.917,,,
98,07/26/2024 01:10:00,26.853,,,
99,07/26/2024 01:20:00,26.810,,,
100,07/26/2024 01:30:00,26.746,,,
101,07/26/2024 01:40:00,26.713,,,
102,07/26/2024 01:50:00,26.681,,,
103,07/26/2024 02:00:00,26.628,,,
104,07/26/2024 02:10:00,26.574,,,
105,07/26/2024 02:20:00,26.542,,,
106,07/26/2024 02:30:00,26.467,,,
107,07/26/2024 02:40:00,26.445,,,
108,07/26/2024 02:50:00,26.370,,,
109,07/26/2024 03:00:00,26.327,,,
110,07/26/2024 03:10:00,26.274,,,
111,07/26/2024 03:20:00,26.209,,,
112,07/26/2024 03:30:00,26.177,,,
113,07/26/2024 03:40:00,26.134,,,
114,07/26/2024 03:50:00,26.091,,,
115,07/26/2024 04:00:00,26.048,,,
116,07/26/2024 04:10:00,26.016,,,
117,07/26/2024 04:20:00,25.973,,,
118,07/26/2024 04:30:00,25.952,,,
119,07/26/2024 04:40:00,25.877,,,
120,07/26/2024 04:50:00,25.866,,,
121,07/26/2024 05:00:00,25.834,,,
122,07/26/2024 05:10:00,25.791,,,
123,07/26/2024 05:20:00,25.759,,,
124,07/26/2024 05:30:00,25.737,,,
125,07/26/2024 05:40:00,25.684,,,
126,07/26/2024 05:50:00,25.673,,,
127,07/26/2024 06:00:00,25.619,,,
128,07/26/2024 06:10:00,25.609,,,
129,07/26/2024 06:20:00,25.598,,,
130,07/26/2024 06:30:00,25.555,,,
131,07/26/2024 06:40:00,25.523,,,
132,07/26/2024 06:50:00,25.512,,,
133,07/26/2024 07:00:00,25.491,,,
134,07/26/2024 07:10:00,25.480,,,
135,07/26/2024 07:20:00,25.480,,,
136,07/26/2024 07:30:00,25.491,,,
137,07/26/2024 07:40:00,25.491,,,
138,07/26/2024 07:50:00,25.502,,,
139,07/26/2024 08:00:00,25.534,,,
140,07/26/2024 08:10:00,25.555,,,
141,07/26/2024 08:20:00,25.587,,,
142,07/26/2024 08:30:00,25.695,,,
143,07/26/2024 08:40:00,25.716,,,
144,07/26/2024 08:50:00,25.770,,,
145,07/26/2024 09:00:00,25.877,,,
146,07/26/2024 09:10:00,26.048,,,
147,07/26/2024 09:20:00,26.091,,,
148,07/26/2024 09:30:00,26.048,,,
149,07/26/2024 09:40:00,26.263,,,
150,07/26/2024 09:50:00,26.274,,,
151,07/26/2024 10:00:00,26.467,,,
152,07/26/2024 10:10:00,26.456,,,
153,07/26/2024 10:20:00,26.542,,,
154,07/26/2024 10:30:00,26.767,,,
155,07/26/2024 10:40:00,27.164,,,
156,07/26/2024 10:50:00,27.421,,,
157,07/26/2024 11:00:00,27.636,,,
158,07/26/2024 11:10:00,27.818,,,
159,07/26/2024 11:20:00,27.958,,,
160,07/26/2024 11:30:00,28.022,,,
161,07/26/2024 11:40:00,28.129,,,
162,07/26/2024 11:50:00,28.290,,,
163,07/26/2024 12:00:00,28.429,,,
164,07/26/2024 12:10:00,28.623,,,
165,07/26/2024 12:20:00,28.783,,,
166,07/26/2024 12:30:00,28.901,,,
167,07/26/2024 12:40:00,29.009,,,
168,07/26/2024 12:50:00,29.148,,,
169,07/26/2024 13:00:00,29.234,,,
170,07/26/2024 13:10:00,29.320,,,
171,07/26/2024 13:20:00,29.384,,,
172,07/26/2024 13:30:00,29.459,,,
173,07/26/2024 13:40:00,29.481,,,
174,07/26/2024 13:50:00,29.674,,,
175,07/26/2024 14:00:00,29.770,,,
176,07/26/2024 14:10:00,29.824,,,
177,07/26/2024 14:20:00,29.845,,,
