#,Date-Time (U.S. Outlying Islands Standard Time),Temperature   (°C),Button Up,Button Down,Host Connected,End of File
1252,08/12/2024 00:00:00,26.295,,,,
1253,08/12/2024 00:10:00,26.263,,,,
1254,08/12/2024 00:20:00,26.242,,,,
1255,08/12/2024 00:30:00,26.220,,,,
1256,08/12/2024 00:40:00,26.209,,,,
1257,08/12/2024 00:50:00,26.199,,,,
1258,08/12/2024 01:00:00,26.156,,,,
1259,08/12/2024 01:10:00,26.134,,,,
1260,08/12/2024 01:20:00,26.145,,,,
1261,08/12/2024 01:30:00,26.124,,,,
1262,08/12/2024 01:40:00,26.081,,,,
1263,08/12/2024 01:50:00,26.038,,,,
1264,08/12/2024 02:00:00,25.973,,,,
1265,08/12/2024 02:10:00,25.888,,,,
1266,08/12/2024 02:20:00,25.834,,,,
1267,08/12/2024 02:30:00,25.780,,,,
1268,08/12/2024 02:40:00,25.727,,,,
1269,08/12/2024 02:50:00,25.673,,,,
1270,08/12/2024 03:00:00,25.641,,,,
1271,08/12/2024 03:10:00,25.609,,,,
1272,08/12/2024 03:20:00,25.544,,,,
1273,08/12/2024 03:30:00,25.544,,,,
1274,08/12/2024 03:40:00,25.502,,,,
1275,08/12/2024 03:50:00,25.502,,,,
1276,08/12/2024 04:00:00,25.491,,,,
1277,08/12/2024 04:10:00,25.480,,,,
1278,08/12/2024 04:20:00,25.426,,,,
1279,08/12/2024 04:30:00,25.405,,,,
1280,08/12/2024 04:40:00,25.384,,,,
1281,08/12/2024 04:50:00,25.384,,,,
1282,08/12/2024 05:00:00,25.330,,,,
1283,08/12/2024 05:10:00,25.319,,,,
1284,08/12/2024 05:20:00,25.287,,,,
1285,08/12/2024 05:30:00,25.266,,,,
1286,08/12/2024 05:40:00,25.233,,,,
1287,08/12/2024 05:50:00,25.212,,,,
1288,08/12/2024 06:00:00,25.158,,,,
1289,08/12/2024 06:10:00,25.158,,,,
1290,08/12/2024 06:20:00,25.126,,,,
1291,08/12/2024 06:30:00,25.137,,,,
1292,08/12/2024 06:40:00,25.105,,,,
1293,08/12/2024 06:50:00,25.083,,,,
1294,08/12/2024 07:00:00,25.094,,,,
1295,08/12/2024 07:10:00,25.094,,,,
1296,08/12/2024 07:20:00,25.094,,,,
1297,08/12/2024 07:30:00,25.094,,,,
1298,08/12/2024 07:40:00,25.094,,,,
1299,08/12/2024 07:50:00,25.083,,,,
1300,08/12/2024 08:00:00,25.040,,,,
1301,08/12/2024 08:10:00,24.912,,,,
1302,08/12/2024 08:20:00,24.858,,,,
1303,08/12/2024 08:30:00,24.826,,,,
1304,08/12/2024 08:40:00,24.847,,,,
1305,08/12/2024 08:50:00,24.901,,,,
1306,08/12/2024 09:00:00,24.890,,,,
1307,08/12/2024 09:10:00,24.890,,,,
1308,08/12/2024 09:20:00,24.965,,,,
1309,08/12/2024 09:30:00,25.040,,,,
1310,08/12/2024 09:40:00,25.073,,,,
1311,08/12/2024 09:50:00,25.115,,,,
1312,08/12/2024 10:00:00,25.266,,,,
1313,08/12/2024 10:10:00,25.491,,,,
1314,08/12/2024 10:20:00,25.598,,,,
1315,08/12/2024 10:30:00,25.748,,,,
1316,08/12/2024 10:40:00,25.952,,,,
1317,08/12/2024 10:50:00,26.059,,,,
1318,08/12/2024 11:00:00,26.220,,,,
1319,08/12/2024 11:10:00,26.402,,,,
1320,08/12/2024 11:20:00,26.563,,,,
1321,08/12/2024 11:30:00,26.778,,,,
1322,08/12/2024 11:40:00,26.949,,,,
1323,08/12/2024 11:50:00,27.142,,,,
1324,08/12/2024 12:00:00,27.260,,,,
1325,08/12/2024 12:10:00,27.421,,,,
1326,08/12/2024 12:20:00,27.582,,,,
1327,08/12/2024 12:30:00,27.722,,,,
1328,08/12/2024 12:40:00,27.689,,,,
1329,08/12/2024 12:50:00,27.711,,,,
1330,08/12/2024 13:00:00,27.840,,,,
1331,08/12/2024 13:10:00,27.990,,,,
1332,08/12/2024 13:20:00,28.054,,,,
1333,08/12/2024 13:30:00,27.915,,,,
1334,08/12/2024 13:40:00,27.786,,,,
1335,08/12/2024 13:50:00,27.732,,,,
1336,08/12/2024 14:00:00,27.668,,,,
1337,08/12/2024 14:10:00,27.389,,,,
1338,08/12/2024 14:20:00,27.357,,,,
1339,08/12/2024 14:30:00,27.679,,,,
1340,08/12/2024 14:40:00,27.807,,,,
1341,08/12/2024 14:50:00,27.711,,,,
1342,08/12/2024 15:00:00,27.990,,,,
1343,08/12/2024 15:10:00,28.011,,,,
1344,08/12/2024 15:20:00,28.086,,,,
1345,08/12/2024 15:30:00,28.161,,,,
1346,08/12/2024 15:40:00,28.215,,,,
1347,08/12/2024 15:50:00,28.269,,,,
1348,08/12/2024 16:00:00,28.301,,,,
1349,08/12/2024 16:10:00,28.290,,,,
1350,08/12/2024 16:20:00,28.290,,,,
1351,08/12/2024 16:30:00,28.269,,,,
1352,08/12/2024 16:40:00,28.258,,,,
1353,08/12/2024 16:50:00,28.269,,,,
1354,08/12/2024 17:00:00,28.269,,,,
1355,08/12/2024 17:10:00,28.226,,,,
1356,08/12/2024 17:20:00,28.194,,,,
1357,08/12/2024 17:30:00,28.118,,,,
1358,08/12/2024 17:40:00,28.054,,,,
1359,08/12/2024 17:50:00,27.990,,,,
1360,08/12/2024 18:00:00,27.958,,,,
1361,08/12/2024 18:10:00,27.861,,,,
1362,08/12/2024 18:20:00,27.829,,,,
1363,08/12/2024 18:30:00,27.765,,,,
1364,08/12/2024 18:40:00,27.689,,,,
1365,08/12/2024 18:50:00,27.625,,,,
1366,08/12/2024 19:00:00,27.561,,,,
1367,08/12/2024 19:10:00,27.453,,,,
1368,08/12/2024 19:20:00,27.368,,,,
1369,08/12/2024 19:30:00,27.228,,,,
1370,08/12/2024 19:40:00,27.142,,,,
1371,08/12/2024 19:50:00,27.067,,,,
1372,08/12/2024 20:00:00,26.982,,,,
1373,08/12/2024 20:10:00,26.896,,,,
1374,08/12/2024 20:20:00,26.831,,,,
1375,08/12/2024 20:30:00,26.756,,,,
1376,08/12/2024 20:40:00,26.692,,,,
1377,08/12/2024 20:50:00,26.628,,,,
1378,08/12/2024 21:00:00,26.531,,,,
1379,08/12/2024 21:10:00,26.499,,,,
1380,08/12/2024 21:20:00,26.413,,,,
1381,08/12/2024 21:30:00,26.381,,,,
1382,08/12/2024 21:40:00,26.317,,,,
1383,08/12/2024 21:50:00,26.295,,,,
1384,08/12/2024 22:00:00,26.252,,,,
1385,08/12/2024 22:10:00,26.199,,,,
1386,08/12/2024 22:20:00,26.156,,,,
1387,08/12/2024 22:30:00,26.113,,,,
1388,08/12/2024 22:40:00,26.059,,,,
1389,08/12/2024 22:50:00,26.038,,,,
1390,08/12/2024 23:00:00,26.038,,,,
1391,08/12/2024 23:10:00,26.016,,,,
1392,08/12/2024 23:20:00,25.973,,,,
1393,08/12/2024 23:30:00,25.963,,,,
1394,08/12/2024 23:40:00,25.931,,,,
1395,08/12/2024 23:50:00,25.909,,,,
1396,08/13/2024 00:00:00,25.888,,,,
1397,08/13/2024 00:10:00,25.845,,,,
1398,08/13/2024 00:20:00,25.823,,,,
1399,08/13/2024 00:30:00,25.802,,,,
1400,08/13/2024 00:40:00,25.791,,,,
1401,08/13/2024 00:50:00,25.770,,,,
1402,08/13/2024 01:00:00,25.759,,,,
1403,08/13/2024 01:10:00,25.748,,,,
1404,08/13/2024 01:20:00,25.737,,,,
1405,08/13/2024 01:30:00,25.727,,,,
1406,08/13/2024 01:40:00,25.695,,,,
1407,08/13/2024 01:50:00,25.716,,,,
1408,08/13/2024 02:00:00,25.705,,,,
1409,08/13/2024 02:10:00,25.662,,,,
1410,08/13/2024 02:20:00,25.673,,,,
1411,08/13/2024 02:30:00,25.641,,,,
1412,08/13/2024 02:40:00,25.652,,,,
1413,08/13/2024 02:50:00,25.630,,,,
1414,08/13/2024 03:00:00,25.630,,,,
1415,08/13/2024 03:10:00,25.609,,,,
1416,08/13/2024 03:20:00,25.598,,,,
1417,08/13/2024 03:30:00,25.609,,,,
1418,08/13/2024 03:40:00,25.566,,,,
1419,08/13/2024 03:50:00,25.555,,,,
1420,08/13/2024 04:00:00,25.534,,,,
1421,08/13/2024 04:10:00,25.555,,,,
1422,08/13/2024 04:20:00,25.512,,,,
1423,08/13/2024 04:30:00,25.502,,,,
1424,08/13/2024 04:40:00,25.480,,,,
1425,08/13/2024 04:50:00,25.480,,,,
1426,08/13/2024 05:00:00,25.469,,,,
1427,08/13/2024 05:10:00,25.459,,,,
1428,08/13/2024 05:20:00,25.491,,,,
1429,08/13/2024 05:30:00,25.469,,,,
1430,08/13/2024 05:40:00,25.480,,,,
1431,08/13/2024 05:50:00,25.469,,,,
1432,08/13/2024 06:00:00,25.448,,,,
1433,08/13/2024 06:10:00,25.459,,,,
1434,08/13/2024 06:20:00,25.426,,,,
1435,08/13/2024 06:30:00,25.426,,,,
1436,08/13/2024 06:40:00,25.384,,,,
1437,08/13/2024 06:50:00,25.426,,,,
1438,08/13/2024 07:00:00,25.426,,,,
1439,08/13/2024 07:10:00,25.426,,,,
1440,08/13/2024 07:20:00,25.459,,,,
1441,08/13/2024 07:30:00,25.469,,,,
1442,08/13/2024 07:40:00,25.502,,,,
1443,08/13/2024 07:50:00,25.534,,,,
1444,08/13/2024 08:00:00,25.544,,,,
1445,08/13/2024 08:10:00,25.566,,,,
1446,08/13/2024 08:20:00,25.577,,,,
1447,08/13/2024 08:30:00,25.630,,,,
1448,08/13/2024 08:40:00,25.705,,,,
1449,08/13/2024 08:50:00,25.727,,,,
1450,08/13/2024 09:00:00,25.770,,,,
1451,08/13/2024 09:10:00,25.823,,,,
1452,08/13/2024 09:20:00,25.952,,,,
1453,08/13/2024 09:30:00,26.048,,,,
1454,08/13/2024 09:40:00,26.124,,,,
1455,08/13/2024 09:50:00,26.113,,,,
1456,08/13/2024 10:00:00,26.295,,,,
1457,08/13/2024 10:10:00,26.585,,,,
1458,08/13/2024 10:20:00,26.756,,,,
1459,08/13/2024 10:30:00,26.896,,,,
1460,08/13/2024 10:40:00,27.024,,,,
1461,08/13/2024 10:50:00,27.196,,,,
1462,08/13/2024 11:00:00,27.368,,,,
1463,08/13/2024 11:10:00,27.550,,,,
1464,08/13/2024 11:20:00,27.850,,,,
1465,08/13/2024 11:30:00,28.022,,,,
1466,08/13/2024 11:40:00,28.236,,,,
1467,08/13/2024 11:50:00,28.344,,,,
1468,08/13/2024 12:00:00,28.365,,,,
1469,08/13/2024 12:10:00,28.462,,,,
1470,08/13/2024 12:20:00,28.590,,,,
1471,08/13/2024 12:30:00,28.740,,,,
1472,08/13/2024 12:40:00,28.816,,,,
1473,08/13/2024 12:50:00,28.966,,,,
1474,08/13/2024 13:00:00,29.052,,,,
1475,08/13/2024 13:10:00,29.202,,,,
1476,08/13/2024 13:20:00,29.287,,,,
1477,08/13/2024 13:30:00,29.395,,,,
1478,08/13/2024 13:40:00,29.459,,,,
1479,08/13/2024 13:50:00,29.566,,,,
1480,08/13/2024 14:00:00,29.641,,,,
1481,08/13/2024 14:10:00,29.792,,,,
1482,08/13/2024 14:20:00,29.931,,,,
1483,08/13/2024 14:30:00,30.081,,,,
1484,08/13/2024 14:40:00,30.221,,,,
1485,08/13/2024 14:50:00,30.328,,,,
1486,08/13/2024 15:00:00,30.457,,,,
1487,08/13/2024 15:10:00,30.553,,,,
1488,08/13/2024 15:20:00,30.617,,,,
1489,08/13/2024 15:30:00,30.692,,,,
1490,08/13/2024 15:40:00,30.735,,,,
1491,08/13/2024 15:50:00,30.746,,,,
1492,08/13/2024 16:00:00,30.746,,,,
1493,08/13/2024 16:10:00,30.714,,,,
1494,08/13/2024 16:20:00,30.671,,,,
1495,08/13/2024 16:30:00,30.617,,,,
1496,08/13/2024 16:40:00,30.532,,,,
1497,08/13/2024 16:50:00,30.446,,,,
1498,08/13/2024 17:00:00,30.403,,,,
1499,08/13/2024 17:10:00,30.328,,,,
1500,08/13/2024 17:20:00,30.263,,,,
1501,08/13/2024 17:30:00,30.221,,,,
1502,08/13/2024 17:40:00,30.092,,,,
1503,08/13/2024 17:50:00,29.974,,,,
1504,08/13/2024 18:00:00,29.792,,,,
1505,08/13/2024 18:10:00,29.674,,,,
1506,08/13/2024 18:20:00,29.556,,,,
1507,08/13/2024 18:30:00,29.448,,,,
1508,08/13/2024 18:40:00,29.320,,,,
1509,08/13/2024 18:50:00,29.191,,,,
1510,08/13/2024 19:00:00,29.094,,,,
1511,08/13/2024 19:10:00,28.998,,,,
1512,08/13/2024 19:20:00,28.901,,,,
1513,08/13/2024 19:30:00,28.805,,,,
1514,08/13/2024 19:40:00,28.665,,,,
1515,08/13/2024 19:50:00,28.590,,,,
1516,08/13/2024 20:00:00,28.494,,,,
1517,08/13/2024 20:10:00,28.397,,,,
1518,08/13/2024 20:20:00,28.311,,,,
1519,08/13/2024 20:30:00,28.226,,,,
1520,08/13/2024 20:40:00,28.140,,,,
1521,08/13/2024 20:50:00,28.054,,,,
1522,08/13/2024 21:00:00,27.979,,,,
1523,08/13/2024 21:10:00,27.893,,,,
1524,08/13/2024 21:20:00,27.882,,,,
1525,08/13/2024 21:30:00,27.775,,,,
1526,08/13/2024 21:40:00,27.711,,,,
1527,08/13/2024 21:50:00,27.647,,,,
1528,08/13/2024 22:00:00,27.593,,,,
1529,08/13/2024 22:10:00,27.529,,,,
1530,08/13/2024 22:20:00,27.453,,,,
1531,08/13/2024 22:30:00,27.411,,,,
1532,08/13/2024 22:40:00,27.357,,,,
1533,08/13/2024 22:50:00,27.303,,,,
1534,08/13/2024 23:00:00,27.228,,,,
1535,08/13/2024 23:10:00,27.175,,,,
1536,08/13/2024 23:20:00,27.089,,,,
1537,08/13/2024 23:30:00,27.057,,,,
1538,08/13/2024 23:40:00,27.024,,,,
1539,08/13/2024 23:50:00,26.949,,,,
1540,08/14/2024 00:00:00,26.896,,,,
1541,08/14/2024 00:10:00,26.831,,,,
1542,08/14/2024 00:20:00,26.767,,,,
1543,08/14/2024 00:30:00,26.692,,,,
1544,08/14/2024 00:40:00,26.638,,,,
1545,08/14/2024 00:50:00,26.595,,,,
1546,08/14/2024 01:00:00,26.520,,,,
1547,08/14/2024 01:10:00,26.467,,,,
1548,08/14/2024 01:20:00,26.392,,,,
1549,08/14/2024 01:30:00,26.360,,,,
1550,08/14/2024 01:40:00,26.317,,,,
1551,08/14/2024 01:50:00,26.274,,,,
1552,08/14/2024 02:00:00,26.252,,,,
1553,08/14/2024 02:10:00,26.188,,,,
1554,08/14/2024 02:20:00,26.145,,,,
1555,08/14/2024 02:30:00,26.102,,,,
1556,08/14/2024 02:40:00,26.059,,,,
1557,08/14/2024 02:50:00,26.016,,,,
1558,08/14/2024 03:00:00,25.952,,,,
1559,08/14/2024 03:10:00,25.888,,,,
1560,08/14/2024 03:20:00,25.888,,,,
1561,08/14/2024 03:30:00,25.866,,,,
1562,08/14/2024 03:40:00,25.834,,,,
1563,08/14/2024 03:50:00,25.813,,,,
1564,08/14/2024 04:00:00,25.813,,,,
1565,08/14/2024 04:10:00,25.770,,,,
1566,08/14/2024 04:20:00,25.716,,,,
1567,08/14/2024 04:30:00,25.705,,,,
1568,08/14/2024 04:40:00,25.673,,,,
1569,08/14/2024 04:50:00,25.662,,,,
1570,08/14/2024 05:00:00,25.630,,,,
1571,08/14/2024 05:10:00,25.587,,,,
1572,08/14/2024 05:20:00,25.566,,,,
1573,08/14/2024 05:30:00,25.566,,,,
1574,08/14/2024 05:40:00,25.555,,,,
1575,08/14/2024 05:50:00,25.534,,,,
1576,08/14/2024 06:00:00,25.544,,,,
1577,08/14/2024 06:10:00,25.534,,,,
1578,08/14/2024 06:20:00,25.512,,,,
1579,08/14/2024 06:30:00,25.502,,,,
1580,08/14/2024 06:40:00,25.512,,,,
1581,08/14/2024 06:50:00,25.502,,,,
1582,08/14/2024 07:00:00,25.502,,,,
1583,08/14/2024 07:10:00,25.502,,,,
1584,08/14/2024 07:20:00,25.502,,,,
1585,08/14/2024 07:30:00,25.523,,,,
1586,08/14/2024 07:40:00,25.555,,,,
1587,08/14/2024 07:50:00,25.598,,,,
1588,08/14/2024 08:00:00,25.619,,,,
1589,08/14/2024 08:10:00,25.705,,,,
1590,08/14/2024 08:20:00,25.759,,,,
1591,08/14/2024 08:30:00,25.770,,,,
1592,08/14/2024 08:40:00,25.866,,,,
1593,08/14/2024 08:50:00,25.963,,,,
1594,08/14/2024 09:00:00,26.006,,,,
1595,08/14/2024 09:10:00,26.059,,,,
1596,08/14/2024 09:20:00,26.220,,,,
1597,08/14/2024 09:30:00,26.306,,,,
1598,08/14/2024 09:40:00,26.327,,,,
1599,08/14/2024 09:50:00,26.381,,,,
