#,Date-Time (U.S. Outlying Islands Standard Time),Temperature   (°C),Button Down,Button Up,Host Connected,End of File
1,07/25/2024 09:00:00,26.724,,,,
2,07/25/2024 09:10:00,26.381,,,,
3,07/25/2024 09:20:00,26.199,,,,
4,07/25/2024 09:30:00,26.102,,,,
5,07/25/2024 09:40:00,25.952,,,,
6,07/25/2024 09:50:00,27.700,,,,
7,07/25/2024 10:00:00,28.204,,,,
8,07/25/2024 10:10:00,28.344,,,,
9,07/25/2024 10:20:00,28.665,,,,
10,07/25/2024 10:30:00,28.976,,,,
11,07/25/2024 10:40:00,29.609,,,,
12,07/25/2024 10:50:00,29.824,,,,
13,07/25/2024 11:00:00,30.081,,,,
14,07/25/2024 11:10:00,29.845,,,,
15,07/25/2024 11:20:00,30.070,,,,
16,07/25/2024 11:30:00,30.414,,,,
17,07/25/2024 11:40:00,30.918,,,,
18,07/25/2024 11:50:00,31.111,,,,
19,07/25/2024 12:00:00,31.368,,,,
20,07/25/2024 12:10:00,31.593,,,,
21,07/25/2024 12:20:00,31.711,,,,
22,07/25/2024 12:30:00,31.701,,,,
23,07/25/2024 12:40:00,32.033,,,,
24,07/25/2024 12:50:00,32.248,,,,
25,07/25/2024 13:00:00,32.430,,,,
26,07/25/2024 13:10:00,32.419,,,,
27,07/25/2024 13:20:00,32.655,,,,
28,07/25/2024 13:30:00,32.430,,,,
29,07/25/2024 13:40:00,32.183,,,,
30,07/25/2024 13:50:00,32.097,,,,
31,07/25/2024 14:00:00,31.872,,,,
32,07/25/2024 14:10:00,31.786,,,,
33,07/25/2024 14:20:00,31.765,,,,
34,07/25/2024 14:30:00,31.711,,,,
35,07/25/2024 14:40:00,31.636,,,,
36,07/25/2024 14:50:00,31.529,,,,
37,07/25/2024 15:00:00,31.443,,,,
38,07/25/2024 15:10:00,31.357,,,,
39,07/25/2024 15:20:00,31.111,,,,
40,07/25/2024 15:30:00,30.757,,,,
41,07/25/2024 15:40:00,31.100,,,,
42,07/25/2024 15:50:00,31.304,,,,
43,07/25/2024 16:00:00,31.186,,,,
44,07/25/2024 16:10:00,31.207,,,,
45,07/25/2024 16:20:00,31.175,,,,
46,07/25/2024 16:30:00,31.121,,,,
47,07/25/2024 16:40:00,31.014,,,,
48,07/25/2024 16:50:00,30.939,,,,
49,07/25/2024 17:00:00,30.853,,,,
50,07/25/2024 17:10:00,30.832,,,,
51,07/25/2024 17:20:00,30.768,,,,
52,07/25/2024 17:30:00,30.725,,,,
53,07/25/2024 17:40:00,30.639,,,,
54,07/25/2024 17:50:00,30.521,,,,
55,07/25/2024 18:00:00,30.457,,,,
56,07/25/2024 18:10:00,30.414,,,,
57,07/25/2024 18:20:00,30.328,,,,
58,07/25/2024 18:30:00,30.274,,,,
59,07/25/2024 18:40:00,30.210,,,,
60,07/25/2024 18:50:00,30.113,,,,
61,07/25/2024 19:00:00,30.028,,,,
62,07/25/2024 19:10:00,29.963,,,,
63,07/25/2024 19:20:00,29.867,,,,
64,07/25/2024 19:30:00,29.770,,,,
65,07/25/2024 19:40:00,29.674,,,,
66,07/25/2024 19:50:00,29.566,,,,
67,07/25/2024 20:00:00,29.448,,,,
68,07/25/2024 20:10:00,29.341,,,,
69,07/25/2024 20:20:00,29.212,,,,
70,07/25/2024 20:30:00,29.116,,,,
71,07/25/2024 20:40:00,29.009,,,,
72,07/25/2024 20:50:00,28.901,,,,
73,07/25/2024 21:00:00,28.783,,,,
74,07/25/2024 21:10:00,28.676,,,,
75,07/25/2024 21:20:00,28.590,,,,
76,07/25/2024 21:30:00,28.472,,,,
77,07/25/2024 21:40:00,28.365,,,,
78,07/25/2024 21:50:00,28.290,,,,
79,07/25/2024 22:00:00,28.183,,,,
80,07/25/2024 22:10:00,28.097,,,,
81,07/25/2024 22:20:00,28.011,,,,
82,07/25/2024 22:30:00,27.936,,,,
83,07/25/2024 22:40:00,27.840,,,,
84,07/25/2024 22:50:00,27.797,,,,
85,07/25/2024 23:00:00,27.711,,,,
86,07/25/2024 23:10:00,27.625,,,,
87,07/25/2024 23:20:00,27.571,,,,
88,07/25/2024 23:30:00,27.496,,,,
89,07/25/2024 23:40:00,27.453,,,,
90,07/25/2024 23:50:00,27.357,,,,
91,07/26/2024 00:00:00,27.325,,,,
92,07/26/2024 00:10:00,27.250,,,,
93,07/26/2024 00:20:00,27.196,,,,
94,07/26/2024 00:30:00,27.142,,,,
95,07/26/2024 00:40:00,27.089,,,,
96,07/26/2024 00:50:00,27.035,,,,
97,07/26/2024 01:00:00,26.992,,,,
98,07/26/2024 01:10:00,26.939,,,,
99,07/26/2024 01:20:00,26.896,,,,
100,07/26/2024 01:30:00,26.842,,,,
101,07/26/2024 01:40:00,26.789,,,,
102,07/26/2024 01:50:00,26.756,,,,
103,07/26/2024 02:00:00,26.660,,,,
104,07/26/2024 02:10:00,26.638,,,,
105,07/26/2024 02:20:00,26.595,,,,
106,07/26/2024 02:30:00,26.542,,,,
107,07/26/2024 02:40:00,26.531,,,,
108,07/26/2024 02:50:00,26.445,,,,
109,07/26/2024 03:00:00,26.413,,,,
110,07/26/2024 03:10:00,26.349,,,,
111,07/26/2024 03:20:00,26.295,,,,
112,07/26/2024 03:30:00,26.242,,,,
113,07/26/2024 03:40:00,26.177,,,,
114,07/26/2024 03:50:00,26.166,,,,
115,07/26/2024 04:00:00,26.156,,,,
116,07/26/2024 04:10:00,26.113,,,,
117,07/26/2024 04:20:00,26.038,,,,
118,07/26/2024 04:30:00,26.016,,,,
119,07/26/2024 04:40:00,25.973,,,,
120,07/26/2024 04:50:00,25.941,,,,
121,07/26/2024 05:00:00,25.909,,,,
122,07/26/2024 05:10:00,25.866,,,,
123,07/26/2024 05:20:00,25.823,,,,
124,07/26/2024 05:30:00,25.802,,,,
125,07/26/2024 05:40:00,25.780,,,,
126,07/26/2024 05:50:00,25.748,,,,
127,07/26/2024 06:00:00,25.695,,,,
128,07/26/2024 06:10:00,25.684,,,,
129,07/26/2024 06:20:00,25.662,,,,
130,07/26/2024 06:30:00,25.652,,,,
131,07/26/2024 06:40:00,25.619,,,,
132,07/26/2024 06:50:00,25.587,,,,
133,07/26/2024 07:00:00,25.566,,,,
134,07/26/2024 07:10:00,25.566,,,,
135,07/26/2024 07:20:00,25.555,,,,
136,07/26/2024 07:30:00,25.566,,,,
137,07/26/2024 07:40:00,25.544,,,,
138,07/26/2024 07:50:00,25.598,,,,
139,07/26/2024 08:00:00,25.619,,,,
140,07/26/2024 08:10:00,25.630,,,,
141,07/26/2024 08:20:00,25.684,,,,
142,07/26/2024 08:30:00,25.898,,,,
143,07/26/2024 08:40:00,25.855,,,,
144,07/26/2024 08:50:00,25.888,,,,
145,07/26/2024 09:00:00,26.016,,,,
146,07/26/2024 09:10:00,26.274,,,,
147,07/26/2024 09:20:00,26.274,,,,
148,07/26/2024 09:30:00,26.209,,,,
149,07/26/2024 09:40:00,26.381,,,,
150,07/26/2024 09:50:00,26.360,,,,
151,07/26/2024 10:00:00,26.424,,,,
152,07/26/2024 10:10:00,26.531,,,,
153,07/26/2024 10:20:00,26.606,,,,
154,07/26/2024 10:30:00,26.778,,,,
155,07/26/2024 10:40:00,26.917,,,,
156,07/26/2024 10:50:00,27.057,,,,
157,07/26/2024 11:00:00,27.218,,,,
158,07/26/2024 11:10:00,27.368,,,,
159,07/26/2024 11:20:00,27.518,,,,
160,07/26/2024 11:30:00,27.689,,,,
161,07/26/2024 11:40:00,27.829,,,,
162,07/26/2024 11:50:00,27.958,,,,
163,07/26/2024 12:00:00,28.022,,,,
164,07/26/2024 12:10:00,28.140,,,,
165,07/26/2024 12:20:00,28.194,,,,
166,07/26/2024 12:30:00,28.290,,,,
167,07/26/2024 12:40:00,28.365,,,,
168,07/26/2024 12:50:00,28.462,,,,
169,07/26/2024 13:00:00,28.537,,,,
170,07/26/2024 13:10:00,28.590,,,,
171,07/26/2024 13:20:00,28.665,,,,
172,07/26/2024 13:30:00,28.751,,,,
173,07/26/2024 13:40:00,28.805,,,,
174,07/26/2024 13:50:00,29.084,,,,
175,07/26/2024 14:00:00,29.212,,,,
176,07/26/2024 14:10:00,29.266,,,,
177,07/26/2024 14:20:00,29.341,,,,
178,07/26/2024 14:30:00,29.427,,,,
179,07/26/2024 14:40:00,29.491,,,,
180,07/26/2024 14:50:00,29.899,,,,
181,07/26/2024 15:00:00,30.135,,,,
182,07/26/2024 15:10:00,30.285,,,,
183,07/26/2024 15:20:00,30.328,,,,
184,07/26/2024 15:30:00,30.499,,,,
185,07/26/2024 15:40:00,30.864,,,,
186,07/26/2024 15:50:00,30.843,,,,
187,07/26/2024 16:00:00,30.328,,,,
188,07/26/2024 16:10:00,30.317,,,,
189,07/26/2024 16:20:00,30.381,,,,
190,07/26/2024 16:30:00,30.371,,,,
191,07/26/2024 16:40:00,30.371,,,,
192,07/26/2024 16:50:00,30.178,,,,
193,07/26/2024 17:00:00,29.974,,,,
194,07/26/2024 17:10:00,29.695,,,,
195,07/26/2024 17:20:00,29.556,,,,
196,07/26/2024 17:30:00,29.459,,,,
197,07/26/2024 17:40:00,29.320,,,,
198,07/26/2024 17:50:00,29.234,,,,
199,07/26/2024 18:00:00,29.062,,,,
200,07/26/2024 18:10:00,28.955,,,,
201,07/26/2024 18:20:00,28.816,,,,
202,07/26/2024 18:30:00,28.740,,,,
203,07/26/2024 18:40:00,28.601,,,,
204,07/26/2024 18:50:00,28.505,,,,
205,07/26/2024 19:00:00,28.397,,,,
206,07/26/2024 19:10:00,28.301,,,,
207,07/26/2024 19:20:00,28.226,,,,
208,07/26/2024 19:30:00,28.194,,,,
209,07/26/2024 19:40:00,28.086,,,,
210,07/26/2024 19:50:00,27.979,,,,
211,07/26/2024 20:00:00,27.904,,,,
212,07/26/2024 20:10:00,27.807,,,,
213,07/26/2024 20:20:00,27.711,,,,
214,07/26/2024 20:30:00,27.625,,,,
215,07/26/2024 20:40:00,27.550,,,,
216,07/26/2024 20:50:00,27.507,,,,
217,07/26/2024 21:00:00,27.400,,,,
218,07/26/2024 21:10:00,27.336,,,,
219,07/26/2024 21:20:00,27.260,,,,
220,07/26/2024 21:30:00,27.218,,,,
221,07/26/2024 21:40:00,27.142,,,,
222,07/26/2024 21:50:00,27.100,,,,
223,07/26/2024 22:00:00,27.024,,,,
224,07/26/2024 22:10:00,26.939,,,,
225,07/26/2024 22:20:00,26.874,,,,
226,07/26/2024 22:30:00,26.821,,,,
227,07/26/2024 22:40:00,26.767,,,,
228,07/26/2024 22:50:00,26.735,,,,
229,07/26/2024 23:00:00,26.681,,,,
230,07/26/2024 23:10:00,26.660,,,,
231,07/26/2024 23:20:00,26.595,,,,
232,07/26/2024 23:30:00,26.585,,,,
233,07/26/2024 23:40:00,26.563,,,,
234,07/26/2024 23:50:00,26.467,,,,
235,07/27/2024 00:00:00,26.402,,,,
236,07/27/2024 00:10:00,26.338,,,,
237,07/27/2024 00:20:00,26.284,,,,
238,07/27/2024 00:30:00,26.242,,,,
239,07/27/2024 00:40:00,26.220,,,,
240,07/27/2024 00:50:00,26.177,,,,
241,07/27/2024 01:00:00,26.070,,,,
242,07/27/2024 01:10:00,25.866,,,,
243,07/27/2024 01:20:00,25.759,,,,
244,07/27/2024 01:30:00,25.641,,,,
245,07/27/2024 01:40:00,25.566,,,,
246,07/27/2024 01:50:00,25.491,,,,
