#,Date-Time (U.S. Outlying Islands Standard Time),Temperature   (°C),Host Connected,End of File
1,08/03/2024 08:00:00,23.861,,
2,08/03/2024 08:10:00,23.850,,
3,08/03/2024 08:20:00,23.861,,
4,08/03/2024 08:30:00,23.882,,
5,08/03/2024 08:40:00,23.936,,
6,08/03/2024 08:50:00,23.979,,
7,08/03/2024 09:00:00,24.064,,
8,08/03/2024 09:10:00,24.032,,
9,08/03/2024 09:20:00,24.118,,
10,08/03/2024 09:30:00,24.247,,
11,08/03/2024 09:40:00,24.268,,
12,08/03/2024 09:50:00,24.279,,
13,08/03/2024 10:00:00,24.322,,
14,08/03/2024 10:10:00,24.515,,
15,08/03/2024 10:20:00,24.590,,
16,08/03/2024 10:30:00,24.976,,
17,08/03/2024 10:40:00,25.148,,
18,08/03/2024 10:50:00,25.298,,
19,08/03/2024 11:00:00,25.469,,
20,08/03/2024 11:10:00,25.555,,
21,08/03/2024 11:20:00,25.759,,
22,08/03/2024 11:30:00,25.834,,
23,08/03/2024 11:40:00,25.952,,
24,08/03/2024 11:50:00,26.134,,
25,08/03/2024 12:00:00,26.263,,
26,08/03/2024 12:10:00,26.381,,
27,08/03/2024 12:20:00,26.574,,
28,08/03/2024 12:30:00,26.713,,
29,08/03/2024 12:40:00,26.810,,
30,08/03/2024 12:50:00,26.864,,
31,08/03/2024 13:00:00,27.142,,
32,08/03/2024 13:10:00,27.303,,
33,08/03/2024 13:20:00,27.121,,
34,08/03/2024 13:30:00,27.378,,
35,08/03/2024 13:40:00,27.486,,
36,08/03/2024 13:50:00,27.432,,
37,08/03/2024 14:00:00,27.539,,
38,08/03/2024 14:10:00,27.668,,
39,08/03/2024 14:20:00,27.518,,
40,08/03/2024 14:30:00,27.679,,
41,08/03/2024 14:40:00,27.765,,
42,08/03/2024 14:50:00,27.915,,
43,08/03/2024 15:00:00,28.000,,
44,08/03/2024 15:10:00,27.979,,
45,08/03/2024 15:20:00,28.065,,
46,08/03/2024 15:30:00,28.065,,
47,08/03/2024 15:40:00,28.161,,
48,08/03/2024 15:50:00,28.140,,
49,08/03/2024 16:00:00,28.076,,
50,08/03/2024 16:10:00,28.043,,
51,08/03/2024 16:20:00,28.000,,
52,08/03/2024 16:30:00,27.947,,
53,08/03/2024 16:40:00,27.904,,
54,08/03/2024 16:50:00,27.861,,
