#,Date-Time (U.S. Outlying Islands Standard Time),Temperature   (°C),Host Connected,Stopped,End of File
1,08/03/2024 08:00:00,23.592,,,
2,08/03/2024 08:10:00,23.582,,,
3,08/03/2024 08:20:00,23.614,,,
4,08/03/2024 08:30:00,23.657,,,
5,08/03/2024 08:40:00,23.710,,,
6,08/03/2024 08:50:00,23.743,,,
7,08/03/2024 09:00:00,23.753,,,
8,08/03/2024 09:10:00,23.839,,,
9,08/03/2024 09:20:00,23.893,,,
10,08/03/2024 09:30:00,23.968,,,
11,08/03/2024 09:40:00,24.075,,,
12,08/03/2024 09:50:00,24.064,,,
13,08/03/2024 10:00:00,24.172,,,
14,08/03/2024 10:10:00,24.375,,,
15,08/03/2024 10:20:00,24.429,,,
16,08/03/2024 10:30:00,24.697,,,
17,08/03/2024 10:40:00,24.847,,,
18,08/03/2024 10:50:00,24.933,,,
19,08/03/2024 11:00:00,25.062,,,
20,08/03/2024 11:10:00,25.148,,,
21,08/03/2024 11:20:00,25.276,,,
22,08/03/2024 11:30:00,25.351,,,
23,08/03/2024 11:40:00,25.480,,,
24,08/03/2024 11:50:00,25.609,,,
25,08/03/2024 12:00:00,25.737,,,
26,08/03/2024 12:10:00,25.823,,,
27,08/03/2024 12:20:00,25.909,,,
28,08/03/2024 12:30:00,25.995,,,
29,08/03/2024 12:40:00,26.124,,,
30,08/03/2024 12:50:00,26.284,,,
31,08/03/2024 13:00:00,26.563,,,
32,08/03/2024 13:10:00,26.767,,,
33,08/03/2024 13:20:00,26.628,,,
34,08/03/2024 13:30:00,26.767,,,
35,08/03/2024 13:40:00,26.896,,,
36,08/03/2024 13:50:00,26.928,,,
37,08/03/2024 14:00:00,27.110,,,
38,08/03/2024 14:10:00,27.368,,,
39,08/03/2024 14:20:00,27.164,,,
40,08/03/2024 14:30:00,27.443,,,
41,08/03/2024 14:40:00,27.604,,,
42,08/03/2024 14:50:00,27.754,,,
43,08/03/2024 15:00:00,27.882,,,
44,08/03/2024 15:10:00,27.775,,,
45,08/03/2024 15:20:00,27.850,,,
46,08/03/2024 15:30:00,27.872,,,
47,08/03/2024 15:40:00,28.043,,,
48,08/03/2024 15:50:00,28.076,,,
49,08/03/2024 16:00:00,28.043,,,
50,08/03/2024 16:10:00,28.022,,,
51,08/03/2024 16:20:00,28.000,,,
52,08/03/2024 16:30:00,27.968,,,
53,08/03/2024 16:40:00,27.947,,,
54,08/03/2024 16:50:00,27.904,,,
55,08/03/2024 17:00:00,27.882,,,
56,08/03/2024 17:10:00,27.893,,,
57,08/03/2024 17:20:00,27.861,,,
58,08/03/2024 17:30:00,27.818,,,
59,08/03/2024 17:40:00,27.786,,,
60,08/03/2024 17:50:00,27.765,,,
61,08/03/2024 18:00:00,27.732,,,
62,08/03/2024 18:10:00,27.711,,,
63,08/03/2024 18:20:00,27.636,,,
64,08/03/2024 18:30:00,27.604,,,
65,08/03/2024 18:40:00,27.539,,,
66,08/03/2024 18:50:00,27.475,,,
67,08/03/2024 19:00:00,27.421,,,
68,08/03/2024 19:10:00,27.325,,,
69,08/03/2024 19:20:00,27.260,,,
