#,Date-Time (U.S. Outlying Islands Standard Time),Temperature   (°C),Host Connected,End of File
1243,08/03/2024 00:00:00,25.748,,,,
1244,08/03/2024 00:10:00,25.705,,,,
1245,08/03/2024 00:20:00,25.619,,,,
1246,08/03/2024 00:30:00,25.534,,,,
1247,08/03/2024 00:40:00,25.491,,,,
1248,08/03/2024 00:50:00,25.437,,,,
1249,08/03/2024 01:00:00,25.394,,,,
1250,08/03/2024 01:10:00,25.298,,,,
1251,08/03/2024 01:20:00,25.233,,,,
1252,08/03/2024 01:30:00,25.169,,,,
1253,08/03/2024 01:40:00,25.105,,,,
1254,08/03/2024 01:50:00,25.051,,,,
1255,08/03/2024 02:00:00,25.040,,,,
1256,08/03/2024 02:10:00,24.987,,,,
1257,08/03/2024 02:20:00,24.955,,,,
1258,08/03/2024 02:30:00,24.890,,,,
1259,08/03/2024 02:40:00,24.826,,,,
1260,08/03/2024 02:50:00,24.804,,,,
1261,08/03/2024 03:00:00,24.719,,,,
1262,08/03/2024 03:10:00,24.665,,,,
1263,08/03/2024 03:20:00,24.601,,,,
1264,08/03/2024 03:30:00,24.547,,,,
1265,08/03/2024 03:40:00,24.515,,,,
1266,08/03/2024 03:50:00,24.472,,,,
1267,08/03/2024 04:00:00,24.440,,,,
1268,08/03/2024 04:10:00,24.375,,,,
1269,08/03/2024 04:20:00,24.322,,,,
1270,08/03/2024 04:30:00,24.290,,,,
1271,08/03/2024 04:40:00,24.214,,,,
1272,08/03/2024 04:50:00,24.172,,,,
1273,08/03/2024 05:00:00,24.118,,,,
1274,08/03/2024 05:10:00,24.086,,,,
1275,08/03/2024 05:20:00,24.021,,,,
1276,08/03/2024 05:30:00,23.968,,,,
1277,08/03/2024 05:40:00,23.936,,,,
1278,08/03/2024 05:50:00,23.903,,,,
1279,08/03/2024 06:00:00,23.850,,,,
1280,08/03/2024 06:10:00,23.818,,,,
1281,08/03/2024 06:20:00,23.764,,,,
1282,08/03/2024 06:30:00,23.764,,,,
1283,08/03/2024 06:40:00,23.743,,,,
1284,08/03/2024 06:50:00,23.710,,,,
1285,08/03/2024 07:00:00,23.689,,,,
1286,08/03/2024 07:10:00,23.700,,,,
1287,08/03/2024 07:20:00,23.689,,,,
1288,08/03/2024 07:30:00,23.635,,,,
1289,08/03/2024 07:40:00,23.668,,,,
1290,08/03/2024 07:50:00,23.732,,,,
1291,08/03/2024 08:00:00,23.689,,,,
1292,08/03/2024 08:10:00,23.689,,,,
1293,08/03/2024 08:20:00,23.700,,,,
1294,08/03/2024 08:30:00,23.721,,,,
1295,08/03/2024 08:40:00,23.764,,,,
1296,08/03/2024 08:50:00,23.807,,,,
1297,08/03/2024 09:00:00,23.861,,,,
1298,08/03/2024 09:10:00,23.914,,,,
1299,08/03/2024 09:20:00,23.957,,,,
1300,08/03/2024 09:30:00,24.000,,,,
1301,08/03/2024 09:40:00,24.086,,,,
1302,08/03/2024 09:50:00,24.097,,,,
1303,08/03/2024 10:00:00,24.150,,,,
1304,08/03/2024 10:10:00,24.214,,,,
1305,08/03/2024 10:20:00,24.247,,,,
1306,08/03/2024 10:30:00,24.429,,,,
1307,08/03/2024 10:40:00,24.526,,,,
1308,08/03/2024 10:50:00,24.644,,,,
1309,08/03/2024 11:00:00,24.761,,,,
1310,08/03/2024 11:10:00,24.826,,,,
1311,08/03/2024 11:20:00,24.955,,,,
1312,08/03/2024 11:30:00,25.030,,,,
1313,08/03/2024 11:40:00,25.094,,,,
1314,08/03/2024 11:50:00,25.233,,,,
1315,08/03/2024 12:00:00,25.319,,,,
1316,08/03/2024 12:10:00,25.394,,,,
1317,08/03/2024 12:20:00,25.480,,,,
1326,08/03/2024 12:30:00,25.630,,,,
1,08/03/2024 13:00:00,25.941,,
2,08/03/2024 13:10:00,26.048,,
3,08/03/2024 13:20:00,26.016,,
4,08/03/2024 13:30:00,26.177,,
5,08/03/2024 13:40:00,26.317,,
6,08/03/2024 13:50:00,26.274,,
7,08/03/2024 14:00:00,26.413,,
8,08/03/2024 14:10:00,26.542,,
9,08/03/2024 14:20:00,26.435,,
10,08/03/2024 14:30:00,26.574,,
11,08/03/2024 14:40:00,26.692,,
12,08/03/2024 14:50:00,26.778,,
13,08/03/2024 15:00:00,26.874,,
14,08/03/2024 15:10:00,26.896,,
15,08/03/2024 15:20:00,26.949,,
16,08/03/2024 15:30:00,26.949,,
17,08/03/2024 15:40:00,27.078,,
18,08/03/2024 15:50:00,27.142,,
19,08/03/2024 16:00:00,27.196,,
20,08/03/2024 16:10:00,27.153,,
21,08/03/2024 16:20:00,27.175,,
22,08/03/2024 16:30:00,27.142,,
23,08/03/2024 16:40:00,27.121,,
24,08/03/2024 16:50:00,27.110,,
25,08/03/2024 17:00:00,27.121,,
26,08/03/2024 17:10:00,27.142,,
27,08/03/2024 17:20:00,27.153,,
28,08/03/2024 17:30:00,27.142,,
29,08/03/2024 17:40:00,27.121,,
30,08/03/2024 17:50:00,27.100,,
31,08/03/2024 18:00:00,27.057,,
32,08/03/2024 18:10:00,27.035,,
33,08/03/2024 18:20:00,27.003,,
34,08/03/2024 18:30:00,26.971,,
35,08/03/2024 18:40:00,26.917,,
36,08/03/2024 18:50:00,26.885,,
37,08/03/2024 19:00:00,26.799,,
38,08/03/2024 19:10:00,26.724,,
39,08/03/2024 19:20:00,26.681,,
40,08/03/2024 19:30:00,26.628,,
41,08/03/2024 19:40:00,26.574,,
42,08/03/2024 19:50:00,26.520,,
43,08/03/2024 20:00:00,26.456,,
44,08/03/2024 20:10:00,26.402,,
45,08/03/2024 20:20:00,26.392,,
46,08/03/2024 20:30:00,26.327,,
47,08/03/2024 20:40:00,26.274,,
48,08/03/2024 20:50:00,26.242,,
49,08/03/2024 21:00:00,26.188,,
50,08/03/2024 21:10:00,26.156,,
51,08/03/2024 21:20:00,26.124,,
52,08/03/2024 21:30:00,26.070,,
53,08/03/2024 21:40:00,26.038,,
54,08/03/2024 21:50:00,26.006,,
55,08/03/2024 22:00:00,25.941,,
56,08/03/2024 22:10:00,25.920,,
57,08/03/2024 22:20:00,25.888,,
58,08/03/2024 22:30:00,25.855,,
59,08/03/2024 22:40:00,25.791,,
60,08/03/2024 22:50:00,25.780,,
61,08/03/2024 23:00:00,25.748,,
62,08/03/2024 23:10:00,25.705,,
63,08/03/2024 23:20:00,25.684,,
64,08/03/2024 23:30:00,25.641,,
65,08/03/2024 23:40:00,25.598,,
66,08/03/2024 23:50:00,25.566,,
67,08/04/2024 00:00:00,25.534,,
68,08/04/2024 00:10:00,25.512,,
69,08/04/2024 00:20:00,25.480,,
70,08/04/2024 00:30:00,25.437,,
71,08/04/2024 00:40:00,25.448,,
72,08/04/2024 00:50:00,25.384,,
73,08/04/2024 01:00:00,25.362,,
74,08/04/2024 01:10:00,25.341,,
