"2024-08-12";"17:47:44";"WinControl (rev 1195) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:Fo'";"1:NPQ";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-III (CFMG1129B) ";""
"2024-08-12 13:29:54.368";"2024-08-12";"13:29:54";"SLCS";"";"Light Curve start ";"ct249"
"2024-08-12 13:29:54.368";"2024-08-12";"13:29:54";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.003, ETRmPot: 22.881 )   (Platt et al. 1980) ";""
"2024-08-12 13:29:54.368";"2024-08-12";"13:29:54";"REG2";"";"#1: alpha: 0.211, ETRm: 24.072, Ik: 114.237   (Jassby and Platt 1976) ";""
"2024-08-12 13:29:55.758";"2024-08-12";"13:29:55";"FO";"1";"97";"216";"0";"0.551";"0.0";"-";"-";"97";"216";"0.551"
"2024-08-12 13:30:25.748";"2024-08-12";"13:30:25";"F";"2";"114";"227";"65";"0.498";"13.6";"99";"- 0.048";"97";"216";"0.551"
"2024-08-12 13:30:55.740";"2024-08-12";"13:30:55";"F";"3";"115";"200";"90";"0.425";"16.1";"94";"0.080";"97";"216";"0.551"
"2024-08-12 13:31:25.728";"2024-08-12";"13:31:25";"F";"4";"116";"179";"125";"0.352";"18.5";"89";"0.207";"97";"216";"0.551"
"2024-08-12 13:31:55.708";"2024-08-12";"13:31:55";"F";"5";"119";"162";"190";"0.265";"21.1";"84";"0.333";"97";"216";"0.551"
"2024-08-12 13:32:25.722";"2024-08-12";"13:32:25";"F";"6";"123";"152";"285";"0.191";"22.9";"82";"0.421";"97";"216";"0.551"
"2024-08-12 13:32:55.705";"2024-08-12";"13:32:55";"F";"7";"127";"147";"420";"0.136";"24.0";"80";"0.469";"97";"216";"0.551"
"2024-08-12 13:33:25.702";"2024-08-12";"13:33:25";"F";"8";"130";"144";"625";"0.097";"25.5";"79";"0.500";"97";"216";"0.551"
"2024-08-12 13:33:55.685";"2024-08-12";"13:33:55";"F";"9";"131";"141";"820";"0.071";"24.5";"78";"0.532";"97";"216";"0.551"
"2024-08-12 13:33:59.034";"2024-08-12";"13:33:59";"SLCE";"";"Light Curve end ";""
"2024-08-12 13:34:58.869";"2024-08-12";"13:34:58";"SLCS";"";"Light Curve start ";"ct250"
"2024-08-12 13:34:58.869";"2024-08-12";"13:34:58";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.002, ETRmPot: 14.605 )   (Platt et al. 1980) ";""
"2024-08-12 13:34:58.869";"2024-08-12";"13:34:58";"REG2";"";"#1: alpha: 0.169, ETRm: 15.597, Ik: 92.219   (Jassby and Platt 1976) ";""
"2024-08-12 13:35:00.259";"2024-08-12";"13:35:00";"FO";"10";"183";"444";"0";"0.588";"0.0";"-";"-";"183";"444";"0.588"
"2024-08-12 13:35:30.245";"2024-08-12";"13:35:30";"F";"11";"211";"324";"65";"0.349";"9.5";"159";"0.370";"183";"444";"0.588"
"2024-08-12 13:36:00.243";"2024-08-12";"13:36:00";"F";"12";"210";"306";"90";"0.314";"11.9";"154";"0.451";"183";"444";"0.588"
"2024-08-12 13:36:30.223";"2024-08-12";"13:36:30";"F";"13";"211";"285";"125";"0.260";"13.7";"149";"0.558";"183";"444";"0.588"
"2024-08-12 13:37:00.215";"2024-08-12";"13:37:00";"F";"14";"218";"266";"190";"0.180";"14.4";"143";"0.669";"183";"444";"0.588"
"2024-08-12 13:37:30.203";"2024-08-12";"13:37:30";"F";"15";"223";"255";"285";"0.125";"15.0";"140";"0.741";"183";"444";"0.588"
"2024-08-12 13:38:00.196";"2024-08-12";"13:38:00";"F";"16";"226";"248";"420";"0.089";"15.7";"138";"0.790";"183";"444";"0.588"
"2024-08-12 13:38:30.178";"2024-08-12";"13:38:30";"F";"17";"229";"243";"625";"0.058";"15.2";"136";"0.827";"183";"444";"0.588"
"2024-08-12 13:39:00.172";"2024-08-12";"13:39:00";"F";"18";"231";"243";"820";"0.049";"16.9";"136";"0.827";"183";"444";"0.588"
"2024-08-12 13:39:03.826";"2024-08-12";"13:39:03";"SLCE";"";"Light Curve end ";""
"2024-08-12 13:39:27.999";"2024-08-12";"13:39:27";"SLCS";"";"Light Curve start ";"ct251"
