"2024-08-01";"18:51:17";"WinControl (rev 1195) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:NPQ";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-III (CFMG1129B) ";""
"2024-08-01 14:39:17.051";"2024-08-01";"14:39:17";"SLCS";"";"Light Curve start ";"b2c06"
"2024-08-01 14:39:17.051";"2024-08-01";"14:39:17";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.010, ETRmPot: 35.760 )   (Platt et al. 1980) ";""
"2024-08-01 14:39:17.051";"2024-08-01";"14:39:17";"REG2";"";"#1: alpha: 0.186, ETRm: 42.349, Ik: 227.644   (Jassby and Platt 1976) ";""
"2024-08-01 14:39:18.445";"2024-08-01";"14:39:18";"FO";"1";"86";"267";"0";"0.678";"0.0";"-";"86";"267";"0.678"
"2024-08-01 14:39:28.435";"2024-08-01";"14:39:28";"F";"2";"127";"269";"65";"0.528";"14.4";"- 0.007";"86";"267";"0.678"
"2024-08-01 14:39:38.431";"2024-08-01";"14:39:38";"F";"3";"138";"261";"90";"0.471";"17.8";"0.023";"86";"267";"0.678"
"2024-08-01 14:39:48.417";"2024-08-01";"14:39:48";"F";"4";"148";"252";"125";"0.413";"21.7";"0.060";"86";"267";"0.678"
"2024-08-01 14:39:58.410";"2024-08-01";"14:39:58";"F";"5";"157";"243";"190";"0.354";"28.2";"0.099";"86";"267";"0.678"
"2024-08-01 14:40:08.394";"2024-08-01";"14:40:08";"F";"6";"172";"237";"285";"0.274";"32.8";"0.127";"86";"267";"0.678"
"2024-08-01 14:40:18.382";"2024-08-01";"14:40:18";"F";"7";"180";"232";"420";"0.224";"39.5";"0.151";"86";"267";"0.678"
"2024-08-01 14:40:28.379";"2024-08-01";"14:40:28";"F";"8";"191";"227";"625";"0.159";"41.7";"0.176";"86";"267";"0.678"
"2024-08-01 14:40:38.368";"2024-08-01";"14:40:38";"F";"9";"194";"223";"820";"0.130";"44.8";"0.197";"86";"267";"0.678"
"2024-08-01 14:40:41.839";"2024-08-01";"14:40:41";"SLCE";"";"Light Curve end ";""
"2024-08-01 14:41:52.556";"2024-08-01";"14:41:52";"SLCS";"";"Light Curve start ";"b3c09"
"2024-08-01 14:41:52.556";"2024-08-01";"14:41:52";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.009, ETRmPot: 30.591 )   (Platt et al. 1980) ";""
"2024-08-01 14:41:52.556";"2024-08-01";"14:41:52";"REG2";"";"#1: alpha: 0.166, ETRm: 36.875, Ik: 222.070   (Jassby and Platt 1976) ";""
"2024-08-01 14:41:53.947";"2024-08-01";"14:41:53";"FO";"10";"77";"271";"0";"0.716";"0.0";"-";"77";"271";"0.716"
"2024-08-01 14:42:03.939";"2024-08-01";"14:42:03";"F";"11";"135";"266";"65";"0.492";"13.4";"0.019";"77";"271";"0.716"
"2024-08-01 14:42:13.925";"2024-08-01";"14:42:13";"F";"12";"147";"252";"90";"0.417";"15.8";"0.075";"77";"271";"0.716"
"2024-08-01 14:42:23.922";"2024-08-01";"14:42:23";"F";"13";"148";"234";"125";"0.368";"19.3";"0.158";"77";"271";"0.716"
"2024-08-01 14:42:33.905";"2024-08-01";"14:42:33";"F";"14";"151";"217";"190";"0.304";"24.3";"0.249";"77";"271";"0.716"
"2024-08-01 14:42:43.900";"2024-08-01";"14:42:43";"F";"15";"154";"204";"285";"0.245";"29.3";"0.328";"77";"271";"0.716"
"2024-08-01 14:42:53.890";"2024-08-01";"14:42:53";"F";"16";"156";"193";"420";"0.192";"33.9";"0.404";"77";"271";"0.716"
"2024-08-01 14:43:03.879";"2024-08-01";"14:43:03";"F";"17";"158";"184";"625";"0.141";"37.0";"0.473";"77";"271";"0.716"
"2024-08-01 14:43:13.863";"2024-08-01";"14:43:13";"F";"18";"157";"177";"820";"0.113";"38.9";"0.531";"77";"271";"0.716"
"2024-08-01 14:43:17.439";"2024-08-01";"14:43:17";"SLCE";"";"Light Curve end ";""
"2024-08-01 14:44:56.233";"2024-08-01";"14:44:56";"SLCS";"";"Light Curve start ";"a2c10"
"2024-08-01 14:44:56.233";"2024-08-01";"14:44:56";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.007, ETRmPot: 32.930 )   (Platt et al. 1980) ";""
"2024-08-01 14:44:56.233";"2024-08-01";"14:44:56";"REG2";"";"#1: alpha: 0.177, ETRm: 37.058, Ik: 209.143   (Jassby and Platt 1976) ";""
"2024-08-01 14:44:57.632";"2024-08-01";"14:44:57";"FO";"19";"90";"258";"0";"0.651";"0.0";"-";"90";"258";"0.651"
