"2024-08-13";"09:12:52";"WinControl (rev 1195) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:Fo'";"1:NPQ";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-III (CFMG1129B) ";""
"2024-08-13 07:32:36.204";"2024-08-13";"07:32:36";"SLCS";"";"Light Curve start ";"a2t05"
"2024-08-13 07:32:37.599";"2024-08-13";"07:32:37";"FO";"1";"38";"40";"0";"-";"-";"-";"-";"38";"40";"0.050"
"2024-08-13 07:33:07.590";"2024-08-13";"07:33:07";"F";"2";"37";"39";"65";"-";"-";"-";"-";"38";"40";"0.050"
"2024-08-13 07:33:37.579";"2024-08-13";"07:33:37";"F";"3";"35";"35";"90";"-";"-";"-";"-";"38";"40";"0.050"
"2024-08-13 07:33:44.163";"2024-08-13";"07:33:44";"SLCE";"";"Light Curve end ";""
"2024-08-13 07:34:20.613";"2024-08-13";"07:34:20";"SLCS";"";"Light Curve start ";"a2t05"
"2024-08-13 07:34:22.006";"2024-08-13";"07:34:22";"FO";"4";"21";"21";"0";"-";"-";"-";"-";"21";"21";"0.000"
"2024-08-13 07:34:31.996";"2024-08-13";"07:34:31";"F";"5";"22";"23";"65";"-";"-";"-";"-";"21";"21";"0.000"
"2024-08-13 07:34:41.979";"2024-08-13";"07:34:41";"F";"6";"21";"23";"90";"-";"-";"-";"-";"21";"21";"0.000"
"2024-08-13 07:34:51.967";"2024-08-13";"07:34:51";"F";"7";"21";"22";"125";"-";"-";"-";"-";"21";"21";"0.000"
"2024-08-13 07:35:01.956";"2024-08-13";"07:35:01";"F";"8";"22";"24";"190";"-";"-";"-";"-";"21";"21";"0.000"
"2024-08-13 07:35:11.947";"2024-08-13";"07:35:11";"F";"9";"20";"25";"285";"-";"-";"-";"-";"21";"21";"0.000"
"2024-08-13 07:35:21.937";"2024-08-13";"07:35:21";"F";"10";"22";"23";"420";"-";"-";"-";"-";"21";"21";"0.000"
"2024-08-13 07:35:31.931";"2024-08-13";"07:35:31";"F";"11";"22";"23";"625";"-";"-";"-";"-";"21";"21";"0.000"
"2024-08-13 07:35:41.922";"2024-08-13";"07:35:41";"F";"12";"22";"23";"820";"-";"-";"-";"-";"21";"21";"0.000"
"2024-08-13 07:35:45.148";"2024-08-13";"07:35:45";"SLCE";"";"Light Curve end ";""
"2024-08-13 07:40:08.027";"2024-08-13";"07:40:08";"SLCS";"";"Light Curve start ";"c100"
