"2024-07-26";"12:47:27";"WinControl (rev 1195) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:Fo'";"1:NPQ";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-III (CFMG1129B) ";""
"2024-07-26 08:37:56.295";"2024-07-26";"08:37:56";"SLCS";"";"Light Curve start ";"ct49"
"2024-07-26 08:37:56.295";"2024-07-26";"08:37:56";"REG1";"";"#1: Error: First 3 ETR-Values are not increasing ";""
"2024-07-26 08:37:56.295";"2024-07-26";"08:37:56";"REG2";"";"#1: Error: First 3 ETR-Values are not increasing ";""
"2024-07-26 08:37:57.696";"2024-07-26";"08:37:57";"FO";"1";"277";"277";"0";"0.000";"0.0";"-";"-";"277";"277";"0.000"
"2024-07-26 08:38:27.688";"2024-07-26";"08:38:27";"F";"2";"281";"281";"65";"0.000";"0.0";"281";"- 0.014";"277";"277";"0.000"
"2024-07-26 08:38:57.680";"2024-07-26";"08:38:57";"F";"3";"282";"282";"90";"0.000";"0.0";"282";"- 0.018";"277";"277";"0.000"
"2024-07-26 08:39:27.666";"2024-07-26";"08:39:27";"F";"4";"283";"283";"125";"0.000";"0.0";"283";"- 0.021";"277";"277";"0.000"
"2024-07-26 08:39:57.657";"2024-07-26";"08:39:57";"F";"5";"283";"283";"190";"0.000";"0.0";"283";"- 0.021";"277";"277";"0.000"
"2024-07-26 08:40:27.638";"2024-07-26";"08:40:27";"F";"6";"282";"283";"285";"0.004";"0.5";"283";"- 0.021";"277";"277";"0.000"
"2024-07-26 08:40:57.634";"2024-07-26";"08:40:57";"F";"7";"283";"284";"420";"0.004";"0.7";"284";"- 0.025";"277";"277";"0.000"
"2024-07-26 08:41:27.619";"2024-07-26";"08:41:27";"F";"8";"282";"283";"625";"0.004";"1.1";"283";"- 0.021";"277";"277";"0.000"
"2024-07-26 08:41:57.630";"2024-07-26";"08:41:57";"F";"9";"281";"281";"820";"0.000";"0.0";"281";"- 0.014";"277";"277";"0.000"
"2024-07-26 08:42:01.010";"2024-07-26";"08:42:01";"SLCE";"";"Light Curve end ";""
"2024-07-26 08:46:51.730";"2024-07-26";"08:46:51";"SLCS";"";"Light Curve start ";"ct50"
"2024-07-26 08:46:51.730";"2024-07-26";"08:46:51";"REG1";"";"#1: Error: First 3 ETR-Values are not increasing ";""
"2024-07-26 08:46:51.730";"2024-07-26";"08:46:51";"REG2";"";"#1: Error: First 3 ETR-Values are not increasing ";""
"2024-07-26 08:46:53.133";"2024-07-26";"08:46:53";"FO";"10";"229";"229";"0";"0.000";"0.0";"-";"-";"229";"229";"0.000"
"2024-07-26 08:47:23.119";"2024-07-26";"08:47:23";"F";"11";"235";"235";"65";"0.000";"0.0";"235";"- 0.026";"229";"229";"0.000"
"2024-07-26 08:47:53.103";"2024-07-26";"08:47:53";"F";"12";"235";"236";"90";"0.004";"0.2";"236";"- 0.030";"229";"229";"0.000"
