"2024-07-25";"17:53:35";"WinControl (rev 1195) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:Fo'";"1:NPQ";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-III (CFMG1129B) ";""
"2024-07-25 09:04:38.851";"2024-07-25";"09:04:38";"SLCS";"";"Light Curve start ";"Ct01"
"2024-07-25 09:04:38.851";"2024-07-25";"09:04:38";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.001, ETRmPot: 0.059 )   (Platt et al. 1980) ";""
"2024-07-25 09:04:38.851";"2024-07-25";"09:04:38";"REG2";"";"#1: alpha: 0.006, ETRm: 193.806, Ik: 34542.600   (Jassby and Platt 1976) ";""
"2024-07-25 09:04:40.246";"2024-07-25";"09:04:40";"FO";"8";"86";"89";"0";"0.034";"0.0";"-";"-";"86";"89";"0.034"
"2024-07-25 09:05:10.230";"2024-07-25";"09:05:10";"F";"9";"89";"90";"65";"0.011";"0.3";"87";"- 0.011";"86";"89";"0.034"
"2024-07-25 09:05:40.227";"2024-07-25";"09:05:40";"F";"10";"89";"90";"90";"0.011";"0.4";"87";"- 0.011";"86";"89";"0.034"
"2024-07-25 09:06:10.209";"2024-07-25";"09:06:10";"F";"11";"89";"91";"125";"0.022";"1.2";"88";"- 0.022";"86";"89";"0.034"
"2024-07-25 09:06:40.203";"2024-07-25";"09:06:40";"F";"12";"90";"91";"190";"0.011";"0.9";"88";"- 0.022";"86";"89";"0.034"
"2024-07-25 09:07:10.191";"2024-07-25";"09:07:10";"F";"13";"89";"90";"285";"0.011";"1.3";"87";"- 0.011";"86";"89";"0.034"
"2024-07-25 09:07:40.179";"2024-07-25";"09:07:40";"F";"14";"88";"89";"420";"0.011";"1.9";"86";"0.000";"86";"89";"0.034"
"2024-07-25 09:08:10.162";"2024-07-25";"09:08:10";"F";"15";"88";"88";"625";"0.000";"0.0";"85";"0.011";"86";"89";"0.034"
"2024-07-25 09:08:40.152";"2024-07-25";"09:08:40";"F";"16";"87";"89";"820";"0.022";"7.6";"86";"0.000";"86";"89";"0.034"
"2024-07-25 09:08:43.661";"2024-07-25";"09:08:43";"SLCE";"";"Light Curve end ";""
"2024-07-25 09:09:18.814";"2024-07-25";"09:09:18";"SLCS";"";"Light Curve start ";"Ct03"
"2024-07-25 09:09:18.814";"2024-07-25";"09:09:18";"REG1";"";"#1: alpha: 0.023, ETRm: 3.479, Ik: 149.007   ( beta: 0.025, ETRmPot: 14.786 )   (Platt et al. 1980) ";""
"2024-07-25 09:09:18.814";"2024-07-25";"09:09:18";"REG2";"";"#1: alpha: 0.020, ETRm: 3.236, Ik: 162.466   (Jassby and Platt 1976) ";""
"2024-07-25 09:09:20.212";"2024-07-25";"09:09:20";"FO";"17";"101";"107";"0";"0.056";"0.0";"-";"-";"101";"107";"0.056"
"2024-07-25 09:09:50.204";"2024-07-25";"09:09:50";"F";"18";"105";"108";"65";"0.028";"0.8";"102";"- 0.009";"101";"107";"0.056"
"2024-07-25 09:10:20.189";"2024-07-25";"09:10:20";"F";"19";"106";"110";"90";"0.036";"1.4";"104";"- 0.027";"101";"107";"0.056"
"2024-07-25 09:10:50.169";"2024-07-25";"09:10:50";"F";"20";"106";"110";"125";"0.036";"1.9";"104";"- 0.027";"101";"107";"0.056"
"2024-07-25 09:11:20.168";"2024-07-25";"09:11:20";"F";"21";"107";"111";"190";"0.036";"2.9";"105";"- 0.036";"101";"107";"0.056"
"2024-07-25 09:11:50.171";"2024-07-25";"09:11:50";"F";"22";"108";"112";"285";"0.036";"4.3";"105";"- 0.045";"101";"107";"0.056"
"2024-07-25 09:12:20.163";"2024-07-25";"09:12:20";"F";"23";"108";"110";"420";"0.018";"3.2";"104";"- 0.027";"101";"107";"0.056"
"2024-07-25 09:12:50.146";"2024-07-25";"09:12:50";"F";"24";"108";"109";"625";"0.009";"2.4";"103";"- 0.018";"101";"107";"0.056"
