"2024-07-29";"18:10:48";"WinControl (rev 1195) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:NPQ";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-III (CFMG1129B) ";""
"2024-07-29 14:30:44.280";"2024-07-29";"14:30:44";"SLCS";"";"Light Curve start ";"ct02"
"2024-07-29 14:30:44.280";"2024-07-29";"14:30:44";"REG1";"";"#1: alpha: 0.298, ETRm: 72.563, Ik: 243.100   ( beta: 0.021, ETRmPot: 93.735 )   (Platt et al. 1980) ";""
"2024-07-29 14:30:44.280";"2024-07-29";"14:30:44";"REG2";"";"#1: alpha: 0.246, ETRm: 72.156, Ik: 293.794   (Jassby and Platt 1976) ";""
"2024-07-29 14:30:45.663";"2024-07-29";"14:30:45";"FO";"2";"14";"88";"0";"0.841";"0.0";"-";"14";"88";"0.841"
"2024-07-29 14:31:15.654";"2024-07-29";"14:31:15";"F";"3";"29";"82";"65";"0.646";"17.6";"0.073";"14";"88";"0.841"
"2024-07-29 14:31:45.637";"2024-07-29";"14:31:45";"F";"4";"31";"76";"90";"0.592";"22.4";"0.158";"14";"88";"0.841"
"2024-07-29 14:32:15.627";"2024-07-29";"14:32:15";"F";"5";"31";"72";"125";"0.569";"29.9";"0.222";"14";"88";"0.841"
"2024-07-29 14:32:45.622";"2024-07-29";"14:32:45";"F";"6";"33";"69";"190";"0.522";"41.7";"0.275";"14";"88";"0.841"
"2024-07-29 14:33:15.611";"2024-07-29";"14:33:15";"F";"7";"37";"64";"285";"0.422";"50.5";"0.375";"14";"88";"0.841"
"2024-07-29 14:33:45.599";"2024-07-29";"14:33:45";"F";"8";"39";"62";"420";"0.371";"65.4";"0.419";"14";"88";"0.841"
"2024-07-29 14:34:15.587";"2024-07-29";"14:34:15";"F";"9";"42";"57";"625";"0.263";"69.0";"0.544";"14";"88";"0.841"
"2024-07-29 14:34:45.567";"2024-07-29";"14:34:45";"F";"10";"41";"52";"820";"0.212";"73.0";"0.692";"14";"88";"0.841"
"2024-07-29 14:34:48.777";"2024-07-29";"14:34:48";"SLCE";"";"Light Curve end ";""
"2024-07-29 14:44:01.687";"2024-07-29";"14:44:01";"SLCS";"";"Light Curve start ";"ct03"
"2024-07-29 14:44:01.687";"2024-07-29";"14:44:01";"REG1";"";"#1: alpha: 0.296, ETRm: 283.845, Ik: 959.508   ( beta: 0.189, ETRmPot: 850.424 )   (Platt et al. 1980) ";""
"2024-07-29 14:44:01.687";"2024-07-29";"14:44:01";"REG2";"";"#1: alpha: 0.290, ETRm: 131.759, Ik: 454.865   (Jassby and Platt 1976) ";""
"2024-07-29 14:44:03.081";"2024-07-29";"14:44:03";"FO";"11";"15";"53";"0";"0.717";"0.0";"-";"15";"53";"0.717"
"2024-07-29 14:44:33.073";"2024-07-29";"14:44:33";"F";"12";"20";"57";"65";"0.649";"17.7";"- 0.070";"15";"53";"0.717"
"2024-07-29 14:45:03.060";"2024-07-29";"14:45:03";"F";"13";"21";"68";"90";"0.691";"26.1";"- 0.221";"15";"53";"0.717"
"2024-07-29 14:45:33.050";"2024-07-29";"14:45:33";"F";"14";"21";"66";"125";"0.682";"35.8";"- 0.197";"15";"53";"0.717"
"2024-07-29 14:46:03.038";"2024-07-29";"14:46:03";"F";"15";"21";"60";"190";"0.650";"51.9";"- 0.117";"15";"53";"0.717"
"2024-07-29 14:46:33.020";"2024-07-29";"14:46:33";"F";"16";"22";"48";"285";"-";"-";"-";"15";"53";"0.717"
