"2024-07-29";"11:40:47";"WinControl (rev 1195) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:NPQ";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-III (CFMG1129B) ";""
"2024-07-29 08:27:57.901";"2024-07-29";"08:27:57";"SLCS";"";"Light Curve start ";"ct55"
"2024-07-29 08:27:59.289";"2024-07-29";"08:27:59";"FO";"9";"0";"0";"0";"-";"-";"-";"0";"0";"-"
"2024-07-29 08:28:29.283";"2024-07-29";"08:28:29";"F";"10";"0";"0";"65";"-";"-";"-";"0";"0";"-"
"2024-07-29 08:28:59.270";"2024-07-29";"08:28:59";"F";"11";"7";"8";"90";"-";"-";"-";"0";"0";"-"
"2024-07-29 08:29:29.254";"2024-07-29";"08:29:29";"F";"12";"6";"6";"125";"-";"-";"-";"0";"0";"-"
"2024-07-29 08:29:59.247";"2024-07-29";"08:29:59";"F";"13";"0";"0";"190";"-";"-";"-";"0";"0";"-"
"2024-07-29 08:30:29.237";"2024-07-29";"08:30:29";"F";"14";"0";"0";"285";"-";"-";"-";"0";"0";"-"
"2024-07-29 08:30:59.225";"2024-07-29";"08:30:59";"F";"15";"0";"0";"420";"-";"-";"-";"0";"0";"-"
"2024-07-29 08:31:29.205";"2024-07-29";"08:31:29";"F";"16";"0";"0";"625";"-";"-";"-";"0";"0";"-"
"2024-07-29 08:31:59.199";"2024-07-29";"08:31:59";"F";"17";"0";"0";"820";"-";"-";"-";"0";"0";"-"
"2024-07-29 08:32:02.927";"2024-07-29";"08:32:02";"SLCE";"";"Light Curve end ";""
"2024-07-29 09:03:26.310";"2024-07-29";"09:03:26";"SLCS";"";"Light Curve start ";"ct64"
"2024-07-29 09:03:26.310";"2024-07-29";"09:03:26";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.002, ETRmPot: 55.460 )   (Platt et al. 1980) ";""
"2024-07-29 09:03:26.310";"2024-07-29";"09:03:26";"REG2";"";"#1: alpha: 0.187, ETRm: 54.095, Ik: 288.756   (Jassby and Platt 1976) ";""
"2024-07-29 09:03:27.708";"2024-07-29";"09:03:27";"FO";"26";"60";"160";"0";"0.625";"0.0";"-";"60";"160";"0.625"
"2024-07-29 09:03:57.696";"2024-07-29";"09:03:57";"F";"27";"65";"120";"65";"0.458";"12.5";"0.333";"60";"160";"0.625"
"2024-07-29 09:04:27.685";"2024-07-29";"09:04:27";"F";"28";"65";"122";"90";"0.467";"17.7";"0.311";"60";"160";"0.625"
