"","Date","rlc_end_time","specimenID","uid","plant_part","plantID","salinity","treatment","day_group","rlc_day","pmax","rETRmax","rETRmaxYpoint1","maxNPQ_Ypoint1","deltaNPQ","alpha.est","alpha.st_err","alpha.t","alpha.p","ek.est","ek.st_err","ek.t","ek.p","run"
"1","2024-08-03","13:38:04","ct149","2024-08-03_ct149","under",49,"35","1","u_d1_r2","1",79.44,84.46,84.46,0.621,0.642,0.581,0.034,17.325,0,136.821,17.569,7.787,0,"2"
"2","2024-08-03","13:43:13","ct150","2024-08-03_ct150","under",50,"28","1","u_d1_r2","1",94.29,86.36,86.36,0.403,0.524,0.776,0.046,16.961,0,121.505,15.22,7.983,0,"2"
"3","2024-08-03","13:47:32","ct151","2024-08-03_ct151","under",51,"35","2","u_d1_r2","1",58.86,70.52,53.01,0.474,0.437,0.497,0.021,23.869,0,118.396,10.432,11.349,0,"2"
"4","2024-08-03","13:51:55","ct152","2024-08-03_ct152","under",52,"28","2","u_d1_r2","1",44.3,45.1,40.47,0.112,0.077,0.327,0.014,22.699,0,135.563,13.239,10.239,0,"2"
"5","2024-08-03","13:56:22","ct153","2024-08-03_ct153","under",53,"35","3","u_d1_r2","1",22.86,33.62,19.57,0.436,0.178,0.291,0.039,7.436,0,78.427,18.766,4.179,0.006,"2"
"6","2024-08-03","14:02:07","ct154","2024-08-03_ct154","under",54,"28","3","u_d1_r2","1",31.82,30.66,29.92,0.474,0.339,0.369,0.027,13.745,0,86.141,11.595,7.429,0,"2"
"7","2024-08-03","14:08:07","ct155","2024-08-03_ct155","under",55,"35","4","u_d1_r2","1",49.38,54.37,47.88,0.73,0.504,0.658,0.019,34.89,0,75.097,3.761,19.967,0,"2"
"8","2024-08-03","14:12:33","ct156","2024-08-03_ct156","under",56,"28","4","u_d1_r2","1",20.68,28.12,13.25,0.106,0,0.19,0.019,9.852,0,109.02,22.526,4.84,0.003,"2"
"9","2024-08-03","14:16:59","ct157","2024-08-03_ct157","under",57,"35","1","u_d1_r2","1",28.22,42.64,27.17,0.488,0.172,0.317,0.036,8.695,0,89.104,19.226,4.635,0.004,"2"
"10","2024-08-03","14:21:32","ct158","2024-08-03_ct158","under",58,"28","1","u_d1_r2","1",21.36,24.38,20.52,0.338,0.19,0.295,0.028,10.369,0,72.331,11.998,6.028,0.001,"2"
"11","2024-08-03","14:26:04","ct159","2024-08-03_ct159","under",59,"35","2","u_d1_r2","1",49.23,48.38,46.62,0.275,0.189,0.471,0.016,28.933,0,104.419,7.221,14.46,0,"2"
"12","2024-08-03","14:30:37","ct160","2024-08-03_ct160","under",60,"28","2","u_d1_r2","1",47.34,45.88,45.88,0.669,0.43,0.573,0.028,20.437,0,82.641,7.354,11.238,0,"2"
"13","2024-08-03","14:36:35","ct161","2024-08-03_ct161","under",61,"35","3","u_d1_r2","1",27.6,41,22.8,0.054,0.054,0.269,0.015,18.467,0,102.458,11.017,9.3,0,"2"
"14","2024-08-03","14:41:31","ct162","2024-08-03_ct162","under",62,"28","3","u_d1_r2","1",28.14,40.62,21.66,0.675,0.349,0.283,0.022,12.633,0,99.534,15.463,6.437,0.001,"2"
"15","2024-08-03","14:46:49","ct163","2024-08-03_ct163","under",63,"35","4","u_d1_r2","1",28.1,35.26,23.75,0.48,0.277,0.347,0.028,12.574,0,80.858,11.589,6.977,0,"2"
"16","2024-08-03","14:51:14","ct164","2024-08-03_ct164","under",64,"28","4","u_d1_r2","1",24.47,26.87,20.71,0.293,0.139,0.251,0.017,15.034,0,97.371,12.598,7.729,0,"2"
"17","2024-08-03","14:55:39","ct165","2024-08-03_ct165","under",65,"35","1","u_d1_r2","1",43.88,43.46,43.26,0.328,0.236,0.433,0.014,31.553,0,101.269,6.343,15.965,0,"2"
"18","2024-08-03","15:00:07","ct166","2024-08-03_ct166","under",66,"28","1","u_d1_r2","1",44.69,45.92,40.75,0.295,0.153,0.382,0.012,32.645,0,116.93,7.496,15.599,0,"2"
"19","2024-08-03","15:04:38","ct167","2024-08-03_ct167","under",67,"35","2","u_d1_r2","1",13.58,27.88,9.9,0.113,0,0.204,0.032,6.324,0.001,66.5,17.456,3.809,0.009,"2"
"20","2024-08-03","15:11:56","ct168","2024-08-03_ct168","under",68,"28","2","u_d1_r2","1",10.97,24.38,10.53,0.321,0.06,0.429,0.324,1.325,0.234,25.559,22.235,1.149,0.294,"2"
"21","2024-08-03","15:16:46","ct169","2024-08-03_ct169","under",69,"35","3","u_d1_r2","1",51.99,57.5,47.46,0.192,0.137,0.343,0.011,31.65,0,151.653,11.088,13.677,0,"2"
"22","2024-08-03","15:21:14","ct170","2024-08-03_ct170","under",70,"28","3","u_d1_r2","1",19.16,23.75,19.76,0.482,0.203,0.896,0.246,3.639,0.011,21.38,6.46,3.31,0.016,"2"
"23","2024-08-03","15:25:44","ct171","2024-08-03_ct171","under",71,"35","4","u_d1_r2","1",23.81,25.62,22.42,0.191,0.141,0.419,0.028,14.899,0,56.884,5.934,9.586,0,"2"
"24","2024-08-03","15:30:44","ct172","2024-08-03_ct172","under",72,"28","4","u_d1_r2","1",22.66,22.8,22.42,0.487,0.237,0.49,0.055,8.885,0,46.246,7.422,6.231,0.001,"2"
"25","2024-08-03","15:35:10","ct173","2024-08-03_ct173","under",73,"35","1","u_d1_r2","1",34.1,39.9,34.48,0.49,0.237,0.47,0.024,19.793,0,72.507,6.307,11.496,0,"2"
"26","2024-08-03","15:39:33","ct174","2024-08-03_ct174","under",74,"28","1","u_d1_r2","1",30.74,36.88,32.49,0.21,0.177,0.359,0.03,11.85,0,85.713,13.355,6.418,0.001,"2"
"27","2024-08-03","15:44:04","ct175","2024-08-03_ct175","under",75,"35","2","u_d1_r2","1",84.74,82.82,82.82,0.66,0.569,0.557,0.013,41.502,0,151.999,8.483,17.919,0,"2"
"28","2024-08-03","15:48:29","ct176","2024-08-03_ct176","under",76,"28","2","u_d1_r2","1",25.15,30.34,25.46,0.474,0.188,0.583,0.04,14.745,0,43.135,4.056,10.636,0,"2"
"29","2024-08-03","15:53:03","ct177","2024-08-03_ct177","under",77,"35","3","u_d1_r2","1",25.1,32.8,20.25,0.159,0.069,0.308,0.024,12.93,0,81.576,11.412,7.148,0,"2"
"30","2024-08-03","15:57:32","ct178","2024-08-03_ct178","under",78,"28","3","u_d1_r2","1",39.92,54.37,35.53,0.473,0.278,0.519,0.031,16.563,0,76.847,8.186,9.388,0,"2"
"31","2024-08-03","16:02:59","ct179","2024-08-03_ct179","under",79,"35","4","u_d1_r2","1",28.87,36.88,21.47,0.082,0.042,0.269,0.021,12.998,0,107.331,16.704,6.425,0.001,"2"
"32","2024-08-03","16:07:31","ct180","2024-08-03_ct180","under",80,"28","4","u_d1_r2","1",20.96,24.6,20.52,0.432,0.197,0.435,0.033,13.118,0,48.222,5.333,9.042,0,"2"
"33","2024-08-03","16:11:54","ct181","2024-08-03_ct181","under",81,"35","1","u_d1_r2","1",79.31,87.74,87.74,0.616,0.478,0.562,0.018,30.362,0,141.208,10.473,13.483,0,"2"
"34","2024-08-03","16:16:18","ct182","2024-08-03_ct182","under",82,"28","1","u_d1_r2","1",63.28,61.5,60.9,0.484,0.395,0.668,0.031,21.702,0,94.782,8.403,11.279,0,"2"
"35","2024-08-03","16:21:14","ct183","2024-08-03_ct183","under",83,"35","2","u_d1_r2","1",31.25,33.62,32.2,0.566,0.285,0.556,0.018,30.667,0,56.214,2.835,19.83,0,"2"
"36","2024-08-03","16:25:48","ct184","2024-08-03_ct184","under",84,"28","2","u_d1_r2","1",33.7,39.36,33.06,0.505,0.237,0.48,0.02,23.693,0,70.199,5.033,13.949,0,"2"
"37","2024-08-03","16:30:34","ct185","2024-08-03_ct185","under",85,"35","3","u_d1_r2","1",22.47,28.12,16.88,0.115,0.015,0.25,0.021,12.033,0,89.816,14.048,6.393,0.001,"2"
"38","2024-08-03","16:35:07","ct186","2024-08-03_ct186","under",86,"28","3","u_d1_r2","1",53.57,55.02,55.02,0.938,0.451,0.418,0.012,33.45,0,128.201,8.315,15.419,0,"2"
"39","2024-08-03","16:39:40","ct187","2024-08-03_ct187","under",87,"35","4","u_d1_r2","1",35.52,38.12,31.64,0.193,0.161,0.381,0.022,17.118,0,93.208,10.405,8.958,0,"2"
"40","2024-08-03","16:44:30","ct188","2024-08-03_ct188","under",88,"28","4","u_d1_r2","1",78.74,87.74,87.74,0.785,0.565,0.642,0.021,31.065,0,122.738,8.427,14.564,0,"2"
"41","2024-08-03","16:49:04","ct189","2024-08-03_ct189","under",89,"35","1","u_d1_r2","1",122.99,112.34,112.34,0.611,0.622,0.777,0.026,30.195,0,158.375,12.34,12.834,0,"2"
"42","2024-08-03","16:58:57","ct190","2024-08-03_ct190","under",90,"28","1","u_d1_r2","1",42.08,54.94,42.84,0.417,0.258,0.483,0.03,15.891,0,87.076,10.183,8.551,0,"2"
"43","2024-08-03","17:03:20","ct191","2024-08-03_ct191","under",91,"35","2","u_d1_r2","1",123.93,120.54,120.54,0.559,0.427,0.562,0.016,35.048,0,220.56,16.814,13.118,0,"2"
"44","2024-08-03","17:08:28","ct192","2024-08-03_ct192","under",92,"28","2","u_d1_r2","1",46.16,55,46.2,0.682,0.335,0.469,0.016,30.005,0,98.382,6.405,15.36,0,"2"
"45","2024-08-03","17:13:08","ct193","2024-08-03_ct193","under",93,"35","3","u_d1_r2","1",32.5,44.28,31.92,0.164,0.098,0.473,0.028,16.769,0,68.746,6.902,9.96,0,"2"
