Datetime,Date,Time,Type,no,F,FmPrime,PAR,YII,ETR,FvFm
,,,D,,"Device Nr: #1, JUNIOR-PAM-III (CFMG1231B) ",,,,,
06:09.5,6/17/25,09:06:09,SLCS,,Light Curve start ,1,,,,
06:09.5,6/17/25,09:06:09,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
06:09.5,6/17/25,09:06:09,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
06:10.9,6/17/25,09:06:10,FO,2,416,624,0,0.333,0,0.333
06:17.6,6/17/25,09:06:17,SLCE,,Light Curve end ,,,,,
06:50.0,6/17/25,09:06:49,SLCS,,Light Curve start ,1,,,,
06:50.0,6/17/25,09:06:49,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
06:50.0,6/17/25,09:06:49,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
06:51.4,6/17/25,09:06:51,FO,3,122,305,0,0.6,0,0.6
06:59.0,6/17/25,09:06:58,SLCE,,Light Curve end ,,,,,
07:34.8,6/17/25,09:07:34,SLCS,,Light Curve start ,1,,,,
07:34.8,6/17/25,09:07:34,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
07:34.8,6/17/25,09:07:34,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
07:36.1,6/17/25,09:07:36,FO,4,396,646,0,0.387,0,0.387
07:52.4,6/17/25,09:07:52,SLCE,,Light Curve end ,,,,,
08:20.1,6/17/25,09:08:20,SLCS,,Light Curve start ,2,,,,
08:20.1,6/17/25,09:08:20,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
08:20.1,6/17/25,09:08:20,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
08:21.5,6/17/25,09:08:21,FO,5,134,356,0,0.624,0,0.624
08:30.1,6/17/25,09:08:30,SLCE,,Light Curve end ,,,,,
08:47.2,6/17/25,09:08:47,SLCS,,Light Curve start ,2,,,,
08:47.2,6/17/25,09:08:47,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
08:47.2,6/17/25,09:08:47,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
08:48.6,6/17/25,09:08:48,FO,6,157,454,0,0.654,0,0.654
08:54.7,6/17/25,09:08:54,SLCE,,Light Curve end ,,,,,
09:20.0,6/17/25,09:09:19,SLCS,,Light Curve start ,2,,,,
09:20.0,6/17/25,09:09:19,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
09:20.0,6/17/25,09:09:19,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
09:21.4,6/17/25,09:09:21,FO,7,97,219,0,0.557,0,0.557
09:26.6,6/17/25,09:09:26,SLCE,,Light Curve end ,,,,,
10:03.2,6/17/25,09:10:03,SLCS,,Light Curve start ,3,,,,
10:03.2,6/17/25,09:10:03,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
10:03.2,6/17/25,09:10:03,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
10:04.6,6/17/25,09:10:04,FO,8,112,324,0,0.654,0,0.654
10:13.7,6/17/25,09:10:13,SLCE,,Light Curve end ,,,,,
10:51.5,6/17/25,09:10:51,SLCS,,Light Curve start ,3,,,,
10:51.5,6/17/25,09:10:51,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
10:51.5,6/17/25,09:10:51,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
10:52.9,6/17/25,09:10:52,FO,9,44,111,0,0.604,0,0.604
10:57.3,6/17/25,09:10:57,SLCE,,Light Curve end ,,,,,
11:44.8,6/17/25,09:11:44,SLCS,,Light Curve start ,3,,,,
11:44.8,6/17/25,09:11:44,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
11:44.8,6/17/25,09:11:44,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
11:46.2,6/17/25,09:11:46,FO,10,123,294,0,0.582,0,0.582
11:51.5,6/17/25,09:11:51,SLCE,,Light Curve end ,,,,,
12:19.4,6/17/25,09:12:19,SLCS,,Light Curve start ,4,,,,
12:19.4,6/17/25,09:12:19,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
12:19.4,6/17/25,09:12:19,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
12:20.8,6/17/25,09:12:20,FO,11,73,190,0,0.616,0,0.616
12:25.5,6/17/25,09:12:25,SLCE,,Light Curve end ,,,,,
12:46.6,6/17/25,09:12:46,SLCS,,Light Curve start ,4,,,,
12:46.6,6/17/25,09:12:46,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
12:46.6,6/17/25,09:12:46,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
12:48.0,6/17/25,09:12:47,FO,12,102,322,0,0.683,0,0.683
13:04.7,6/17/25,09:13:04,SLCE,,Light Curve end ,,,,,
13:41.8,6/17/25,09:13:41,SLCS,,Light Curve start ,4,,,,
13:41.8,6/17/25,09:13:41,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
13:41.8,6/17/25,09:13:41,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
13:43.2,6/17/25,09:13:43,FO,13,187,532,0,0.648,0,0.648
13:48.7,6/17/25,09:13:48,SLCE,,Light Curve end ,,,,,
16:33.7,6/17/25,09:16:33,SLCS,,Light Curve start ,5,,,,
16:33.7,6/17/25,09:16:33,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
16:33.7,6/17/25,09:16:33,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
16:35.1,6/17/25,09:16:35,FO,14,70,186,0,0.624,0,0.624
16:43.0,6/17/25,09:16:42,SLCE,,Light Curve end ,,,,,
17:01.3,6/17/25,09:17:01,SLCS,,Light Curve start ,5,,,,
17:01.3,6/17/25,09:17:01,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
17:01.3,6/17/25,09:17:01,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
17:02.7,6/17/25,09:17:02,FO,15,280,582,0,0.519,0,0.519
17:08.8,6/17/25,09:17:08,SLCE,,Light Curve end ,,,,,
17:25.3,6/17/25,09:17:25,SLCS,,Light Curve start ,5,,,,
17:25.3,6/17/25,09:17:25,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
17:25.3,6/17/25,09:17:25,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
17:26.7,6/17/25,09:17:26,FO,16,105,301,0,0.651,0,0.651
17:38.5,6/17/25,09:17:38,SLCE,,Light Curve end ,,,,,
17:58.0,6/17/25,09:17:57,SLCS,,Light Curve start ,6,,,,
17:58.0,6/17/25,09:17:57,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
17:58.0,6/17/25,09:17:57,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
17:59.4,6/17/25,09:17:59,FO,17,230,541,0,0.575,0,0.575
18:09.5,6/17/25,09:18:09,SLCE,,Light Curve end ,,,,,
18:25.8,6/17/25,09:18:25,SLCS,,Light Curve start ,6,,,,
18:25.8,6/17/25,09:18:25,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
18:25.8,6/17/25,09:18:25,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
18:27.2,6/17/25,09:18:27,FO,18,201,527,0,0.619,0,0.619
