"2025-06-15";"12:34:39";"WinControl (rev 1195) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:Fo'";"1:qP";"1:NPQ";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-III (CFMG1231B) ";""
"2025-06-15 08:36:05.923";"2025-06-15";"08:36:05";"SLCS";"";"Light Curve start ";"449"
"2025-06-15 08:36:05.923";"2025-06-15";"08:36:05";"REG1";"";"#1: alpha: 0.364, ETRm: 51.260, Ik: 140.962   ( beta: 0.008, ETRmPot: 56.746 )   (Platt et al. 1980) ";""
"2025-06-15 08:36:05.923";"2025-06-15";"08:36:05";"REG2";"";"#1: alpha: 0.282, ETRm: 50.344, Ik: 178.316   (Jassby and Platt 1976) ";""
"2025-06-15 08:36:07.313";"2025-06-15";"08:36:07";"FO";"1";"106";"397";"0";"0.733";"0.0";"-";"-";"-";"106";"397";"0.733"
"2025-06-15 08:36:37.309";"2025-06-15";"08:36:37";"F";"2";"118";"259";"90";"0.544";"20.6";"93";"0.849";"0.533";"106";"397";"0.733"
"2025-06-15 08:37:07.290";"2025-06-15";"08:37:07";"F";"3";"126";"301";"125";"0.581";"30.5";"98";"0.862";"0.319";"106";"397";"0.733"
"2025-06-15 08:37:37.278";"2025-06-15";"08:37:37";"F";"4";"126";"260";"190";"0.515";"41.1";"93";"0.802";"0.527";"106";"397";"0.733"
"2025-06-15 08:38:07.268";"2025-06-15";"08:38:07";"F";"5";"124";"208";"285";"0.404";"48.4";"85";"0.683";"0.909";"106";"397";"0.733"
"2025-06-15 08:38:37.275";"2025-06-15";"08:38:37";"F";"6";"124";"173";"420";"0.283";"49.9";"79";"0.521";"1.295";"106";"397";"0.733"
"2025-06-15 08:39:07.272";"2025-06-15";"08:39:07";"F";"7";"125";"155";"625";"0.194";"50.9";"75";"0.375";"1.561";"106";"397";"0.733"
"2025-06-15 08:39:37.253";"2025-06-15";"08:39:37";"F";"8";"126";"146";"820";"0.137";"47.2";"73";"0.274";"1.719";"106";"397";"0.733"
"2025-06-15 08:40:07.248";"2025-06-15";"08:40:07";"F";"9";"128";"143";"1150";"0.105";"50.7";"72";"0.211";"1.776";"106";"397";"0.733"
"2025-06-15 08:40:10.735";"2025-06-15";"08:40:10";"SLCE";"";"Light Curve end ";""
"2025-06-15 08:41:22.133";"2025-06-15";"08:41:22";"SLCS";"";"Light Curve start ";"450"
"2025-06-15 08:41:22.133";"2025-06-15";"08:41:22";"REG1";"";"#1: alpha: 0.279, ETRm: 54.401, Ik: 194.776   ( beta: 0.053, ETRmPot: 91.484 )   (Platt et al. 1980) ";""
"2025-06-15 08:41:22.133";"2025-06-15";"08:41:22";"REG2";"";"#1: alpha: 0.240, ETRm: 51.756, Ik: 215.456   (Jassby and Platt 1976) ";""
"2025-06-15 08:41:23.528";"2025-06-15";"08:41:23";"FO";"10";"97";"293";"0";"0.669";"0.0";"-";"-";"-";"97";"293";"0.669"
"2025-06-15 08:41:53.515";"2025-06-15";"08:41:53";"F";"11";"122";"202";"90";"0.396";"15.0";"84";"0.678";"0.450";"97";"293";"0.669"
"2025-06-15 08:42:23.514";"2025-06-15";"08:42:23";"F";"12";"131";"266";"125";"0.508";"26.7";"94";"0.785";"0.102";"97";"293";"0.669"
