"2025-06-19";"12:21:12";"WinControl (rev 1195) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:Fo'";"1:qP";"1:qN";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-III (CFMG1231B) ";""
"2025-06-19 07:39:45.555";"2025-06-19";"07:39:45";"SLCS";"";"Light Curve start ";""
"2025-06-19 07:39:46.959";"2025-06-19";"07:39:46";"FO";"1";"0";"0";"0";"-";"-";"-";"-";"-";"0";"0";"-"
"2025-06-19 07:39:47.788";"2025-06-19";"07:39:47";"SLCE";"";"Light Curve end ";""
"2025-06-19 08:01:46.002";"2025-06-19";"08:01:46";"SLCS";"";"Light Curve start ";"461"
"2025-06-19 08:01:46.002";"2025-06-19";"08:01:46";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.004, ETRmPot: 44.680 )   (Platt et al. 1980) ";""
"2025-06-19 08:01:46.002";"2025-06-19";"08:01:46";"REG2";"";"#1: alpha: 0.146, ETRm: 47.768, Ik: 326.979   (Jassby and Platt 1976) ";""
"2025-06-19 08:01:47.395";"2025-06-19";"08:01:47";"FO";"2";"95";"306";"0";"0.690";"0.0";"-";"-";"-";"95";"306";"0.690"
"2025-06-19 08:02:17.377";"2025-06-19";"08:02:17";"F";"3";"142";"243";"90";"0.416";"15.7";"88";"0.652";"0.265";"95";"306";"0.690"
"2025-06-19 08:02:47.372";"2025-06-19";"08:02:47";"F";"4";"131";"206";"125";"0.364";"19.1";"83";"0.610";"0.417";"95";"306";"0.690"
"2025-06-19 08:03:17.353";"2025-06-19";"08:03:17";"F";"5";"131";"188";"190";"0.303";"24.2";"80";"0.528";"0.488";"95";"306";"0.690"
"2025-06-19 08:03:47.340";"2025-06-19";"08:03:47";"F";"6";"129";"179";"285";"0.279";"33.4";"78";"0.495";"0.521";"95";"306";"0.690"
"2025-06-19 08:04:17.332";"2025-06-19";"08:04:17";"F";"7";"131";"168";"420";"0.220";"38.8";"76";"0.402";"0.564";"95";"306";"0.690"
