"2025-06-23";"18:38:01";"WinControl (rev 1195) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:Fo'";"1:NPQ";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-III (CFMG1231B) ";""
"2025-06-23 13:55:32.229";"2025-06-23";"13:55:32";"SLCS";"";"Light Curve start ";"549"
"2025-06-23 13:55:32.229";"2025-06-23";"13:55:32";"REG1";"";"#1: alpha: 0.305, ETRm: 46.392, Ik: 151.884   ( beta: 0.013, ETRmPot: 55.547 )   (Platt et al. 1980) ";""
"2025-06-23 13:55:32.229";"2025-06-23";"13:55:32";"REG2";"";"#1: alpha: 0.248, ETRm: 44.905, Ik: 181.233   (Jassby and Platt 1976) ";""
"2025-06-23 13:55:33.620";"2025-06-23";"13:55:33";"FO";"1";"108";"254";"0";"0.575";"0.0";"-";"-";"108";"254";"0.575"
"2025-06-23 13:56:03.614";"2025-06-23";"13:56:03";"F";"2";"117";"237";"90";"0.506";"19.1";"105";"0.072";"108";"254";"0.575"
"2025-06-23 13:56:33.596";"2025-06-23";"13:56:33";"F";"3";"118";"245";"125";"0.518";"27.2";"106";"0.037";"108";"254";"0.575"
"2025-06-23 13:57:03.586";"2025-06-23";"13:57:03";"F";"4";"115";"208";"190";"0.447";"35.7";"99";"0.221";"108";"254";"0.575"
"2025-06-23 13:57:33.580";"2025-06-23";"13:57:33";"F";"5";"112";"171";"285";"0.345";"41.3";"90";"0.485";"108";"254";"0.575"
"2025-06-23 13:58:03.570";"2025-06-23";"13:58:03";"F";"6";"113";"153";"420";"0.261";"46.0";"84";"0.660";"108";"254";"0.575"
"2025-06-23 13:58:33.558";"2025-06-23";"13:58:33";"F";"7";"115";"138";"625";"0.167";"43.8";"80";"0.841";"108";"254";"0.575"
"2025-06-23 13:59:03.540";"2025-06-23";"13:59:03";"F";"8";"114";"132";"820";"0.136";"46.8";"78";"0.924";"108";"254";"0.575"
"2025-06-23 13:59:33.535";"2025-06-23";"13:59:33";"F";"9";"115";"126";"1150";"0.087";"42.0";"75";"1.016";"108";"254";"0.575"
"2025-06-23 13:59:37.393";"2025-06-23";"13:59:37";"SLCE";"";"Light Curve end ";""
"2025-06-23 14:02:31.653";"2025-06-23";"14:02:31";"SLCS";"";"Light Curve start ";"550"
"2025-06-23 14:02:31.653";"2025-06-23";"14:02:31";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.041, ETRmPot: 36.566 )   (Platt et al. 1980) ";""
"2025-06-23 14:02:31.653";"2025-06-23";"14:02:31";"REG2";"";"#1: alpha: 0.128, ETRm: 235.506, Ik: 1842.855   (Jassby and Platt 1976) ";""
"2025-06-23 14:02:33.046";"2025-06-23";"14:02:33";"FO";"10";"78";"133";"0";"0.414";"0.0";"-";"-";"78";"133";"0.414"
"2025-06-23 14:03:03.036";"2025-06-23";"14:03:03";"F";"11";"57";"91";"90";"0.374";"14.1";"61";"0.462";"78";"133";"0.414"
"2025-06-23 14:03:33.024";"2025-06-23";"14:03:33";"F";"12";"54";"84";"125";"0.357";"18.7";"58";"0.583";"78";"133";"0.414"
"2025-06-23 14:04:03.031";"2025-06-23";"14:04:03";"F";"13";"48";"79";"190";"0.392";"31.3";"56";"0.684";"78";"133";"0.414"
"2025-06-23 14:04:33.014";"2025-06-23";"14:04:33";"F";"14";"48";"76";"285";"0.368";"44.0";"54";"0.750";"78";"133";"0.414"
"2025-06-23 14:05:03.003";"2025-06-23";"14:05:03";"F";"15";"47";"69";"420";"0.319";"56.3";"51";"0.928";"78";"133";"0.414"
"2025-06-23 14:05:32.997";"2025-06-23";"14:05:32";"F";"16";"47";"67";"625";"0.299";"78.5";"49";"0.985";"78";"133";"0.414"
