"2025-06-07";"17:07:54";"WinControl (rev 1195) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:Fo'";"1:qP";"1:NPQ";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-III (CFMG1231B) ";""
"2025-06-07 15:20:24.470";"2025-06-07";"15:20:24";"SLCS";"";"Light Curve start ";"333"
"2025-06-07 15:20:24.470";"2025-06-07";"15:20:24";"REG1";"";"#1: alpha: 0.120, ETRm: 13.842, Ik: 115.378   ( beta: 0.001, ETRmPot: 14.640 )   (Platt et al. 1980) ";""
"2025-06-07 15:20:24.470";"2025-06-07";"15:20:24";"REG2";"";"#1: alpha: 0.093, ETRm: 13.535, Ik: 145.234   (Jassby and Platt 1976) ";""
"2025-06-07 15:20:25.853";"2025-06-07";"15:20:25";"FO";"1";"246";"639";"0";"0.615";"0.0";"-";"-";"-";"246";"639";"0.615"
"2025-06-07 15:20:55.846";"2025-06-07";"15:20:55";"F";"2";"382";"498";"90";"0.233";"8.8";"222";"0.420";"0.283";"246";"639";"0.615"
"2025-06-07 15:21:25.830";"2025-06-07";"15:21:25";"F";"3";"382";"463";"125";"0.175";"9.2";"215";"0.327";"0.380";"246";"639";"0.615"
"2025-06-07 15:21:55.824";"2025-06-07";"15:21:55";"F";"4";"382";"441";"190";"0.134";"10.7";"210";"0.255";"0.449";"246";"639";"0.615"
"2025-06-07 15:22:25.813";"2025-06-07";"15:22:25";"F";"5";"381";"423";"285";"0.099";"11.9";"206";"0.194";"0.511";"246";"639";"0.615"
"2025-06-07 15:22:55.796";"2025-06-07";"15:22:55";"F";"6";"378";"410";"420";"0.078";"13.8";"202";"0.154";"0.559";"246";"639";"0.615"
"2025-06-07 15:23:25.790";"2025-06-07";"15:23:25";"F";"7";"374";"397";"625";"0.058";"15.2";"199";"0.116";"0.610";"246";"639";"0.615"
"2025-06-07 15:23:55.772";"2025-06-07";"15:23:55";"F";"8";"368";"383";"820";"0.039";"13.4";"196";"0.080";"0.668";"246";"639";"0.615"
"2025-06-07 15:24:25.763";"2025-06-07";"15:24:25";"F";"9";"362";"372";"1150";"0.027";"13.0";"193";"0.056";"0.718";"246";"639";"0.615"
"2025-06-07 15:24:29.291";"2025-06-07";"15:24:29";"SLCE";"";"Light Curve end ";""
"2025-06-07 15:28:32.142";"2025-06-07";"15:28:32";"SLCS";"";"Light Curve start ";"333"
"2025-06-07 15:28:32.142";"2025-06-07";"15:28:32";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.005, ETRmPot: 7.676 )   (Platt et al. 1980) ";""
"2025-06-07 15:28:32.142";"2025-06-07";"15:28:32";"REG2";"";"#1: alpha: 0.093, ETRm: 9.405, Ik: 100.679   (Jassby and Platt 1976) ";""
"2025-06-07 15:28:33.529";"2025-06-07";"15:28:33";"FO";"10";"191";"322";"0";"0.407";"0.0";"-";"-";"-";"191";"322";"0.407"
"2025-06-07 15:29:03.518";"2025-06-07";"15:29:03";"F";"11";"215";"299";"25";"0.281";"3.0";"183";"0.724";"0.077";"191";"322";"0.407"
"2025-06-07 15:29:33.508";"2025-06-07";"15:29:33";"F";"12";"222";"288";"45";"0.229";"4.3";"179";"0.606";"0.118";"191";"322";"0.407"
"2025-06-07 15:30:03.496";"2025-06-07";"15:30:03";"F";"13";"226";"281";"65";"0.196";"5.4";"176";"0.524";"0.146";"191";"322";"0.407"
