"2025-06-16";"12:49:29";"WinControl (rev 1195) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:Fo'";"1:qP";"1:NPQ";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-III (CFMG1231B) ";""
"2025-06-16 08:30:03.753";"2025-06-16";"08:30:03";"SLCS";"";"Light Curve start ";""
"2025-06-16 08:30:05.150";"2025-06-16";"08:30:05";"FO";"1";"0";"0";"0";"-";"-";"-";"-";"-";"0";"0";"-"
"2025-06-16 08:30:05.812";"2025-06-16";"08:30:05";"SLCE";"";"Light Curve end ";""
"2025-06-16 08:39:36.403";"2025-06-16";"08:39:36";"SLCS";"";"Light Curve start ";"401"
"2025-06-16 08:39:36.403";"2025-06-16";"08:39:36";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.001, ETRmPot: 10.131 )   (Platt et al. 1980) ";""
"2025-06-16 08:39:36.403";"2025-06-16";"08:39:36";"REG2";"";"#1: alpha: 0.194, ETRm: 10.135, Ik: 52.271   (Jassby and Platt 1976) ";""
"2025-06-16 08:39:37.823";"2025-06-16";"08:39:37";"FO";"2";"149";"402";"0";"0.629";"0.0";"-";"-";"-";"149";"402";"0.629"
"2025-06-16 08:40:07.819";"2025-06-16";"08:40:07";"F";"3";"175";"331";"25";"0.471";"4.9";"138";"0.808";"0.215";"149";"402";"0.629"
"2025-06-16 08:40:37.808";"2025-06-16";"08:40:37";"F";"4";"183";"296";"45";"0.382";"7.2";"132";"0.689";"0.358";"149";"402";"0.629"
"2025-06-16 08:41:07.795";"2025-06-16";"08:41:07";"F";"5";"191";"275";"65";"0.305";"8.3";"127";"0.568";"0.462";"149";"402";"0.629"
"2025-06-16 08:41:37.777";"2025-06-16";"08:41:37";"F";"6";"196";"258";"90";"0.240";"9.1";"123";"0.459";"0.558";"149";"402";"0.629"
"2025-06-16 08:42:07.766";"2025-06-16";"08:42:07";"F";"7";"201";"246";"125";"0.183";"9.6";"121";"0.360";"0.634";"149";"402";"0.629"
"2025-06-16 08:42:37.760";"2025-06-16";"08:42:37";"F";"8";"207";"237";"190";"0.127";"10.1";"118";"0.252";"0.696";"149";"402";"0.629"
"2025-06-16 08:43:07.743";"2025-06-16";"08:43:07";"F";"9";"211";"232";"285";"0.091";"10.9";"117";"0.183";"0.733";"149";"402";"0.629"
"2025-06-16 08:43:37.732";"2025-06-16";"08:43:37";"F";"10";"214";"227";"420";"0.057";"10.1";"116";"0.117";"0.771";"149";"402";"0.629"
"2025-06-16 08:43:41.312";"2025-06-16";"08:43:41";"SLCE";"";"Light Curve end ";""
"2025-06-16 08:44:51.633";"2025-06-16";"08:44:51";"SLCS";"";"Light Curve start ";"402"
"2025-06-16 08:44:51.633";"2025-06-16";"08:44:51";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.003, ETRmPot: 8.834 )   (Platt et al. 1980) ";""
"2025-06-16 08:44:51.633";"2025-06-16";"08:44:51";"REG2";"";"#1: alpha: 0.151, ETRm: 9.732, Ik: 64.628   (Jassby and Platt 1976) ";""
"2025-06-16 08:44:53.024";"2025-06-16";"08:44:53";"FO";"11";"138";"371";"0";"0.628";"0.0";"-";"-";"-";"138";"371";"0.628"
"2025-06-16 08:45:23.013";"2025-06-16";"08:45:23";"F";"12";"181";"310";"25";"0.416";"4.4";"129";"0.713";"0.197";"138";"371";"0.628"
"2025-06-16 08:45:53.002";"2025-06-16";"08:45:53";"F";"13";"185";"273";"45";"0.322";"6.1";"122";"0.583";"0.359";"138";"371";"0.628"
"2025-06-16 08:46:22.988";"2025-06-16";"08:46:22";"F";"14";"190";"257";"65";"0.261";"7.1";"118";"0.482";"0.444";"138";"371";"0.628"
"2025-06-16 08:46:52.964";"2025-06-16";"08:46:52";"F";"15";"193";"245";"90";"0.212";"8.0";"116";"0.403";"0.514";"138";"371";"0.628"
"2025-06-16 08:47:22.968";"2025-06-16";"08:47:22";"F";"16";"195";"235";"125";"0.170";"8.9";"114";"0.331";"0.579";"138";"371";"0.628"
"2025-06-16 08:47:52.948";"2025-06-16";"08:47:52";"F";"17";"200";"229";"190";"0.127";"10.1";"112";"0.248";"0.620";"138";"371";"0.628"
"2025-06-16 08:48:22.937";"2025-06-16";"08:48:22";"F";"18";"203";"220";"285";"0.077";"9.2";"110";"0.155";"0.686";"138";"371";"0.628"
"2025-06-16 08:48:52.934";"2025-06-16";"08:48:52";"F";"19";"204";"217";"420";"0.060";"10.6";"109";"0.120";"0.710";"138";"371";"0.628"
"2025-06-16 08:48:56.785";"2025-06-16";"08:48:56";"SLCE";"";"Light Curve end ";""
"2025-06-16 08:49:59.579";"2025-06-16";"08:49:59";"SLCS";"";"Light Curve start ";"403"
"2025-06-16 08:49:59.579";"2025-06-16";"08:49:59";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.023, ETRmPot: 13.501 )   (Platt et al. 1980) ";""
"2025-06-16 08:49:59.579";"2025-06-16";"08:49:59";"REG2";"";"#1: alpha: 0.148, ETRm: 25.197, Ik: 170.041   (Jassby and Platt 1976) ";""
"2025-06-16 08:50:00.978";"2025-06-16";"08:50:00";"FO";"20";"64";"183";"0";"0.650";"0.0";"-";"-";"-";"64";"183";"0.650"
"2025-06-16 08:50:30.962";"2025-06-16";"08:50:30";"F";"21";"81";"156";"25";"0.481";"5.1";"60";"0.781";"0.173";"64";"183";"0.650"
"2025-06-16 08:51:00.957";"2025-06-16";"08:51:00";"F";"22";"81";"140";"45";"0.421";"8.0";"58";"0.720";"0.307";"64";"183";"0.650"
"2025-06-16 08:51:30.938";"2025-06-16";"08:51:30";"F";"23";"81";"133";"65";"0.391";"10.7";"57";"0.684";"0.376";"64";"183";"0.650"
"2025-06-16 08:52:00.926";"2025-06-16";"08:52:00";"F";"24";"83";"125";"90";"0.336";"12.7";"55";"0.600";"0.464";"64";"183";"0.650"
"2025-06-16 08:52:30.916";"2025-06-16";"08:52:30";"F";"25";"86";"121";"125";"0.289";"15.2";"54";"0.522";"0.512";"64";"183";"0.650"
"2025-06-16 08:53:00.904";"2025-06-16";"08:53:00";"F";"26";"88";"115";"190";"0.235";"18.8";"53";"0.435";"0.591";"64";"183";"0.650"
"2025-06-16 08:53:30.889";"2025-06-16";"08:53:30";"F";"27";"91";"110";"285";"0.173";"20.7";"52";"0.328";"0.664";"64";"183";"0.650"
"2025-06-16 08:54:00.879";"2025-06-16";"08:54:00";"F";"28";"91";"108";"420";"0.157";"27.7";"51";"0.298";"0.694";"64";"183";"0.650"
"2025-06-16 08:54:04.154";"2025-06-16";"08:54:04";"SLCE";"";"Light Curve end ";""
"2025-06-16 08:54:46.625";"2025-06-16";"08:54:46";"SLCS";"";"Light Curve start ";"404"
"2025-06-16 08:54:46.625";"2025-06-16";"08:54:46";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.004, ETRmPot: 11.577 )   (Platt et al. 1980) ";""
"2025-06-16 08:54:46.625";"2025-06-16";"08:54:46";"REG2";"";"#1: alpha: 0.152, ETRm: 12.692, Ik: 83.700   (Jassby and Platt 1976) ";""
"2025-06-16 08:54:48.013";"2025-06-16";"08:54:48";"FO";"29";"168";"457";"0";"0.632";"0.0";"-";"-";"-";"168";"457";"0.632"
"2025-06-16 08:55:17.996";"2025-06-16";"08:55:17";"F";"30";"191";"316";"25";"0.396";"4.2";"144";"0.727";"0.446";"168";"457";"0.632"
"2025-06-16 08:55:47.988";"2025-06-16";"08:55:47";"F";"31";"192";"292";"45";"0.342";"6.5";"139";"0.654";"0.565";"168";"457";"0.632"
"2025-06-16 08:56:17.980";"2025-06-16";"08:56:17";"F";"32";"192";"278";"65";"0.309";"8.4";"136";"0.606";"0.644";"168";"457";"0.632"
"2025-06-16 08:56:47.971";"2025-06-16";"08:56:47";"F";"33";"195";"262";"90";"0.256";"9.7";"132";"0.515";"0.744";"168";"457";"0.632"
"2025-06-16 08:57:17.950";"2025-06-16";"08:57:17";"F";"34";"198";"251";"125";"0.211";"11.1";"129";"0.434";"0.821";"168";"457";"0.632"
"2025-06-16 08:57:47.940";"2025-06-16";"08:57:47";"F";"35";"201";"235";"190";"0.145";"11.6";"125";"0.309";"0.945";"168";"457";"0.632"
"2025-06-16 08:58:17.933";"2025-06-16";"08:58:17";"F";"36";"204";"229";"285";"0.109";"13.0";"123";"0.236";"0.996";"168";"457";"0.632"
"2025-06-16 08:58:47.910";"2025-06-16";"08:58:47";"F";"37";"207";"224";"420";"0.076";"13.4";"122";"0.167";"1.040";"168";"457";"0.632"
"2025-06-16 08:58:51.430";"2025-06-16";"08:58:51";"SLCE";"";"Light Curve end ";""
"2025-06-16 08:59:25.546";"2025-06-16";"08:59:25";"SLCS";"";"Light Curve start ";"405"
"2025-06-16 08:59:25.546";"2025-06-16";"08:59:25";"REG1";"";"#1: alpha: 0.325, ETRm: 15.582, Ik: 48.005   ( beta: 0.004, ETRmPot: 16.639 )   (Platt et al. 1980) ";""
"2025-06-16 08:59:25.546";"2025-06-16";"08:59:25";"REG2";"";"#1: alpha: 0.245, ETRm: 15.377, Ik: 62.655   (Jassby and Platt 1976) ";""
"2025-06-16 08:59:26.935";"2025-06-16";"08:59:26";"FO";"38";"86";"301";"0";"0.714";"0.0";"-";"-";"-";"86";"301";"0.714"
"2025-06-16 08:59:56.950";"2025-06-16";"08:59:56";"F";"39";"98";"204";"25";"0.520";"5.5";"76";"0.828";"0.475";"86";"301";"0.714"
"2025-06-16 09:00:26.938";"2025-06-16";"09:00:26";"F";"40";"98";"179";"45";"0.453";"8.6";"72";"0.757";"0.682";"86";"301";"0.714"
"2025-06-16 09:00:56.928";"2025-06-16";"09:00:56";"F";"41";"98";"177";"65";"0.446";"12.2";"72";"0.752";"0.701";"86";"301";"0.714"
"2025-06-16 09:01:26.916";"2025-06-16";"09:01:26";"F";"42";"100";"163";"90";"0.387";"14.6";"69";"0.670";"0.847";"86";"301";"0.714"
"2025-06-16 09:01:56.903";"2025-06-16";"09:01:56";"F";"43";"103";"148";"125";"0.304";"16.0";"66";"0.549";"1.034";"86";"301";"0.714"
"2025-06-16 09:02:26.885";"2025-06-16";"09:02:26";"F";"44";"108";"132";"190";"0.182";"14.5";"63";"0.348";"1.280";"86";"301";"0.714"
"2025-06-16 09:02:56.883";"2025-06-16";"09:02:56";"F";"45";"111";"126";"285";"0.119";"14.2";"62";"0.234";"1.389";"86";"301";"0.714"
"2025-06-16 09:03:26.864";"2025-06-16";"09:03:26";"F";"46";"111";"122";"420";"0.090";"15.9";"61";"0.180";"1.467";"86";"301";"0.714"
"2025-06-16 09:03:30.518";"2025-06-16";"09:03:30";"SLCE";"";"Light Curve end ";""
"2025-06-16 09:04:47.956";"2025-06-16";"09:04:47";"SLCS";"";"Light Curve start ";"406"
"2025-06-16 09:04:47.956";"2025-06-16";"09:04:47";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.005, ETRmPot: 6.398 )   (Platt et al. 1980) ";""
"2025-06-16 09:04:47.956";"2025-06-16";"09:04:47";"REG2";"";"#1: alpha: 0.163, ETRm: 7.552, Ik: 46.375   (Jassby and Platt 1976) ";""
"2025-06-16 09:04:49.354";"2025-06-16";"09:04:49";"FO";"47";"118";"318";"0";"0.629";"0.0";"-";"-";"-";"118";"318";"0.629"
"2025-06-16 09:05:19.343";"2025-06-16";"09:05:19";"F";"48";"134";"230";"25";"0.417";"4.4";"103";"0.756";"0.383";"118";"318";"0.629"
"2025-06-16 09:05:49.331";"2025-06-16";"09:05:49";"F";"49";"138";"197";"45";"0.299";"5.7";"96";"0.584";"0.614";"118";"318";"0.629"
"2025-06-16 09:06:19.320";"2025-06-16";"09:06:19";"F";"50";"142";"182";"65";"0.220";"6.0";"92";"0.444";"0.747";"118";"318";"0.629"
"2025-06-16 09:06:49.310";"2025-06-16";"09:06:49";"F";"51";"143";"174";"90";"0.178";"6.7";"90";"0.369";"0.828";"118";"318";"0.629"
"2025-06-16 09:07:19.298";"2025-06-16";"09:07:19";"F";"52";"146";"170";"125";"0.141";"7.4";"89";"0.296";"0.871";"118";"318";"0.629"
"2025-06-16 09:07:49.287";"2025-06-16";"09:07:49";"F";"53";"150";"165";"190";"0.091";"7.3";"88";"0.195";"0.927";"118";"318";"0.629"
"2025-06-16 09:08:19.275";"2025-06-16";"09:08:19";"F";"54";"151";"161";"285";"0.062";"7.4";"87";"0.135";"0.975";"118";"318";"0.629"
"2025-06-16 09:08:49.264";"2025-06-16";"09:08:49";"F";"55";"152";"160";"420";"0.050";"8.8";"86";"0.108";"0.988";"118";"318";"0.629"
"2025-06-16 09:08:52.419";"2025-06-16";"09:08:52";"SLCE";"";"Light Curve end ";""
"2025-06-16 09:10:40.940";"2025-06-16";"09:10:40";"SLCS";"";"Light Curve start ";"407"
"2025-06-16 09:10:40.940";"2025-06-16";"09:10:40";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.006, ETRmPot: 9.451 )   (Platt et al. 1980) ";""
