"2024-08-06";"19:31:05";"WinControl (rev 1195) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:Fo'";"1:NPQ";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-III (CFMG1129B) ";""
"2024-08-06 19:07:52.894";"2024-08-06";"19:07:52";"SLCS";"";"Light Curve start ";"dawn_seawater1"
"2024-08-06 19:07:52.894";"2024-08-06";"19:07:52";"REG1";"";"#1: alpha: 0.132, ETRm: 23.012, Ik: 173.756   ( beta: 1.220, ETRmPot: 607.126 )   (Platt et al. 1980) ";""
"2024-08-06 19:07:52.894";"2024-08-06";"19:07:52";"REG2";"";"#1: alpha: 0.118, ETRm: 21.607, Ik: 183.341   (Jassby and Platt 1976) ";""
"2024-08-06 19:07:54.275";"2024-08-06";"19:07:54";"FO";"1";"64";"181";"0";"0.646";"0.0";"-";"-";"64";"181";"0.646"
"2024-08-06 19:08:04.265";"2024-08-06";"19:08:04";"F";"2";"82";"137";"65";"0.401";"10.9";"57";"0.321";"64";"181";"0.646"
"2024-08-06 19:08:14.254";"2024-08-06";"19:08:14";"F";"3";"83";"123";"90";"0.325";"12.3";"55";"0.472";"64";"181";"0.646"
"2024-08-06 19:08:24.245";"2024-08-06";"19:08:24";"F";"4";"73";"90";"125";"0.189";"9.9";"47";"1.011";"64";"181";"0.646"
"2024-08-06 19:08:34.239";"2024-08-06";"19:08:34";"F";"5";"64";"81";"190";"0.210";"16.8";"45";"1.235";"64";"181";"0.646"
"2024-08-06 19:08:44.232";"2024-08-06";"19:08:44";"F";"6";"79";"89";"285";"0.112";"13.4";"47";"1.034";"64";"181";"0.646"
"2024-08-06 19:08:54.219";"2024-08-06";"19:08:54";"F";"7";"73";"88";"420";"0.170";"30.0";"47";"1.057";"64";"181";"0.646"
"2024-08-06 19:09:04.203";"2024-08-06";"19:09:04";"F";"8";"95";"104";"625";"0.087";"22.8";"51";"0.740";"64";"181";"0.646"
"2024-08-06 19:09:14.198";"2024-08-06";"19:09:14";"F";"9";"97";"102";"820";"0.049";"16.9";"50";"0.775";"64";"181";"0.646"
"2024-08-06 19:09:18.077";"2024-08-06";"19:09:18";"SLCE";"";"Light Curve end ";""
"2024-08-06 19:09:47.434";"2024-08-06";"19:09:47";"SLCS";"";"Light Curve start ";"dawn_seawater2"
