ID,treatment,salinity,plant_part,initial_weight,d5_weight,final_weight
ct101,1,35 ppt,canopy,0.3964,0.414,0.4159
ct102,1,28 ppt,canopy,0.3709,0.3949,0.404
ct103,2,35 ppt,canopy,0.4576,0.428,0.4143
ct104,2,28 ppt,canopy,0.4222,0.4321,0.4307
ct105,3,35 ppt,canopy,0.3401,0.3892,0.415
ct106,3,28 ppt,canopy,0.3468,0.3963,0.4028
ct107,4,35 ppt,canopy,0.4233,0.433,0.4747
ct108,4,28 ppt,canopy,0.3557,0.3168,0.2047
ct109,1,35 ppt,canopy,0.3341,0.3599,0.3541
ct110,1,28 ppt,canopy,0.3718,0.4046,0.4127
ct111,2,35 ppt,canopy,0.4199,0.4269,0.4501
ct112,2,28 ppt,canopy,0.4662,0.4616,0.4686
ct113,3,35 ppt,canopy,0.4141,0.5223,0.5538
ct114,3,28 ppt,canopy,0.3366,0.3762,0.4363
ct115,4,35 ppt,canopy,0.3049,0.3401,0.3662
ct116,4,28 ppt,canopy,0.3636,0.387,0.3558
ct117,1,35 ppt,canopy,0.3076,0.3422,0.3556
ct118,1,28 ppt,canopy,0.4116,0.4915,0.5161
ct119,2,35 ppt,canopy,0.3653,0.3252,0.3392
ct120,2,28 ppt,canopy,0.3916,0.3905,0.3764
ct121,3,35 ppt,canopy,0.4109,0.414,0.4021
ct122,3,28 ppt,canopy,0.4254,0.4152,0.3418
ct123,4,35 ppt,canopy,0.3467,0.3596,0.3758
ct124,4,28 ppt,canopy,0.5064,0.4649,0.387
ct125,1,35 ppt,canopy,0.3847,0.4383,0.4345
ct126,1,28 ppt,canopy,0.352,0.4553,0.4457
ct127,2,35 ppt,canopy,0.4095,0.4597,0.4768
ct128,2,28 ppt,canopy,0.3621,0.3763,0.3344
ct129,3,35 ppt,canopy,0.3032,0.3345,0.2989
ct130,3,28 ppt,canopy,0.4004,0.4207,0.3988
ct131,4,35 ppt,canopy,0.4775,0.5031,0.4782
ct132,4,28 ppt,canopy,0.4874,0.4867,0.46
ct133,1,35 ppt,canopy,0.4412,0.4621,0.4828
ct134,1,28 ppt,canopy,0.3593,0.3722,0.4031
ct135,2,35 ppt,canopy,0.4155,0.4501,0.4766
ct136,2,28 ppt,canopy,0.4086,0.4019,0.3257
ct137,3,35 ppt,canopy,0.4013,0.431,0.4318
ct138,3,28 ppt,canopy,0.3498,0.4574,0.4973
ct139,4,35 ppt,canopy,0.335,0.3777,0.4059
ct140,4,28 ppt,canopy,0.3134,0.3337,0.3043
ct141,1,35 ppt,canopy,0.3794,0.4006,0.4228
ct142,1,28 ppt,canopy,0.3477,0.37,0.3827
ct143,2,35 ppt,canopy,0.3806,0.4714,0.5449
ct144,2,28 ppt,canopy,0.3534,0.3793,0.3613
ct145,3,35 ppt,canopy,0.4356,0.4672,0.4637
ct146,3,28 ppt,canopy,0.3522,0.3442,0.3283
ct147,4,35 ppt,canopy,0.3805,0.3988,0.3931
ct148,4,28 ppt,canopy,0.4104,0.4436,0.4525
ct149,1,35 ppt,under,0.4615,0.4983,0.5332
ct150,1,28 ppt,under,0.4468,0.4398,0.4092
ct151,2,35 ppt,under,0.3672,0.394,0.3755
ct152,2,28 ppt,under,0.4865,0.4496,0.4294
ct153,3,35 ppt,under,0.4462,0.4498,0.4265
ct154,3,28 ppt,under,0.4084,0.4422,0.4649
ct155,4,35 ppt,under,0.4857,0.4691,0.4059
ct156,4,28 ppt,under,0.3695,0.3772,0.3704
ct157,1,35 ppt,under,0.4168,0.4206,0.4574
ct158,1,28 ppt,under,0.4521,0.5118,0.5825
ct159,2,35 ppt,under,0.3737,0.3828,0.3639
ct160,2,28 ppt,under,0.4263,0.3506,0.1585
ct161,3,35 ppt,under,0.3952,0.4139,0.4309
ct162,3,28 ppt,under,0.3989,0.4312,0.4316
ct163,4,35 ppt,under,0.4033,0.4041,0.4198
ct164,4,28 ppt,under,0.3553,0.3692,0.4046
ct165,1,35 ppt,under,0.3904,0.4129,0.4458
ct166,1,28 ppt,under,0.432,0.4723,0.5241
ct167,2,35 ppt,under,0.4285,0.4268,0.4291
ct168,2,28 ppt,under,0.4725,0.5055,0.5245
ct169,3,35 ppt,under,0.3904,0.4113,0.4132
ct170,3,28 ppt,under,0.4269,0.4959,0.4849
ct171,4,35 ppt,under,0.4457,0.4406,0.4569
ct172,4,28 ppt,under,0.4821,0.5275,0.5806
ct173,1,35 ppt,under,0.4669,0.5093,0.5395
