#,Date-Time (U.S. Outlying Islands Standard Time),Temperature   (°C),Button Up,Button Down,Host Connected,End of File
1220,08/12/2024 00:00:00,25.641,,,,
1221,08/12/2024 00:10:00,25.619,,,,
1222,08/12/2024 00:20:00,25.609,,,,
1223,08/12/2024 00:30:00,25.587,,,,
1224,08/12/2024 00:40:00,25.577,,,,
1225,08/12/2024 00:50:00,25.566,,,,
1226,08/12/2024 01:00:00,25.544,,,,
1227,08/12/2024 01:10:00,25.544,,,,
1228,08/12/2024 01:20:00,25.544,,,,
1229,08/12/2024 01:30:00,25.534,,,,
1230,08/12/2024 01:40:00,25.534,,,,
1231,08/12/2024 01:50:00,25.512,,,,
1232,08/12/2024 02:00:00,25.469,,,,
1233,08/12/2024 02:10:00,25.416,,,,
1234,08/12/2024 02:20:00,25.362,,,,
1235,08/12/2024 02:30:00,25.319,,,,
1236,08/12/2024 02:40:00,25.266,,,,
1237,08/12/2024 02:50:00,25.223,,,,
1238,08/12/2024 03:00:00,25.180,,,,
1239,08/12/2024 03:10:00,25.148,,,,
1240,08/12/2024 03:20:00,25.126,,,,
1241,08/12/2024 03:30:00,25.105,,,,
1242,08/12/2024 03:40:00,25.094,,,,
1243,08/12/2024 03:50:00,25.083,,,,
1244,08/12/2024 04:00:00,25.073,,,,
1245,08/12/2024 04:10:00,25.062,,,,
1246,08/12/2024 04:20:00,25.051,,,,
1247,08/12/2024 04:30:00,25.030,,,,
1248,08/12/2024 04:40:00,25.019,,,,
1249,08/12/2024 04:50:00,25.008,,,,
1250,08/12/2024 05:00:00,24.997,,,,
1251,08/12/2024 05:10:00,24.997,,,,
1252,08/12/2024 05:20:00,24.976,,,,
1253,08/12/2024 05:30:00,24.955,,,,
1254,08/12/2024 05:40:00,24.933,,,,
1255,08/12/2024 05:50:00,24.912,,,,
1256,08/12/2024 06:00:00,24.890,,,,
1257,08/12/2024 06:10:00,24.879,,,,
1258,08/12/2024 06:20:00,24.858,,,,
1259,08/12/2024 06:30:00,24.847,,,,
1260,08/12/2024 06:40:00,24.826,,,,
1261,08/12/2024 06:50:00,24.826,,,,
1262,08/12/2024 07:00:00,24.826,,,,
1263,08/12/2024 07:10:00,24.826,,,,
1264,08/12/2024 07:20:00,24.826,,,,
1265,08/12/2024 07:30:00,24.837,,,,
1266,08/12/2024 07:40:00,24.847,,,,
1267,08/12/2024 07:50:00,24.826,,,,
1268,08/12/2024 08:00:00,24.804,,,,
1269,08/12/2024 08:10:00,24.633,,,,
1270,08/12/2024 08:20:00,24.493,,,,
1271,08/12/2024 08:30:00,24.483,,,,
1272,08/12/2024 08:40:00,24.483,,,,
