#,Date-Time (U.S. Outlying Islands Standard Time),Temperature   (°C),Button Down,Host Connected,End of File
1,07/25/2024 09:00:00,27.175,,,
2,07/25/2024 09:10:00,26.853,,,
3,07/25/2024 09:20:00,26.574,,,
4,07/25/2024 09:30:00,26.349,,,
5,07/25/2024 09:40:00,26.177,,,
6,07/25/2024 09:50:00,28.269,,,
7,07/25/2024 10:00:00,28.944,,,
8,07/25/2024 10:10:00,28.934,,,
9,07/25/2024 10:20:00,29.341,,,
10,07/25/2024 10:30:00,29.952,,,
11,07/25/2024 10:40:00,31.014,,,
12,07/25/2024 10:50:00,31.218,,,
13,07/25/2024 11:00:00,31.239,,,
14,07/25/2024 11:10:00,30.532,,,
15,07/25/2024 11:20:00,30.692,,,
16,07/25/2024 11:30:00,31.164,,,
17,07/25/2024 11:40:00,31.754,,,
18,07/25/2024 11:50:00,31.904,,,
19,07/25/2024 12:00:00,32.108,,,
20,07/25/2024 12:10:00,32.344,,,
21,07/25/2024 12:20:00,32.419,,,
22,07/25/2024 12:30:00,32.355,,,
23,07/25/2024 12:40:00,32.719,,,
24,07/25/2024 12:50:00,32.945,,,
25,07/25/2024 13:00:00,33.256,,,
26,07/25/2024 13:10:00,33.320,,,
27,07/25/2024 13:20:00,33.728,,,
28,07/25/2024 13:30:00,33.149,,,
29,07/25/2024 13:40:00,32.773,,,
30,07/25/2024 13:50:00,32.473,,,
31,07/25/2024 14:00:00,32.205,,,
32,07/25/2024 14:10:00,32.162,,,
33,07/25/2024 14:20:00,32.140,,,
34,07/25/2024 14:30:00,31.969,,,
35,07/25/2024 14:40:00,31.808,,,
36,07/25/2024 14:50:00,31.529,,,
37,07/25/2024 15:00:00,31.390,,,
38,07/25/2024 15:10:00,31.475,,,
39,07/25/2024 15:20:00,31.304,,,
40,07/25/2024 15:30:00,31.443,,,
41,07/25/2024 15:40:00,31.357,,,
42,07/25/2024 15:50:00,31.089,,,
43,07/25/2024 16:00:00,31.046,,,
44,07/25/2024 16:10:00,31.068,,,
45,07/25/2024 16:20:00,30.961,,,
46,07/25/2024 16:30:00,30.692,,,
47,07/25/2024 16:40:00,30.478,,,
48,07/25/2024 16:50:00,30.285,,,
49,07/25/2024 17:00:00,30.145,,,
50,07/25/2024 17:10:00,30.156,,,
51,07/25/2024 17:20:00,30.049,,,
52,07/25/2024 17:30:00,29.910,,,
53,07/25/2024 17:40:00,29.749,,,
54,07/25/2024 17:50:00,29.620,,,
55,07/25/2024 18:00:00,29.577,,,
56,07/25/2024 18:10:00,29.523,,,
57,07/25/2024 18:20:00,29.416,,,
58,07/25/2024 18:30:00,29.298,,,
