#,Date-Time (U.S. Outlying Islands Standard Time),Temperature   (°C),Button Up,Button Down,Host Connected,End of File
1243,08/03/2024 00:00:00,25.984,,,
1244,08/03/2024 00:10:00,25.920,,,
1245,08/03/2024 00:20:00,25.855,,,
1246,08/03/2024 00:30:00,25.791,,,
1247,08/03/2024 00:40:00,25.716,,,
1248,08/03/2024 00:50:00,25.673,,,
1249,08/03/2024 01:00:00,25.609,,,
1250,08/03/2024 01:10:00,25.544,,,
1251,08/03/2024 01:20:00,25.459,,,
1252,08/03/2024 01:30:00,25.405,,,
1253,08/03/2024 01:40:00,25.341,,,
1254,08/03/2024 01:50:00,25.287,,,
1255,08/03/2024 02:00:00,25.244,,,
1256,08/03/2024 02:10:00,25.201,,,
1257,08/03/2024 02:20:00,25.158,,,
1258,08/03/2024 02:30:00,25.115,,,
1259,08/03/2024 02:40:00,25.062,,,
1260,08/03/2024 02:50:00,25.019,,,
1261,08/03/2024 03:00:00,24.965,,,
1262,08/03/2024 03:10:00,24.912,,,
1263,08/03/2024 03:20:00,24.858,,,
1264,08/03/2024 03:30:00,24.804,,,
1265,08/03/2024 03:40:00,24.761,,,
1266,08/03/2024 03:50:00,24.708,,,
1267,08/03/2024 04:00:00,24.654,,,
1268,08/03/2024 04:10:00,24.611,,,
1269,08/03/2024 04:20:00,24.558,,,
1270,08/03/2024 04:30:00,24.515,,,
1271,08/03/2024 04:40:00,24.461,,,
1272,08/03/2024 04:50:00,24.408,,,
1273,08/03/2024 05:00:00,24.365,,,
1274,08/03/2024 05:10:00,24.311,,,
1275,08/03/2024 05:20:00,24.257,,,
1276,08/03/2024 05:30:00,24.225,,,
1277,08/03/2024 05:40:00,24.172,,,
1278,08/03/2024 05:50:00,24.129,,,
1279,08/03/2024 06:00:00,24.086,,,
1280,08/03/2024 06:10:00,24.054,,,
1281,08/03/2024 06:20:00,24.021,,,
1282,08/03/2024 06:30:00,23.989,,,
1283,08/03/2024 06:40:00,23.968,,,
1284,08/03/2024 06:50:00,23.936,,,
1285,08/03/2024 07:00:00,23.914,,,
1286,08/03/2024 07:10:00,23.893,,,
1287,08/03/2024 07:20:00,23.882,,,
1288,08/03/2024 07:30:00,23.861,,,
1289,08/03/2024 07:40:00,23.861,,,
1290,08/03/2024 07:50:00,23.882,,,
1291,08/03/2024 08:00:00,23.871,,,
1292,08/03/2024 08:10:00,23.882,,,
1293,08/03/2024 08:20:00,23.882,,,
1294,08/03/2024 08:30:00,23.893,,,
1295,08/03/2024 08:40:00,23.903,,,
1296,08/03/2024 08:50:00,23.968,,,
1297,08/03/2024 09:00:00,24.011,,,
1298,08/03/2024 09:10:00,24.075,,,
1299,08/03/2024 09:20:00,24.086,,,
1300,08/03/2024 09:30:00,24.172,,,
1301,08/03/2024 09:40:00,24.225,,,
1302,08/03/2024 09:50:00,24.247,,,
1303,08/03/2024 10:00:00,24.279,,,
1304,08/03/2024 10:10:00,24.365,,,
1305,08/03/2024 10:20:00,24.397,,,
1306,08/03/2024 10:30:00,24.590,,,
1307,08/03/2024 10:40:00,24.740,,,
1308,08/03/2024 10:50:00,24.847,,,
1309,08/03/2024 11:00:00,24.965,,,
1310,08/03/2024 11:10:00,25.008,,,
1311,08/03/2024 11:20:00,25.169,,,
1312,08/03/2024 11:30:00,25.266,,,
1313,08/03/2024 11:40:00,25.362,,,
1314,08/03/2024 11:50:00,25.502,,,
1315,08/03/2024 12:00:00,25.587,,,
1316,08/03/2024 12:10:00,25.716,,,
1317,08/03/2024 12:20:00,25.780,,,
3,08/03/2024 13:00:00,26.209,,,,
4,08/03/2024 13:10:00,26.263,,,,
5,08/03/2024 13:20:00,26.177,,,,
6,08/03/2024 13:30:00,26.349,,,,
7,08/03/2024 13:40:00,26.456,,,,
8,08/03/2024 13:50:00,26.435,,,,
9,08/03/2024 14:00:00,26.553,,,,
10,08/03/2024 14:10:00,26.671,,,,
11,08/03/2024 14:20:00,26.553,,,,
12,08/03/2024 14:30:00,26.692,,,,
13,08/03/2024 14:40:00,26.778,,,,
14,08/03/2024 14:50:00,26.874,,,,
15,08/03/2024 15:00:00,26.960,,,,
16,08/03/2024 15:10:00,26.939,,,,
17,08/03/2024 15:20:00,27.046,,,,
18,08/03/2024 15:30:00,27.024,,,,
19,08/03/2024 15:40:00,27.110,,,,
20,08/03/2024 15:50:00,27.164,,,,
21,08/03/2024 16:00:00,27.207,,,,
22,08/03/2024 16:10:00,27.185,,,,
23,08/03/2024 16:20:00,27.185,,,,
24,08/03/2024 16:30:00,27.153,,,,
25,08/03/2024 16:40:00,27.121,,,,
26,08/03/2024 16:50:00,27.078,,,,
27,08/03/2024 17:00:00,27.110,,,,
28,08/03/2024 17:10:00,27.121,,,,
29,08/03/2024 17:20:00,27.110,,,,
30,08/03/2024 17:30:00,27.078,,,,
31,08/03/2024 17:40:00,27.089,,,,
32,08/03/2024 17:50:00,27.078,,,,
33,08/03/2024 18:00:00,27.057,,,,
34,08/03/2024 18:10:00,27.014,,,,
35,08/03/2024 18:20:00,26.982,,,,
36,08/03/2024 18:30:00,26.949,,,,
37,08/03/2024 18:40:00,26.906,,,,
38,08/03/2024 18:50:00,26.853,,,,
39,08/03/2024 19:00:00,26.799,,,,
40,08/03/2024 19:10:00,26.735,,,,
41,08/03/2024 19:20:00,26.681,,,,
42,08/03/2024 19:30:00,26.638,,,,
43,08/03/2024 19:40:00,26.585,,,,
44,08/03/2024 19:50:00,26.542,,,,
