#,Date-Time (U.S. Outlying Islands Standard Time),Temperature   (°C),Host Connected,End of File
1,08/03/2024 08:00:00,23.861,,
2,08/03/2024 08:10:00,23.861,,
3,08/03/2024 08:20:00,23.882,,
4,08/03/2024 08:30:00,23.914,,
5,08/03/2024 08:40:00,23.957,,
6,08/03/2024 08:50:00,23.957,,
7,08/03/2024 09:00:00,24.000,,
8,08/03/2024 09:10:00,24.043,,
9,08/03/2024 09:20:00,24.097,,
10,08/03/2024 09:30:00,24.172,,
11,08/03/2024 09:40:00,24.225,,
12,08/03/2024 09:50:00,24.193,,
13,08/03/2024 10:00:00,24.311,,
14,08/03/2024 10:10:00,24.472,,
15,08/03/2024 10:20:00,24.547,,
16,08/03/2024 10:30:00,24.772,,
17,08/03/2024 10:40:00,24.944,,
18,08/03/2024 10:50:00,25.073,,
19,08/03/2024 11:00:00,25.223,,
20,08/03/2024 11:10:00,25.287,,
21,08/03/2024 11:20:00,25.534,,
22,08/03/2024 11:30:00,25.716,,
23,08/03/2024 11:40:00,25.898,,
24,08/03/2024 11:50:00,26.166,,
25,08/03/2024 12:00:00,26.413,,
26,08/03/2024 12:10:00,26.370,,
27,08/03/2024 12:20:00,26.671,,
28,08/03/2024 12:30:00,26.831,,
29,08/03/2024 12:40:00,26.831,,
30,08/03/2024 12:50:00,26.864,,
31,08/03/2024 13:00:00,27.196,,
32,08/03/2024 13:10:00,27.175,,
33,08/03/2024 13:20:00,26.917,,
34,08/03/2024 13:30:00,27.089,,
35,08/03/2024 13:40:00,27.153,,
36,08/03/2024 13:50:00,27.142,,
37,08/03/2024 14:00:00,27.357,,
38,08/03/2024 14:10:00,27.529,,
39,08/03/2024 14:20:00,27.357,,
40,08/03/2024 14:30:00,27.561,,
41,08/03/2024 14:40:00,27.647,,
42,08/03/2024 14:50:00,27.775,,
43,08/03/2024 15:00:00,27.829,,
44,08/03/2024 15:10:00,27.829,,
45,08/03/2024 15:20:00,27.947,,
46,08/03/2024 15:30:00,27.958,,
47,08/03/2024 15:40:00,28.097,,
48,08/03/2024 15:50:00,28.140,,
49,08/03/2024 16:00:00,28.129,,
50,08/03/2024 16:10:00,28.076,,
51,08/03/2024 16:20:00,28.033,,
52,08/03/2024 16:30:00,28.022,,
53,08/03/2024 16:40:00,27.979,,
54,08/03/2024 16:50:00,27.947,,
55,08/03/2024 17:00:00,27.915,,
56,08/03/2024 17:10:00,27.915,,
57,08/03/2024 17:20:00,27.882,,
58,08/03/2024 17:30:00,27.797,,
59,08/03/2024 17:40:00,27.775,,
60,08/03/2024 17:50:00,27.754,,
61,08/03/2024 18:00:00,27.722,,
62,08/03/2024 18:10:00,27.657,,
63,08/03/2024 18:20:00,27.647,,
64,08/03/2024 18:30:00,27.593,,
65,08/03/2024 18:40:00,27.529,,
66,08/03/2024 18:50:00,27.453,,
67,08/03/2024 19:00:00,27.378,,
68,08/03/2024 19:10:00,27.303,,
69,08/03/2024 19:20:00,27.239,,
70,08/03/2024 19:30:00,27.153,,
71,08/03/2024 19:40:00,27.100,,
72,08/03/2024 19:50:00,27.046,,
73,08/03/2024 20:00:00,26.982,,
74,08/03/2024 20:10:00,26.928,,
75,08/03/2024 20:20:00,26.874,,
76,08/03/2024 20:30:00,26.821,,
77,08/03/2024 20:40:00,26.746,,
78,08/03/2024 20:50:00,26.692,,
79,08/03/2024 21:00:00,26.628,,
80,08/03/2024 21:10:00,26.595,,
81,08/03/2024 21:20:00,26.520,,
82,08/03/2024 21:30:00,26.488,,
83,08/03/2024 21:40:00,26.445,,
84,08/03/2024 21:50:00,26.381,,
85,08/03/2024 22:00:00,26.349,,
86,08/03/2024 22:10:00,26.284,,
87,08/03/2024 22:20:00,26.242,,
88,08/03/2024 22:30:00,26.209,,
89,08/03/2024 22:40:00,26.156,,
90,08/03/2024 22:50:00,26.113,,
91,08/03/2024 23:00:00,26.070,,
92,08/03/2024 23:10:00,26.016,,
93,08/03/2024 23:20:00,25.973,,
94,08/03/2024 23:30:00,25.952,,
95,08/03/2024 23:40:00,25.909,,
96,08/03/2024 23:50:00,25.866,,
97,08/04/2024 00:00:00,25.834,,
98,08/04/2024 00:10:00,25.813,,
99,08/04/2024 00:20:00,25.780,,
100,08/04/2024 00:30:00,25.716,,
101,08/04/2024 00:40:00,25.695,,
102,08/04/2024 00:50:00,25.652,,
103,08/04/2024 01:00:00,25.630,,
104,08/04/2024 01:10:00,25.587,,
105,08/04/2024 01:20:00,25.544,,
106,08/04/2024 01:30:00,25.502,,
107,08/04/2024 01:40:00,25.459,,
108,08/04/2024 01:50:00,25.437,,
109,08/04/2024 02:00:00,25.384,,
110,08/04/2024 02:10:00,25.351,,
111,08/04/2024 02:20:00,25.308,,
112,08/04/2024 02:30:00,25.266,,
113,08/04/2024 02:40:00,25.244,,
114,08/04/2024 02:50:00,25.169,,
115,08/04/2024 03:00:00,25.148,,
116,08/04/2024 03:10:00,25.094,,
117,08/04/2024 03:20:00,25.051,,
118,08/04/2024 03:30:00,24.997,,
119,08/04/2024 03:40:00,24.965,,
120,08/04/2024 03:50:00,24.912,,
121,08/04/2024 04:00:00,24.879,,
122,08/04/2024 04:10:00,24.826,,
123,08/04/2024 04:20:00,24.804,,
124,08/04/2024 04:30:00,24.772,,
125,08/04/2024 04:40:00,24.751,,
126,08/04/2024 04:50:00,24.708,,
127,08/04/2024 05:00:00,24.676,,
128,08/04/2024 05:10:00,24.644,,
129,08/04/2024 05:20:00,24.633,,
130,08/04/2024 05:30:00,24.568,,
131,08/04/2024 05:40:00,24.547,,
132,08/04/2024 05:50:00,24.536,,
133,08/04/2024 06:00:00,24.504,,
134,08/04/2024 06:10:00,24.493,,
135,08/04/2024 06:20:00,24.461,,
136,08/04/2024 06:30:00,24.429,,
137,08/04/2024 06:40:00,24.440,,
138,08/04/2024 06:50:00,24.375,,
139,08/04/2024 07:00:00,24.375,,
140,08/04/2024 07:10:00,24.365,,
141,08/04/2024 07:20:00,24.354,,
142,08/04/2024 07:30:00,24.354,,
143,08/04/2024 07:40:00,24.397,,
144,08/04/2024 07:50:00,24.408,,
145,08/04/2024 08:00:00,24.408,,
146,08/04/2024 08:10:00,24.408,,
147,08/04/2024 08:20:00,24.429,,
148,08/04/2024 08:30:00,24.472,,
149,08/04/2024 08:40:00,24.450,,
150,08/04/2024 08:50:00,24.526,,
151,08/04/2024 09:00:00,24.558,,
152,08/04/2024 09:10:00,24.558,,
153,08/04/2024 09:20:00,24.622,,
154,08/04/2024 09:30:00,24.644,,
155,08/04/2024 09:40:00,24.708,,
156,08/04/2024 09:50:00,24.772,,
157,08/04/2024 10:00:00,24.815,,
158,08/04/2024 10:10:00,24.890,,
159,08/04/2024 10:20:00,24.944,,
160,08/04/2024 10:30:00,24.997,,
161,08/04/2024 10:40:00,24.987,,
162,08/04/2024 10:50:00,25.169,,
163,08/04/2024 11:00:00,25.308,,
164,08/04/2024 11:10:00,25.534,,
165,08/04/2024 11:20:00,25.759,,
166,08/04/2024 11:30:00,25.866,,
167,08/04/2024 11:40:00,25.931,,
168,08/04/2024 11:50:00,26.338,,
169,08/04/2024 12:00:00,26.220,,
170,08/04/2024 12:10:00,26.456,,
171,08/04/2024 12:20:00,26.842,,
172,08/04/2024 12:30:00,27.057,,
173,08/04/2024 12:40:00,27.260,,
174,08/04/2024 12:50:00,27.475,,
175,08/04/2024 13:00:00,27.132,,
176,08/04/2024 13:10:00,27.196,,
177,08/04/2024 13:20:00,27.346,,
178,08/04/2024 13:30:00,27.453,,
179,08/04/2024 13:40:00,27.582,,
180,08/04/2024 13:50:00,27.775,,
181,08/04/2024 14:00:00,27.947,,
182,08/04/2024 14:10:00,28.108,,
183,08/04/2024 14:20:00,28.140,,
184,08/04/2024 14:30:00,28.290,,
185,08/04/2024 14:40:00,28.247,,
186,08/04/2024 14:50:00,28.472,,
187,08/04/2024 15:00:00,28.483,,
188,08/04/2024 15:10:00,28.429,,
189,08/04/2024 15:20:00,28.408,,
190,08/04/2024 15:30:00,28.408,,
191,08/04/2024 15:40:00,28.365,,
192,08/04/2024 15:50:00,28.440,,
193,08/04/2024 16:00:00,28.344,,
194,08/04/2024 16:10:00,28.322,,
195,08/04/2024 16:20:00,28.311,,
196,08/04/2024 16:30:00,28.279,,
197,08/04/2024 16:40:00,28.236,,
198,08/04/2024 16:50:00,28.215,,
199,08/04/2024 17:00:00,28.183,,
200,08/04/2024 17:10:00,28.161,,
201,08/04/2024 17:20:00,28.172,,
202,08/04/2024 17:30:00,28.108,,
203,08/04/2024 17:40:00,28.076,,
204,08/04/2024 17:50:00,28.022,,
205,08/04/2024 18:00:00,27.990,,
206,08/04/2024 18:10:00,27.958,,
207,08/04/2024 18:20:00,27.915,,
208,08/04/2024 18:30:00,27.882,,
209,08/04/2024 18:40:00,27.829,,
210,08/04/2024 18:50:00,27.797,,
211,08/04/2024 19:00:00,27.743,,
212,08/04/2024 19:10:00,27.668,,
213,08/04/2024 19:20:00,27.614,,
214,08/04/2024 19:30:00,27.539,,
215,08/04/2024 19:40:00,27.475,,
216,08/04/2024 19:50:00,27.400,,
217,08/04/2024 20:00:00,27.314,,
218,08/04/2024 20:10:00,27.260,,
219,08/04/2024 20:20:00,27.185,,
220,08/04/2024 20:30:00,27.110,,
221,08/04/2024 20:40:00,27.067,,
222,08/04/2024 20:50:00,27.014,,
223,08/04/2024 21:00:00,26.949,,
224,08/04/2024 21:10:00,26.906,,
225,08/04/2024 21:20:00,26.853,,
226,08/04/2024 21:30:00,26.767,,
227,08/04/2024 21:40:00,26.724,,
228,08/04/2024 21:50:00,26.692,,
229,08/04/2024 22:00:00,26.628,,
230,08/04/2024 22:10:00,26.563,,
231,08/04/2024 22:20:00,26.531,,
232,08/04/2024 22:30:00,26.477,,
233,08/04/2024 22:40:00,26.402,,
234,08/04/2024 22:50:00,26.381,,
235,08/04/2024 23:00:00,26.317,,
236,08/04/2024 23:10:00,26.274,,
237,08/04/2024 23:20:00,26.199,,
238,08/04/2024 23:30:00,26.166,,
239,08/04/2024 23:40:00,26.102,,
240,08/04/2024 23:50:00,26.048,,
241,08/05/2024 00:00:00,26.027,,
242,08/05/2024 00:10:00,25.941,,
243,08/05/2024 00:20:00,25.909,,
244,08/05/2024 00:30:00,25.855,,
245,08/05/2024 00:40:00,25.813,,
246,08/05/2024 00:50:00,25.770,,
247,08/05/2024 01:00:00,25.716,,
248,08/05/2024 01:10:00,25.662,,
249,08/05/2024 01:20:00,25.630,,
250,08/05/2024 01:30:00,25.577,,
251,08/05/2024 01:40:00,25.523,,
252,08/05/2024 01:50:00,25.469,,
253,08/05/2024 02:00:00,25.426,,
254,08/05/2024 02:10:00,25.405,,
255,08/05/2024 02:20:00,25.362,,
256,08/05/2024 02:30:00,25.330,,
257,08/05/2024 02:40:00,25.266,,
258,08/05/2024 02:50:00,25.233,,
259,08/05/2024 03:00:00,25.148,,
260,08/05/2024 03:10:00,25.083,,
261,08/05/2024 03:20:00,25.051,,
262,08/05/2024 03:30:00,24.987,,
263,08/05/2024 03:40:00,24.912,,
264,08/05/2024 03:50:00,24.847,,
265,08/05/2024 04:00:00,24.794,,
266,08/05/2024 04:10:00,24.751,,
267,08/05/2024 04:20:00,24.665,,
268,08/05/2024 04:30:00,24.633,,
269,08/05/2024 04:40:00,24.590,,
270,08/05/2024 04:50:00,24.515,,
271,08/05/2024 05:00:00,24.472,,
272,08/05/2024 05:10:00,24.408,,
273,08/05/2024 05:20:00,24.354,,
274,08/05/2024 05:30:00,24.300,,
275,08/05/2024 05:40:00,24.279,,
276,08/05/2024 05:50:00,24.236,,
277,08/05/2024 06:00:00,24.182,,
278,08/05/2024 06:10:00,24.129,,
279,08/05/2024 06:20:00,24.086,,
280,08/05/2024 06:30:00,24.043,,
281,08/05/2024 06:40:00,24.011,,
282,08/05/2024 06:50:00,23.979,,
283,08/05/2024 07:00:00,23.957,,
284,08/05/2024 07:10:00,23.914,,
285,08/05/2024 07:20:00,23.882,,
286,08/05/2024 07:30:00,23.871,,
287,08/05/2024 07:40:00,23.871,,
288,08/05/2024 07:50:00,23.850,,
289,08/05/2024 08:00:00,23.861,,
290,08/05/2024 08:10:00,23.903,,
291,08/05/2024 08:20:00,23.925,,
292,08/05/2024 08:30:00,23.957,,
293,08/05/2024 08:40:00,24.032,,
294,08/05/2024 08:50:00,24.043,,
295,08/05/2024 09:00:00,24.043,,
296,08/05/2024 09:10:00,24.129,,
297,08/05/2024 09:20:00,24.172,,
298,08/05/2024 09:30:00,24.257,,
299,08/05/2024 09:40:00,24.461,,
300,08/05/2024 09:50:00,24.547,,
301,08/05/2024 10:00:00,24.590,,
302,08/05/2024 10:10:00,24.644,,
303,08/05/2024 10:20:00,24.869,,
304,08/05/2024 10:30:00,25.008,,
305,08/05/2024 10:40:00,25.158,,
306,08/05/2024 10:50:00,25.201,,
307,08/05/2024 11:00:00,25.351,,
308,08/05/2024 11:10:00,25.598,,
309,08/05/2024 11:20:00,25.813,,
310,08/05/2024 11:30:00,25.909,,
311,08/05/2024 11:40:00,26.124,,
312,08/05/2024 11:50:00,26.242,,
313,08/05/2024 12:00:00,26.542,,
314,08/05/2024 12:10:00,26.649,,
315,08/05/2024 12:20:00,26.649,,
316,08/05/2024 12:30:00,27.100,,
317,08/05/2024 12:40:00,27.185,,
318,08/05/2024 12:50:00,27.260,,
319,08/05/2024 13:00:00,27.453,,
320,08/05/2024 13:10:00,27.475,,
321,08/05/2024 13:20:00,27.529,,
322,08/05/2024 13:30:00,27.636,,
323,08/05/2024 13:40:00,27.818,,
324,08/05/2024 13:50:00,27.968,,
325,08/05/2024 14:00:00,28.172,,
