#,Date-Time (U.S. Outlying Islands Standard Time),Temperature   (°C),Button Down,Host Connected,Button Up,End of File
1,07/25/2024 09:00:00,26.038,,,,
2,07/25/2024 09:10:00,25.995,,,,
3,07/25/2024 09:20:00,25.941,,,,
4,07/25/2024 09:30:00,25.952,,,,
5,07/25/2024 09:40:00,25.866,,,,
6,07/25/2024 09:50:00,27.657,,,,
7,07/25/2024 10:00:00,28.076,,,,
8,07/25/2024 10:10:00,28.076,,,,
9,07/25/2024 10:20:00,28.429,,,,
10,07/25/2024 10:30:00,28.955,,,,
11,07/25/2024 10:40:00,29.770,,,,
12,07/25/2024 10:50:00,29.738,,,,
13,07/25/2024 11:00:00,30.092,,,,
14,07/25/2024 11:10:00,29.513,,,,
15,07/25/2024 11:20:00,29.620,,,,
16,07/25/2024 11:30:00,29.920,,,,
17,07/25/2024 11:40:00,30.499,,,,
18,07/25/2024 11:50:00,30.768,,,,
19,07/25/2024 12:00:00,31.121,,,,
20,07/25/2024 12:10:00,31.304,,,,
21,07/25/2024 12:20:00,31.357,,,,
22,07/25/2024 12:30:00,31.304,,,,
23,07/25/2024 12:40:00,31.647,,,,
24,07/25/2024 12:50:00,31.840,,,,
25,07/25/2024 13:00:00,32.151,,,,
26,07/25/2024 13:10:00,32.183,,,,
27,07/25/2024 13:20:00,32.537,,,,
28,07/25/2024 13:30:00,32.108,,,,
29,07/25/2024 13:40:00,31.786,,,,
30,07/25/2024 13:50:00,31.679,,,,
31,07/25/2024 14:00:00,31.422,,,,
32,07/25/2024 14:10:00,31.379,,,,
33,07/25/2024 14:20:00,31.357,,,,
34,07/25/2024 14:30:00,31.282,,,,
35,07/25/2024 14:40:00,31.186,,,,
36,07/25/2024 14:50:00,31.025,,,,
37,07/25/2024 15:00:00,30.907,,,,
38,07/25/2024 15:10:00,30.928,,,,
39,07/25/2024 15:20:00,30.821,,,,
40,07/25/2024 15:30:00,30.907,,,,
41,07/25/2024 15:40:00,30.821,,,,
42,07/25/2024 15:50:00,30.671,,,,
43,07/25/2024 16:00:00,30.671,,,,
44,07/25/2024 16:10:00,30.692,,,,
45,07/25/2024 16:20:00,30.628,,,,
46,07/25/2024 16:30:00,30.467,,,,
47,07/25/2024 16:40:00,30.349,,,,
48,07/25/2024 16:50:00,30.199,,,,
49,07/25/2024 17:00:00,30.081,,,,
50,07/25/2024 17:10:00,30.124,,,,
51,07/25/2024 17:20:00,30.006,,,,
52,07/25/2024 17:30:00,29.877,,,,
53,07/25/2024 17:40:00,29.770,,,,
54,07/25/2024 17:50:00,29.663,,,,
55,07/25/2024 18:00:00,29.588,,,,
56,07/25/2024 18:10:00,29.513,,,,
57,07/25/2024 18:20:00,29.448,,,,
58,07/25/2024 18:30:00,29.330,,,,
59,07/25/2024 18:40:00,29.245,,,,
60,07/25/2024 18:50:00,29.159,,,,
61,07/25/2024 19:00:00,29.052,,,,
62,07/25/2024 19:10:00,28.944,,,,
63,07/25/2024 19:20:00,28.858,,,,
64,07/25/2024 19:30:00,28.740,,,,
65,07/25/2024 19:40:00,28.644,,,,
66,07/25/2024 19:50:00,28.505,,,,
67,07/25/2024 20:00:00,28.397,,,,
68,07/25/2024 20:10:00,28.279,,,,
69,07/25/2024 20:20:00,28.151,,,,
70,07/25/2024 20:30:00,28.011,,,,
71,07/25/2024 20:40:00,27.915,,,,
72,07/25/2024 20:50:00,27.797,,,,
73,07/25/2024 21:00:00,27.689,,,,
74,07/25/2024 21:10:00,27.604,,,,
75,07/25/2024 21:20:00,27.496,,,,
76,07/25/2024 21:30:00,27.378,,,,
77,07/25/2024 21:40:00,27.293,,,,
78,07/25/2024 21:50:00,27.196,,,,
79,07/25/2024 22:00:00,27.121,,,,
80,07/25/2024 22:10:00,27.024,,,,
81,07/25/2024 22:20:00,26.949,,,,
82,07/25/2024 22:30:00,26.874,,,,
83,07/25/2024 22:40:00,26.789,,,,
84,07/25/2024 22:50:00,26.724,,,,
85,07/25/2024 23:00:00,26.671,,,,
86,07/25/2024 23:10:00,26.585,,,,
87,07/25/2024 23:20:00,26.510,,,,
88,07/25/2024 23:30:00,26.456,,,,
89,07/25/2024 23:40:00,26.413,,,,
90,07/25/2024 23:50:00,26.349,,,,
91,07/26/2024 00:00:00,26.295,,,,
92,07/26/2024 00:10:00,26.242,,,,
93,07/26/2024 00:20:00,26.188,,,,
94,07/26/2024 00:30:00,26.156,,,,
95,07/26/2024 00:40:00,26.091,,,,
96,07/26/2024 00:50:00,26.038,,,,
97,07/26/2024 01:00:00,26.006,,,,
98,07/26/2024 01:10:00,25.963,,,,
99,07/26/2024 01:20:00,25.931,,,,
100,07/26/2024 01:30:00,25.898,,,,
101,07/26/2024 01:40:00,25.866,,,,
102,07/26/2024 01:50:00,25.813,,,,
103,07/26/2024 02:00:00,25.770,,,,
104,07/26/2024 02:10:00,25.737,,,,
105,07/26/2024 02:20:00,25.673,,,,
106,07/26/2024 02:30:00,25.662,,,,
107,07/26/2024 02:40:00,25.641,,,,
108,07/26/2024 02:50:00,25.587,,,,
109,07/26/2024 03:00:00,25.523,,,,
110,07/26/2024 03:10:00,25.502,,,,
111,07/26/2024 03:20:00,25.437,,,,
112,07/26/2024 03:30:00,25.384,,,,
113,07/26/2024 03:40:00,25.351,,,,
114,07/26/2024 03:50:00,25.319,,,,
115,07/26/2024 04:00:00,25.276,,,,
116,07/26/2024 04:10:00,25.244,,,,
117,07/26/2024 04:20:00,25.212,,,,
118,07/26/2024 04:30:00,25.180,,,,
119,07/26/2024 04:40:00,25.137,,,,
120,07/26/2024 04:50:00,25.126,,,,
121,07/26/2024 05:00:00,25.062,,,,
122,07/26/2024 05:10:00,25.073,,,,
123,07/26/2024 05:20:00,25.030,,,,
124,07/26/2024 05:30:00,25.030,,,,
125,07/26/2024 05:40:00,24.997,,,,
126,07/26/2024 05:50:00,24.944,,,,
127,07/26/2024 06:00:00,24.933,,,,
128,07/26/2024 06:10:00,24.890,,,,
129,07/26/2024 06:20:00,24.901,,,,
130,07/26/2024 06:30:00,24.869,,,,
131,07/26/2024 06:40:00,24.879,,,,
132,07/26/2024 06:50:00,24.847,,,,
133,07/26/2024 07:00:00,24.847,,,,
134,07/26/2024 07:10:00,24.847,,,,
135,07/26/2024 07:20:00,24.847,,,,
136,07/26/2024 07:30:00,24.837,,,,
137,07/26/2024 07:40:00,24.869,,,,
138,07/26/2024 07:50:00,24.890,,,,
139,07/26/2024 08:00:00,24.933,,,,
140,07/26/2024 08:10:00,24.965,,,,
141,07/26/2024 08:20:00,25.008,,,,
142,07/26/2024 08:30:00,25.083,,,,
143,07/26/2024 08:40:00,25.137,,,,
144,07/26/2024 08:50:00,25.201,,,,
145,07/26/2024 09:00:00,25.319,,,,
146,07/26/2024 09:10:00,25.416,,,,
147,07/26/2024 09:20:00,25.437,,,,
148,07/26/2024 09:30:00,25.491,,,,
149,07/26/2024 09:40:00,25.652,,,,
150,07/26/2024 09:50:00,25.684,,,,
151,07/26/2024 10:00:00,25.759,,,,
152,07/26/2024 10:10:00,25.855,,,,
153,07/26/2024 10:20:00,25.995,,,,
154,07/26/2024 10:30:00,26.231,,,,
155,07/26/2024 10:40:00,26.381,,,,
156,07/26/2024 10:50:00,26.531,,,,
157,07/26/2024 11:00:00,26.692,,,,
158,07/26/2024 11:10:00,26.864,,,,
159,07/26/2024 11:20:00,27.057,,,,
160,07/26/2024 11:30:00,27.228,,,,
161,07/26/2024 11:40:00,27.443,,,,
162,07/26/2024 11:50:00,27.722,,,,
163,07/26/2024 12:00:00,27.861,,,,
164,07/26/2024 12:10:00,27.947,,,,
165,07/26/2024 12:20:00,28.129,,,,
166,07/26/2024 12:30:00,28.279,,,,
167,07/26/2024 12:40:00,28.387,,,,
168,07/26/2024 12:50:00,28.483,,,,
169,07/26/2024 13:00:00,28.537,,,,
170,07/26/2024 13:10:00,28.676,,,,
171,07/26/2024 13:20:00,28.740,,,,
172,07/26/2024 13:30:00,28.826,,,,
173,07/26/2024 13:40:00,28.858,,,,
174,07/26/2024 13:50:00,28.901,,,,
175,07/26/2024 14:00:00,28.976,,,,
176,07/26/2024 14:10:00,29.491,,,,
177,07/26/2024 14:20:00,28.773,,,,
178,07/26/2024 14:30:00,28.440,,,,
179,07/26/2024 14:40:00,28.408,,,,
180,07/26/2024 14:50:00,28.580,,,,
181,07/26/2024 15:00:00,28.633,,,,
182,07/26/2024 15:10:00,28.494,,,,
183,07/26/2024 15:20:00,28.419,,,,
184,07/26/2024 15:30:00,28.505,,,,
185,07/26/2024 15:40:00,28.590,,,,
186,07/26/2024 15:50:00,28.708,,,,
187,07/26/2024 16:00:00,28.858,,,,
188,07/26/2024 16:10:00,28.944,,,,
189,07/26/2024 16:20:00,29.030,,,,
190,07/26/2024 16:30:00,29.105,,,,
