#,Date-Time (U.S. Outlying Islands Standard Time),Temperature   (°C),Button Down,Button Up,Host Connected,End of File
1,07/25/2024 09:00:00,27.303,,,,
2,07/25/2024 09:10:00,26.971,,,,
3,07/25/2024 09:20:00,26.649,,,,
4,07/25/2024 09:30:00,26.424,,,,
5,07/25/2024 09:40:00,26.231,,,,
6,07/25/2024 09:50:00,27.614,,,,
7,07/25/2024 10:00:00,28.000,,,,
8,07/25/2024 10:10:00,28.054,,,,
9,07/25/2024 10:20:00,28.408,,,,
10,07/25/2024 10:30:00,28.848,,,,
11,07/25/2024 10:40:00,29.534,,,,
12,07/25/2024 10:50:00,29.813,,,,
13,07/25/2024 11:00:00,30.392,,,,
14,07/25/2024 11:10:00,29.985,,,,
15,07/25/2024 11:20:00,30.199,,,,
16,07/25/2024 11:30:00,30.403,,,,
17,07/25/2024 11:40:00,30.864,,,,
18,07/25/2024 11:50:00,31.186,,,,
19,07/25/2024 12:00:00,31.475,,,,
20,07/25/2024 12:10:00,31.733,,,,
21,07/25/2024 12:20:00,31.797,,,,
22,07/25/2024 12:30:00,31.851,,,,
23,07/25/2024 12:40:00,32.323,,,,
24,07/25/2024 12:50:00,32.580,,,,
25,07/25/2024 13:00:00,32.870,,,,
26,07/25/2024 13:10:00,32.923,,,,
27,07/25/2024 13:20:00,33.288,,,,
28,07/25/2024 13:30:00,32.795,,,,
29,07/25/2024 13:40:00,32.473,,,,
30,07/25/2024 13:50:00,32.462,,,,
31,07/25/2024 14:00:00,32.162,,,,
32,07/25/2024 14:10:00,32.130,,,,
33,07/25/2024 14:20:00,32.119,,,,
34,07/25/2024 14:30:00,32.087,,,,
35,07/25/2024 14:40:00,32.001,,,,
36,07/25/2024 14:50:00,31.840,,,,
37,07/25/2024 15:00:00,31.733,,,,
38,07/25/2024 15:10:00,31.819,,,,
39,07/25/2024 15:20:00,31.701,,,,
40,07/25/2024 15:30:00,31.861,,,,
41,07/25/2024 15:40:00,31.829,,,,
42,07/25/2024 15:50:00,31.626,,,,
43,07/25/2024 16:00:00,31.615,,,,
44,07/25/2024 16:10:00,31.658,,,,
45,07/25/2024 16:20:00,31.647,,,,
46,07/25/2024 16:30:00,31.411,,,,
47,07/25/2024 16:40:00,31.229,,,,
48,07/25/2024 16:50:00,31.143,,,,
49,07/25/2024 17:00:00,30.993,,,,
50,07/25/2024 17:10:00,31.003,,,,
51,07/25/2024 17:20:00,30.886,,,,
52,07/25/2024 17:30:00,30.725,,,,
53,07/25/2024 17:40:00,30.617,,,,
54,07/25/2024 17:50:00,30.467,,,,
55,07/25/2024 18:00:00,30.403,,,,
56,07/25/2024 18:10:00,30.296,,,,
57,07/25/2024 18:20:00,30.210,,,,
58,07/25/2024 18:30:00,30.092,,,,
59,07/25/2024 18:40:00,30.006,,,,
60,07/25/2024 18:50:00,29.899,,,,
61,07/25/2024 19:00:00,29.770,,,,
62,07/25/2024 19:10:00,29.620,,,,
63,07/25/2024 19:20:00,29.448,,,,
64,07/25/2024 19:30:00,29.341,,,,
65,07/25/2024 19:40:00,29.212,,,,
66,07/25/2024 19:50:00,29.019,,,,
67,07/25/2024 20:00:00,28.912,,,,
68,07/25/2024 20:10:00,28.805,,,,
69,07/25/2024 20:20:00,28.623,,,,
70,07/25/2024 20:30:00,28.494,,,,
