#,Date-Time (U.S. Outlying Islands Standard Time),Temperature   (°C),Host Connected,End of File
1243,08/03/2024 00:00:00,25.791,,,,
1244,08/03/2024 00:10:00,25.748,,,,
1245,08/03/2024 00:20:00,25.695,,,,
1246,08/03/2024 00:30:00,25.609,,,,
1247,08/03/2024 00:40:00,25.544,,,,
1248,08/03/2024 00:50:00,25.502,,,,
1249,08/03/2024 01:00:00,25.448,,,,
1250,08/03/2024 01:10:00,25.373,,,,
1251,08/03/2024 01:20:00,25.308,,,,
1252,08/03/2024 01:30:00,25.255,,,,
1253,08/03/2024 01:40:00,25.223,,,,
1254,08/03/2024 01:50:00,25.158,,,,
1255,08/03/2024 02:00:00,25.115,,,,
1256,08/03/2024 02:10:00,25.094,,,,
1257,08/03/2024 02:20:00,25.051,,,,
1258,08/03/2024 02:30:00,25.030,,,,
1259,08/03/2024 02:40:00,24.965,,,,
1260,08/03/2024 02:50:00,24.901,,,,
1261,08/03/2024 03:00:00,24.869,,,,
1262,08/03/2024 03:10:00,24.826,,,,
1263,08/03/2024 03:20:00,24.772,,,,
1264,08/03/2024 03:30:00,24.740,,,,
1265,08/03/2024 03:40:00,24.686,,,,
1266,08/03/2024 03:50:00,24.622,,,,
1267,08/03/2024 04:00:00,24.590,,,,
1268,08/03/2024 04:10:00,24.558,,,,
1269,08/03/2024 04:20:00,24.504,,,,
1270,08/03/2024 04:30:00,24.472,,,,
1271,08/03/2024 04:40:00,24.429,,,,
1272,08/03/2024 04:50:00,24.386,,,,
1273,08/03/2024 05:00:00,24.332,,,,
1274,08/03/2024 05:10:00,24.279,,,,
1275,08/03/2024 05:20:00,24.214,,,,
1276,08/03/2024 05:30:00,24.204,,,,
1277,08/03/2024 05:40:00,24.150,,,,
1278,08/03/2024 05:50:00,24.129,,,,
1279,08/03/2024 06:00:00,24.075,,,,
1280,08/03/2024 06:10:00,24.043,,,,
1281,08/03/2024 06:20:00,24.021,,,,
1282,08/03/2024 06:30:00,24.000,,,,
1283,08/03/2024 06:40:00,23.979,,,,
1284,08/03/2024 06:50:00,23.979,,,,
1285,08/03/2024 07:00:00,23.968,,,,
1286,08/03/2024 07:10:00,23.968,,,,
1287,08/03/2024 07:20:00,23.946,,,,
1288,08/03/2024 07:30:00,23.946,,,,
1289,08/03/2024 07:40:00,23.946,,,,
1290,08/03/2024 07:50:00,23.979,,,,
1291,08/03/2024 08:00:00,23.989,,,,
1292,08/03/2024 08:10:00,24.043,,,,
1293,08/03/2024 08:20:00,24.032,,,,
1294,08/03/2024 08:30:00,24.043,,,,
1295,08/03/2024 08:40:00,24.032,,,,
1296,08/03/2024 08:50:00,24.129,,,,
1297,08/03/2024 09:00:00,24.172,,,,
1298,08/03/2024 09:10:00,24.257,,,,
1299,08/03/2024 09:20:00,24.279,,,,
1300,08/03/2024 09:30:00,24.332,,,,
1301,08/03/2024 09:40:00,24.408,,,,
1302,08/03/2024 09:50:00,24.408,,,,
1303,08/03/2024 10:00:00,24.440,,,,
1304,08/03/2024 10:10:00,24.568,,,,
1305,08/03/2024 10:20:00,24.590,,,,
1306,08/03/2024 10:30:00,24.826,,,,
1307,08/03/2024 10:40:00,25.073,,,,
1308,08/03/2024 10:50:00,25.212,,,,
1309,08/03/2024 11:00:00,25.319,,,,
1310,08/03/2024 11:10:00,25.384,,,,
1311,08/03/2024 11:20:00,25.512,,,,
1312,08/03/2024 11:30:00,25.619,,,,
1313,08/03/2024 11:40:00,25.695,,,,
1314,08/03/2024 11:50:00,25.866,,,,
1315,08/03/2024 12:00:00,25.952,,,,
1316,08/03/2024 12:10:00,26.038,,,,
1,08/03/2024 13:00:00,26.435,,
2,08/03/2024 13:10:00,26.606,,
3,08/03/2024 13:20:00,26.488,,
4,08/03/2024 13:30:00,26.681,,
5,08/03/2024 13:40:00,26.831,,
6,08/03/2024 13:50:00,26.778,,
7,08/03/2024 14:00:00,26.864,,
8,08/03/2024 14:10:00,27.024,,
9,08/03/2024 14:20:00,26.917,,
10,08/03/2024 14:30:00,27.003,,
11,08/03/2024 14:40:00,27.121,,
12,08/03/2024 14:50:00,27.185,,
13,08/03/2024 15:00:00,27.239,,
14,08/03/2024 15:10:00,27.207,,
15,08/03/2024 15:20:00,27.282,,
16,08/03/2024 15:30:00,27.325,,
17,08/03/2024 15:40:00,27.421,,
18,08/03/2024 15:50:00,27.453,,
19,08/03/2024 16:00:00,27.421,,
20,08/03/2024 16:10:00,27.357,,
21,08/03/2024 16:20:00,27.346,,
22,08/03/2024 16:30:00,27.271,,
23,08/03/2024 16:40:00,27.207,,
24,08/03/2024 16:50:00,27.196,,
25,08/03/2024 17:00:00,27.185,,
26,08/03/2024 17:10:00,27.196,,
27,08/03/2024 17:20:00,27.185,,
28,08/03/2024 17:30:00,27.142,,
29,08/03/2024 17:40:00,27.110,,
30,08/03/2024 17:50:00,27.078,,
31,08/03/2024 18:00:00,27.089,,
32,08/03/2024 18:10:00,27.057,,
33,08/03/2024 18:20:00,27.014,,
34,08/03/2024 18:30:00,26.960,,
35,08/03/2024 18:40:00,26.896,,
36,08/03/2024 18:50:00,26.778,,
37,08/03/2024 19:00:00,26.713,,
38,08/03/2024 19:10:00,26.638,,
39,08/03/2024 19:20:00,26.585,,
40,08/03/2024 19:30:00,26.510,,
41,08/03/2024 19:40:00,26.488,,
42,08/03/2024 19:50:00,26.424,,
43,08/03/2024 20:00:00,26.381,,
44,08/03/2024 20:10:00,26.317,,
45,08/03/2024 20:20:00,26.274,,
46,08/03/2024 20:30:00,26.209,,
47,08/03/2024 20:40:00,26.177,,
48,08/03/2024 20:50:00,26.113,,
49,08/03/2024 21:00:00,26.059,,
50,08/03/2024 21:10:00,26.038,,
51,08/03/2024 21:20:00,25.963,,
52,08/03/2024 21:30:00,25.931,,
53,08/03/2024 21:40:00,25.888,,
54,08/03/2024 21:50:00,25.866,,
55,08/03/2024 22:00:00,25.802,,
56,08/03/2024 22:10:00,25.780,,
57,08/03/2024 22:20:00,25.737,,
58,08/03/2024 22:30:00,25.716,,
59,08/03/2024 22:40:00,25.662,,
60,08/03/2024 22:50:00,25.630,,
61,08/03/2024 23:00:00,25.609,,
62,08/03/2024 23:10:00,25.555,,
63,08/03/2024 23:20:00,25.523,,
64,08/03/2024 23:30:00,25.480,,
65,08/03/2024 23:40:00,25.459,,
66,08/03/2024 23:50:00,25.437,,
67,08/04/2024 00:00:00,25.405,,
68,08/04/2024 00:10:00,25.394,,
69,08/04/2024 00:20:00,25.341,,
70,08/04/2024 00:30:00,25.319,,
71,08/04/2024 00:40:00,25.287,,
72,08/04/2024 00:50:00,25.276,,
73,08/04/2024 01:00:00,25.233,,
74,08/04/2024 01:10:00,25.212,,
75,08/04/2024 01:20:00,25.169,,
76,08/04/2024 01:30:00,25.126,,
77,08/04/2024 01:40:00,25.105,,
78,08/04/2024 01:50:00,25.083,,
79,08/04/2024 02:00:00,25.051,,
80,08/04/2024 02:10:00,25.030,,
81,08/04/2024 02:20:00,24.997,,
82,08/04/2024 02:30:00,24.955,,
83,08/04/2024 02:40:00,24.912,,
84,08/04/2024 02:50:00,24.901,,
85,08/04/2024 03:00:00,24.847,,
86,08/04/2024 03:10:00,24.815,,
87,08/04/2024 03:20:00,24.772,,
88,08/04/2024 03:30:00,24.751,,
89,08/04/2024 03:40:00,24.686,,
90,08/04/2024 03:50:00,24.665,,
91,08/04/2024 04:00:00,24.611,,
92,08/04/2024 04:10:00,24.590,,
93,08/04/2024 04:20:00,24.558,,
94,08/04/2024 04:30:00,24.536,,
95,08/04/2024 04:40:00,24.526,,
96,08/04/2024 04:50:00,24.504,,
97,08/04/2024 05:00:00,24.450,,
98,08/04/2024 05:10:00,24.418,,
99,08/04/2024 05:20:00,24.386,,
100,08/04/2024 05:30:00,24.408,,
101,08/04/2024 05:40:00,24.365,,
102,08/04/2024 05:50:00,24.322,,
103,08/04/2024 06:00:00,24.322,,
104,08/04/2024 06:10:00,24.290,,
105,08/04/2024 06:20:00,24.290,,
106,08/04/2024 06:30:00,24.279,,
107,08/04/2024 06:40:00,24.268,,
108,08/04/2024 06:50:00,24.214,,
109,08/04/2024 07:00:00,24.214,,
110,08/04/2024 07:10:00,24.193,,
111,08/04/2024 07:20:00,24.214,,
112,08/04/2024 07:30:00,24.214,,
113,08/04/2024 07:40:00,24.236,,
114,08/04/2024 07:50:00,24.257,,
115,08/04/2024 08:00:00,24.268,,
116,08/04/2024 08:10:00,24.279,,
117,08/04/2024 08:20:00,24.322,,
118,08/04/2024 08:30:00,24.365,,
119,08/04/2024 08:40:00,24.408,,
120,08/04/2024 08:50:00,24.461,,
121,08/04/2024 09:00:00,24.536,,
122,08/04/2024 09:10:00,24.622,,
123,08/04/2024 09:20:00,24.665,,
124,08/04/2024 09:30:00,24.719,,
125,08/04/2024 09:40:00,24.783,,
126,08/04/2024 09:50:00,24.847,,
127,08/04/2024 10:00:00,24.912,,
128,08/04/2024 10:10:00,24.987,,
129,08/04/2024 10:20:00,25.051,,
130,08/04/2024 10:30:00,25.137,,
131,08/04/2024 10:40:00,25.115,,
132,08/04/2024 10:50:00,25.276,,
133,08/04/2024 11:00:00,25.373,,
134,08/04/2024 11:10:00,25.566,,
135,08/04/2024 11:20:00,25.673,,
136,08/04/2024 11:30:00,25.716,,
137,08/04/2024 11:40:00,25.780,,
138,08/04/2024 11:50:00,26.038,,
139,08/04/2024 12:00:00,26.059,,
