"2024-08-20";"11:43:51";"WinControl (rev 1195) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:Fo'";"1:NPQ";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-III (CFMG1129B) ";""
"2024-08-20 07:39:13.973";"2024-08-20";"07:39:13";"SLCS";"";"Light Curve start ";"ct277"
"2024-08-20 07:39:13.973";"2024-08-20";"07:39:13";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.003, ETRmPot: 23.059 )   (Platt et al. 1980) ";""
"2024-08-20 07:39:13.973";"2024-08-20";"07:39:13";"REG2";"";"#1: alpha: 0.208, ETRm: 24.484, Ik: 117.904   (Jassby and Platt 1976) ";""
"2024-08-20 07:39:15.371";"2024-08-20";"07:39:15";"FO";"1";"84";"238";"0";"0.647";"0.0";"-";"-";"84";"238";"0.647"
"2024-08-20 07:39:45.354";"2024-08-20";"07:39:45";"F";"2";"99";"183";"65";"0.459";"12.5";"76";"0.301";"84";"238";"0.647"
"2024-08-20 07:40:15.339";"2024-08-20";"07:40:15";"F";"3";"101";"175";"90";"0.423";"16.0";"75";"0.360";"84";"238";"0.647"
"2024-08-20 07:40:45.328";"2024-08-20";"07:40:45";"F";"4";"104";"163";"125";"0.362";"19.0";"72";"0.460";"84";"238";"0.647"
"2024-08-20 07:41:15.316";"2024-08-20";"07:41:15";"F";"5";"110";"153";"190";"0.281";"22.4";"70";"0.556";"84";"238";"0.647"
"2024-08-20 07:41:45.305";"2024-08-20";"07:41:45";"F";"6";"115";"143";"285";"0.196";"23.5";"68";"0.664";"84";"238";"0.647"
"2024-08-20 07:42:15.302";"2024-08-20";"07:42:15";"F";"7";"119";"137";"420";"0.131";"23.1";"67";"0.737";"84";"238";"0.647"
"2024-08-20 07:42:45.284";"2024-08-20";"07:42:45";"F";"8";"122";"135";"625";"0.096";"25.2";"66";"0.763";"84";"238";"0.647"
"2024-08-20 07:43:15.294";"2024-08-20";"07:43:15";"F";"9";"124";"134";"820";"0.075";"25.8";"66";"0.776";"84";"238";"0.647"
"2024-08-20 07:43:18.723";"2024-08-20";"07:43:18";"SLCE";"";"Light Curve end ";""
"2024-08-20 07:44:08.993";"2024-08-20";"07:44:08";"SLCS";"";"Light Curve start ";"ct278"
"2024-08-20 07:44:08.993";"2024-08-20";"07:44:08";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.003, ETRmPot: 12.609 )   (Platt et al. 1980) ";""
