"2024-08-17";"11:10:29";"WinControl (rev 1195) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:Fo'";"1:NPQ";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-III (CFMG1129B) ";""
"2024-08-17 08:09:35.629";"2024-08-17";"08:09:35";"SLCS";"";"Light Curve start ";"c106"
"2024-08-17 08:09:37.022";"2024-08-17";"08:09:37";"FO";"1";"17";"18";"0";"-";"-";"-";"-";"17";"18";"0.056"
"2024-08-17 08:09:47.006";"2024-08-17";"08:09:47";"F";"2";"17";"18";"65";"-";"-";"-";"-";"17";"18";"0.056"
"2024-08-17 08:09:57.000";"2024-08-17";"08:09:57";"F";"3";"17";"17";"90";"-";"-";"-";"-";"17";"18";"0.056"
"2024-08-17 08:10:06.983";"2024-08-17";"08:10:06";"F";"4";"16";"17";"125";"-";"-";"-";"-";"17";"18";"0.056"
"2024-08-17 08:10:11.979";"2024-08-17";"08:10:11";"SLCE";"";"Light Curve end ";""
"2024-08-17 08:11:36.024";"2024-08-17";"08:11:36";"SLCS";"";"Light Curve start ";"c107"
"2024-08-17 08:11:37.421";"2024-08-17";"08:11:37";"FO";"5";"17";"17";"0";"-";"-";"-";"-";"17";"17";"0.000"
"2024-08-17 08:11:47.416";"2024-08-17";"08:11:47";"F";"6";"15";"15";"65";"-";"-";"-";"-";"17";"17";"0.000"
"2024-08-17 08:11:57.404";"2024-08-17";"08:11:57";"F";"7";"15";"15";"90";"-";"-";"-";"-";"17";"17";"0.000"
"2024-08-17 08:12:07.387";"2024-08-17";"08:12:07";"F";"8";"15";"16";"125";"-";"-";"-";"-";"17";"17";"0.000"
"2024-08-17 08:12:17.376";"2024-08-17";"08:12:17";"F";"9";"16";"16";"190";"-";"-";"-";"-";"17";"17";"0.000"
"2024-08-17 08:12:24.234";"2024-08-17";"08:12:24";"SLCE";"";"Light Curve end ";""
"2024-08-17 08:14:43.935";"2024-08-17";"08:14:43";"SLCS";"";"Light Curve start ";"b3c03"
"2024-08-17 08:14:45.325";"2024-08-17";"08:14:45";"FO";"10";"3";"5";"0";"-";"-";"-";"-";"3";"5";"-"
"2024-08-17 08:14:55.313";"2024-08-17";"08:14:55";"F";"11";"4";"5";"65";"-";"-";"-";"-";"3";"5";"-"
"2024-08-17 08:15:05.297";"2024-08-17";"08:15:05";"F";"12";"3";"4";"90";"-";"-";"-";"-";"3";"5";"-"
"2024-08-17 08:15:15.294";"2024-08-17";"08:15:15";"F";"13";"3";"6";"125";"-";"-";"-";"-";"3";"5";"-"
"2024-08-17 08:15:25.274";"2024-08-17";"08:15:25";"F";"14";"3";"4";"190";"-";"-";"-";"-";"3";"5";"-"
"2024-08-17 08:15:25.564";"2024-08-17";"08:15:25";"SLCE";"";"Light Curve end ";""
"2024-08-17 08:16:46.098";"2024-08-17";"08:16:46";"SLCS";"";"Light Curve start ";"a3c08"
"2024-08-17 08:16:47.486";"2024-08-17";"08:16:47";"FO";"15";"6";"9";"0";"-";"-";"-";"-";"6";"9";"-"
"2024-08-17 08:16:57.477";"2024-08-17";"08:16:57";"F";"16";"7";"9";"65";"-";"-";"-";"-";"6";"9";"-"
"2024-08-17 08:17:07.467";"2024-08-17";"08:17:07";"F";"17";"7";"9";"90";"-";"-";"-";"-";"6";"9";"-"
"2024-08-17 08:17:17.457";"2024-08-17";"08:17:17";"F";"18";"7";"9";"125";"-";"-";"-";"-";"6";"9";"-"
"2024-08-17 08:17:24.004";"2024-08-17";"08:17:24";"SLCE";"";"Light Curve end ";""
"2024-08-17 08:19:31.757";"2024-08-17";"08:19:31";"SLCS";"";"Light Curve start ";"a3c09"
"2024-08-17 08:19:33.157";"2024-08-17";"08:19:33";"FO";"19";"3";"4";"0";"-";"-";"-";"-";"3";"4";"-"
"2024-08-17 08:19:43.147";"2024-08-17";"08:19:43";"F";"20";"1";"3";"65";"-";"-";"-";"-";"3";"4";"-"
"2024-08-17 08:19:53.136";"2024-08-17";"08:19:53";"F";"21";"1";"1";"90";"-";"-";"-";"-";"3";"4";"-"
"2024-08-17 08:20:03.126";"2024-08-17";"08:20:03";"F";"22";"1";"2";"125";"-";"-";"-";"-";"3";"4";"-"
"2024-08-17 08:20:13.118";"2024-08-17";"08:20:13";"F";"23";"0";"2";"190";"-";"-";"-";"-";"3";"4";"-"
"2024-08-17 08:20:23.108";"2024-08-17";"08:20:23";"F";"24";"0";"1";"285";"-";"-";"-";"-";"3";"4";"-"
"2024-08-17 08:20:33.087";"2024-08-17";"08:20:33";"F";"25";"1";"2";"420";"-";"-";"-";"-";"3";"4";"-"
"2024-08-17 08:20:43.083";"2024-08-17";"08:20:43";"F";"26";"0";"1";"625";"-";"-";"-";"-";"3";"4";"-"
"2024-08-17 08:20:53.073";"2024-08-17";"08:20:53";"F";"27";"0";"2";"820";"-";"-";"-";"-";"3";"4";"-"
"2024-08-17 08:20:56.992";"2024-08-17";"08:20:56";"SLCE";"";"Light Curve end ";""
"2024-08-17 08:25:39.824";"2024-08-17";"08:25:39";"SLCS";"";"Light Curve start ";"b2c04"
"2024-08-17 08:25:41.227";"2024-08-17";"08:25:41";"FO";"28";"2";"4";"0";"-";"-";"-";"-";"2";"4";"-"
"2024-08-17 08:25:51.216";"2024-08-17";"08:25:51";"F";"29";"1";"2";"65";"-";"-";"-";"-";"2";"4";"-"
"2024-08-17 08:26:01.209";"2024-08-17";"08:26:01";"F";"30";"2";"3";"90";"-";"-";"-";"-";"2";"4";"-"
"2024-08-17 08:26:11.189";"2024-08-17";"08:26:11";"F";"31";"2";"2";"125";"-";"-";"-";"-";"2";"4";"-"
"2024-08-17 08:26:21.179";"2024-08-17";"08:26:21";"F";"32";"1";"4";"190";"-";"-";"-";"-";"2";"4";"-"
"2024-08-17 08:26:31.173";"2024-08-17";"08:26:31";"F";"33";"2";"3";"285";"-";"-";"-";"-";"2";"4";"-"
"2024-08-17 08:26:41.187";"2024-08-17";"08:26:41";"F";"34";"1";"2";"420";"-";"-";"-";"-";"2";"4";"-"
"2024-08-17 08:26:51.174";"2024-08-17";"08:26:51";"F";"35";"1";"2";"625";"-";"-";"-";"-";"2";"4";"-"
"2024-08-17 08:27:01.164";"2024-08-17";"08:27:01";"F";"36";"1";"4";"820";"-";"-";"-";"-";"2";"4";"-"
"2024-08-17 08:27:04.625";"2024-08-17";"08:27:04";"SLCE";"";"Light Curve end ";""
"2024-08-17 08:32:38.604";"2024-08-17";"08:32:38";"SLCS";"";"Light Curve start ";"b3c07"
"2024-08-17 08:32:40.000";"2024-08-17";"08:32:40";"FO";"37";"10";"12";"0";"-";"-";"-";"-";"10";"12";"0.167"
"2024-08-17 08:32:49.995";"2024-08-17";"08:32:49";"F";"38";"10";"10";"65";"-";"-";"-";"-";"10";"12";"0.167"
"2024-08-17 08:32:59.983";"2024-08-17";"08:32:59";"F";"39";"10";"11";"90";"-";"-";"-";"-";"10";"12";"0.167"
"2024-08-17 08:33:09.970";"2024-08-17";"08:33:09";"F";"40";"10";"11";"125";"-";"-";"-";"-";"10";"12";"0.167"
"2024-08-17 08:33:19.958";"2024-08-17";"08:33:19";"F";"41";"8";"10";"190";"-";"-";"-";"-";"10";"12";"0.167"
"2024-08-17 08:33:26.488";"2024-08-17";"08:33:26";"SLCE";"";"Light Curve end ";""
"2024-08-17 08:36:05.006";"2024-08-17";"08:36:05";"SLCS";"";"Light Curve start ";"t105"
"2024-08-17 08:36:06.397";"2024-08-17";"08:36:06";"FO";"42";"10";"13";"0";"-";"-";"-";"-";"10";"13";"0.231"
"2024-08-17 08:36:16.386";"2024-08-17";"08:36:16";"F";"43";"11";"13";"65";"-";"-";"-";"-";"10";"13";"0.231"
"2024-08-17 08:36:26.378";"2024-08-17";"08:36:26";"F";"44";"10";"12";"90";"-";"-";"-";"-";"10";"13";"0.231"
"2024-08-17 08:36:36.366";"2024-08-17";"08:36:36";"F";"45";"11";"11";"125";"-";"-";"-";"-";"10";"13";"0.231"
"2024-08-17 08:36:46.382";"2024-08-17";"08:36:46";"F";"46";"9";"11";"190";"-";"-";"-";"-";"10";"13";"0.231"
"2024-08-17 08:36:56.367";"2024-08-17";"08:36:56";"F";"47";"10";"12";"285";"-";"-";"-";"-";"10";"13";"0.231"
"2024-08-17 08:36:59.889";"2024-08-17";"08:36:59";"SLCE";"";"Light Curve end ";""
"2024-08-17 08:37:23.922";"2024-08-17";"08:37:23";"SLCS";"";"Light Curve start ";"t104"
"2024-08-17 08:37:25.317";"2024-08-17";"08:37:25";"FO";"48";"28";"30";"0";"-";"-";"-";"-";"28";"30";"0.067"
"2024-08-17 08:37:35.308";"2024-08-17";"08:37:35";"F";"49";"27";"30";"65";"-";"-";"-";"-";"28";"30";"0.067"
