"2024-08-02";"10:11:28";"WinControl (rev 1195) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:Fo'";"1:NPQ";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-III (CFMG1129B) ";""
"2024-08-02 08:01:01.628";"2024-08-02";"08:01:01";"SLCS";"";"Light Curve start ";"ct02"
"2024-08-02 08:01:01.628";"2024-08-02";"08:01:01";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: 0.000, ETRmPot: 39.096 )   (Platt et al. 1980) ";""
"2024-08-02 08:01:01.628";"2024-08-02";"08:01:01";"REG2";"";"#1: alpha: 0.183, ETRm: 38.175, Ik: 208.685   (Jassby and Platt 1976) ";""
"2024-08-02 08:01:03.025";"2024-08-02";"08:01:03";"FO";"1";"200";"657";"0";"0.696";"0.0";"-";"-";"200";"657";"0.696"
"2024-08-02 08:01:33.013";"2024-08-02";"08:01:33";"F";"2";"336";"604";"65";"0.444";"12.1";"195";"0.088";"200";"657";"0.696"
"2024-08-02 08:02:02.995";"2024-08-02";"08:02:02";"F";"3";"307";"547";"90";"0.439";"16.6";"188";"0.201";"200";"657";"0.696"
"2024-08-02 08:02:32.985";"2024-08-02";"08:02:32";"F";"4";"305";"511";"125";"0.403";"21.2";"184";"0.286";"200";"657";"0.696"
"2024-08-02 08:03:02.973";"2024-08-02";"08:03:02";"F";"5";"320";"482";"190";"0.336";"26.8";"180";"0.363";"200";"657";"0.696"
"2024-08-02 08:03:32.959";"2024-08-02";"08:03:32";"F";"6";"332";"454";"285";"0.269";"32.2";"176";"0.447";"200";"657";"0.696"
"2024-08-02 08:04:02.956";"2024-08-02";"08:04:02";"F";"7";"340";"426";"420";"0.202";"35.6";"172";"0.542";"200";"657";"0.696"
"2024-08-02 08:04:32.937";"2024-08-02";"08:04:32";"F";"8";"342";"402";"625";"0.149";"39.1";"168";"0.634";"200";"657";"0.696"
"2024-08-02 08:05:02.931";"2024-08-02";"08:05:02";"F";"9";"337";"380";"820";"0.113";"38.9";"164";"0.729";"200";"657";"0.696"
"2024-08-02 08:05:06.059";"2024-08-02";"08:05:06";"SLCE";"";"Light Curve end ";""
