"","plant_part","bin","run","date","max_temp","min_temp","mean_temp"
"1","canopy",1,1,2024-07-25,32.7,26.02,29.8542222222222
"2","canopy",1,1,2024-07-26,31.3,25.48,27.6622222222222
"3","canopy",1,1,2024-07-27,26.98,23.9,25.5114583333333
"4","canopy",1,1,2024-07-28,28.32,23.31,25.3991666666667
"5","canopy",1,1,2024-07-29,25.88,23.06,24.7977777777778
"6","canopy",1,1,2024-07-30,30.12,24.7,26.6439583333333
"7","canopy",1,1,2024-07-31,30.55,24.57,26.8027777777778
"8","canopy",1,1,2024-08-01,30.03,24.3,26.5594444444444
"9","canopy",1,1,2024-08-02,29.1,24.29,25.1214705882353
"10","canopy",1,2,2024-08-03,28.09,23.77,26.3223958333333
"11","canopy",1,2,2024-08-04,28.53,24.14,26.0722222222222
"12","canopy",1,2,2024-08-05,29.3,23.66,25.9855555555556
"13","canopy",1,2,2024-08-06,29.67,22.69,25.7279166666667
"14","canopy",1,2,2024-08-07,30.18,23.9,26.66625
"15","canopy",1,2,2024-08-08,30.1,24.83,27.0230555555556
"16","canopy",1,2,2024-08-09,29.76,23.98,26.5902777777778
"17","canopy",1,2,2024-08-10,28.46,24.38,26.4065972222222
"18","canopy",1,2,2024-08-11,28.88,24.54,26.3896527777778
"19","canopy",1,3,2024-08-12,28.3,24.83,26.45375
"20","canopy",1,3,2024-08-13,30.75,25.38,27.4739583333333
"21","canopy",1,3,2024-08-14,30.45,25.5,27.7715972222222
"22","canopy",1,3,2024-08-15,29.86,26.25,27.7724305555556
"23","canopy",1,3,2024-08-16,31.36,25.7,28.0888888888889
"24","canopy",1,3,2024-08-17,31.45,26.21,28.4388888888889
"25","canopy",1,3,2024-08-18,28.4,25.18,26.7227083333333
"26","canopy",1,3,2024-08-19,29.55,24.62,26.6965277777778
"27","canopy",1,3,2024-08-20,29.95,24.93,26.7653488372093
"28","canopy",2,1,2024-07-25,32.66,25.95,29.8695555555556
"29","canopy",2,1,2024-07-26,30.86,25.54,27.4345833333333
"30","canopy",2,1,2024-07-27,27.1,24.25,25.5739583333333
"31","canopy",2,1,2024-07-28,28.31,23.39,25.4417361111111
"32","canopy",2,1,2024-07-29,25.68,23.13,24.8044444444444
"33","canopy",2,1,2024-07-30,30.07,24.75,26.773125
"34","canopy",2,1,2024-07-31,30.45,24.63,26.9848611111111
"35","canopy",2,1,2024-08-01,30.3,24.3,26.70875
"36","canopy",2,1,2024-08-02,29.41,24.31,25.2010294117647
"37","canopy",2,2,2024-08-03,28.15,23.83,26.4797916666667
"38","canopy",2,2,2024-08-04,28.48,24.27,26.1851388888889
"39","canopy",2,2,2024-08-05,29,23.73,26.0749305555556
"40","canopy",2,2,2024-08-06,29.51,22.82,25.8789583333333
"41","canopy",2,2,2024-08-07,30.05,24.03,26.8109027777778
"42","canopy",2,2,2024-08-08,29.82,24.93,27.0977777777778
"43","canopy",2,2,2024-08-09,29.75,24.05,26.7022222222222
"44","canopy",2,2,2024-08-10,28.49,24.47,26.5075694444444
"45","canopy",2,2,2024-08-11,29.3,24.68,26.5829166666667
"46","canopy",2,3,2024-08-12,28.86,24.69,26.7156944444444
"47","canopy",2,3,2024-08-13,31.41,25.54,27.8663888888889
"48","canopy",2,3,2024-08-14,30.95,25.9,28.2008333333333
"49","canopy",2,3,2024-08-15,29.76,26.32,27.8213888888889
"50","canopy",2,3,2024-08-16,31.18,25.81,28.1615972222222
"51","canopy",2,3,2024-08-17,31.54,26.21,28.509375
"52","canopy",2,3,2024-08-18,28.45,25.27,26.83
"53","canopy",2,3,2024-08-19,29.33,24.79,26.8095833333333
"54","canopy",2,3,2024-08-20,29.93,25.21,26.9564885496183
"55","canopy",3,1,2024-07-25,32.61,25.53,29.6058888888889
"56","canopy",3,1,2024-07-26,31.04,25.56,27.7811805555556
"57","canopy",3,1,2024-07-27,26.85,23.91,25.4879861111111
"58","canopy",3,1,2024-07-28,28.36,23.21,25.3348611111111
"59","canopy",3,1,2024-07-29,26.18,22.94,24.7709722222222
"60","canopy",3,1,2024-07-30,29.64,24.89,26.7081944444444
"61","canopy",3,1,2024-07-31,29.97,24.7,26.8655555555556
"62","canopy",3,1,2024-08-01,29.78,24.29,26.5320138888889
"63","canopy",3,1,2024-08-02,29.77,24.39,25.3092753623188
"64","canopy",3,2,2024-08-03,28.16,23.85,26.4215625
"65","canopy",3,2,2024-08-04,28.59,24.12,26.0602777777778
"66","canopy",3,2,2024-08-05,28.8,23.48,25.8640277777778
"67","canopy",3,2,2024-08-06,29.33,22.59,25.6680555555556
