"","plant_part","run","bin","date","daily_min_over_28"
"1","canopy",2,1,2024-08-03,40
"2","canopy",2,1,2024-08-04,230
"3","canopy",2,1,2024-08-05,290
"4","canopy",2,1,2024-08-06,360
"5","canopy",2,1,2024-08-07,480
"6","canopy",2,1,2024-08-08,460
"7","canopy",2,1,2024-08-09,410
"8","canopy",2,1,2024-08-10,220
"9","canopy",2,1,2024-08-11,120
"10","canopy",2,2,2024-08-03,90
"11","canopy",2,2,2024-08-04,270
"12","canopy",2,2,2024-08-05,300
"13","canopy",2,2,2024-08-06,390
"14","canopy",2,2,2024-08-07,520
"15","canopy",2,2,2024-08-08,500
"16","canopy",2,2,2024-08-09,440
"17","canopy",2,2,2024-08-10,250
"18","canopy",2,2,2024-08-11,250
"19","canopy",2,3,2024-08-03,80
"20","canopy",2,3,2024-08-04,250
"21","canopy",2,3,2024-08-05,270
"22","canopy",2,3,2024-08-06,350
"23","canopy",2,3,2024-08-07,490
"24","canopy",2,3,2024-08-08,500
"25","canopy",2,3,2024-08-09,390
"26","canopy",2,3,2024-08-10,260
"27","canopy",2,3,2024-08-11,220
"28","canopy",2,4,2024-08-03,100
"29","canopy",2,4,2024-08-04,260
"30","canopy",2,4,2024-08-05,310
"31","canopy",2,4,2024-08-06,390
"32","canopy",2,4,2024-08-07,520
"33","canopy",2,4,2024-08-08,510
"34","canopy",2,4,2024-08-09,360
"35","canopy",2,4,2024-08-10,200
"36","canopy",2,4,2024-08-11,280
"37","canopy",2,5,2024-08-03,60
"38","canopy",2,5,2024-08-04,230
"39","canopy",2,5,2024-08-05,300
"40","canopy",2,5,2024-08-06,380
"41","canopy",2,5,2024-08-07,540
"42","canopy",2,5,2024-08-08,510
"43","canopy",2,5,2024-08-09,450
"44","canopy",2,5,2024-08-10,220
"45","canopy",2,5,2024-08-11,210
"46","canopy",2,6,2024-08-03,50
"47","canopy",2,6,2024-08-04,230
"48","canopy",2,6,2024-08-05,320
"49","canopy",2,6,2024-08-06,360
"50","canopy",2,6,2024-08-07,500
"51","canopy",2,6,2024-08-08,480
"52","canopy",2,6,2024-08-09,410
"53","canopy",2,6,2024-08-10,240
"54","canopy",2,6,2024-08-11,100
"55","canopy",3,1,2024-08-12,170
"56","canopy",3,1,2024-08-13,570
"57","canopy",3,1,2024-08-14,680
"58","canopy",3,1,2024-08-15,610
"59","canopy",3,1,2024-08-16,720
"60","canopy",3,1,2024-08-17,720
"61","canopy",3,1,2024-08-18,220
"62","canopy",3,1,2024-08-19,390
"63","canopy",3,1,2024-08-20,380
"64","canopy",3,2,2024-08-12,360
"65","canopy",3,2,2024-08-13,670
"66","canopy",3,2,2024-08-14,730
"67","canopy",3,2,2024-08-15,630
"68","canopy",3,2,2024-08-16,730
"69","canopy",3,2,2024-08-17,740
"70","canopy",3,2,2024-08-18,230
"71","canopy",3,2,2024-08-19,390
"72","canopy",3,2,2024-08-20,420
"73","canopy",3,3,2024-08-12,420
"74","canopy",3,3,2024-08-13,720
"75","canopy",3,3,2024-08-14,800
"76","canopy",3,3,2024-08-15,690
"77","canopy",3,3,2024-08-16,730
"78","canopy",3,3,2024-08-17,760
"79","canopy",3,3,2024-08-18,260
"80","canopy",3,3,2024-08-19,450
"81","canopy",3,3,2024-08-20,420
"82","canopy",3,4,2024-08-12,380
"83","canopy",3,4,2024-08-13,750
"84","canopy",3,4,2024-08-14,770
"85","canopy",3,4,2024-08-15,660
"86","canopy",3,4,2024-08-16,750
"87","canopy",3,4,2024-08-17,750
"88","canopy",3,4,2024-08-18,250
"89","canopy",3,4,2024-08-19,390
"90","canopy",3,4,2024-08-20,390
"91","canopy",3,5,2024-08-12,170
"92","canopy",3,5,2024-08-13,660
"93","canopy",3,5,2024-08-14,720
"94","canopy",3,5,2024-08-15,580
"95","canopy",3,5,2024-08-16,700
"96","canopy",3,5,2024-08-17,720
"97","canopy",3,5,2024-08-18,250
"98","canopy",3,5,2024-08-19,340
"99","canopy",3,5,2024-08-20,380
"100","canopy",3,6,2024-08-12,130
"101","canopy",3,6,2024-08-13,600
"102","canopy",3,6,2024-08-14,690
"103","canopy",3,6,2024-08-15,610
"104","canopy",3,6,2024-08-16,700
"105","canopy",3,6,2024-08-17,720
"106","canopy",3,6,2024-08-18,210
"107","canopy",3,6,2024-08-19,380
"108","canopy",3,6,2024-08-20,380
"109","under",2,7,2024-08-05,100
"110","under",2,7,2024-08-06,120
"111","under",2,7,2024-08-07,390
"112","under",2,7,2024-08-08,270
"113","under",2,7,2024-08-09,300
"114","under",2,7,2024-08-11,70
"115","under",2,8,2024-08-05,160
"116","under",2,8,2024-08-06,160
"117","under",2,8,2024-08-07,350
"118","under",2,8,2024-08-08,310
"119","under",2,8,2024-08-09,310
"120","under",2,9,2024-08-05,140
"121","under",2,9,2024-08-06,170
"122","under",2,9,2024-08-07,400
"123","under",2,9,2024-08-08,290
"124","under",2,9,2024-08-09,310
"125","under",2,9,2024-08-11,70
"126","under",2,10,2024-08-04,40
"127","under",2,10,2024-08-05,220
"128","under",2,10,2024-08-06,260
"129","under",2,10,2024-08-07,400
"130","under",2,10,2024-08-08,370
"131","under",2,10,2024-08-09,320
"132","under",2,10,2024-08-11,20
"133","under",2,11,2024-08-05,190
"134","under",2,11,2024-08-06,240
"135","under",2,11,2024-08-07,400
"136","under",2,11,2024-08-08,360
"137","under",2,11,2024-08-09,310
"138","under",2,12,2024-08-05,140
"139","under",2,12,2024-08-06,180
"140","under",2,12,2024-08-07,410
"141","under",2,12,2024-08-08,300
"142","under",2,12,2024-08-09,310
"143","under",3,7,2024-08-13,590
"144","under",3,7,2024-08-14,640
"145","under",3,7,2024-08-15,550
"146","under",3,7,2024-08-16,710
"147","under",3,7,2024-08-17,670
"148","under",3,7,2024-08-19,180
"149","under",3,7,2024-08-20,390
"150","under",3,8,2024-08-12,70
"151","under",3,8,2024-08-13,510
"152","under",3,8,2024-08-14,740
"153","under",3,8,2024-08-15,500
"154","under",3,8,2024-08-16,700
"155","under",3,8,2024-08-17,710
"156","under",3,8,2024-08-18,150
"157","under",3,8,2024-08-19,170
"158","under",3,8,2024-08-20,370
"159","under",3,9,2024-08-13,540
"160","under",3,9,2024-08-14,640
"161","under",3,9,2024-08-15,530
"162","under",3,9,2024-08-16,690
"163","under",3,9,2024-08-17,670
"164","under",3,9,2024-08-19,170
"165","under",3,9,2024-08-20,380
"166","under",3,10,2024-08-12,240
"167","under",3,10,2024-08-13,680
"168","under",3,10,2024-08-14,870
"169","under",3,10,2024-08-15,640
"170","under",3,10,2024-08-16,720
"171","under",3,10,2024-08-17,740
"172","under",3,10,2024-08-18,230
"173","under",3,10,2024-08-19,210
