min"","plant_part","date","mean_min_over_28"
"1","canopy",2024-08-03,70
"2","canopy",2024-08-04,245
"3","canopy",2024-08-05,298.3
"4","canopy",2024-08-06,371.7
"5","canopy",2024-08-07,508.3
"6","canopy",2024-08-08,493.3
"7","canopy",2024-08-09,410
"8","canopy",2024-08-10,231.7
"9","canopy",2024-08-11,196.7
"10","canopy",2024-08-12,271.7
"11","canopy",2024-08-13,661.7
"12","canopy",2024-08-14,731.7
"13","canopy",2024-08-15,630
"14","canopy",2024-08-16,721.7
"15","canopy",2024-08-17,735
"16","canopy",2024-08-18,236.7
"17","canopy",2024-08-19,390
"18","canopy",2024-08-20,395
"19","under",2024-08-04,40
"20","under",2024-08-05,158.3
"21","under",2024-08-06,188.3
"22","under",2024-08-07,391.7
"23","under",2024-08-08,316.7
"24","under",2024-08-09,310
"25","under",2024-08-11,53.3
"26","under",2024-08-12,130
"27","under",2024-08-13,596.7
"28","under",2024-08-14,735
"29","under",2024-08-15,565
"30","under",2024-08-16,720
"31","under",2024-08-17,703.3
"32","under",2024-08-18,160
"33","under",2024-08-19,193.3
"34","under",2024-08-20,380
