"","plant_part","bin","run","sum_over_28"
"1","canopy",1,2,2610
"2","canopy",1,3,4460
"3","canopy",2,2,3010
"4","canopy",2,3,4900
"5","canopy",3,2,2810
"6","canopy",3,3,5250
"7","canopy",4,2,2930
"8","canopy",4,3,5090
"9","canopy",5,2,2900
"10","canopy",5,3,4520
"11","canopy",6,2,2690
"12","canopy",6,3,4420
"13","under",7,2,1250
"14","under",7,3,3730
"15","under",8,2,1290
"16","under",8,3,3920
"17","under",9,2,1380
"18","under",9,3,3620
"19","under",10,2,1630
"20","under",10,3,4700
"21","under",11,2,1500
"22","under",11,3,4350
"23","under",12,2,1340
"24","under",12,3,4200
