id,plant_id
hm01,21
hm02,17
hm03,7
hm04,19
hm05,15
hm06,1
hm07,3
hm08,16
hm09,9
hm10,5
hm11,11
hm12,13
hm13,18
hm14,8
hm15,2
hm16,4
hm17,4
hm18,14
hm19,16
hm20,19
hm21,14
hm22,5
hm23,9
hm24,8
hm25,12
hm26,6
hm27,15
hm28,19
hm29,4
hm30,14
hm31,20
hm32,7
hm33,20
hm34,10
hm35,6
hm36,1
hm37,21
hm38,19
hm39,14
hm40,3
hm41,13
hm42,2
hm43,6
hm44,10
hm45,7
hm46,16
hm47,13
hm48,2
ul01,1
ul02,2
ul03,3
ul04,4
ul05,5
ul06,6
ul07,7
ul08,8
ul10,10
ul11,11
ul12,12
ul13,13
ul14,14
ul15,15
ul16,16
ul17,17
ul18,18
ul19,19
ul20,20
ul21,21
ul22,22
ul23,23
ul24,24
ul25,25
ul26,26
ul27,27
ul28,28
ul29,29
ul30,30
ul31,31
ul32,32
ul33,33
ul34,34
ul35,35
ul36,36
ul37,37
ul38,38
ul39,39
ul40,40
ul41,41
ul42,42
ul43,43
ul44,44
ul45,45
ul46,46
ul47,47
ul48,48
hm101,22
hm102,22
hm103,22
hm104,22
ul101,49
ul102,49
ul103,49
ul104,49
hm105,23
hm106,23
hm107,23
hm108,23
ul105,50
ul106,50
ul107,50
ul108,50
hm109,24
hm110,24
hm111,24
hm112,24
ul109,51
ul110,51
ul111,51
ul112,51
hm113,25
hm114,25
hm115,25
hm116,25
ul113,52
ul114,52
ul115,52
ul116,52
hm117,26
hm118,26
hm119,26
hm120,26
ul117,53
ul118,53
ul119,53
ul120,53
hm121,27
hm122,27
hm123,27
hm124,27
ul121,54
ul122,54
ul123,54
ul124,54
hm125,28
hm126,28
hm127,28
hm128,28
ul125,55
ul126,55
ul127,55
ul128,55
hm129,29
hm130,29
hm131,29
hm132,29
ul129,56
ul130,56
ul131,56
ul132,56
hm133,30
hm134,30
hm135,30
hm136,30
ul133,57
ul134,57
ul135,57
ul136,57
hm137,31
hm138,31
hm139,31
hm140,31
ul137,58
ul138,58
ul139,58
ul140,58
hm141,32
hm142,32
hm143,32
hm144,32
ul141,59
ul142,59
ul143,59
ul144,59
hm145,33
hm146,33
hm147,33
hm148,33
ul145,60
ul146,60
ul147,60
ul148,60
hm201,34
hm202,34
hm203,34
hm204,34
ul201,61
ul202,61
ul203,61
ul204,61
hm205,35
hm206,35
hm207,35
hm208,35
ul205,62
ul206,62
ul207,62
ul208,62
hm209,36
hm210,36
hm211,36
hm212,36
ul209,63
ul210,63
ul211,63
ul212,63
hm213,37
hm214,37
hm215,37
hm216,37
ul213,64
ul214,64
ul215,64
ul216,64
hm217,38
hm218,38
hm219,38
hm220,38
ul217,65
ul218,65
ul219,65
ul220,65
hm221,39
hm222,39
hm223,39
hm224,39
ul221,66
ul222,66
ul223,66
ul224,66
hm225,40
hm226,40
hm227,40
hm228,40
ul225,67
ul226,67
ul227,67
ul228,67
hm229,41
hm230,41
hm231,41
hm232,41
ul229,68
ul230,68
ul231,68
ul232,68
hm233,42
hm234,42
hm235,42
hm236,42
ul233,69
ul234,69
ul235,69
ul236,69
hm237,43
hm238,43
hm239,43
hm240,43
ul237,70
ul238,70
ul239,70
ul240,70
hm241,44
