ID,plant,treatment,d9% (d5 to d9),d9% (d1 to d9),growth
h01,4,1,-1.90,9.75,9.75
u01,2,1,24.84,8.43,24.84
h02,4,2,8.77,28.19,28.19
u02,2,2,40.99,17.86,40.99
h03,4,3,7.30,24.86,24.86
u03,2,3,24.15,5.41,24.15
h04,4,4,7.43,22.36,22.36
u04,2,4,35.29,26.44,35.29
h05,6,5,16.08,35.58,35.58
u05,6,5,29.31,-13.31,29.31
h06,6,6,14.61,35.52,35.52
u06,6,6,16.54,37.18,37.18
h07,6,7,12.43,31.95,31.95
u07,6,7,22.45,33.31,33.31
h08,6,8,7.72,25.07,25.07
u08,6,8,15.31,27.58,27.58
h09,5,1,24.79,44.64,44.64
u09,5,1,59.33,4.27,59.33
h10,5,2,19.91,40.48,40.48
u10,5,2,56.26,30.64,56.26
h11,5,3,12.99,24.49,24.49
u11,5,3,48.03,53.17,53.17
h12,5,4,24.21,48.81,48.81
u12,5,4,32.98,28.94,32.98
h13,1,5,15.29,33.02,33.02
u13,4,5,21.57,22.03,22.03
h14,1,6,14.43,33.64,33.64
u14,4,6,18.40,-0.94,18.40
h15,1,7,9.81,24.95,24.95
u15,4,7,13.50,-2.04,13.50
h16,1,8,4.69,17.19,17.19
u16,4,8,26.67,19.31,26.67
h17,3,1,11.58,27.02,27.02
u17,3,1,30.34,51.25,51.25
h18,3,2,12.10,28.15,28.15
u18,3,2,17.57,45.75,45.75
h19,3,3,12.46,28.63,28.63
u19,3,3,38.56,33.27,38.56
h20,3,4,9.29,24.02,24.02
u20,3,4,34.69,48.99,48.99
h21,2,5,17.10,31.92,31.92
u21,1,5,54.46,46.18,54.46
h22,2,6,14.75,32.52,32.52
u22,1,6,45.17,80.09,80.09
h23,2,7,12.24,28.54,28.54
u23,1,7,42.40,36.72,42.40
h24,2,8,6.44,20.25,20.25
u24,1,8,20.76,62.56,62.56
