ID,plant,treatment,d9% (d5 to d9),d9% (d1 to d9),growth
h01,4,1,-1.90,9.75,9.75
u01,2,1,24.84,8.43,24.84
h02,4,2,8.77,28.19,28.19
u02,2,2,40.99,17.86,40.99
h03,4,3,7.30,24.86,24.86
u03,2,3,24.15,5.41,24.15
h04,4,4,7.43,22.36,22.36
u04,2,4,35.29,26.44,35.29
h05,6,5,16.08,35.58,35.58
u05,6,5,29.31,-13.31,29.31
h06,6,6,14.61,35.52,35.52
u06,6,6,16.54,37.18,37.18
h07,6,7,12.43,31.95,31.95
u07,6,7,22.45,33.31,33.31
h08,6,8,7.72,25.07,25.07
u08,6,8,15.31,27.58,27.58
h09,5,1,24.79,44.64,44.64
u09,5,1,59.33,4.27,59.33
h10,5,2,19.91,40.48,40.48
u10,5,2,56.26,30.64,56.26
h11,5,3,12.99,24.49,24.49
u11,5,3,48.03,53.17,53.17
h12,5,4,24.21,48.81,48.81
u12,5,4,32.98,28.94,32.98
h13,1,5,15.29,33.02,33.02
u13,4,5,21.57,22.03,22.03
h14,1,6,14.43,33.64,33.64
u14,4,6,18.40,-0.94,18.40
h15,1,7,9.81,24.95,24.95
u15,4,7,13.50,-2.04,13.50
h16,1,8,4.69,17.19,17.19
u16,4,8,26.67,19.31,26.67
h17,3,1,11.58,27.02,27.02
u17,3,1,30.34,51.25,51.25
h18,3,2,12.10,28.15,28.15
u18,3,2,17.57,45.75,45.75
h19,3,3,12.46,28.63,28.63
u19,3,3,38.56,33.27,38.56
h20,3,4,9.29,24.02,24.02
u20,3,4,34.69,48.99,48.99
h21,2,5,17.10,31.92,31.92
u21,1,5,54.46,46.18,54.46
h22,2,6,14.75,32.52,32.52
u22,1,6,45.17,80.09,80.09
h23,2,7,12.24,28.54,28.54
u23,1,7,42.40,36.72,42.40
h24,2,8,6.44,20.25,20.25
u24,1,8,20.76,62.56,62.56
h25,7,1,2.70,19.10,19.10
u25,7,1,23.03,20.30,23.03
h26,7,2,3.79,13.21,13.21
u26,7,2,23.57,20.19,23.57
h27,7,3,3.41,15.24,15.24
u27,7,3,21.23,18.65,21.23
h28,7,4,5.18,16.72,16.72
u28,7,4,22.83,15.81,22.83
h29,8,5,9.90,25.82,25.82
u29,8,5,35.29,28.09,35.29
h30,8,6,12.96,33.56,33.56
u30,8,6,31.23,35.65,35.65
h31,8,7,9.88,25.06,25.06
u31,8,7,25.61,53.13,53.13
h32,8,8,4.01,16.76,16.76
u32,8,8,25.99,47.59,47.59
h33,9,1,7.54,19.95,19.95
u33,9,1,25.61,5.67,25.61
h34,9,2,4.99,19.19,19.19
u34,9,2,27.54,50.11,50.11
h35,9,3,4.40,17.88,17.88
u35,9,3,18.22,13.94,18.22
h36,9,4,5.09,17.05,17.05
u36,9,4,10.64,7.96,10.64
h37,10,5,10.88,22.60,22.60
u37,10,5,12.59,3.21,12.59
h38,10,6,8.62,21.04,21.04
u38,10,6,19.59,18.30,19.59
h39,10,7,8.08,20.08,20.08
u39,10,7,4.86,2.09,4.86
h40,10,8,0.00,10.01,10.01
u40,10,8,20.33,34.21,34.21
h41,11,1,16.94,37.47,37.47
u41,11,1,37.84,47.69,47.69
h42,11,2,20.99,41.24,41.24
u42,11,2,20.78,-1.64,20.78
h43,11,3,16.40,32.65,32.65
u43,11,3,32.88,74.77,74.77
h44,11,4,15.02,33.07,33.07
u44,11,4,19.06,6.43,19.06
h45,12,5,10.90,25.37,25.37
u45,12,5,24.39,8.82,24.39
h46,12,6,9.64,23.94,23.94
u46,12,6,15.40,2.44,15.40
h47,12,7,11.09,23.70,23.70
u47,12,7,12.93,3.03,12.93
h48,12,8,8.10,20.15,20.15
u48,12,8,17.60,8.42,17.60
