#,Date-Time (HST),Temperature   (°C),Started,Button Down,Button Up,Host Connected,End of File
1,01/06/2025 06:00:00,20.193,Logged,,,,
2,01/06/2025 06:10:00,20.182,,,,,
3,01/06/2025 06:20:00,20.182,,,,,
4,01/06/2025 06:30:00,20.182,,,,,
5,01/06/2025 06:40:00,20.182,,,,,
6,01/06/2025 06:50:00,20.171,,,,,
7,01/06/2025 07:00:00,20.171,,,,,
8,01/06/2025 07:10:00,20.171,,,,,
9,01/06/2025 07:20:00,20.139,,,,,
10,01/06/2025 07:30:00,20.139,,,,,
11,01/06/2025 07:40:00,20.150,,,,,
12,01/06/2025 07:50:00,20.118,,,,,
13,01/06/2025 08:00:00,20.118,,,,,
14,01/06/2025 08:10:00,20.139,,,,,
15,01/06/2025 08:20:00,20.139,,,,,
16,01/06/2025 08:30:00,20.128,,,,,
17,01/06/2025 08:40:00,20.171,,,,,
18,01/06/2025 08:50:00,20.171,,,,,
19,01/06/2025 09:00:00,20.160,,,,,
20,01/06/2025 09:10:00,20.182,,,,,
21,01/06/2025 09:20:00,20.193,,,,,
22,01/06/2025 09:30:00,20.225,,,,,
23,01/06/2025 09:40:00,20.246,,,,,
24,01/06/2025 09:50:00,20.278,,,,,
25,01/06/2025 10:00:00,20.289,,,,,
26,01/06/2025 10:10:00,20.332,,,,,
27,01/06/2025 10:20:00,20.364,,,,,
28,01/06/2025 10:30:00,20.396,,,,,
29,01/06/2025 10:40:00,20.418,,,,,
30,01/06/2025 10:50:00,20.439,,,,,
31,01/06/2025 11:00:00,20.439,,,,,
32,01/06/2025 11:10:00,20.504,,,,,
33,01/06/2025 11:20:00,20.525,,,,,
34,01/06/2025 11:30:00,20.536,,,,,
35,01/06/2025 11:40:00,20.547,,,,,
36,01/06/2025 11:50:00,20.568,,,,,
37,01/06/2025 12:00:00,20.589,,,,,
38,01/06/2025 12:10:00,20.622,,,,,
39,01/06/2025 12:20:00,20.632,,,,,
40,01/06/2025 12:30:00,20.654,,,,,
41,01/06/2025 12:40:00,20.707,,,,,
42,01/06/2025 12:50:00,20.718,,,,,
43,01/06/2025 13:00:00,20.740,,,,,
44,01/06/2025 13:10:00,20.750,,,,,
45,01/06/2025 13:20:00,20.750,,,,,
46,01/06/2025 13:30:00,20.815,,,,,
47,01/06/2025 13:40:00,20.847,,,,,
48,01/06/2025 13:50:00,20.836,,,,,
49,01/06/2025 14:00:00,20.879,,,,,
50,01/06/2025 14:10:00,20.879,,,,,
51,01/06/2025 14:20:00,20.900,,,,,
52,01/06/2025 14:30:00,20.933,,,,,
53,01/06/2025 14:40:00,20.976,,,,,
54,01/06/2025 14:50:00,20.976,,,,,
55,01/06/2025 15:00:00,21.018,,,,,
56,01/06/2025 15:02:53,,,Logged,Logged,,
57,01/06/2025 15:03:00,,,Logged,Logged,,
58,01/06/2025 15:03:01,,,Logged,,,
59,01/06/2025 15:03:03,,,Logged,Logged,,
60,01/06/2025 15:03:04,,,,Logged,,
61,01/06/2025 15:03:41,,,Logged,,,
62,01/06/2025 15:03:43,,,Logged,Logged,,
63,01/06/2025 15:03:44,,,,Logged,,
64,01/06/2025 15:03:52,,,Logged,Logged,,
65,01/06/2025 15:03:55,,,Logged,Logged,,
66,01/06/2025 15:10:00,21.061,,,,,
67,01/06/2025 15:20:00,21.061,,,,,
68,01/06/2025 15:30:00,21.104,,,,,
69,01/06/2025 15:40:00,21.126,,,,,
70,01/06/2025 15:50:00,21.126,,,,,
71,01/06/2025 16:00:00,21.158,,,,,
