#,Date-Time (HST),Temperature   (°C),Button Down,Host Connected,Button Up,End of File
1,01/06/2025 06:00:00,21.329,,,,
2,01/06/2025 06:10:00,21.351,,,,
3,01/06/2025 06:20:00,21.329,,,,
4,01/06/2025 06:30:00,21.340,,,,
5,01/06/2025 06:40:00,21.362,,,,
6,01/06/2025 06:50:00,21.372,,,,
7,01/06/2025 07:00:00,21.362,,,,
8,01/06/2025 07:10:00,21.351,,,,
9,01/06/2025 07:20:00,21.340,,,,
10,01/06/2025 07:30:00,21.329,,,,
11,01/06/2025 07:40:00,21.340,,,,
12,01/06/2025 07:50:00,21.362,,,,
13,01/06/2025 08:00:00,21.394,,,,
14,01/06/2025 08:10:00,21.501,,,,
15,01/06/2025 08:20:00,21.598,,,,
16,01/06/2025 08:30:00,21.630,,,,
17,01/06/2025 08:40:00,21.716,,,,
18,01/06/2025 08:50:00,21.866,,,,
19,01/06/2025 09:00:00,21.887,,,,
20,01/06/2025 09:10:00,21.909,,,,
21,01/06/2025 09:20:00,21.930,,,,
22,01/06/2025 09:30:00,22.005,,,,
23,01/06/2025 09:40:00,22.080,,,,
24,01/06/2025 09:50:00,22.177,,,,
25,01/06/2025 10:00:00,22.273,,,,
26,01/06/2025 10:10:00,22.423,,,,
27,01/06/2025 10:20:00,22.638,,,,
28,01/06/2025 10:30:00,22.713,,,,
29,01/06/2025 10:40:00,22.767,,,,
30,01/06/2025 10:50:00,22.885,,,,
31,01/06/2025 11:00:00,22.970,,,,
32,01/06/2025 11:10:00,23.045,,,,
33,01/06/2025 11:20:00,23.153,,,,
34,01/06/2025 11:30:00,23.206,,,,
35,01/06/2025 11:40:00,23.228,,,,
36,01/06/2025 11:50:00,23.239,,,,
37,01/06/2025 12:00:00,23.303,,,,
38,01/06/2025 12:10:00,23.399,,,,
39,01/06/2025 12:20:00,23.453,,,,
40,01/06/2025 12:30:00,23.432,,,,
41,01/06/2025 12:40:00,23.528,,,,
42,01/06/2025 12:50:00,23.592,,,,
43,01/06/2025 13:00:00,23.625,,,,
44,01/06/2025 13:10:00,23.592,,,,
45,01/06/2025 13:20:00,23.614,,,,
46,01/06/2025 13:30:00,23.775,,,,
47,01/06/2025 13:40:00,23.818,,,,
48,01/06/2025 13:50:00,23.807,,,,
49,01/06/2025 14:00:00,23.839,,,,
50,01/06/2025 14:10:00,23.785,,,,
51,01/06/2025 14:20:00,23.710,,,,
52,01/06/2025 14:30:00,23.657,,,,
53,01/06/2025 14:40:00,23.775,,,,
54,01/06/2025 14:50:00,23.753,,,,
55,01/06/2025 15:00:00,23.818,,,,
56,01/06/2025 15:10:00,23.850,,,,
57,01/06/2025 15:20:00,23.818,,,,
58,01/06/2025 15:30:00,23.839,,,,
59,01/06/2025 15:40:00,23.796,,,,
60,01/06/2025 15:50:00,23.743,,,,
61,01/06/2025 16:00:00,23.775,,,,
62,01/06/2025 16:10:00,23.732,,,,
63,01/06/2025 16:20:00,23.646,,,,
64,01/06/2025 16:30:00,23.646,,,,
65,01/06/2025 16:40:00,23.603,,,,
66,01/06/2025 16:50:00,23.496,,,,
67,01/06/2025 17:00:00,23.421,,,,
68,01/06/2025 17:10:00,23.324,,,,
69,01/06/2025 17:20:00,23.228,,,,
70,01/06/2025 17:30:00,23.078,,,,
71,01/06/2025 17:40:00,22.970,,,,
72,01/06/2025 17:50:00,22.799,,,,
73,01/06/2025 18:00:00,22.659,,,,
74,01/06/2025 18:10:00,22.520,,,,
75,01/06/2025 18:20:00,22.381,,,,
76,01/06/2025 18:30:00,22.273,,,,
77,01/06/2025 18:40:00,22.112,,,,
78,01/06/2025 18:50:00,22.037,,,,
79,01/06/2025 19:00:00,21.919,,,,
80,01/06/2025 19:10:00,21.834,,,,
81,01/06/2025 19:20:00,21.758,,,,
82,01/06/2025 19:30:00,21.673,,,,
83,01/06/2025 19:40:00,21.630,,,,
84,01/06/2025 19:50:00,21.565,,,,
85,01/06/2025 20:00:00,21.555,,,,
86,01/06/2025 20:10:00,21.512,,,,
87,01/06/2025 20:20:00,21.469,,,,
88,01/06/2025 20:30:00,21.447,,,,
89,01/06/2025 20:40:00,21.405,,,,
90,01/06/2025 20:50:00,21.362,,,,
91,01/06/2025 21:00:00,21.329,,,,
92,01/06/2025 21:10:00,21.308,,,,
93,01/06/2025 21:20:00,21.287,,,,
94,01/06/2025 21:30:00,21.276,,,,
95,01/06/2025 21:40:00,21.254,,,,
96,01/06/2025 21:50:00,21.233,,,,
97,01/06/2025 22:00:00,21.222,,,,
98,01/06/2025 22:10:00,21.201,,,,
99,01/06/2025 22:20:00,21.190,,,,
100,01/06/2025 22:30:00,21.169,,,,
101,01/06/2025 22:40:00,21.147,,,,
102,01/06/2025 22:50:00,21.115,,,,
103,01/06/2025 23:00:00,21.104,,,,
104,01/06/2025 23:10:00,21.104,,,,
105,01/06/2025 23:20:00,21.104,,,,
106,01/06/2025 23:30:00,21.093,,,,
107,01/06/2025 23:40:00,21.072,,,,
108,01/06/2025 23:50:00,21.061,,,,
109,01/07/2025 00:00:00,21.051,,,,
110,01/07/2025 00:10:00,21.018,,,,
111,01/07/2025 00:20:00,20.986,,,,
112,01/07/2025 00:30:00,20.976,,,,
113,01/07/2025 00:40:00,20.954,,,,
114,01/07/2025 00:50:00,20.943,,,,
115,01/07/2025 01:00:00,20.933,,,,
116,01/07/2025 01:10:00,20.976,,,,
117,01/07/2025 01:20:00,20.943,,,,
118,01/07/2025 01:30:00,20.954,,,,
119,01/07/2025 01:40:00,20.976,,,,
120,01/07/2025 01:50:00,20.986,,,,
121,01/07/2025 02:00:00,20.965,,,,
122,01/07/2025 02:10:00,20.976,,,,
123,01/07/2025 02:20:00,20.954,,,,
124,01/07/2025 02:30:00,20.922,,,,
125,01/07/2025 02:40:00,20.922,,,,
126,01/07/2025 02:50:00,20.890,,,,
127,01/07/2025 03:00:00,20.890,,,,
128,01/07/2025 03:10:00,20.890,,,,
129,01/07/2025 03:20:00,20.868,,,,
130,01/07/2025 03:30:00,20.858,,,,
131,01/07/2025 03:40:00,20.825,,,,
132,01/07/2025 03:50:00,20.847,,,,
133,01/07/2025 04:00:00,20.804,,,,
134,01/07/2025 04:10:00,20.804,,,,
135,01/07/2025 04:20:00,20.782,,,,
136,01/07/2025 04:30:00,20.750,,,,
137,01/07/2025 04:40:00,20.740,,,,
138,01/07/2025 04:50:00,20.772,,,,
139,01/07/2025 05:00:00,20.750,,,,
140,01/07/2025 05:10:00,20.740,,,,
141,01/07/2025 05:20:00,20.750,,,,
142,01/07/2025 05:30:00,20.740,,,,
143,01/07/2025 05:40:00,20.740,,,,
144,01/07/2025 05:50:00,20.740,,,,
145,01/07/2025 06:00:00,20.740,,,,
146,01/07/2025 06:10:00,20.707,,,,
147,01/07/2025 06:20:00,20.707,,,,
148,01/07/2025 06:30:00,20.740,,,,
149,01/07/2025 06:40:00,20.740,,,,
150,01/07/2025 06:50:00,20.718,,,,
151,01/07/2025 07:00:00,20.718,,,,
152,01/07/2025 07:10:00,20.686,,,,
153,01/07/2025 07:20:00,20.707,,,,
154,01/07/2025 07:30:00,20.729,,,,
155,01/07/2025 07:40:00,20.761,,,,
156,01/07/2025 07:50:00,20.815,,,,
157,01/07/2025 08:00:00,20.858,,,,
158,01/07/2025 08:10:00,20.879,,,,
159,01/07/2025 08:20:00,20.954,,,,
160,01/07/2025 08:30:00,21.051,,,,
161,01/07/2025 08:40:00,21.158,,,,
162,01/07/2025 08:50:00,21.233,,,,
163,01/07/2025 09:00:00,21.297,,,,
164,01/07/2025 09:10:00,21.469,,,,
165,01/07/2025 09:20:00,21.576,,,,
166,01/07/2025 09:30:00,21.683,,,,
167,01/07/2025 09:40:00,21.769,,,,
