date_time_raw,temp_raw,datetime,date,time,temp
01/23/2025 00:00:00,19.517,2025-01-23T00:00:00Z,2025-01-23,00:00:00,19.517
01/23/2025 00:10:00,19.463,2025-01-23T00:10:00Z,2025-01-23,00:10:00,19.463
01/23/2025 00:20:00,19.420,2025-01-23T00:20:00Z,2025-01-23,00:20:00,19.42
01/23/2025 00:30:00,19.367,2025-01-23T00:30:00Z,2025-01-23,00:30:00,19.367
01/23/2025 00:40:00,19.324,2025-01-23T00:40:00Z,2025-01-23,00:40:00,19.324
01/23/2025 00:50:00,19.281,2025-01-23T00:50:00Z,2025-01-23,00:50:00,19.281
01/23/2025 01:00:00,19.217,2025-01-23T01:00:00Z,2025-01-23,01:00:00,19.217
01/23/2025 01:10:00,19.184,2025-01-23T01:10:00Z,2025-01-23,01:10:00,19.184
01/23/2025 01:20:00,19.120,2025-01-23T01:20:00Z,2025-01-23,01:20:00,19.12
01/23/2025 01:30:00,19.077,2025-01-23T01:30:00Z,2025-01-23,01:30:00,19.077
01/23/2025 01:40:00,19.024,2025-01-23T01:40:00Z,2025-01-23,01:40:00,19.024
01/23/2025 01:50:00,18.991,2025-01-23T01:50:00Z,2025-01-23,01:50:00,18.991
01/23/2025 02:00:00,18.927,2025-01-23T02:00:00Z,2025-01-23,02:00:00,18.927
01/23/2025 02:10:00,18.884,2025-01-23T02:10:00Z,2025-01-23,02:10:00,18.884
01/23/2025 02:20:00,18.852,2025-01-23T02:20:00Z,2025-01-23,02:20:00,18.852
01/23/2025 02:30:00,18.820,2025-01-23T02:30:00Z,2025-01-23,02:30:00,18.82
01/23/2025 02:40:00,18.788,2025-01-23T02:40:00Z,2025-01-23,02:40:00,18.788
01/23/2025 02:50:00,18.745,2025-01-23T02:50:00Z,2025-01-23,02:50:00,18.745
01/23/2025 03:00:00,18.702,2025-01-23T03:00:00Z,2025-01-23,03:00:00,18.702
01/23/2025 03:10:00,18.670,2025-01-23T03:10:00Z,2025-01-23,03:10:00,18.67
01/23/2025 03:20:00,18.627,2025-01-23T03:20:00Z,2025-01-23,03:20:00,18.627
01/23/2025 03:30:00,18.595,2025-01-23T03:30:00Z,2025-01-23,03:30:00,18.595
01/23/2025 03:40:00,18.562,2025-01-23T03:40:00Z,2025-01-23,03:40:00,18.562
01/23/2025 03:50:00,18.530,2025-01-23T03:50:00Z,2025-01-23,03:50:00,18.53
01/23/2025 04:00:00,18.498,2025-01-23T04:00:00Z,2025-01-23,04:00:00,18.498
01/23/2025 04:10:00,18.466,2025-01-23T04:10:00Z,2025-01-23,04:10:00,18.466
01/23/2025 04:20:00,18.412,2025-01-23T04:20:00Z,2025-01-23,04:20:00,18.412
01/23/2025 04:30:00,18.380,2025-01-23T04:30:00Z,2025-01-23,04:30:00,18.38
01/23/2025 04:40:00,18.359,2025-01-23T04:40:00Z,2025-01-23,04:40:00,18.359
01/23/2025 04:50:00,18.326,2025-01-23T04:50:00Z,2025-01-23,04:50:00,18.326
01/23/2025 05:00:00,18.294,2025-01-23T05:00:00Z,2025-01-23,05:00:00,18.294
01/23/2025 05:10:00,18.273,2025-01-23T05:10:00Z,2025-01-23,05:10:00,18.273
01/23/2025 05:20:00,18.241,2025-01-23T05:20:00Z,2025-01-23,05:20:00,18.241
01/23/2025 05:30:00,18.208,2025-01-23T05:30:00Z,2025-01-23,05:30:00,18.208
01/23/2025 05:40:00,18.187,2025-01-23T05:40:00Z,2025-01-23,05:40:00,18.187
01/23/2025 05:50:00,18.155,2025-01-23T05:50:00Z,2025-01-23,05:50:00,18.155
01/23/2025 06:00:00,18.112,2025-01-23T06:00:00Z,2025-01-23,06:00:00,18.112
01/23/2025 06:10:00,18.080,2025-01-23T06:10:00Z,2025-01-23,06:10:00,18.08
01/23/2025 06:20:00,18.048,2025-01-23T06:20:00Z,2025-01-23,06:20:00,18.048
01/23/2025 06:30:00,18.015,2025-01-23T06:30:00Z,2025-01-23,06:30:00,18.015
01/23/2025 06:40:00,17.983,2025-01-23T06:40:00Z,2025-01-23,06:40:00,17.983
01/23/2025 06:50:00,17.951,2025-01-23T06:50:00Z,2025-01-23,06:50:00,17.951
01/23/2025 07:00:00,17.930,2025-01-23T07:00:00Z,2025-01-23,07:00:00,17.93
01/23/2025 07:10:00,17.908,2025-01-23T07:10:00Z,2025-01-23,07:10:00,17.908
01/23/2025 07:20:00,17.897,2025-01-23T07:20:00Z,2025-01-23,07:20:00,17.897
01/23/2025 07:30:00,17.865,2025-01-23T07:30:00Z,2025-01-23,07:30:00,17.865
01/23/2025 07:40:00,17.833,2025-01-23T07:40:00Z,2025-01-23,07:40:00,17.833
01/23/2025 07:50:00,17.833,2025-01-23T07:50:00Z,2025-01-23,07:50:00,17.833
01/23/2025 08:00:00,17.822,2025-01-23T08:00:00Z,2025-01-23,08:00:00,17.822
01/23/2025 08:10:00,17.812,2025-01-23T08:10:00Z,2025-01-23,08:10:00,17.812
01/23/2025 08:20:00,17.801,2025-01-23T08:20:00Z,2025-01-23,08:20:00,17.801
01/23/2025 08:30:00,17.790,2025-01-23T08:30:00Z,2025-01-23,08:30:00,17.79
01/23/2025 08:40:00,17.779,2025-01-23T08:40:00Z,2025-01-23,08:40:00,17.779
01/23/2025 08:50:00,17.790,2025-01-23T08:50:00Z,2025-01-23,08:50:00,17.79
01/23/2025 09:00:00,17.812,2025-01-23T09:00:00Z,2025-01-23,09:00:00,17.812
01/23/2025 09:10:00,17.812,2025-01-23T09:10:00Z,2025-01-23,09:10:00,17.812
01/23/2025 09:20:00,17.833,2025-01-23T09:20:00Z,2025-01-23,09:20:00,17.833
01/23/2025 09:30:00,17.865,2025-01-23T09:30:00Z,2025-01-23,09:30:00,17.865
01/23/2025 09:40:00,17.897,2025-01-23T09:40:00Z,2025-01-23,09:40:00,17.897
01/23/2025 09:50:00,17.930,2025-01-23T09:50:00Z,2025-01-23,09:50:00,17.93
01/23/2025 10:00:00,17.951,2025-01-23T10:00:00Z,2025-01-23,10:00:00,17.951
01/23/2025 10:10:00,17.983,2025-01-23T10:10:00Z,2025-01-23,10:10:00,17.983
01/23/2025 10:20:00,18.015,2025-01-23T10:20:00Z,2025-01-23,10:20:00,18.015
01/23/2025 10:30:00,18.048,2025-01-23T10:30:00Z,2025-01-23,10:30:00,18.048
01/23/2025 10:40:00,18.080,2025-01-23T10:40:00Z,2025-01-23,10:40:00,18.08
01/23/2025 10:50:00,18.101,2025-01-23T10:50:00Z,2025-01-23,10:50:00,18.101
01/23/2025 11:00:00,18.144,2025-01-23T11:00:00Z,2025-01-23,11:00:00,18.144
01/23/2025 11:10:00,18.348,2025-01-23T11:10:00Z,2025-01-23,11:10:00,18.348
01/23/2025 11:20:00,18.595,2025-01-23T11:20:00Z,2025-01-23,11:20:00,18.595
01/23/2025 11:30:00,18.734,2025-01-23T11:30:00Z,2025-01-23,11:30:00,18.734
01/23/2025 11:40:00,18.798,2025-01-23T11:40:00Z,2025-01-23,11:40:00,18.798
01/23/2025 11:50:00,18.841,2025-01-23T11:50:00Z,2025-01-23,11:50:00,18.841
01/23/2025 12:00:00,18.873,2025-01-23T12:00:00Z,2025-01-23,12:00:00,18.873
01/23/2025 12:10:00,18.906,2025-01-23T12:10:00Z,2025-01-23,12:10:00,18.906
01/23/2025 12:20:00,18.927,2025-01-23T12:20:00Z,2025-01-23,12:20:00,18.927
01/23/2025 12:30:00,18.959,2025-01-23T12:30:00Z,2025-01-23,12:30:00,18.959
01/23/2025 12:40:00,18.981,2025-01-23T12:40:00Z,2025-01-23,12:40:00,18.981
01/23/2025 12:50:00,19.002,2025-01-23T12:50:00Z,2025-01-23,12:50:00,19.002
01/23/2025 13:00:00,19.034,2025-01-23T13:00:00Z,2025-01-23,13:00:00,19.034
01/23/2025 13:10:00,19.045,2025-01-23T13:10:00Z,2025-01-23,13:10:00,19.045
01/23/2025 13:20:00,19.077,2025-01-23T13:20:00Z,2025-01-23,13:20:00,19.077
01/23/2025 13:30:00,19.302,2025-01-23T13:30:00Z,2025-01-23,13:30:00,19.302
01/23/2025 13:40:00,19.335,2025-01-23T13:40:00Z,2025-01-23,13:40:00,19.335
01/23/2025 13:50:00,19.356,2025-01-23T13:50:00Z,2025-01-23,13:50:00,19.356
01/23/2025 14:00:00,19.377,2025-01-23T14:00:00Z,2025-01-23,14:00:00,19.377
01/23/2025 14:10:00,19.388,2025-01-23T14:10:00Z,2025-01-23,14:10:00,19.388
01/23/2025 14:20:00,19.420,2025-01-23T14:20:00Z,2025-01-23,14:20:00,19.42
01/23/2025 14:30:00,19.431,2025-01-23T14:30:00Z,2025-01-23,14:30:00,19.431
01/23/2025 14:40:00,19.453,2025-01-23T14:40:00Z,2025-01-23,14:40:00,19.453
01/23/2025 14:50:00,19.463,2025-01-23T14:50:00Z,2025-01-23,14:50:00,19.463
01/23/2025 15:00:00,19.474,2025-01-23T15:00:00Z,2025-01-23,15:00:00,19.474
01/23/2025 15:10:00,19.495,2025-01-23T15:10:00Z,2025-01-23,15:10:00,19.495
01/23/2025 15:20:00,19.506,2025-01-23T15:20:00Z,2025-01-23,15:20:00,19.506
01/23/2025 15:30:00,19.517,2025-01-23T15:30:00Z,2025-01-23,15:30:00,19.517
01/23/2025 15:40:00,19.538,2025-01-23T15:40:00Z,2025-01-23,15:40:00,19.538
01/23/2025 15:50:00,19.549,2025-01-23T15:50:00Z,2025-01-23,15:50:00,19.549
01/23/2025 16:00:00,19.549,2025-01-23T16:00:00Z,2025-01-23,16:00:00,19.549
01/23/2025 16:10:00,19.560,2025-01-23T16:10:00Z,2025-01-23,16:10:00,19.56
01/23/2025 16:20:00,19.571,2025-01-23T16:20:00Z,2025-01-23,16:20:00,19.571
01/23/2025 16:30:00,19.571,2025-01-23T16:30:00Z,2025-01-23,16:30:00,19.571
01/23/2025 16:40:00,19.592,2025-01-23T16:40:00Z,2025-01-23,16:40:00,19.592
01/23/2025 16:50:00,19.592,2025-01-23T16:50:00Z,2025-01-23,16:50:00,19.592
01/23/2025 17:00:00,19.603,2025-01-23T17:00:00Z,2025-01-23,17:00:00,19.603
01/23/2025 17:10:00,19.613,2025-01-23T17:10:00Z,2025-01-23,17:10:00,19.613
01/23/2025 17:20:00,19.624,2025-01-23T17:20:00Z,2025-01-23,17:20:00,19.624
01/23/2025 17:30:00,19.624,2025-01-23T17:30:00Z,2025-01-23,17:30:00,19.624
01/23/2025 17:40:00,19.624,2025-01-23T17:40:00Z,2025-01-23,17:40:00,19.624
01/23/2025 17:50:00,19.624,2025-01-23T17:50:00Z,2025-01-23,17:50:00,19.624
01/23/2025 18:00:00,19.624,2025-01-23T18:00:00Z,2025-01-23,18:00:00,19.624
01/23/2025 18:10:00,19.624,2025-01-23T18:10:00Z,2025-01-23,18:10:00,19.624
01/23/2025 18:20:00,19.613,2025-01-23T18:20:00Z,2025-01-23,18:20:00,19.613
01/23/2025 18:30:00,19.603,2025-01-23T18:30:00Z,2025-01-23,18:30:00,19.603
01/23/2025 18:40:00,19.581,2025-01-23T18:40:00Z,2025-01-23,18:40:00,19.581
01/23/2025 18:50:00,19.560,2025-01-23T18:50:00Z,2025-01-23,18:50:00,19.56
01/23/2025 19:00:00,19.549,2025-01-23T19:00:00Z,2025-01-23,19:00:00,19.549
01/23/2025 19:10:00,19.538,2025-01-23T19:10:00Z,2025-01-23,19:10:00,19.538
01/23/2025 19:20:00,19.517,2025-01-23T19:20:00Z,2025-01-23,19:20:00,19.517
01/23/2025 19:30:00,19.506,2025-01-23T19:30:00Z,2025-01-23,19:30:00,19.506
01/23/2025 19:40:00,19.474,2025-01-23T19:40:00Z,2025-01-23,19:40:00,19.474
01/23/2025 19:50:00,19.474,2025-01-23T19:50:00Z,2025-01-23,19:50:00,19.474
01/23/2025 20:00:00,19.453,2025-01-23T20:00:00Z,2025-01-23,20:00:00,19.453
01/23/2025 20:10:00,19.431,2025-01-23T20:10:00Z,2025-01-23,20:10:00,19.431
01/23/2025 20:20:00,19.420,2025-01-23T20:20:00Z,2025-01-23,20:20:00,19.42
01/23/2025 20:30:00,19.388,2025-01-23T20:30:00Z,2025-01-23,20:30:00,19.388
01/23/2025 20:40:00,19.377,2025-01-23T20:40:00Z,2025-01-23,20:40:00,19.377
01/23/2025 20:50:00,19.367,2025-01-23T20:50:00Z,2025-01-23,20:50:00,19.367
01/23/2025 21:00:00,19.335,2025-01-23T21:00:00Z,2025-01-23,21:00:00,19.335
01/23/2025 21:10:00,19.313,2025-01-23T21:10:00Z,2025-01-23,21:10:00,19.313
01/23/2025 21:20:00,19.292,2025-01-23T21:20:00Z,2025-01-23,21:20:00,19.292
01/23/2025 21:30:00,19.281,2025-01-23T21:30:00Z,2025-01-23,21:30:00,19.281
01/23/2025 21:40:00,19.249,2025-01-23T21:40:00Z,2025-01-23,21:40:00,19.249
01/23/2025 21:50:00,19.227,2025-01-23T21:50:00Z,2025-01-23,21:50:00,19.227
01/23/2025 22:00:00,19.217,2025-01-23T22:00:00Z,2025-01-23,22:00:00,19.217
01/23/2025 22:10:00,19.184,2025-01-23T22:10:00Z,2025-01-23,22:10:00,19.184
01/23/2025 22:20:00,19.152,2025-01-23T22:20:00Z,2025-01-23,22:20:00,19.152
01/23/2025 22:30:00,19.131,2025-01-23T22:30:00Z,2025-01-23,22:30:00,19.131
01/23/2025 22:40:00,19.109,2025-01-23T22:40:00Z,2025-01-23,22:40:00,19.109
01/23/2025 22:50:00,19.088,2025-01-23T22:50:00Z,2025-01-23,22:50:00,19.088
01/23/2025 23:00:00,19.066,2025-01-23T23:00:00Z,2025-01-23,23:00:00,19.066
01/23/2025 23:10:00,19.045,2025-01-23T23:10:00Z,2025-01-23,23:10:00,19.045
01/23/2025 23:20:00,19.024,2025-01-23T23:20:00Z,2025-01-23,23:20:00,19.024
01/23/2025 23:30:00,18.991,2025-01-23T23:30:00Z,2025-01-23,23:30:00,18.991
01/23/2025 23:40:00,18.981,2025-01-23T23:40:00Z,2025-01-23,23:40:00,18.981
01/23/2025 23:50:00,18.959,2025-01-23T23:50:00Z,2025-01-23,23:50:00,18.959
01/24/2025 00:00:00,18.927,2025-01-24T00:00:00Z,2025-01-24,00:00:00,18.927
01/24/2025 00:10:00,18.906,2025-01-24T00:10:00Z,2025-01-24,00:10:00,18.906
01/24/2025 00:20:00,18.873,2025-01-24T00:20:00Z,2025-01-24,00:20:00,18.873
01/24/2025 00:30:00,18.852,2025-01-24T00:30:00Z,2025-01-24,00:30:00,18.852
01/24/2025 00:40:00,18.820,2025-01-24T00:40:00Z,2025-01-24,00:40:00,18.82
01/24/2025 00:50:00,18.798,2025-01-24T00:50:00Z,2025-01-24,00:50:00,18.798
01/24/2025 01:00:00,18.766,2025-01-24T01:00:00Z,2025-01-24,01:00:00,18.766
01/24/2025 01:10:00,18.745,2025-01-24T01:10:00Z,2025-01-24,01:10:00,18.745
01/24/2025 01:20:00,18.702,2025-01-24T01:20:00Z,2025-01-24,01:20:00,18.702
01/24/2025 01:30:00,18.680,2025-01-24T01:30:00Z,2025-01-24,01:30:00,18.68
01/24/2025 01:40:00,18.648,2025-01-24T01:40:00Z,2025-01-24,01:40:00,18.648
01/24/2025 01:50:00,18.616,2025-01-24T01:50:00Z,2025-01-24,01:50:00,18.616
01/24/2025 02:00:00,18.595,2025-01-24T02:00:00Z,2025-01-24,02:00:00,18.595
01/24/2025 02:10:00,18.562,2025-01-24T02:10:00Z,2025-01-24,02:10:00,18.562
01/24/2025 02:20:00,18.541,2025-01-24T02:20:00Z,2025-01-24,02:20:00,18.541
01/24/2025 02:30:00,18.509,2025-01-24T02:30:00Z,2025-01-24,02:30:00,18.509
01/24/2025 02:40:00,18.477,2025-01-24T02:40:00Z,2025-01-24,02:40:00,18.477
01/24/2025 02:50:00,18.444,2025-01-24T02:50:00Z,2025-01-24,02:50:00,18.444
01/24/2025 03:00:00,18.412,2025-01-24T03:00:00Z,2025-01-24,03:00:00,18.412
01/24/2025 03:10:00,18.391,2025-01-24T03:10:00Z,2025-01-24,03:10:00,18.391
01/24/2025 03:20:00,18.359,2025-01-24T03:20:00Z,2025-01-24,03:20:00,18.359
01/24/2025 03:30:00,18.326,2025-01-24T03:30:00Z,2025-01-24,03:30:00,18.326
01/24/2025 03:40:00,18.294,2025-01-24T03:40:00Z,2025-01-24,03:40:00,18.294
01/24/2025 03:50:00,18.273,2025-01-24T03:50:00Z,2025-01-24,03:50:00,18.273
01/24/2025 04:00:00,18.241,2025-01-24T04:00:00Z,2025-01-24,04:00:00,18.241
01/24/2025 04:10:00,18.208,2025-01-24T04:10:00Z,2025-01-24,04:10:00,18.208
01/24/2025 04:20:00,18.166,2025-01-24T04:20:00Z,2025-01-24,04:20:00,18.166
01/24/2025 04:30:00,18.144,2025-01-24T04:30:00Z,2025-01-24,04:30:00,18.144
01/24/2025 04:40:00,18.112,2025-01-24T04:40:00Z,2025-01-24,04:40:00,18.112
01/24/2025 04:50:00,18.080,2025-01-24T04:50:00Z,2025-01-24,04:50:00,18.08
01/24/2025 05:00:00,18.048,2025-01-24T05:00:00Z,2025-01-24,05:00:00,18.048
01/24/2025 05:10:00,18.015,2025-01-24T05:10:00Z,2025-01-24,05:10:00,18.015
01/24/2025 05:20:00,17.994,2025-01-24T05:20:00Z,2025-01-24,05:20:00,17.994
01/24/2025 05:30:00,17.962,2025-01-24T05:30:00Z,2025-01-24,05:30:00,17.962
01/24/2025 05:40:00,17.930,2025-01-24T05:40:00Z,2025-01-24,05:40:00,17.93
01/24/2025 05:50:00,17.908,2025-01-24T05:50:00Z,2025-01-24,05:50:00,17.908
01/24/2025 06:00:00,17.887,2025-01-24T06:00:00Z,2025-01-24,06:00:00,17.887
01/24/2025 06:10:00,17.855,2025-01-24T06:10:00Z,2025-01-24,06:10:00,17.855
01/24/2025 06:20:00,17.833,2025-01-24T06:20:00Z,2025-01-24,06:20:00,17.833
01/24/2025 06:30:00,17.812,2025-01-24T06:30:00Z,2025-01-24,06:30:00,17.812
01/24/2025 06:40:00,17.779,2025-01-24T06:40:00Z,2025-01-24,06:40:00,17.779
01/24/2025 06:50:00,17.747,2025-01-24T06:50:00Z,2025-01-24,06:50:00,17.747
01/24/2025 07:00:00,17.737,2025-01-24T07:00:00Z,2025-01-24,07:00:00,17.737
01/24/2025 07:10:00,17.715,2025-01-24T07:10:00Z,2025-01-24,07:10:00,17.715
01/24/2025 07:20:00,17.694,2025-01-24T07:20:00Z,2025-01-24,07:20:00,17.694
01/24/2025 07:30:00,17.672,2025-01-24T07:30:00Z,2025-01-24,07:30:00,17.672
01/24/2025 07:40:00,17.661,2025-01-24T07:40:00Z,2025-01-24,07:40:00,17.661
01/24/2025 07:50:00,17.640,2025-01-24T07:50:00Z,2025-01-24,07:50:00,17.64
01/24/2025 08:00:00,17.640,2025-01-24T08:00:00Z,2025-01-24,08:00:00,17.64
01/24/2025 08:10:00,17.661,2025-01-24T08:10:00Z,2025-01-24,08:10:00,17.661
01/24/2025 08:20:00,17.661,2025-01-24T08:20:00Z,2025-01-24,08:20:00,17.661
01/24/2025 08:30:00,17.661,2025-01-24T08:30:00Z,2025-01-24,08:30:00,17.661
01/24/2025 08:40:00,17.661,2025-01-24T08:40:00Z,2025-01-24,08:40:00,17.661
01/24/2025 08:50:00,17.694,2025-01-24T08:50:00Z,2025-01-24,08:50:00,17.694
01/24/2025 09:00:00,17.694,2025-01-24T09:00:00Z,2025-01-24,09:00:00,17.694
01/24/2025 09:10:00,17.726,2025-01-24T09:10:00Z,2025-01-24,09:10:00,17.726
01/24/2025 09:20:00,17.747,2025-01-24T09:20:00Z,2025-01-24,09:20:00,17.747
01/24/2025 09:30:00,17.769,2025-01-24T09:30:00Z,2025-01-24,09:30:00,17.769
01/24/2025 09:40:00,17.790,2025-01-24T09:40:00Z,2025-01-24,09:40:00,17.79
01/24/2025 09:50:00,17.812,2025-01-24T09:50:00Z,2025-01-24,09:50:00,17.812
01/24/2025 10:00:00,17.833,2025-01-24T10:00:00Z,2025-01-24,10:00:00,17.833
01/24/2025 10:10:00,17.855,2025-01-24T10:10:00Z,2025-01-24,10:10:00,17.855
01/24/2025 10:20:00,17.876,2025-01-24T10:20:00Z,2025-01-24,10:20:00,17.876
01/24/2025 10:30:00,17.908,2025-01-24T10:30:00Z,2025-01-24,10:30:00,17.908
01/24/2025 10:40:00,17.930,2025-01-24T10:40:00Z,2025-01-24,10:40:00,17.93
01/24/2025 10:50:00,17.951,2025-01-24T10:50:00Z,2025-01-24,10:50:00,17.951
01/24/2025 11:00:00,17.983,2025-01-24T11:00:00Z,2025-01-24,11:00:00,17.983
01/24/2025 11:10:00,18.015,2025-01-24T11:10:00Z,2025-01-24,11:10:00,18.015
01/24/2025 11:20:00,18.037,2025-01-24T11:20:00Z,2025-01-24,11:20:00,18.037
01/24/2025 11:30:00,18.069,2025-01-24T11:30:00Z,2025-01-24,11:30:00,18.069
01/24/2025 11:40:00,18.101,2025-01-24T11:40:00Z,2025-01-24,11:40:00,18.101
01/24/2025 11:50:00,18.144,2025-01-24T11:50:00Z,2025-01-24,11:50:00,18.144
01/24/2025 12:00:00,18.187,2025-01-24T12:00:00Z,2025-01-24,12:00:00,18.187
01/24/2025 12:10:00,18.241,2025-01-24T12:10:00Z,2025-01-24,12:10:00,18.241
01/24/2025 12:20:00,18.284,2025-01-24T12:20:00Z,2025-01-24,12:20:00,18.284
01/24/2025 12:30:00,18.348,2025-01-24T12:30:00Z,2025-01-24,12:30:00,18.348
01/24/2025 12:40:00,18.391,2025-01-24T12:40:00Z,2025-01-24,12:40:00,18.391
01/24/2025 12:50:00,18.444,2025-01-24T12:50:00Z,2025-01-24,12:50:00,18.444
01/24/2025 13:00:00,18.498,2025-01-24T13:00:00Z,2025-01-24,13:00:00,18.498
01/24/2025 13:10:00,18.509,2025-01-24T13:10:00Z,2025-01-24,13:10:00,18.509
01/24/2025 13:20:00,18.562,2025-01-24T13:20:00Z,2025-01-24,13:20:00,18.562
01/24/2025 13:30:00,18.595,2025-01-24T13:30:00Z,2025-01-24,13:30:00,18.595
01/24/2025 13:40:00,18.648,2025-01-24T13:40:00Z,2025-01-24,13:40:00,18.648
01/24/2025 13:50:00,18.691,2025-01-24T13:50:00Z,2025-01-24,13:50:00,18.691
01/24/2025 14:00:00,18.734,2025-01-24T14:00:00Z,2025-01-24,14:00:00,18.734
01/24/2025 14:10:00,18.745,2025-01-24T14:10:00Z,2025-01-24,14:10:00,18.745
01/24/2025 14:20:00,18.766,2025-01-24T14:20:00Z,2025-01-24,14:20:00,18.766
01/24/2025 14:30:00,18.788,2025-01-24T14:30:00Z,2025-01-24,14:30:00,18.788
01/24/2025 14:40:00,18.830,2025-01-24T14:40:00Z,2025-01-24,14:40:00,18.83
01/24/2025 14:50:00,18.852,2025-01-24T14:50:00Z,2025-01-24,14:50:00,18.852
01/24/2025 15:00:00,18.873,2025-01-24T15:00:00Z,2025-01-24,15:00:00,18.873
01/24/2025 15:10:00,18.906,2025-01-24T15:10:00Z,2025-01-24,15:10:00,18.906
01/24/2025 15:20:00,18.938,2025-01-24T15:20:00Z,2025-01-24,15:20:00,18.938
01/24/2025 15:30:00,18.959,2025-01-24T15:30:00Z,2025-01-24,15:30:00,18.959
01/24/2025 15:40:00,18.991,2025-01-24T15:40:00Z,2025-01-24,15:40:00,18.991
01/24/2025 15:50:00,19.013,2025-01-24T15:50:00Z,2025-01-24,15:50:00,19.013
01/24/2025 16:00:00,19.045,2025-01-24T16:00:00Z,2025-01-24,16:00:00,19.045
01/24/2025 16:10:00,19.056,2025-01-24T16:10:00Z,2025-01-24,16:10:00,19.056
