#,Date-Time (HST),Temperature   (°C),Started,Host Connected,End of File,datetime,date,time
8462,03/06/2025 00:00:00,22.005,NA,NA,NA,2025-03-06T00:00:00Z,2025-03-06,00:00:00
8463,03/06/2025 00:10:00,21.984,NA,NA,NA,2025-03-06T00:10:00Z,2025-03-06,00:10:00
8464,03/06/2025 00:20:00,21.952,NA,NA,NA,2025-03-06T00:20:00Z,2025-03-06,00:20:00
8465,03/06/2025 00:30:00,21.93,NA,NA,NA,2025-03-06T00:30:00Z,2025-03-06,00:30:00
8466,03/06/2025 00:40:00,21.909,NA,NA,NA,2025-03-06T00:40:00Z,2025-03-06,00:40:00
8467,03/06/2025 00:50:00,21.876,NA,NA,NA,2025-03-06T00:50:00Z,2025-03-06,00:50:00
8468,03/06/2025 01:00:00,21.866,NA,NA,NA,2025-03-06T01:00:00Z,2025-03-06,01:00:00
8469,03/06/2025 01:10:00,21.834,NA,NA,NA,2025-03-06T01:10:00Z,2025-03-06,01:10:00
8470,03/06/2025 01:20:00,21.812,NA,NA,NA,2025-03-06T01:20:00Z,2025-03-06,01:20:00
8471,03/06/2025 01:30:00,21.791,NA,NA,NA,2025-03-06T01:30:00Z,2025-03-06,01:30:00
8472,03/06/2025 01:40:00,21.769,NA,NA,NA,2025-03-06T01:40:00Z,2025-03-06,01:40:00
8473,03/06/2025 01:50:00,21.748,NA,NA,NA,2025-03-06T01:50:00Z,2025-03-06,01:50:00
8474,03/06/2025 02:00:00,21.716,NA,NA,NA,2025-03-06T02:00:00Z,2025-03-06,02:00:00
8475,03/06/2025 02:10:00,21.694,NA,NA,NA,2025-03-06T02:10:00Z,2025-03-06,02:10:00
8476,03/06/2025 02:20:00,21.662,NA,NA,NA,2025-03-06T02:20:00Z,2025-03-06,02:20:00
8477,03/06/2025 02:30:00,21.662,NA,NA,NA,2025-03-06T02:30:00Z,2025-03-06,02:30:00
8478,03/06/2025 02:40:00,21.63,NA,NA,NA,2025-03-06T02:40:00Z,2025-03-06,02:40:00
8479,03/06/2025 02:50:00,21.608,NA,NA,NA,2025-03-06T02:50:00Z,2025-03-06,02:50:00
8480,03/06/2025 03:00:00,21.587,NA,NA,NA,2025-03-06T03:00:00Z,2025-03-06,03:00:00
8481,03/06/2025 03:10:00,21.565,NA,NA,NA,2025-03-06T03:10:00Z,2025-03-06,03:10:00
8482,03/06/2025 03:20:00,21.544,NA,NA,NA,2025-03-06T03:20:00Z,2025-03-06,03:20:00
8483,03/06/2025 03:30:00,21.522,NA,NA,NA,2025-03-06T03:30:00Z,2025-03-06,03:30:00
8484,03/06/2025 03:40:00,21.501,NA,NA,NA,2025-03-06T03:40:00Z,2025-03-06,03:40:00
8485,03/06/2025 03:50:00,21.48,NA,NA,NA,2025-03-06T03:50:00Z,2025-03-06,03:50:00
8486,03/06/2025 04:00:00,21.458,NA,NA,NA,2025-03-06T04:00:00Z,2025-03-06,04:00:00
8487,03/06/2025 04:10:00,21.437,NA,NA,NA,2025-03-06T04:10:00Z,2025-03-06,04:10:00
8488,03/06/2025 04:20:00,21.415,NA,NA,NA,2025-03-06T04:20:00Z,2025-03-06,04:20:00
8489,03/06/2025 04:30:00,21.394,NA,NA,NA,2025-03-06T04:30:00Z,2025-03-06,04:30:00
8490,03/06/2025 04:40:00,21.372,NA,NA,NA,2025-03-06T04:40:00Z,2025-03-06,04:40:00
8491,03/06/2025 04:50:00,21.351,NA,NA,NA,2025-03-06T04:50:00Z,2025-03-06,04:50:00
8492,03/06/2025 05:00:00,21.351,NA,NA,NA,2025-03-06T05:00:00Z,2025-03-06,05:00:00
8493,03/06/2025 05:10:00,21.319,NA,NA,NA,2025-03-06T05:10:00Z,2025-03-06,05:10:00
8494,03/06/2025 05:20:00,21.319,NA,NA,NA,2025-03-06T05:20:00Z,2025-03-06,05:20:00
8495,03/06/2025 05:30:00,21.287,NA,NA,NA,2025-03-06T05:30:00Z,2025-03-06,05:30:00
8496,03/06/2025 05:40:00,21.265,NA,NA,NA,2025-03-06T05:40:00Z,2025-03-06,05:40:00
8497,03/06/2025 05:50:00,21.254,NA,NA,NA,2025-03-06T05:50:00Z,2025-03-06,05:50:00
8498,03/06/2025 06:00:00,21.233,NA,NA,NA,2025-03-06T06:00:00Z,2025-03-06,06:00:00
8499,03/06/2025 06:10:00,21.158,NA,NA,NA,2025-03-06T06:10:00Z,2025-03-06,06:10:00
8500,03/06/2025 06:20:00,21.104,NA,NA,NA,2025-03-06T06:20:00Z,2025-03-06,06:20:00
8501,03/06/2025 06:30:00,21.083,NA,NA,NA,2025-03-06T06:30:00Z,2025-03-06,06:30:00
8502,03/06/2025 06:40:00,21.072,NA,NA,NA,2025-03-06T06:40:00Z,2025-03-06,06:40:00
8503,03/06/2025 06:50:00,21.051,NA,NA,NA,2025-03-06T06:50:00Z,2025-03-06,06:50:00
8504,03/06/2025 07:00:00,21.04,NA,NA,NA,2025-03-06T07:00:00Z,2025-03-06,07:00:00
8505,03/06/2025 07:10:00,21.029,NA,NA,NA,2025-03-06T07:10:00Z,2025-03-06,07:10:00
8506,03/06/2025 07:20:00,21.008,NA,NA,NA,2025-03-06T07:20:00Z,2025-03-06,07:20:00
8507,03/06/2025 07:30:00,21.018,NA,NA,NA,2025-03-06T07:30:00Z,2025-03-06,07:30:00
8508,03/06/2025 07:40:00,21.008,NA,NA,NA,2025-03-06T07:40:00Z,2025-03-06,07:40:00
8509,03/06/2025 07:50:00,21.018,NA,NA,NA,2025-03-06T07:50:00Z,2025-03-06,07:50:00
8510,03/06/2025 08:00:00,21.029,NA,NA,NA,2025-03-06T08:00:00Z,2025-03-06,08:00:00
8511,03/06/2025 08:10:00,21.008,NA,NA,NA,2025-03-06T08:10:00Z,2025-03-06,08:10:00
8512,03/06/2025 08:20:00,20.986,NA,NA,NA,2025-03-06T08:20:00Z,2025-03-06,08:20:00
8513,03/06/2025 08:30:00,20.986,NA,NA,NA,2025-03-06T08:30:00Z,2025-03-06,08:30:00
8514,03/06/2025 08:40:00,20.976,NA,NA,NA,2025-03-06T08:40:00Z,2025-03-06,08:40:00
8515,03/06/2025 08:50:00,20.986,NA,NA,NA,2025-03-06T08:50:00Z,2025-03-06,08:50:00
8516,03/06/2025 09:00:00,21.008,NA,NA,NA,2025-03-06T09:00:00Z,2025-03-06,09:00:00
8517,03/06/2025 09:10:00,21.04,NA,NA,NA,2025-03-06T09:10:00Z,2025-03-06,09:10:00
8518,03/06/2025 09:20:00,21.061,NA,NA,NA,2025-03-06T09:20:00Z,2025-03-06,09:20:00
8519,03/06/2025 09:30:00,21.093,NA,NA,NA,2025-03-06T09:30:00Z,2025-03-06,09:30:00
8520,03/06/2025 09:40:00,21.136,NA,NA,NA,2025-03-06T09:40:00Z,2025-03-06,09:40:00
8521,03/06/2025 09:50:00,21.179,NA,NA,NA,2025-03-06T09:50:00Z,2025-03-06,09:50:00
8522,03/06/2025 10:00:00,21.211,NA,NA,NA,2025-03-06T10:00:00Z,2025-03-06,10:00:00
8523,03/06/2025 10:10:00,21.265,NA,NA,NA,2025-03-06T10:10:00Z,2025-03-06,10:10:00
8524,03/06/2025 10:20:00,21.297,NA,NA,NA,2025-03-06T10:20:00Z,2025-03-06,10:20:00
8525,03/06/2025 10:30:00,21.34,NA,NA,NA,2025-03-06T10:30:00Z,2025-03-06,10:30:00
8526,03/06/2025 10:40:00,21.383,NA,NA,NA,2025-03-06T10:40:00Z,2025-03-06,10:40:00
8527,03/06/2025 10:50:00,21.458,NA,NA,NA,2025-03-06T10:50:00Z,2025-03-06,10:50:00
8528,03/06/2025 11:00:00,21.898,NA,NA,NA,2025-03-06T11:00:00Z,2025-03-06,11:00:00
8529,03/06/2025 11:10:00,22.069,NA,NA,NA,2025-03-06T11:10:00Z,2025-03-06,11:10:00
8530,03/06/2025 11:20:00,22.187,NA,NA,NA,2025-03-06T11:20:00Z,2025-03-06,11:20:00
8531,03/06/2025 11:30:00,22.445,NA,NA,NA,2025-03-06T11:30:00Z,2025-03-06,11:30:00
8532,03/06/2025 11:40:00,22.874,NA,NA,NA,2025-03-06T11:40:00Z,2025-03-06,11:40:00
8533,03/06/2025 11:50:00,23.003,NA,NA,NA,2025-03-06T11:50:00Z,2025-03-06,11:50:00
8534,03/06/2025 12:00:00,23.078,NA,NA,NA,2025-03-06T12:00:00Z,2025-03-06,12:00:00
8535,03/06/2025 12:10:00,23.121,NA,NA,NA,2025-03-06T12:10:00Z,2025-03-06,12:10:00
8536,03/06/2025 12:20:00,23.142,NA,NA,NA,2025-03-06T12:20:00Z,2025-03-06,12:20:00
8537,03/06/2025 12:30:00,23.174,NA,NA,NA,2025-03-06T12:30:00Z,2025-03-06,12:30:00
8538,03/06/2025 12:40:00,23.196,NA,NA,NA,2025-03-06T12:40:00Z,2025-03-06,12:40:00
8539,03/06/2025 12:50:00,23.217,NA,NA,NA,2025-03-06T12:50:00Z,2025-03-06,12:50:00
8540,03/06/2025 13:00:00,23.239,NA,NA,NA,2025-03-06T13:00:00Z,2025-03-06,13:00:00
8541,03/06/2025 13:10:00,23.26,NA,NA,NA,2025-03-06T13:10:00Z,2025-03-06,13:10:00
8542,03/06/2025 13:20:00,23.281,NA,NA,NA,2025-03-06T13:20:00Z,2025-03-06,13:20:00
8543,03/06/2025 13:30:00,23.303,NA,NA,NA,2025-03-06T13:30:00Z,2025-03-06,13:30:00
8544,03/06/2025 13:40:00,23.314,NA,NA,NA,2025-03-06T13:40:00Z,2025-03-06,13:40:00
8545,03/06/2025 13:50:00,23.314,NA,NA,NA,2025-03-06T13:50:00Z,2025-03-06,13:50:00
8546,03/06/2025 14:00:00,23.314,NA,NA,NA,2025-03-06T14:00:00Z,2025-03-06,14:00:00
8547,03/06/2025 14:10:00,23.314,NA,NA,NA,2025-03-06T14:10:00Z,2025-03-06,14:10:00
8548,03/06/2025 14:20:00,23.314,NA,NA,NA,2025-03-06T14:20:00Z,2025-03-06,14:20:00
8549,03/06/2025 14:30:00,23.324,NA,NA,NA,2025-03-06T14:30:00Z,2025-03-06,14:30:00
8550,03/06/2025 14:40:00,23.324,NA,NA,NA,2025-03-06T14:40:00Z,2025-03-06,14:40:00
8551,03/06/2025 14:50:00,23.324,NA,NA,NA,2025-03-06T14:50:00Z,2025-03-06,14:50:00
8552,03/06/2025 15:00:00,23.335,NA,NA,NA,2025-03-06T15:00:00Z,2025-03-06,15:00:00
8553,03/06/2025 15:10:00,23.335,NA,NA,NA,2025-03-06T15:10:00Z,2025-03-06,15:10:00
8554,03/06/2025 15:20:00,23.335,NA,NA,NA,2025-03-06T15:20:00Z,2025-03-06,15:20:00
8555,03/06/2025 15:30:00,23.335,NA,NA,NA,2025-03-06T15:30:00Z,2025-03-06,15:30:00
8556,03/06/2025 15:40:00,23.346,NA,NA,NA,2025-03-06T15:40:00Z,2025-03-06,15:40:00
8557,03/06/2025 15:50:00,23.335,NA,NA,NA,2025-03-06T15:50:00Z,2025-03-06,15:50:00
8558,03/06/2025 16:00:00,23.335,NA,NA,NA,2025-03-06T16:00:00Z,2025-03-06,16:00:00
8559,03/06/2025 16:10:00,23.314,NA,NA,NA,2025-03-06T16:10:00Z,2025-03-06,16:10:00
8560,03/06/2025 16:20:00,23.292,NA,NA,NA,2025-03-06T16:20:00Z,2025-03-06,16:20:00
8561,03/06/2025 16:30:00,23.249,NA,NA,NA,2025-03-06T16:30:00Z,2025-03-06,16:30:00
8562,03/06/2025 16:40:00,23.217,NA,NA,NA,2025-03-06T16:40:00Z,2025-03-06,16:40:00
8563,03/06/2025 16:50:00,23.163,NA,NA,NA,2025-03-06T16:50:00Z,2025-03-06,16:50:00
8564,03/06/2025 17:00:00,23.121,NA,NA,NA,2025-03-06T17:00:00Z,2025-03-06,17:00:00
8565,03/06/2025 17:10:00,23.067,NA,NA,NA,2025-03-06T17:10:00Z,2025-03-06,17:10:00
8566,03/06/2025 17:20:00,23.013,NA,NA,NA,2025-03-06T17:20:00Z,2025-03-06,17:20:00
8567,03/06/2025 17:30:00,22.96,NA,NA,NA,2025-03-06T17:30:00Z,2025-03-06,17:30:00
8568,03/06/2025 17:40:00,22.906,NA,NA,NA,2025-03-06T17:40:00Z,2025-03-06,17:40:00
8569,03/06/2025 17:50:00,22.842,NA,NA,NA,2025-03-06T17:50:00Z,2025-03-06,17:50:00
8570,03/06/2025 18:00:00,22.799,NA,NA,NA,2025-03-06T18:00:00Z,2025-03-06,18:00:00
8571,03/06/2025 18:10:00,22.788,NA,NA,NA,2025-03-06T18:10:00Z,2025-03-06,18:10:00
8572,03/06/2025 18:20:00,22.756,NA,NA,NA,2025-03-06T18:20:00Z,2025-03-06,18:20:00
8573,03/06/2025 18:30:00,22.702,NA,NA,NA,2025-03-06T18:30:00Z,2025-03-06,18:30:00
8574,03/06/2025 18:40:00,22.659,NA,NA,NA,2025-03-06T18:40:00Z,2025-03-06,18:40:00
8575,03/06/2025 18:50:00,22.616,NA,NA,NA,2025-03-06T18:50:00Z,2025-03-06,18:50:00
8576,03/06/2025 19:00:00,22.574,NA,NA,NA,2025-03-06T19:00:00Z,2025-03-06,19:00:00
8577,03/06/2025 19:10:00,22.531,NA,NA,NA,2025-03-06T19:10:00Z,2025-03-06,19:10:00
8578,03/06/2025 19:20:00,22.498,NA,NA,NA,2025-03-06T19:20:00Z,2025-03-06,19:20:00
8579,03/06/2025 19:30:00,22.466,NA,NA,NA,2025-03-06T19:30:00Z,2025-03-06,19:30:00
8580,03/06/2025 19:40:00,22.445,NA,NA,NA,2025-03-06T19:40:00Z,2025-03-06,19:40:00
8581,03/06/2025 19:50:00,22.413,NA,NA,NA,2025-03-06T19:50:00Z,2025-03-06,19:50:00
8582,03/06/2025 20:00:00,22.381,NA,NA,NA,2025-03-06T20:00:00Z,2025-03-06,20:00:00
8583,03/06/2025 20:10:00,22.348,NA,NA,NA,2025-03-06T20:10:00Z,2025-03-06,20:10:00
8584,03/06/2025 20:20:00,22.305,NA,NA,NA,2025-03-06T20:20:00Z,2025-03-06,20:20:00
8585,03/06/2025 20:30:00,22.284,NA,NA,NA,2025-03-06T20:30:00Z,2025-03-06,20:30:00
8586,03/06/2025 20:40:00,22.252,NA,NA,NA,2025-03-06T20:40:00Z,2025-03-06,20:40:00
8587,03/06/2025 20:50:00,22.22,NA,NA,NA,2025-03-06T20:50:00Z,2025-03-06,20:50:00
8588,03/06/2025 21:00:00,22.187,NA,NA,NA,2025-03-06T21:00:00Z,2025-03-06,21:00:00
8589,03/06/2025 21:10:00,22.155,NA,NA,NA,2025-03-06T21:10:00Z,2025-03-06,21:10:00
8590,03/06/2025 21:20:00,22.123,NA,NA,NA,2025-03-06T21:20:00Z,2025-03-06,21:20:00
8591,03/06/2025 21:30:00,22.091,NA,NA,NA,2025-03-06T21:30:00Z,2025-03-06,21:30:00
8592,03/06/2025 21:40:00,22.069,NA,NA,NA,2025-03-06T21:40:00Z,2025-03-06,21:40:00
8593,03/06/2025 21:50:00,22.037,NA,NA,NA,2025-03-06T21:50:00Z,2025-03-06,21:50:00
8594,03/06/2025 22:00:00,22.005,NA,NA,NA,2025-03-06T22:00:00Z,2025-03-06,22:00:00
8595,03/06/2025 22:10:00,21.984,NA,NA,NA,2025-03-06T22:10:00Z,2025-03-06,22:10:00
