date_time_raw,temp_raw,datetime,date,time,temp
02/17/2025 00:00:00,20.375,2025-02-17T00:00:00Z,2025-02-17,00:00:00,20.375
02/17/2025 00:10:00,20.375,2025-02-17T00:10:00Z,2025-02-17,00:10:00,20.375
02/17/2025 00:20:00,20.375,2025-02-17T00:20:00Z,2025-02-17,00:20:00,20.375
02/17/2025 00:30:00,20.375,2025-02-17T00:30:00Z,2025-02-17,00:30:00,20.375
02/17/2025 00:40:00,20.375,2025-02-17T00:40:00Z,2025-02-17,00:40:00,20.375
02/17/2025 00:50:00,20.375,2025-02-17T00:50:00Z,2025-02-17,00:50:00,20.375
02/17/2025 01:00:00,20.386,2025-02-17T01:00:00Z,2025-02-17,01:00:00,20.386
02/17/2025 01:10:00,20.407,2025-02-17T01:10:00Z,2025-02-17,01:10:00,20.407
02/17/2025 01:20:00,20.396,2025-02-17T01:20:00Z,2025-02-17,01:20:00,20.396
02/17/2025 01:30:00,20.418,2025-02-17T01:30:00Z,2025-02-17,01:30:00,20.418
02/17/2025 01:40:00,20.396,2025-02-17T01:40:00Z,2025-02-17,01:40:00,20.396
02/17/2025 01:50:00,20.396,2025-02-17T01:50:00Z,2025-02-17,01:50:00,20.396
02/17/2025 02:00:00,20.407,2025-02-17T02:00:00Z,2025-02-17,02:00:00,20.407
02/17/2025 02:10:00,20.407,2025-02-17T02:10:00Z,2025-02-17,02:10:00,20.407
02/17/2025 02:20:00,20.429,2025-02-17T02:20:00Z,2025-02-17,02:20:00,20.429
02/17/2025 02:30:00,20.429,2025-02-17T02:30:00Z,2025-02-17,02:30:00,20.429
02/17/2025 02:40:00,20.418,2025-02-17T02:40:00Z,2025-02-17,02:40:00,20.418
02/17/2025 02:50:00,20.439,2025-02-17T02:50:00Z,2025-02-17,02:50:00,20.439
02/17/2025 03:00:00,20.429,2025-02-17T03:00:00Z,2025-02-17,03:00:00,20.429
02/17/2025 03:10:00,20.439,2025-02-17T03:10:00Z,2025-02-17,03:10:00,20.439
02/17/2025 03:20:00,20.429,2025-02-17T03:20:00Z,2025-02-17,03:20:00,20.429
02/17/2025 03:30:00,20.429,2025-02-17T03:30:00Z,2025-02-17,03:30:00,20.429
02/17/2025 03:40:00,20.439,2025-02-17T03:40:00Z,2025-02-17,03:40:00,20.439
02/17/2025 03:50:00,20.439,2025-02-17T03:50:00Z,2025-02-17,03:50:00,20.439
02/17/2025 04:00:00,20.439,2025-02-17T04:00:00Z,2025-02-17,04:00:00,20.439
02/17/2025 04:10:00,20.429,2025-02-17T04:10:00Z,2025-02-17,04:10:00,20.429
02/17/2025 04:20:00,20.429,2025-02-17T04:20:00Z,2025-02-17,04:20:00,20.429
02/17/2025 04:30:00,20.471,2025-02-17T04:30:00Z,2025-02-17,04:30:00,20.471
02/17/2025 04:40:00,20.461,2025-02-17T04:40:00Z,2025-02-17,04:40:00,20.461
02/17/2025 04:50:00,20.439,2025-02-17T04:50:00Z,2025-02-17,04:50:00,20.439
02/17/2025 05:00:00,20.471,2025-02-17T05:00:00Z,2025-02-17,05:00:00,20.471
02/17/2025 05:10:00,20.471,2025-02-17T05:10:00Z,2025-02-17,05:10:00,20.471
02/17/2025 05:20:00,20.439,2025-02-17T05:20:00Z,2025-02-17,05:20:00,20.439
02/17/2025 05:30:00,20.482,2025-02-17T05:30:00Z,2025-02-17,05:30:00,20.482
02/17/2025 05:40:00,20.439,2025-02-17T05:40:00Z,2025-02-17,05:40:00,20.439
02/17/2025 05:50:00,20.471,2025-02-17T05:50:00Z,2025-02-17,05:50:00,20.471
02/17/2025 06:00:00,20.461,2025-02-17T06:00:00Z,2025-02-17,06:00:00,20.461
02/17/2025 06:10:00,20.471,2025-02-17T06:10:00Z,2025-02-17,06:10:00,20.471
02/17/2025 06:20:00,20.450,2025-02-17T06:20:00Z,2025-02-17,06:20:00,20.45
02/17/2025 06:30:00,20.504,2025-02-17T06:30:00Z,2025-02-17,06:30:00,20.504
02/17/2025 06:40:00,20.471,2025-02-17T06:40:00Z,2025-02-17,06:40:00,20.471
02/17/2025 06:50:00,20.461,2025-02-17T06:50:00Z,2025-02-17,06:50:00,20.461
02/17/2025 07:00:00,20.450,2025-02-17T07:00:00Z,2025-02-17,07:00:00,20.45
02/17/2025 07:10:00,20.504,2025-02-17T07:10:00Z,2025-02-17,07:10:00,20.504
02/17/2025 07:20:00,20.482,2025-02-17T07:20:00Z,2025-02-17,07:20:00,20.482
02/17/2025 07:30:00,20.493,2025-02-17T07:30:00Z,2025-02-17,07:30:00,20.493
02/17/2025 07:40:00,20.536,2025-02-17T07:40:00Z,2025-02-17,07:40:00,20.536
02/17/2025 07:50:00,20.557,2025-02-17T07:50:00Z,2025-02-17,07:50:00,20.557
02/17/2025 08:00:00,20.600,2025-02-17T08:00:00Z,2025-02-17,08:00:00,20.6
02/17/2025 08:10:00,20.547,2025-02-17T08:10:00Z,2025-02-17,08:10:00,20.547
02/17/2025 08:20:00,20.568,2025-02-17T08:20:00Z,2025-02-17,08:20:00,20.568
02/17/2025 08:30:00,20.557,2025-02-17T08:30:00Z,2025-02-17,08:30:00,20.557
02/17/2025 08:40:00,20.622,2025-02-17T08:40:00Z,2025-02-17,08:40:00,20.622
02/17/2025 08:50:00,20.654,2025-02-17T08:50:00Z,2025-02-17,08:50:00,20.654
02/17/2025 09:00:00,20.611,2025-02-17T09:00:00Z,2025-02-17,09:00:00,20.611
02/17/2025 09:10:00,20.643,2025-02-17T09:10:00Z,2025-02-17,09:10:00,20.643
02/17/2025 09:20:00,20.686,2025-02-17T09:20:00Z,2025-02-17,09:20:00,20.686
02/17/2025 09:30:00,20.697,2025-02-17T09:30:00Z,2025-02-17,09:30:00,20.697
02/17/2025 09:40:00,20.750,2025-02-17T09:40:00Z,2025-02-17,09:40:00,20.75
02/17/2025 09:50:00,20.761,2025-02-17T09:50:00Z,2025-02-17,09:50:00,20.761
02/17/2025 10:00:00,20.825,2025-02-17T10:00:00Z,2025-02-17,10:00:00,20.825
02/17/2025 10:10:00,20.900,2025-02-17T10:10:00Z,2025-02-17,10:10:00,20.9
02/17/2025 10:20:00,20.933,2025-02-17T10:20:00Z,2025-02-17,10:20:00,20.933
02/17/2025 10:30:00,20.954,2025-02-17T10:30:00Z,2025-02-17,10:30:00,20.954
02/17/2025 10:40:00,21.061,2025-02-17T10:40:00Z,2025-02-17,10:40:00,21.061
02/17/2025 10:50:00,21.115,2025-02-17T10:50:00Z,2025-02-17,10:50:00,21.115
02/17/2025 11:00:00,21.254,2025-02-17T11:00:00Z,2025-02-17,11:00:00,21.254
02/17/2025 11:10:00,21.244,2025-02-17T11:10:00Z,2025-02-17,11:10:00,21.244
02/17/2025 11:20:00,21.383,2025-02-17T11:20:00Z,2025-02-17,11:20:00,21.383
02/17/2025 11:30:00,21.415,2025-02-17T11:30:00Z,2025-02-17,11:30:00,21.415
02/17/2025 11:40:00,21.522,2025-02-17T11:40:00Z,2025-02-17,11:40:00,21.522
02/17/2025 11:50:00,21.608,2025-02-17T11:50:00Z,2025-02-17,11:50:00,21.608
02/17/2025 12:00:00,21.791,2025-02-17T12:00:00Z,2025-02-17,12:00:00,21.791
02/17/2025 12:10:00,21.919,2025-02-17T12:10:00Z,2025-02-17,12:10:00,21.919
02/17/2025 12:20:00,22.048,2025-02-17T12:20:00Z,2025-02-17,12:20:00,22.048
02/17/2025 12:30:00,22.220,2025-02-17T12:30:00Z,2025-02-17,12:30:00,22.22
02/17/2025 12:40:00,22.273,2025-02-17T12:40:00Z,2025-02-17,12:40:00,22.273
02/17/2025 12:50:00,22.338,2025-02-17T12:50:00Z,2025-02-17,12:50:00,22.338
02/17/2025 13:00:00,22.370,2025-02-17T13:00:00Z,2025-02-17,13:00:00,22.37
02/17/2025 13:10:00,22.488,2025-02-17T13:10:00Z,2025-02-17,13:10:00,22.488
02/17/2025 13:20:00,22.509,2025-02-17T13:20:00Z,2025-02-17,13:20:00,22.509
02/17/2025 13:30:00,22.541,2025-02-17T13:30:00Z,2025-02-17,13:30:00,22.541
02/17/2025 13:40:00,22.820,2025-02-17T13:40:00Z,2025-02-17,13:40:00,22.82
02/17/2025 13:50:00,23.239,2025-02-17T13:50:00Z,2025-02-17,13:50:00,23.239
02/17/2025 14:00:00,23.346,2025-02-17T14:00:00Z,2025-02-17,14:00:00,23.346
02/17/2025 14:10:00,23.432,2025-02-17T14:10:00Z,2025-02-17,14:10:00,23.432
02/17/2025 14:20:00,23.507,2025-02-17T14:20:00Z,2025-02-17,14:20:00,23.507
02/17/2025 14:30:00,23.560,2025-02-17T14:30:00Z,2025-02-17,14:30:00,23.56
02/17/2025 14:40:00,23.700,2025-02-17T14:40:00Z,2025-02-17,14:40:00,23.7
02/17/2025 14:50:00,23.721,2025-02-17T14:50:00Z,2025-02-17,14:50:00,23.721
02/17/2025 15:00:00,23.700,2025-02-17T15:00:00Z,2025-02-17,15:00:00,23.7
02/17/2025 15:10:00,23.657,2025-02-17T15:10:00Z,2025-02-17,15:10:00,23.657
02/17/2025 15:20:00,23.689,2025-02-17T15:20:00Z,2025-02-17,15:20:00,23.689
02/17/2025 15:30:00,23.668,2025-02-17T15:30:00Z,2025-02-17,15:30:00,23.668
02/17/2025 15:40:00,23.432,2025-02-17T15:40:00Z,2025-02-17,15:40:00,23.432
02/17/2025 15:50:00,23.432,2025-02-17T15:50:00Z,2025-02-17,15:50:00,23.432
02/17/2025 16:00:00,23.432,2025-02-17T16:00:00Z,2025-02-17,16:00:00,23.432
02/17/2025 16:10:00,23.442,2025-02-17T16:10:00Z,2025-02-17,16:10:00,23.442
02/17/2025 16:20:00,23.367,2025-02-17T16:20:00Z,2025-02-17,16:20:00,23.367
02/17/2025 16:30:00,23.335,2025-02-17T16:30:00Z,2025-02-17,16:30:00,23.335
02/17/2025 16:40:00,23.292,2025-02-17T16:40:00Z,2025-02-17,16:40:00,23.292
02/17/2025 16:50:00,23.281,2025-02-17T16:50:00Z,2025-02-17,16:50:00,23.281
02/17/2025 17:00:00,23.217,2025-02-17T17:00:00Z,2025-02-17,17:00:00,23.217
02/17/2025 17:10:00,23.163,2025-02-17T17:10:00Z,2025-02-17,17:10:00,23.163
02/17/2025 17:20:00,23.121,2025-02-17T17:20:00Z,2025-02-17,17:20:00,23.121
02/17/2025 17:30:00,23.078,2025-02-17T17:30:00Z,2025-02-17,17:30:00,23.078
02/17/2025 17:40:00,23.045,2025-02-17T17:40:00Z,2025-02-17,17:40:00,23.045
02/17/2025 17:50:00,23.045,2025-02-17T17:50:00Z,2025-02-17,17:50:00,23.045
02/17/2025 18:00:00,23.003,2025-02-17T18:00:00Z,2025-02-17,18:00:00,23.003
02/17/2025 18:10:00,22.938,2025-02-17T18:10:00Z,2025-02-17,18:10:00,22.938
02/17/2025 18:20:00,22.874,2025-02-17T18:20:00Z,2025-02-17,18:20:00,22.874
02/17/2025 18:30:00,22.820,2025-02-17T18:30:00Z,2025-02-17,18:30:00,22.82
02/17/2025 18:40:00,22.767,2025-02-17T18:40:00Z,2025-02-17,18:40:00,22.767
02/17/2025 18:50:00,22.713,2025-02-17T18:50:00Z,2025-02-17,18:50:00,22.713
02/17/2025 19:00:00,22.627,2025-02-17T19:00:00Z,2025-02-17,19:00:00,22.627
02/17/2025 19:10:00,22.574,2025-02-17T19:10:00Z,2025-02-17,19:10:00,22.574
02/17/2025 19:20:00,22.520,2025-02-17T19:20:00Z,2025-02-17,19:20:00,22.52
02/17/2025 19:30:00,22.477,2025-02-17T19:30:00Z,2025-02-17,19:30:00,22.477
02/17/2025 19:40:00,22.445,2025-02-17T19:40:00Z,2025-02-17,19:40:00,22.445
02/17/2025 19:50:00,22.381,2025-02-17T19:50:00Z,2025-02-17,19:50:00,22.381
02/17/2025 20:00:00,22.316,2025-02-17T20:00:00Z,2025-02-17,20:00:00,22.316
02/17/2025 20:10:00,22.273,2025-02-17T20:10:00Z,2025-02-17,20:10:00,22.273
02/17/2025 20:20:00,22.230,2025-02-17T20:20:00Z,2025-02-17,20:20:00,22.23
02/17/2025 20:30:00,22.187,2025-02-17T20:30:00Z,2025-02-17,20:30:00,22.187
02/17/2025 20:40:00,22.123,2025-02-17T20:40:00Z,2025-02-17,20:40:00,22.123
02/17/2025 20:50:00,22.069,2025-02-17T20:50:00Z,2025-02-17,20:50:00,22.069
02/17/2025 21:00:00,22.048,2025-02-17T21:00:00Z,2025-02-17,21:00:00,22.048
02/17/2025 21:10:00,21.984,2025-02-17T21:10:00Z,2025-02-17,21:10:00,21.984
02/17/2025 21:20:00,21.941,2025-02-17T21:20:00Z,2025-02-17,21:20:00,21.941
02/17/2025 21:30:00,21.919,2025-02-17T21:30:00Z,2025-02-17,21:30:00,21.919
02/17/2025 21:40:00,21.887,2025-02-17T21:40:00Z,2025-02-17,21:40:00,21.887
02/17/2025 21:50:00,21.844,2025-02-17T21:50:00Z,2025-02-17,21:50:00,21.844
02/17/2025 22:00:00,21.791,2025-02-17T22:00:00Z,2025-02-17,22:00:00,21.791
02/17/2025 22:10:00,21.758,2025-02-17T22:10:00Z,2025-02-17,22:10:00,21.758
02/17/2025 22:20:00,21.716,2025-02-17T22:20:00Z,2025-02-17,22:20:00,21.716
02/17/2025 22:30:00,21.662,2025-02-17T22:30:00Z,2025-02-17,22:30:00,21.662
02/17/2025 22:40:00,21.640,2025-02-17T22:40:00Z,2025-02-17,22:40:00,21.64
02/17/2025 22:50:00,21.587,2025-02-17T22:50:00Z,2025-02-17,22:50:00,21.587
02/17/2025 23:00:00,21.522,2025-02-17T23:00:00Z,2025-02-17,23:00:00,21.522
02/17/2025 23:10:00,21.501,2025-02-17T23:10:00Z,2025-02-17,23:10:00,21.501
02/17/2025 23:20:00,21.437,2025-02-17T23:20:00Z,2025-02-17,23:20:00,21.437
02/17/2025 23:30:00,21.405,2025-02-17T23:30:00Z,2025-02-17,23:30:00,21.405
02/17/2025 23:40:00,21.329,2025-02-17T23:40:00Z,2025-02-17,23:40:00,21.329
02/17/2025 23:50:00,21.308,2025-02-17T23:50:00Z,2025-02-17,23:50:00,21.308
02/18/2025 00:00:00,21.254,2025-02-18T00:00:00Z,2025-02-18,00:00:00,21.254
02/18/2025 00:10:00,21.233,2025-02-18T00:10:00Z,2025-02-18,00:10:00,21.233
02/18/2025 00:20:00,21.169,2025-02-18T00:20:00Z,2025-02-18,00:20:00,21.169
02/18/2025 00:30:00,21.147,2025-02-18T00:30:00Z,2025-02-18,00:30:00,21.147
02/18/2025 00:40:00,21.115,2025-02-18T00:40:00Z,2025-02-18,00:40:00,21.115
02/18/2025 00:50:00,21.061,2025-02-18T00:50:00Z,2025-02-18,00:50:00,21.061
02/18/2025 01:00:00,21.040,2025-02-18T01:00:00Z,2025-02-18,01:00:00,21.04
02/18/2025 01:10:00,21.018,2025-02-18T01:10:00Z,2025-02-18,01:10:00,21.018
02/18/2025 01:20:00,20.976,2025-02-18T01:20:00Z,2025-02-18,01:20:00,20.976
02/18/2025 01:30:00,20.965,2025-02-18T01:30:00Z,2025-02-18,01:30:00,20.965
02/18/2025 01:40:00,20.943,2025-02-18T01:40:00Z,2025-02-18,01:40:00,20.943
02/18/2025 01:50:00,20.911,2025-02-18T01:50:00Z,2025-02-18,01:50:00,20.911
