#,Date-Time (HST),Temperature   (°C),Started,Host Connected,End of File,datetime,date,time
2413,01/23/2025 00:00:00,19.217,NA,NA,NA,2025-01-23T00:00:00Z,2025-01-23,00:00:00
2414,01/23/2025 00:10:00,19.195,NA,NA,NA,2025-01-23T00:10:00Z,2025-01-23,00:10:00
2415,01/23/2025 00:20:00,19.152,NA,NA,NA,2025-01-23T00:20:00Z,2025-01-23,00:20:00
2416,01/23/2025 00:30:00,19.142,NA,NA,NA,2025-01-23T00:30:00Z,2025-01-23,00:30:00
2417,01/23/2025 00:40:00,19.099,NA,NA,NA,2025-01-23T00:40:00Z,2025-01-23,00:40:00
2418,01/23/2025 00:50:00,19.045,NA,NA,NA,2025-01-23T00:50:00Z,2025-01-23,00:50:00
2419,01/23/2025 01:00:00,19.013,NA,NA,NA,2025-01-23T01:00:00Z,2025-01-23,01:00:00
2420,01/23/2025 01:10:00,18.97,NA,NA,NA,2025-01-23T01:10:00Z,2025-01-23,01:10:00
2421,01/23/2025 01:20:00,18.938,NA,NA,NA,2025-01-23T01:20:00Z,2025-01-23,01:20:00
2422,01/23/2025 01:30:00,18.906,NA,NA,NA,2025-01-23T01:30:00Z,2025-01-23,01:30:00
2423,01/23/2025 01:40:00,18.852,NA,NA,NA,2025-01-23T01:40:00Z,2025-01-23,01:40:00
2424,01/23/2025 01:50:00,18.83,NA,NA,NA,2025-01-23T01:50:00Z,2025-01-23,01:50:00
2425,01/23/2025 02:00:00,18.777,NA,NA,NA,2025-01-23T02:00:00Z,2025-01-23,02:00:00
2426,01/23/2025 02:10:00,18.734,NA,NA,NA,2025-01-23T02:10:00Z,2025-01-23,02:10:00
2427,01/23/2025 02:20:00,18.702,NA,NA,NA,2025-01-23T02:20:00Z,2025-01-23,02:20:00
2428,01/23/2025 02:30:00,18.67,NA,NA,NA,2025-01-23T02:30:00Z,2025-01-23,02:30:00
2429,01/23/2025 02:40:00,18.627,NA,NA,NA,2025-01-23T02:40:00Z,2025-01-23,02:40:00
2430,01/23/2025 02:50:00,18.605,NA,NA,NA,2025-01-23T02:50:00Z,2025-01-23,02:50:00
2431,01/23/2025 03:00:00,18.573,NA,NA,NA,2025-01-23T03:00:00Z,2025-01-23,03:00:00
2432,01/23/2025 03:10:00,18.552,NA,NA,NA,2025-01-23T03:10:00Z,2025-01-23,03:10:00
2433,01/23/2025 03:20:00,18.509,NA,NA,NA,2025-01-23T03:20:00Z,2025-01-23,03:20:00
2434,01/23/2025 03:30:00,18.498,NA,NA,NA,2025-01-23T03:30:00Z,2025-01-23,03:30:00
2435,01/23/2025 03:40:00,18.455,NA,NA,NA,2025-01-23T03:40:00Z,2025-01-23,03:40:00
2436,01/23/2025 03:50:00,18.412,NA,NA,NA,2025-01-23T03:50:00Z,2025-01-23,03:50:00
2437,01/23/2025 04:00:00,18.401,NA,NA,NA,2025-01-23T04:00:00Z,2025-01-23,04:00:00
2438,01/23/2025 04:10:00,18.359,NA,NA,NA,2025-01-23T04:10:00Z,2025-01-23,04:10:00
2439,01/23/2025 04:20:00,18.348,NA,NA,NA,2025-01-23T04:20:00Z,2025-01-23,04:20:00
2440,01/23/2025 04:30:00,18.305,NA,NA,NA,2025-01-23T04:30:00Z,2025-01-23,04:30:00
2441,01/23/2025 04:40:00,18.251,NA,NA,NA,2025-01-23T04:40:00Z,2025-01-23,04:40:00
2442,01/23/2025 04:50:00,18.241,NA,NA,NA,2025-01-23T04:50:00Z,2025-01-23,04:50:00
2443,01/23/2025 05:00:00,18.219,NA,NA,NA,2025-01-23T05:00:00Z,2025-01-23,05:00:00
2444,01/23/2025 05:10:00,18.187,NA,NA,NA,2025-01-23T05:10:00Z,2025-01-23,05:10:00
2445,01/23/2025 05:20:00,18.176,NA,NA,NA,2025-01-23T05:20:00Z,2025-01-23,05:20:00
2446,01/23/2025 05:30:00,18.144,NA,NA,NA,2025-01-23T05:30:00Z,2025-01-23,05:30:00
2447,01/23/2025 05:40:00,18.112,NA,NA,NA,2025-01-23T05:40:00Z,2025-01-23,05:40:00
2448,01/23/2025 05:50:00,18.09,NA,NA,NA,2025-01-23T05:50:00Z,2025-01-23,05:50:00
2449,01/23/2025 06:00:00,18.058,NA,NA,NA,2025-01-23T06:00:00Z,2025-01-23,06:00:00
2450,01/23/2025 06:10:00,18.048,NA,NA,NA,2025-01-23T06:10:00Z,2025-01-23,06:10:00
2451,01/23/2025 06:20:00,18.005,NA,NA,NA,2025-01-23T06:20:00Z,2025-01-23,06:20:00
2452,01/23/2025 06:30:00,17.994,NA,NA,NA,2025-01-23T06:30:00Z,2025-01-23,06:30:00
2453,01/23/2025 06:40:00,17.972,NA,NA,NA,2025-01-23T06:40:00Z,2025-01-23,06:40:00
2454,01/23/2025 06:50:00,17.93,NA,NA,NA,2025-01-23T06:50:00Z,2025-01-23,06:50:00
2455,01/23/2025 07:00:00,17.93,NA,NA,NA,2025-01-23T07:00:00Z,2025-01-23,07:00:00
2456,01/23/2025 07:10:00,17.887,NA,NA,NA,2025-01-23T07:10:00Z,2025-01-23,07:10:00
2457,01/23/2025 07:20:00,17.897,NA,NA,NA,2025-01-23T07:20:00Z,2025-01-23,07:20:00
2458,01/23/2025 07:30:00,17.865,NA,NA,NA,2025-01-23T07:30:00Z,2025-01-23,07:30:00
2459,01/23/2025 07:40:00,17.865,NA,NA,NA,2025-01-23T07:40:00Z,2025-01-23,07:40:00
2460,01/23/2025 07:50:00,17.855,NA,NA,NA,2025-01-23T07:50:00Z,2025-01-23,07:50:00
2461,01/23/2025 08:00:00,17.844,NA,NA,NA,2025-01-23T08:00:00Z,2025-01-23,08:00:00
2462,01/23/2025 08:10:00,17.833,NA,NA,NA,2025-01-23T08:10:00Z,2025-01-23,08:10:00
2463,01/23/2025 08:20:00,17.812,NA,NA,NA,2025-01-23T08:20:00Z,2025-01-23,08:20:00
2464,01/23/2025 08:30:00,17.822,NA,NA,NA,2025-01-23T08:30:00Z,2025-01-23,08:30:00
2465,01/23/2025 08:40:00,17.822,NA,NA,NA,2025-01-23T08:40:00Z,2025-01-23,08:40:00
2466,01/23/2025 08:50:00,17.844,NA,NA,NA,2025-01-23T08:50:00Z,2025-01-23,08:50:00
2467,01/23/2025 09:00:00,17.844,NA,NA,NA,2025-01-23T09:00:00Z,2025-01-23,09:00:00
