#,Date-Time (HST),Temperature   (°C),Host Connected,Started,End of File
2414,1/23/25 0:00,19.377,,,
2415,1/23/25 0:10,19.324,,,
2416,1/23/25 0:20,19.292,,,
2417,1/23/25 0:30,19.249,,,
2418,1/23/25 0:40,19.195,,,
2419,1/23/25 0:50,19.163,,,
2420,1/23/25 1:00,19.142,,,
2421,1/23/25 1:10,19.066,,,
2422,1/23/25 1:20,19.056,,,
2423,1/23/25 1:30,18.97,,,
2424,1/23/25 1:40,18.959,,,
2425,1/23/25 1:50,18.906,,,
2426,1/23/25 2:00,18.863,,,
2427,1/23/25 2:10,18.82,,,
2428,1/23/25 2:20,18.777,,,
2429,1/23/25 2:30,18.734,,,
2430,1/23/25 2:40,18.702,,,
2431,1/23/25 2:50,18.68,,,
2432,1/23/25 3:00,18.659,,,
2433,1/23/25 3:10,18.605,,,
2434,1/23/25 3:20,18.562,,,
2435,1/23/25 3:30,18.53,,,
2436,1/23/25 3:40,18.498,,,
2437,1/23/25 3:50,18.477,,,
2438,1/23/25 4:00,18.466,,,
2439,1/23/25 4:10,18.391,,,
2440,1/23/25 4:20,18.369,,,
2441,1/23/25 4:30,18.337,,,
2442,1/23/25 4:40,18.316,,,
2443,1/23/25 4:50,18.273,,,
2444,1/23/25 5:00,18.251,,,
2445,1/23/25 5:10,18.208,,,
2446,1/23/25 5:20,18.187,,,
2447,1/23/25 5:30,18.144,,,
2448,1/23/25 5:40,18.133,,,
2449,1/23/25 5:50,18.101,,,
2450,1/23/25 6:00,18.09,,,
2451,1/23/25 6:10,18.069,,,
2452,1/23/25 6:20,18.005,,,
2453,1/23/25 6:30,17.994,,,
2454,1/23/25 6:40,17.972,,,
2455,1/23/25 6:50,17.94,,,
2456,1/23/25 7:00,17.908,,,
2457,1/23/25 7:10,17.887,,,
2458,1/23/25 7:20,17.865,,,
2459,1/23/25 7:30,17.855,,,
2460,1/23/25 7:40,17.844,,,
2461,1/23/25 7:50,17.833,,,
2462,1/23/25 8:00,17.833,,,
2463,1/23/25 8:10,17.812,,,
2464,1/23/25 8:20,17.79,,,
2465,1/23/25 8:30,17.79,,,
2466,1/23/25 8:40,17.801,,,
2467,1/23/25 8:50,17.801,,,
2468,1/23/25 9:00,17.833,,,
2469,1/23/25 9:10,17.876,,,
2470,1/23/25 9:20,17.855,,,
2471,1/23/25 9:30,17.908,,,
2472,1/23/25 9:40,17.93,,,
2473,1/23/25 9:50,17.94,,,
2474,1/23/25 10:00,18.005,,,
2475,1/23/25 10:10,18.037,,,
2476,1/23/25 10:20,18.037,,,
2477,1/23/25 10:30,18.08,,,
2478,1/23/25 10:40,18.133,,,
2479,1/23/25 10:50,18.133,,,
2480,1/23/25 11:00,18.166,,,
2481,1/23/25 11:10,18.219,,,
2482,1/23/25 11:20,18.294,,,
2483,1/23/25 11:30,18.348,,,
2484,1/23/25 11:40,18.401,,,
2485,1/23/25 11:50,18.444,,,
2486,1/23/25 12:00,18.519,,,
2487,1/23/25 12:10,18.573,,,
2488,1/23/25 12:20,18.648,,,
2489,1/23/25 12:30,18.67,,,
2490,1/23/25 12:40,18.723,,,
2491,1/23/25 12:50,18.777,,,
2492,1/23/25 13:00,18.82,,,
2493,1/23/25 13:10,18.852,,,
2494,1/23/25 13:20,18.906,,,
2495,1/23/25 13:30,19.002,,,
2496,1/23/25 13:40,19.109,,,
2497,1/23/25 13:50,19.206,,,
2498,1/23/25 14:00,19.27,,,
2499,1/23/25 14:10,19.302,,,
2500,1/23/25 14:20,19.324,,,
2501,1/23/25 14:30,19.367,,,
2502,1/23/25 14:40,19.41,,,
2503,1/23/25 14:50,19.42,,,
2504,1/23/25 15:00,19.463,,,
2505,1/23/25 15:10,19.453,,,
2506,1/23/25 15:20,19.485,,,
2507,1/23/25 15:30,19.506,,,
2508,1/23/25 15:40,19.517,,,
2509,1/23/25 15:50,19.538,,,
2510,1/23/25 16:00,19.549,,,
2511,1/23/25 16:10,19.571,,,
2512,1/23/25 16:20,19.603,,,
2513,1/23/25 16:30,19.581,,,
2514,1/23/25 16:40,19.613,,,
2515,1/23/25 16:50,19.635,,,
2516,1/23/25 17:00,19.624,,,
2517,1/23/25 17:10,19.646,,,
2518,1/23/25 17:20,19.667,,,
2519,1/23/25 17:30,19.656,,,
2520,1/23/25 17:40,19.689,,,
2521,1/23/25 17:50,19.699,,,
2522,1/23/25 18:00,19.689,,,
2523,1/23/25 18:10,19.689,,,
2524,1/23/25 18:20,19.689,,,
2525,1/23/25 18:30,19.678,,,
2526,1/23/25 18:40,19.667,,,
2527,1/23/25 18:50,19.646,,,
2528,1/23/25 19:00,19.635,,,
2529,1/23/25 19:10,19.635,,,
2530,1/23/25 19:20,19.624,,,
2531,1/23/25 19:30,19.613,,,
2532,1/23/25 19:40,19.571,,,
2533,1/23/25 19:50,19.571,,,
2534,1/23/25 20:00,19.528,,,
2535,1/23/25 20:10,19.517,,,
2536,1/23/25 20:20,19.517,,,
2537,1/23/25 20:30,19.485,,,
2538,1/23/25 20:40,19.474,,,
2539,1/23/25 20:50,19.463,,,
2540,1/23/25 21:00,19.453,,,
2541,1/23/25 21:10,19.42,,,
2542,1/23/25 21:20,19.399,,,
2543,1/23/25 21:30,19.399,,,
2544,1/23/25 21:40,19.345,,,
2545,1/23/25 21:50,19.324,,,
2546,1/23/25 22:00,19.313,,,
2547,1/23/25 22:10,19.249,,,
2548,1/23/25 22:20,19.26,,,
2549,1/23/25 22:30,19.227,,,
2550,1/23/25 22:40,19.206,,,
2551,1/23/25 22:50,19.195,,,
2552,1/23/25 23:00,19.184,,,
2553,1/23/25 23:10,19.142,,,
2554,1/23/25 23:20,19.12,,,
2555,1/23/25 23:30,19.109,,,
2556,1/23/25 23:40,19.099,,,
2557,1/23/25 23:50,19.056,,,
2558,1/24/25 0:00,19.034,,,
2559,1/24/25 0:10,19.002,,,
2560,1/24/25 0:20,18.991,,,
2561,1/24/25 0:30,18.97,,,
2562,1/24/25 0:40,18.927,,,
2563,1/24/25 0:50,18.916,,,
2564,1/24/25 1:00,18.873,,,
2565,1/24/25 1:10,18.852,,,
2566,1/24/25 1:20,18.841,,,
2567,1/24/25 1:30,18.788,,,
2568,1/24/25 1:40,18.777,,,
2569,1/24/25 1:50,18.745,,,
2570,1/24/25 2:00,18.713,,,
2571,1/24/25 2:10,18.702,,,
2572,1/24/25 2:20,18.691,,,
2573,1/24/25 2:30,18.616,,,
2574,1/24/25 2:40,18.595,,,
2575,1/24/25 2:50,18.573,,,
2576,1/24/25 3:00,18.562,,,
2577,1/24/25 3:10,18.519,,,
2578,1/24/25 3:20,18.477,,,
2579,1/24/25 3:30,18.466,,,
2580,1/24/25 3:40,18.434,,,
2581,1/24/25 3:50,18.401,,,
2582,1/24/25 4:00,18.38,,,
2583,1/24/25 4:10,18.359,,,
2584,1/24/25 4:20,18.348,,,
2585,1/24/25 4:30,18.316,,,
2586,1/24/25 4:40,18.273,,,
2587,1/24/25 4:50,18.241,,,
2588,1/24/25 5:00,18.208,,,
2589,1/24/25 5:10,18.176,,,
2590,1/24/25 5:20,18.144,,,
2591,1/24/25 5:30,18.123,,,
2592,1/24/25 5:40,18.101,,,
2593,1/24/25 5:50,18.09,,,
2594,1/24/25 6:00,18.058,,,
2595,1/24/25 6:10,18.015,,,
2596,1/24/25 6:20,18.015,,,
2597,1/24/25 6:30,17.972,,,
2598,1/24/25 6:40,17.972,,,
2599,1/24/25 6:50,17.94,,,
2600,1/24/25 7:00,17.93,,,
2601,1/24/25 7:10,17.887,,,
2602,1/24/25 7:20,17.887,,,
2603,1/24/25 7:30,17.855,,,
2604,1/24/25 7:40,17.844,,,
2605,1/24/25 7:50,17.822,,,
2606,1/24/25 8:00,17.833,,,
2607,1/24/25 8:10,17.865,,,
2608,1/24/25 8:20,17.822,,,
2609,1/24/25 8:30,17.855,,,
2610,1/24/25 8:40,17.844,,,
2611,1/24/25 8:50,17.876,,,
2612,1/24/25 9:00,17.919,,,
2613,1/24/25 9:10,17.93,,,
2614,1/24/25 9:20,17.94,,,
2615,1/24/25 9:30,17.972,,,
2616,1/24/25 9:40,17.994,,,
2617,1/24/25 9:50,18.015,,,
2618,1/24/25 10:00,18.037,,,
2619,1/24/25 10:10,18.037,,,
2620,1/24/25 10:20,18.058,,,
2621,1/24/25 10:30,18.09,,,
2622,1/24/25 10:40,18.112,,,
2623,1/24/25 10:50,18.133,,,
2624,1/24/25 11:00,18.176,,,
2625,1/24/25 11:10,18.187,,,
2626,1/24/25 11:20,18.23,,,
2627,1/24/25 11:30,18.251,,,
2628,1/24/25 11:40,18.305,,,
2629,1/24/25 11:50,18.326,,,
2630,1/24/25 12:00,18.391,,,
