wavelength,h125_1,h125_2,h125_3,h126_1,h126_2,h126_3,h127_1,h127_2,h127_3,h128_1,h128_2,h128_3,u125_1,u125_2,u125_3,u126_1,u126_2,u126_3,u127_1,u127_2,u127_3,u128_1,u128_2,u128_3,u129_1,u129_2,u129_3,u130_1,u130_2,u130_3,u131_1,u131_2,u131_3,u132_1,u132_2,u132_3,h129_1,h129_2,h129_3,h130_1,h130_2,h130_3,h131_1,Reflection:208,h131_2,Reflection:208,h131_3,Reflection:208,h132_1,Reflection:208,h132_2,Reflection:208,h132_3,Reflection:208,u133_1,Reflection:208,u133_2,Reflection:208,u133_3,Reflection:208,u134_1,Reflection:208,u134_2,Reflection:208,u134_3,Reflection:208,u135_1,Reflection:208,u135_2,Reflection:208,u135_3,Reflection:208,u136_1,Reflection:208,u136_2,Reflection:208,u136_3,Reflection:208,h133_1,Reflection:208,h133_2,Reflection:208,h133_3,Reflection:208,h134_1,Reflection:208,h134_2,Reflection:208,h134_3,Reflection:208,h135_1,Reflection:208,h135_2,Reflection:208,h135_3,Reflection:208,h136_1,Reflection:208,h136_2,Reflection:208,h136_3,Reflection:208,u137_1,Reflection:208,u137_2,Reflection:208,u137_3,Reflection:208,u138_1,Reflection:208,u138_2,Reflection:208,u138_3,Reflection:208,u139_1,Reflection:208,u139_2,Reflection:208,u139_3,Reflection:208,u140_1,Reflection:208,u140_2,Reflection:208,u140_3,Reflection:208,h137_1,Reflection:208,h137_2,Reflection:208,h137_3,Reflection:208,h138_1,Reflection:208,h138_2,Reflection:208,h138_3,Reflection:208,h139_1,Reflection:208,h139_2,Reflection:208,h139_3,Reflection:208,h140_1,Reflection:208,h140_2,Reflection:208,h140_3,Reflection:208,u141_1,Reflection:208,u141_2,Reflection:208,u141_3,Reflection:208,u142_1,Reflection:208,u142_2,Reflection:208,u142_3,Reflection:208,u143_1,Reflection:208,u143_2,Reflection:208,u143_3,Reflection:208,u144_1,Reflection:208,u144_2,Reflection:208,u144_3,Reflection:208,h141_1,Reflection:208,h141_2,Reflection:208,h141_3,Reflection:208,142_1,Reflection:208,142_2,Reflection:208,142_3,Reflection:208,h143_1,Reflection:208,h143_2,Reflection:208,h143_3,Reflection:208,h144_1,Reflection:208,h144_2,Reflection:208,h144_3,Reflection:208,u145_1,Reflection:208,u145_2,Reflection:208,u145_3,Reflection:208,u146_1,Reflection:208,u146_2,Reflection:208,u146_3,Reflection:208,u147_1,Reflection:208,u147_2,Reflection:208,u147_3,Reflection:208,u148_1,Reflection:208,u148_2,Reflection:208,u148_3,Reflection:208,h145_1,Reflection:208,h145_2,Reflection:208,h145_3,Reflection:208,h146_1,Reflection:208,h146_2,Reflection:208,h146_3,Reflection:208,h147_1,Reflection:208,h147_2,Reflection:208,h147_3,Reflection:208,h148_1,Reflection:208,h148_2,Reflection:208,h148_3,Reflection:208
350.086,0.33703,0.58659,2.07878,1.65427,-3.14647,-0.26242,0.84643,0.35247,-0.51198,-0.10034,-0.94934,0.92104,-0.95963,-0.61746,4.35051,-4.53832,1.97072,1.69801,0.11577,1.20662,2.94065,1.37385,0.91847,-2.75541,4.3891,0.62003,1.26579,1.37127,-0.04374,-1.29666,-1.19375,-2.15339,-1.07283,-3.05385,1.43302,2.32576,3.75106,1.59253,-2.13538,-2.08135,0.24441,0.41936,2.11737,350.086,2.02732,350.086,0.11835,350.086,0.06175,350.086,-0.57629,350.086,2.59333,350.086,1.13458,350.086,3.51437,350.086,4.20129,350.086,0.56858,350.086,-0.7358,350.086,-1.02138,350.086,1.74432,350.086,1.01881,350.086,4.12154,350.086,1.62855,350.086,1.95786,350.086,3.57611,350.086,3.26224,350.086,-0.32674,350.086,0.9442,350.086,0.87988,350.086,-0.1698,350.086,-0.96478,350.086,0.22126,350.086,-1.03424,350.086,-0.49397,350.086,3.40631,350.086,-1.5385,350.086,-1.14744,350.086,1.31389,350.086,2.09067,350.086,-1.16662,350.086,-2.38233,350.086,1.20705,350.086,2.39677,350.086,-0.59775,350.086,1.41785,350.086,3.80884,350.086,-1.15507,350.086,-0.56598,350.086,2.61334,350.086,-2.21773,350.086,-1.42362,350.086,-3.05515,350.086,1.21282,350.086,0.43315,350.086,2.31014,350.086,-1.03667,350.086,2.4112,350.086,1.04822,350.086,3.8868,350.086,2.09356,350.086,0.43026,350.086,1.62287,350.086,1.87121,350.086,5.46925,350.086,1.57089,350.086,2.25238,350.086,4.21022,350.086,-0.11551,350.086,4.78198,350.086,0.43315,350.086,-0.30321,350.086,3.7713,350.086,4.88305,350.086,-2.67687,350.086,-1.95495,350.086,0.26567,350.086,-1.53624,350.086,-1.10598,350.086,1.851,350.086,1.00202,350.086,1.75282,350.086,0.42449,350.086,2.75772,350.086,-1.81057,350.086,2.31014,350.086,4.74444,350.086,0.73636,350.086,2.29859,350.086,-1.34565,350.086,1.10887,350.086,-0.2108,350.086,-0.53133,350.086,-2.5065,350.086,-2.28415,350.086,1.34277,350.086,-1.74704,350.086,1.41207,350.086,-2.49783,350.086,-1.46982,350.086,2.55559,350.086,1.53624,350.086,1.10309,350.086,1.19261,350.086,2.2004,350.086,4.51632,350.086,2.24372,350.086,3.08114,350.086,0.21946,350.086,1.6171,350.086
350.453,-2.56554,-1.05174,-1.49082,-0.56416,-5.00089,-1.32234,-3.04036,0.75818,-0.46716,-3.04036,-0.37015,-3.2114,0.10977,-2.04222,-1.9733,-6.46364,-4.498,0.41866,-1.68228,-1.62101,-0.67649,-0.06637,-0.51821,-3.71429,0.18891,-1.01856,-4.05381,-3.70408,-2.57575,-0.06127,-6.94356,-2.13668,-1.10535,0.3191,-4.21464,0.95984,0.61777,-2.91272,-4.32441,-1.57506,-3.80109,-4.07679,-3.37222,350.453,-1.86863,350.453,1.87374,350.453,0.26549,350.453,-0.57182,350.453,-2.81827,350.453,-0.83476,350.453,-1.29171,350.453,-0.73265,350.453,-2.21326,350.453,1.14875,350.453,-2.85145,350.453,-5.94797,350.453,-2.25666,350.453,-0.40334,350.453,-1.2432,350.453,-0.83476,350.453,5.18214,350.453,-1.99117,350.453,-4.28612,350.453,-2.94335,350.453,-2.88464,350.453,-5.51911,350.453,-0.508,350.453,-2.96633,350.453,-5.88671,350.453,-2.65489,350.453,-0.50034,350.453,0.92411,350.453,-0.11743,350.453,-1.27547,350.453,-2.08764,350.453,1.86436,350.453,-2.12392,350.453,-3.12029,350.453,-0.72007,350.453,-4.73067,350.453,1.50433,350.453,-3.59754,350.453,0.26793,350.453,2.53419,350.453,-1.04661,350.453,-2.32208,350.453,-2.44767,350.453,-1.12196,350.453,0.50237,350.453,-0.20653,350.453,-2.05414,350.453,0.29305,350.453,-4.4125,350.453,-1.44292,350.453,-1.69132,350.453,-0.12001,350.453,-3.06726,350.453,-1.73598,350.453,1.40664,350.453,-1.2336,350.453,1.07173,350.453,-1.93134,350.453,0.80938,350.453,-2.61234,350.453,-0.87078,350.453,-0.25119,350.453,-1.72202,350.453,0.65308,350.453,0.34329,350.453,-1.56015,350.453,-4.25621,350.453,-1.30617,350.453,2.44488,350.453,-2.27463,350.453,-1.6048,350.453,-2.91655,350.453,-1.52107,350.453,-2.22439,350.453,-0.59447,350.453,-7.33184,350.453,-5.62657,350.453,2.97795,350.453,-3.35194,350.453,-2.46721,350.453,-0.1842,350.453,2.27742,350.453,1.04661,350.453,-4.4432,350.453,-3.271,350.453,-1.89506,350.453,-0.39911,350.453,-0.57215,350.453,0.47167,350.453,1.64946,350.453,-2.40301,350.453,-2.26347,350.453,-2.89143,350.453,0.08373,350.453,-2.01786,350.453,-0.41864,350.453,-0.32375,350.453,-1.80575,350.453,-0.95172,350.453,-2.82445,350.453,-1.83087,350.453
350.82,-0.26945,-1.49309,-0.73171,3.40889,-3.18147,0.65755,1.48567,0.77374,0.53642,-1.99491,-3.00843,-0.49934,-2.97877,1.10746,-3.41384,-1.27555,-1.15195,-2.12592,-0.64025,1.47579,-0.81329,-2.55605,0.76385,-0.19529,-0.01483,-5.77213,-3.37181,0.60564,-3.72037,-1.32499,-1.77984,1.68838,-4.07634,-1.11487,-2.10368,-0.37574,-2.80325,0.46226,-1.854,-4.09611,-2.77112,-0.46721,3.53744,350.82,-1.09757,350.82,-2.53628,350.82,-0.85037,350.82,0.43507,350.82,-6.6843,350.82,-0.13596,350.82,0.13349,350.82,-0.82812,350.82,-3.40889,350.82,1.42882,350.82,-3.47317,350.82,-0.97397,350.82,-3.53002,350.82,-1.41893,350.82,1.68344,350.82,-0.13596,350.82,1.18162,350.82,-0.30653,350.82,-3.79453,350.82,-3.56216,350.82,1.71557,350.82,-0.2027,350.82,-1.55983,350.82,0.05438,350.82,1.854,350.82,-2.45223,350.82,-4.28151,350.82,-0.92453,350.82,1.0333,350.82,-0.60863,350.82,0.77411,350.82,1.91844,350.82,-0.56375,350.82,-0.39827,350.82,-3.46104,350.82,-1.29859,350.82,-1.80905,350.82,-5.36546,350.82,2.19891,350.82,2.9057,350.82,-5.53935,350.82,1.97453,350.82,2.16245,350.82,-3.77517,350.82,-3.44421,350.82,-6.17603,350.82,0.80776,350.82,-3.07118,350.82,-2.50463,350.82,-0.14865,350.82,1.71089,350.82,0.2384,350.82,-5.81982,350.82,-3.76395,350.82,0.74045,350.82,-0.20755,350.82,2.06428,350.82,0.75167,350.82,-1.34066,350.82,-4.06126,350.82,0.6507,350.82,0.24121,350.82,-0.51888,350.82,0.34218,350.82,0.25523,350.82,-1.20884,350.82,-4.95036,350.82,-3.24227,350.82,-1.53699,350.82,-1.34347,350.82,2.74023,350.82,1.96051,350.82,-2.24659,350.82,1.80344,350.82,-1.00129,350.82,-3.77798,350.82,0.94239,350.82,-0.41791,350.82,-0.99007,350.82,-2.65889,350.82,-0.05049,350.82,2.55792,350.82,-4.37819,350.82,-0.8302,350.82,-4.13979,350.82,1.01251,350.82,-1.25372,350.82,5.3935,350.82,-3.43019,350.82,-3.45824,350.82,-4.79329,350.82,3.06557,350.82,-2.23257,350.82,0.30852,350.82,-5.43838,350.82,0.16267,350.82,-1.44724,350.82,0.78813,350.82,-4.05284,350.82,-0.14585,350.82,1.25652,350.82
351.187,-0.47187,-3.5453,-0.73902,-1.59039,2.77882,-0.3745,0.62168,0.74152,1.02115,-3.41298,-2.79879,4.12953,1.02614,1.55794,-3.40798,-2.20708,-2.68145,1.28829,-1.12601,-3.74254,-1.22088,-0.18476,-1.06609,-3.87237,2.38184,-0.35703,-0.68909,-4.26185,-2.639,2.29696,-3.19577,1.02614,1.4356,0.79145,-4.36172,-1.25833,-1.79262,1.14598,-2.51167,1.65531,-0.52181,1.32574,-1.50051,351.187,-4.82361,351.187,1.07358,351.187,3.65516,351.187,-1.83757,351.187,-2.27698,351.187,-0.13732,351.187,-3.42047,351.187,4.11704,351.187,2.1896,351.187,1.00367,351.187,-0.39198,351.187,-1.6628,351.187,1.22837,351.187,1.80261,351.187,-3.89234,351.187,-1.01615,351.187,-1.00367,351.187,-0.02996,351.187,3.398,351.187,-1.91996,351.187,-0.82391,351.187,1.07358,351.187,-0.377,351.187,-0.54428,351.187,0.63416,351.187,-2.79629,351.187,-0.68909,351.187,-1.33323,351.187,-4.78866,351.187,0.4205,351.187,2.63993,351.187,-0.54581,351.187,0.59872,351.187,-0.84099,351.187,-0.89669,351.187,-0.79922,351.187,-4.51406,351.187,-4.03509,351.187,0.08911,351.187,1.59287,351.187,-2.11362,351.187,-1.69312,351.187,1.96881,351.187,-2.63436,351.187,-3.99889,351.187,0.55138,351.187,-0.62378,351.187,1.45085,351.187,0.3648,351.187,-2.06349,351.187,3.7037,351.187,0.99415,351.187,-1.05542,351.187,-2.66778,351.187,3.85408,351.187,2.42272,351.187,-2.71791,351.187,0.96909,351.187,4.77304,351.187,1.04706,351.187,4.61153,351.187,-3.77054,351.187,3.00473,351.187,-0.55138,351.187,-0.50404,351.187,-1.55667,351.187,4.57533,351.187,-0.94681,351.187,-0.59036,351.187,-3.07157,351.187,-0.17544,351.187,-5.93985,351.187,1.55667,351.187,2.63715,351.187,1.54553,351.187,-1.21136,351.187,-1.15845,351.187,0.43163,351.187,-2.98803,351.187,0.87998,351.187,3.20245,351.187,2.94069,351.187,-0.6934,351.187,-0.42328,351.187,-1.03592,351.187,2.25285,351.187,1.87413,351.187,3.35004,351.187,-0.28683,351.187,-2.36424,351.187,0.94403,351.187,2.10805,351.187,2.50627,351.187,1.33111,351.187,1.19465,351.187,-2.02172,351.187,1.77109,351.187,0.6934,351.187,-1.17238,351.187,0.83542,351.187,2.67335,351.187
351.555,-0.1477,-1.73361,3.11857,-0.18644,0.71911,1.26389,-0.21065,4.59311,3.12099,1.26147,3.63914,3.22995,-2.53021,1.3559,0.60773,-1.01692,1.1961,-0.49393,-0.4334,0.51573,-1.41643,-1.26389,0.51573,2.32682,0.95397,5.5035,-2.02416,2.06533,-0.35108,0.83291,1.00724,-0.78691,2.86434,2.78201,-1.94426,-0.56173,0.50846,1.96363,-1.89342,1.79899,1.74088,-0.96124,0.83049,351.555,4.73596,351.555,0.53752,351.555,0.01937,351.555,2.24692,351.555,-4.95872,351.555,1.99753,351.555,-1.80625,351.555,4.7287,351.555,-0.4334,351.555,2.2905,351.555,2.99024,351.555,1.64161,351.555,0.64889,351.555,1.94184,351.555,0.87407,351.555,0.25423,351.555,1.50602,351.555,2.76022,351.555,1.66824,351.555,1.15978,351.555,-0.99271,351.555,0.11138,351.555,0.91281,351.555,1.13799,351.555,3.98538,351.555,-2.09196,351.555,1.57865,351.555,-1.48665,351.555,-0.38256,351.555,0.61296,351.555,-2.40938,351.555,-3.36464,351.555,-1.38248,351.555,-0.80136,351.555,-1.44881,351.555,0.21493,351.555,2.87375,351.555,-1.38248,351.555,2.20772,351.555,0.92342,351.555,0.61827,351.555,-0.50947,351.555,-2.96397,351.555,0.41925,351.555,1.87868,351.555,-1.17285,351.555,-1.18877,351.555,1.72212,351.555,-0.11941,351.555,2.44919,351.555,-0.20697,351.555,0.01327,351.555,3.66449,351.555,2.34039,351.555,2.48368,351.555,-0.74829,351.555,4.79754,351.555,3.64061,351.555,0.3025,351.555,-0.78544,351.555,3.24789,351.555,2.09627,351.555,2.9905,351.555,2.44653,351.555,3.42568,351.555,-1.82296,351.555,-3.49467,351.555,2.1971,351.555,0.58377,351.555,-2.03524,351.555,2.67739,351.555,1.76989,351.555,-3.18686,351.555,1.28164,351.555,2.87375,351.555,-0.94199,351.555,4.33052,351.555,1.68498,351.555,4.70997,351.555,3.59815,351.555,4.9196,351.555,-0.93403,351.555,-1.21265,351.555,-0.74298,351.555,4.40482,351.555,0.873,351.555,2.84721,351.555,3.61673,351.555,2.44388,351.555,-3.39914,351.555,1.66375,351.555,2.56063,351.555,1.83623,351.555,2.28732,351.555,-1.49392,351.555,-2.18118,351.555,1.73009,351.555,-0.95261,351.555,0.58112,351.555,0.41395,351.555,-0.42456,351.555
351.922,1.20961,0.82418,2.96706,-0.18665,2.62042,3.55368,-1.56837,3.47369,2.6592,1.53443,4.14758,2.18651,1.69442,1.78411,-1.75745,-3.1125,1.66291,0.5139,-2.21802,3.15371,2.15015,2.26408,2.26165,4.50149,2.23499,-0.61814,1.42535,2.99857,1.89804,1.95865,1.08598,3.75003,-0.8557,-0.82176,-2.17924,0.63995,0.47027,1.53928,1.1684,0.24968,2.36346,2.91615,4.70996,351.922,2.68587,351.922,1.50777,351.922,3.04463,351.922,3.49066,351.922,2.01682,351.922,3.4349,351.922,2.65193,351.922,2.29074,351.922,-0.86054,351.922,1.9441,351.922,1.51989,351.922,1.1781,351.922,1.38657,351.922,4.15485,351.922,3.47369,351.922,2.73677,351.922,1.89562,351.922,2.10409,351.922,1.16598,351.922,-1.32112,351.922,-1.61443,351.922,3.09796,351.922,2.27135,351.922,1.13931,351.922,1.9344,351.922,-0.7757,351.922,0.68843,351.922,-1.02296,351.922,0.81933,351.922,4.17046,351.922,-3.45621,351.922,3.285,351.922,3.87085,351.922,1.93141,351.922,2.17752,351.922,4.88203,351.922,0.45744,351.922,1.30277,351.922,3.59531,351.922,-0.52432,351.922,2.12134,351.922,2.91049,351.922,0.60724,351.922,2.51993,351.922,2.02236,351.922,0.82928,351.922,5.05056,351.922,2.20694,351.922,6.04302,351.922,3.15392,351.922,1.93141,351.922,-2.76871,351.922,2.88107,351.922,0.77577,351.922,7.55444,351.922,1.81371,351.922,0.34241,351.922,2.25777,351.922,2.35942,351.922,3.53111,351.922,5.37157,351.922,1.30009,351.922,4.85528,351.922,2.59483,351.922,4.60917,351.922,0.7303,351.922,-1.72543,351.922,0.46011,351.922,5.08266,351.922,4.15441,351.922,0.13108,351.922,1.57027,351.922,0.33974,351.922,2.83291,351.922,0.88545,351.922,-1.12086,351.922,-1.62645,351.922,0.11503,351.922,2.5226,351.922,5.46787,351.922,1.74951,351.922,-0.94163,351.922,-3.61939,351.922,2.07587,351.922,-1.16634,351.922,2.97737,351.922,0.38789,351.922,4.67337,351.922,3.10577,351.922,4.14906,351.922,0.86405,351.922,3.18068,351.922,3.2208,351.922,4.9168,351.922,-0.56444,351.922,3.27965,351.922,4.18383,351.922,-0.18993,351.922,2.08389,351.922,1.35894,351.922,3.50971,351.922
352.289,0.24167,-3.42732,-2.94886,-1.08629,-1.22788,0.72745,-4.6259,0.06103,-1.54034,-0.95447,-2.61931,1.22544,-0.4809,-1.71854,-0.01221,-1.4549,-5.27768,-4.48187,-3.9131,2.12132,-1.54522,-1.46955,-1.39387,-3.90333,-1.85036,-1.9895,-1.84548,2.2385,-4.18162,-3.06603,-1.05456,-0.40278,1.83327,-0.35884,-3.60063,-1.26938,0.27829,-2.55096,0.20017,-2.2092,1.40364,2.19456,-4.27926,352.289,-3.66166,352.289,-0.78604,352.289,-0.72257,352.289,0.23435,352.289,-2.34346,352.289,-1.26694,352.289,-0.72745,352.289,1.25229,352.289,-2.66325,352.289,-2.53387,352.289,2.93665,352.289,0.13182,352.289,0.88856,352.289,0.78604,352.289,-2.98548,352.289,-0.44672,352.289,0.34664,352.289,0.47846,352.289,0.62736,352.289,-1.7991,352.289,2.31905,352.289,-0.66886,352.289,-3.8838,352.289,-1.74295,352.289,-3.71537,352.289,2.85121,352.289,-1.37679,352.289,-1.30355,352.289,-1.4012,352.289,-1.72819,352.289,-2.27438,352.289,-0.19047,352.289,0.82628,352.289,-0.21848,352.289,-3.85973,352.289,-4.658,352.289,0.61341,352.289,-2.8934,352.289,-0.08963,352.289,1.4677,352.289,0.60781,352.289,-2.46485,352.289,-0.93272,352.289,-6.59347,352.289,2.87939,352.289,-1.50692,352.289,-0.85149,352.289,-2.70853,352.289,1.12879,352.289,-1.76181,352.289,-1.11478,352.289,-1.59935,352.289,-2.40603,352.289,-0.577,352.289,-0.33612,352.289,-1.731,352.289,-2.59929,352.289,-3.14828,352.289,-0.62181,352.289,0.2913,352.289,-0.33612,352.289,-1.50692,352.289,0.64702,352.289,0.74506,352.289,0.2997,352.289,-4.97171,352.289,-2.83738,352.289,-2.43124,352.289,-1.1764,352.289,-2.01389,352.289,-2.05871,352.289,-0.95513,352.289,-0.09243,352.289,1.21842,352.289,-4.27147,352.289,-0.94953,352.289,-0.94112,352.289,0.21007,352.289,-1.43689,352.289,0.48177,352.289,2.27998,352.289,-6.18453,352.289,-1.99709,352.289,-2.89059,352.289,-1.13159,352.289,-2.0363,352.289,-2.37242,352.289,1.53213,352.289,4.41712,352.289,-2.42283,352.289,-1.33606,352.289,-0.34452,352.289,0.50417,352.289,-1.03636,352.289,-6.50664,352.289,0.07283,352.289,3.17069,352.289,1.01115,352.289,-3.64405,352.289,-0.90751,352.289,1.07557,352.289
352.656,1.8456,-1.86628,0.57,-1.16987,0.24133,-1.44798,-1.33995,-1.04576,0.02069,0.71939,3.41768,-0.53782,-2.43858,0.11032,1.34915,-1.03887,-1.80652,1.88467,1.90535,-1.05495,-0.38843,-1.86168,-0.24593,-1.87318,-0.67572,0.07585,0.9837,1.7031,1.10092,0.68032,0.07355,-3.02696,0.95383,-0.7056,-2.13979,0.23903,-1.90765,0.79754,-0.91475,-4.58066,-1.06874,6.73654,-2.96261,352.656,-2.05015,352.656,-0.33556,352.656,-0.86419,352.656,-0.29419,352.656,-1.32386,352.656,-2.07543,352.656,-1.97201,352.656,1.10552,352.656,0.43439,352.656,1.18136,352.656,-1.05955,352.656,0.05056,352.656,0.06435,352.656,1.73297,352.656,3.03615,352.656,-1.48705,352.656,1.02508,352.656,1.92144,352.656,3.27518,352.656,-0.18617,352.656,-0.09653,352.656,0.73088,352.656,3.66131,352.656,-3.112,352.656,1.1354,352.656,0.95612,352.656,-4.45885,352.656,-2.95571,352.656,-4.59215,352.656,1.84081,352.656,-1.20371,352.656,2.76528,352.656,-1.23895,352.656,3.0418,352.656,-0.65608,352.656,-1.90587,352.656,1.41788,352.656,0.92989,352.656,3.47015,352.656,2.20138,352.656,-0.32262,352.656,0.78078,352.656,-2.5511,352.656,-2.34777,352.656,-0.50968,352.656,-2.45622,352.656,3.90392,352.656,5.35976,352.656,4.08556,352.656,-0.40395,352.656,0.52594,352.656,0.10031,352.656,0.92447,352.656,2.4779,352.656,-0.54221,352.656,2.5755,352.656,-0.5639,352.656,-1.26877,352.656,3.73583,352.656,-1.67001,352.656,7.00537,352.656,3.09603,352.656,-1.7161,352.656,2.93336,352.656,4.80128,352.656,-1.42873,352.656,4.15063,352.656,-0.70487,352.656,-1.35553,352.656,-0.56119,352.656,-1.2986,352.656,0.20333,352.656,4.63862,352.656,0.48528,352.656,3.93374,352.656,-0.74554,352.656,3.73041,352.656,4.23738,352.656,0.43106,352.656,3.93645,352.656,5.7637,352.656,2.68937,352.656,2.92523,352.656,1.53988,352.656,-1.61579,352.656,-0.79976,352.656,0.17622,352.656,-2.42097,352.656,0.93531,352.656,1.94925,352.656,-1.4233,352.656,0.14369,352.656,-0.76994,352.656,-0.13555,352.656,-1.0058,352.656,1.28504,352.656,2.07125,352.656,1.10882,352.656,-0.92447,352.656,-0.35786,352.656,1.43144,352.656
353.023,-1.54443,-1.54212,-0.46171,-1.13812,-2.56481,-1.52827,1.35051,-0.34859,-0.64409,1.90456,-1.18429,-1.31588,-2.19083,-1.92072,-1.52596,-2.44708,-2.81183,-0.91419,0.39938,-2.09387,3.59905,-1.20507,-2.24161,0.70411,-0.1616,0.40862,-2.92726,-0.28395,-3.36358,-1.68063,-1.14505,-0.52866,-0.26087,-0.30242,-1.7799,0.97883,-3.43052,0.09927,-1.5098,-1.31357,-0.07618,2.40783,-1.05501,353.023,-0.50788,353.023,-3.91994,353.023,-0.01847,353.023,-0.40631,353.023,-1.25586,353.023,-0.27472,353.023,0.64178,353.023,1.84916,353.023,-0.56098,353.023,-0.36475,353.023,-1.58137,353.023,-0.94651,353.023,-3.29663,353.023,2.73796,353.023,-2.34319,353.023,1.12889,353.023,0.99268,353.023,1.92996,353.023,1.36898,353.023,1.21661,353.023,-0.46633,353.023,-2.25777,353.023,1.79375,353.023,2.858,353.023,-5.50823,353.023,-1.6991,353.023,-0.74797,353.023,0.24471,353.023,-2.98728,353.023,2.32502,353.023,-0.07474,353.023,1.48417,353.023,-1.68971,353.023,1.1158,353.023,-1.50019,353.023,-2.90161,353.023,-6.88965,353.023,0.78746,353.023,-0.93962,353.023,-0.30965,353.023,-1.55624,353.023,-3.54493,353.023,-1.7431,353.023,-1.88458,353.023,-2.33837,353.023,0.22957,353.023,1.92195,353.023,2.5012,353.023,-0.41909,353.023,-3.00304,353.023,-3.11249,353.023,-1.78047,353.023,-2.37841,353.023,3.50755,353.023,1.0891,353.023,-0.79547,353.023,-4.22828,353.023,2.63734,353.023,-3.28333,353.023,-0.96097,353.023,3.43815,353.023,-1.56425,353.023,1.00101,353.023,-0.10144,353.023,-1.978,353.023,-0.42443,353.023,0.96898,353.023,-2.95766,353.023,-0.9503,353.023,-1.83386,353.023,-1.44947,353.023,1.18253,353.023,1.1505,353.023,2.39977,353.023,-1.50819,353.023,-2.48518,353.023,-2.22092,353.023,-1.12381,353.023,2.13283,353.023,0.58726,353.023,-1.41477,353.023,-0.8542,353.023,-0.75009,353.023,-0.57658,353.023,-5.13587,353.023,-0.87288,353.023,3.29134,353.023,0.30698,353.023,1.86055,353.023,-1.8392,353.023,0.56324,353.023,-1.43879,353.023,0.18152,353.023,-0.13347,353.023,1.91394,353.023,-3.98804,353.023,0.71539,353.023,2.15952,353.023,-3.04575,353.023,0.07474,353.023,1.19588,353.023
353.39,-7.67549,-5.12491,-5.60983,-1.74238,-5.41729,-6.82213,-3.55369,-5.87368,-2.90713,-1.08156,-6.27778,-6.41327,-6.85778,-7.03606,-6.36336,-6.74131,-3.92213,-1.20754,-6.81499,-5.16057,-3.17811,-3.25655,-4.70418,-3.07828,-3.58934,0.53484,-6.81737,-7.25237,-3.38729,-2.11082,-6.5036,-6.89581,0.91041,-5.86418,-6.39663,-1.88262,-5.66213,-2.59811,-5.35786,-3.40631,-2.96893,-4.74696,-7.97024,353.39,-6.0377,353.39,-2.17262,353.39,-4.05049,353.39,-2.70033,353.39,-2.70033,353.39,-6.17795,353.39,-2.3818,353.39,-0.30188,353.39,-3.77237,353.39,-6.19459,353.39,-2.92139,353.39,-6.52737,353.39,-2.10131,353.39,-0.26148,353.39,-2.22254,353.39,-1.91828,353.39,-1.41197,353.39,-6.30393,353.39,-5.01795,353.39,-3.00696,353.39,-2.19164,353.39,-6.88868,353.39,-2.6409,353.39,-6.94573,353.39,-7.34508,353.39,-6.23737,353.39,-5.37213,353.39,-4.08377,353.39,-3.60836,353.39,-5.47858,353.39,-6.55102,353.39,-3.73552,353.39,-2.19753,353.39,-4.42831,353.39,-6.39029,353.39,-7.4461,353.39,-7.7731,353.39,-5.56726,353.39,-7.27152,353.39,-6.66186,353.39,-4.67494,353.39,-4.61121,353.39,-6.37643,353.39,-3.15358,353.39,-2.87092,353.39,-4.32855,353.39,-4.8329,353.39,-3.74383,353.39,-2.34163,353.39,-5.55617,353.39,-9.30555,353.39,-3.93227,353.39,-6.81428,353.39,-5.49243,353.39,-3.48057,353.39,-4.28421,353.39,-8.46866,353.39,-6.75054,353.39,-7.31031,353.39,-10.57474,353.39,-6.45126,353.39,-8.186,353.39,-4.59181,353.39,-1.25811,353.39,-4.04866,353.39,-7.35742,353.39,-6.57596,353.39,-6.1298,353.39,-0.80918,353.39,-6.20462,353.39,-6.51499,353.39,-4.93543,353.39,-6.91958,353.39,-8.01696,353.39,-6.26559,353.39,-4.08746,353.39,-3.23671,353.39,-8.03913,353.39,-1.6433,353.39,-5.11001,353.39,-2.4885,353.39,-8.69035,353.39,-8.4936,353.39,-5.1211,353.39,-11.80513,353.39,-3.4778,353.39,-6.20462,353.39,-6.95283,353.39,-3.78817,353.39,-4.25927,353.39,-8.28299,353.39,-2.95683,353.39,-4.28975,353.39,-1.3357,353.39,-7.67888,353.39,-2.27789,353.39,-3.46949,353.39,-1.88162,353.39,-7.1967,353.39,-6.26282,353.39,-6.03004,353.39
