
DATA	Record	Date	Time	INPUT3	CHK
DATA	0000000	2023-03-08	13:26:23	261.26	 87
DATA	0000001	2023-03-08	13:27:23	294.34	 94
DATA	0000002	2023-03-08	13:28:23	283.59	101
DATA	0000003	2023-03-08	13:29:23	286.33	 98
DATA	0000004	2023-03-08	13:30:23	264.51	 87
DATA	0000005	2023-03-08	13:31:23	263.70	 89
DATA	0000006	2023-03-08	13:32:23	269.27	 99
DATA	0000007	2023-03-08	13:33:23	294.63	 99
DATA	0000008	2023-03-08	13:34:23	268.61	100
DATA	0000009	2023-03-08	13:35:23	273.88	107
DATA	0000010	2023-03-08	13:36:23	252.12	 84
DATA	0000011	2023-03-08	13:37:23	260.23	 87
DATA	0000012	2023-03-08	13:38:23	284.04	 94
DATA	0000013	2023-03-08	13:39:23	272.54	 98
DATA	0000014	2023-03-08	13:40:23	275.09	 94
DATA	0000015	2023-03-08	13:41:23	301.59	 91
DATA	0000016	2023-03-08	13:42:23	308.53	 94
DATA	0000017	2023-03-08	13:43:23	303.43	 90
DATA	0000018	2023-03-08	13:44:23	279.85	110
DATA	0000019	2023-03-08	13:45:23	284.96	110
DATA	0000020	2023-03-08	13:46:23	294.81	 98
DATA	0000021	2023-03-08	13:47:23	250.71	 91
DATA	0000022	2023-03-08	13:48:23	264.77	104
DATA	0000023	2023-03-08	13:49:23	286.38	107
DATA	0000024	2023-03-08	13:50:23	277.15	 95
DATA	0000025	2023-03-08	13:51:23	265.91	 98
DATA	0000026	2023-03-08	13:52:23	231.10	 84
DATA	0000027	2023-03-08	13:53:23	225.19	 98
DATA	0000028	2023-03-08	13:54:23	238.24	100
DATA	0000029	2023-03-08	13:55:23	242.54	100
DATA	0000030	2023-03-08	13:56:23	221.78	 96
DATA	0000031	2023-03-08	13:57:23	196.58	107
DATA	0000032	2023-03-08	13:58:23	188.36	106
DATA	0000033	2023-03-08	13:59:23	193.42	101
DATA	0000034	2023-03-08	14:00:23	189.21	 91
DATA	0000035	2023-03-08	14:01:23	190.14	 87
DATA	0000036	2023-03-08	14:02:23	193.25	 94
DATA	0000037	2023-03-08	14:03:23	203.62	 89
DATA	0000038	2023-03-08	14:04:23	218.16	 96
DATA	0000039	2023-03-08	14:05:23	224.52	 95
DATA	0000040	2023-03-08	14:06:23	242.25	 88
DATA	0000041	2023-03-08	14:07:23	264.62	 95
DATA	0000042	2023-03-08	14:08:23	201.00	 80
DATA	0000043	2023-03-08	14:09:23	218.64	100
DATA	0000044	2023-03-08	14:10:23	244.87	 97
DATA	0000045	2023-03-08	14:11:23	239.69	103
DATA	0000046	2023-03-08	14:12:23	230.38	 92
DATA	0000047	2023-03-08	14:13:23	196.58	107
DATA	0000048	2023-03-08	14:14:23	234.22	 93
DATA	0000049	2023-03-08	14:15:23	241.62	 97
DATA	0000050	2023-03-08	14:16:23	205.41	 87
