"2023-03-09";"11:58:40";"WinControl (rev 1195) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:Fo'";"1:NPQ";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-II (CFMG0360A) ";""
"2023-03-09 07:49:50.370";"2023-03-09";"07:49:50";"SLCS";"";"Light Curve start ";"hm01"
"2023-03-09 07:49:50.370";"2023-03-09";"07:49:50";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.019, ETRmPot: 32.812 )   (Platt et al. 1980) ";""
"2023-03-09 07:49:50.370";"2023-03-09";"07:49:50";"REG2";"";"#1: alpha: 0.166, ETRm: 48.702, Ik: 292.697   (Jassby and Platt 1976) ";""
"2023-03-09 07:49:52.125";"2023-03-09";"07:49:52";"FO";"1";"109";"256";"0";"0.574";"0.0";"-";"-";"109";"256";"0.574"
"2023-03-09 07:50:22.416";"2023-03-09";"07:50:22";"F";"2";"120";"237";"66";"0.494";"13.7";"105";"0.080";"109";"256";"0.574"
"2023-03-09 07:50:52.716";"2023-03-09";"07:50:52";"F";"3";"122";"220";"90";"0.445";"16.8";"102";"0.164";"109";"256";"0.574"
"2023-03-09 07:51:23.005";"2023-03-09";"07:51:23";"F";"4";"126";"209";"125";"0.397";"20.8";"99";"0.225";"109";"256";"0.574"
"2023-03-09 07:51:53.305";"2023-03-09";"07:51:53";"F";"5";"129";"200";"190";"0.355";"28.3";"97";"0.280";"109";"256";"0.574"
"2023-03-09 07:52:23.598";"2023-03-09";"07:52:23";"F";"6";"135";"188";"285";"0.282";"33.8";"94";"0.362";"109";"256";"0.574"
"2023-03-09 07:52:53.893";"2023-03-09";"07:52:53";"F";"7";"140";"183";"420";"0.235";"41.5";"93";"0.399";"109";"256";"0.574"
"2023-03-09 07:53:24.188";"2023-03-09";"07:53:24";"F";"8";"147";"177";"625";"0.169";"44.4";"92";"0.446";"109";"256";"0.574"
"2023-03-09 07:53:54.487";"2023-03-09";"07:53:54";"F";"9";"148";"175";"820";"0.154";"53.0";"91";"0.463";"109";"256";"0.574"
"2023-03-09 07:53:57.675";"2023-03-09";"07:53:57";"SLCE";"";"Light Curve end ";""
"2023-03-09 07:54:45.106";"2023-03-09";"07:54:45";"SLCS";"";"Light Curve start ";"hm02"
"2023-03-09 07:54:45.106";"2023-03-09";"07:54:45";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.013, ETRmPot: 19.206 )   (Platt et al. 1980) ";""
"2023-03-09 07:54:45.106";"2023-03-09";"07:54:45";"REG2";"";"#1: alpha: 0.216, ETRm: 27.486, Ik: 127.347   (Jassby and Platt 1976) ";""
"2023-03-09 07:54:46.785";"2023-03-09";"07:54:46";"FO";"10";"64";"184";"0";"0.652";"0.0";"-";"-";"64";"184";"0.652"
"2023-03-09 07:55:17.080";"2023-03-09";"07:55:17";"F";"11";"72";"167";"66";"0.569";"15.8";"62";"0.102";"64";"184";"0.652"
"2023-03-09 07:55:47.370";"2023-03-09";"07:55:47";"F";"12";"68";"133";"90";"0.489";"18.5";"56";"0.383";"64";"184";"0.652"
"2023-03-09 07:56:17.672";"2023-03-09";"07:56:17";"F";"13";"69";"110";"125";"0.373";"19.6";"52";"0.673";"64";"184";"0.652"
"2023-03-09 07:56:47.967";"2023-03-09";"07:56:47";"F";"14";"74";"100";"190";"0.260";"20.7";"50";"0.840";"64";"184";"0.652"
"2023-03-09 07:57:18.263";"2023-03-09";"07:57:18";"F";"15";"75";"94";"285";"0.202";"24.2";"48";"0.957";"64";"184";"0.652"
"2023-03-09 07:57:48.561";"2023-03-09";"07:57:48";"F";"16";"75";"89";"420";"0.157";"27.7";"47";"1.067";"64";"184";"0.652"
"2023-03-09 07:58:18.858";"2023-03-09";"07:58:18";"F";"17";"78";"86";"625";"0.093";"24.4";"46";"1.140";"64";"184";"0.652"
"2023-03-09 07:58:49.149";"2023-03-09";"07:58:49";"F";"18";"79";"88";"820";"0.102";"35.1";"46";"1.091";"64";"184";"0.652"
"2023-03-09 07:58:51.743";"2023-03-09";"07:58:51";"SLCE";"";"Light Curve end ";""
"2023-03-09 08:00:02.131";"2023-03-09";"08:00:02";"SLCS";"";"Light Curve start ";"hm09"
