"2023-03-18";"12:05:02";"WinControl (rev 1195) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:NPQ";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-II (CFMG0360A) ";""
"2023-03-18 07:56:07.924";"2023-03-18";"07:56:07";"SLCS";"";"Light Curve start ";"ul25"
"2023-03-18 07:56:07.924";"2023-03-18";"07:56:07";"REG1";"";"#1: alpha: 0.272, ETRm: 11.464, Ik: 42.165   ( beta: 0.032, ETRmPot: 16.665 )   (Platt et al. 1980) ";""
"2023-03-18 07:56:07.924";"2023-03-18";"07:56:07";"REG2";"";"#1: alpha: 0.316, ETRm: 9.274, Ik: 29.340   (Jassby and Platt 1976) ";""
"2023-03-18 07:56:09.639";"2023-03-18";"07:56:09";"FO";"2";"408";"1026";"0";"0.602";"0.0";"-";"408";"1026";"0.602"
"2023-03-18 07:56:39.933";"2023-03-18";"07:56:39";"F";"3";"511";"877";"45";"0.417";"7.9";"0.170";"408";"1026";"0.602"
"2023-03-18 07:57:10.234";"2023-03-18";"07:57:10";"F";"4";"530";"829";"66";"0.361";"10.0";"0.238";"408";"1026";"0.602"
"2023-03-18 07:57:40.529";"2023-03-18";"07:57:40";"F";"5";"567";"798";"90";"0.289";"10.9";"0.286";"408";"1026";"0.602"
"2023-03-18 07:58:10.823";"2023-03-18";"07:58:10";"F";"6";"621";"783";"125";"0.207";"10.9";"0.310";"408";"1026";"0.602"
"2023-03-18 07:58:41.117";"2023-03-18";"07:58:41";"F";"7";"667";"773";"190";"0.137";"10.9";"0.327";"408";"1026";"0.602"
"2023-03-18 07:59:11.417";"2023-03-18";"07:59:11";"F";"8";"700";"766";"285";"0.086";"10.3";"0.339";"408";"1026";"0.602"
"2023-03-18 07:59:41.712";"2023-03-18";"07:59:41";"F";"9";"726";"757";"420";"0.041";"7.2";"0.355";"408";"1026";"0.602"
"2023-03-18 08:00:12.003";"2023-03-18";"08:00:12";"F";"10";"739";"753";"625";"0.019";"5.0";"0.363";"408";"1026";"0.602"
"2023-03-18 08:00:14.605";"2023-03-18";"08:00:14";"SLCE";"";"Light Curve end ";""
"2023-03-18 08:01:29.583";"2023-03-18";"08:01:29";"SLCS";"";"Light Curve start ";"ul26"
"2023-03-18 08:01:29.583";"2023-03-18";"08:01:29";"REG1";"";"#1: alpha: 0.235, ETRm: 13.031, Ik: 55.356   ( beta: 0.512, ETRmPot: 94.168 )   (Platt et al. 1980) ";""
"2023-03-18 08:01:29.583";"2023-03-18";"08:01:29";"REG2";"";"#1: alpha: 0.396, ETRm: 9.310, Ik: 23.498   (Jassby and Platt 1976) ";""
"2023-03-18 08:01:31.291";"2023-03-18";"08:01:31";"FO";"11";"231";"689";"0";"0.665";"0.0";"-";"231";"689";"0.665"
"2023-03-18 08:02:01.591";"2023-03-18";"08:02:01";"F";"12";"325";"591";"45";"0.450";"8.5";"0.166";"231";"689";"0.665"
"2023-03-18 08:02:31.885";"2023-03-18";"08:02:31";"F";"13";"348";"561";"66";"0.380";"10.5";"0.228";"231";"689";"0.665"
"2023-03-18 08:03:02.181";"2023-03-18";"08:03:02";"F";"14";"372";"536";"90";"0.306";"11.6";"0.285";"231";"689";"0.665"
"2023-03-18 08:03:32.479";"2023-03-18";"08:03:32";"F";"15";"402";"520";"125";"0.227";"11.9";"0.325";"231";"689";"0.665"
"2023-03-18 08:04:02.773";"2023-03-18";"08:04:02";"F";"16";"432";"510";"190";"0.153";"12.2";"0.351";"231";"689";"0.665"
"2023-03-18 08:04:33.072";"2023-03-18";"08:04:33";"F";"17";"454";"499";"285";"0.090";"10.8";"0.381";"231";"689";"0.665"
"2023-03-18 08:05:03.366";"2023-03-18";"08:05:03";"F";"18";"470";"489";"420";"0.039";"6.9";"0.409";"231";"689";"0.665"
"2023-03-18 08:05:33.666";"2023-03-18";"08:05:33";"F";"19";"475";"478";"625";"0.006";"1.6";"0.441";"231";"689";"0.665"
"2023-03-18 08:05:36.439";"2023-03-18";"08:05:36";"SLCE";"";"Light Curve end ";""
"2023-03-18 08:07:04.158";"2023-03-18";"08:07:04";"SLCS";"";"Light Curve start ";"ul27"
"2023-03-18 08:07:04.158";"2023-03-18";"08:07:04";"REG1";"";"#1: alpha: 0.236, ETRm: 17.330, Ik: 73.558   ( beta: 0.035, ETRmPot: 26.937 )   (Platt et al. 1980) ";""
"2023-03-18 08:07:04.158";"2023-03-18";"08:07:04";"REG2";"";"#1: alpha: 0.216, ETRm: 15.413, Ik: 71.351   (Jassby and Platt 1976) ";""
"2023-03-18 08:07:05.848";"2023-03-18";"08:07:05";"FO";"20";"350";"1417";"0";"0.753";"0.0";"-";"350";"1417";"0.753"
"2023-03-18 08:07:36.145";"2023-03-18";"08:07:36";"F";"21";"695";"1287";"45";"0.460";"8.7";"0.101";"350";"1417";"0.753"
"2023-03-18 08:08:06.438";"2023-03-18";"08:08:06";"F";"22";"769";"1253";"66";"0.386";"10.7";"0.131";"350";"1417";"0.753"
"2023-03-18 08:08:36.738";"2023-03-18";"08:08:36";"F";"23";"802";"1227";"90";"0.346";"13.1";"0.155";"350";"1417";"0.753"
"2023-03-18 08:09:07.038";"2023-03-18";"08:09:07";"F";"24";"856";"1197";"125";"0.285";"15.0";"0.184";"350";"1417";"0.753"
"2023-03-18 08:09:37.329";"2023-03-18";"08:09:37";"F";"25";"914";"1161";"190";"0.213";"17.0";"0.220";"350";"1417";"0.753"
"2023-03-18 08:10:07.625";"2023-03-18";"08:10:07";"F";"26";"961";"1121";"285";"0.143";"17.1";"0.264";"350";"1417";"0.753"
"2023-03-18 08:10:37.921";"2023-03-18";"08:10:37";"F";"27";"984";"1079";"420";"0.088";"15.5";"0.313";"350";"1417";"0.753"
"2023-03-18 08:11:08.212";"2023-03-18";"08:11:08";"F";"28";"986";"1033";"625";"0.045";"11.8";"0.372";"350";"1417";"0.753"
"2023-03-18 08:11:10.785";"2023-03-18";"08:11:10";"SLCE";"";"Light Curve end ";""
"2023-03-18 08:11:30.369";"2023-03-18";"08:11:30";"SLCS";"";"Light Curve start ";"ul28"
"2023-03-18 08:11:30.369";"2023-03-18";"08:11:30";"REG1";"";"#1: alpha: 0.213, ETRm: 21.873, Ik: 102.928   ( beta: 0.027, ETRmPot: 32.621 )   (Platt et al. 1980) ";""
"2023-03-18 08:11:30.369";"2023-03-18";"08:11:30";"REG2";"";"#1: alpha: 0.182, ETRm: 20.817, Ik: 114.181   (Jassby and Platt 1976) ";""
"2023-03-18 08:11:32.113";"2023-03-18";"08:11:32";"FO";"29";"291";"1226";"0";"0.763";"0.0";"-";"291";"1226";"0.763"
"2023-03-18 08:12:02.406";"2023-03-18";"08:12:02";"F";"30";"618";"1142";"45";"0.459";"8.7";"0.074";"291";"1226";"0.763"
"2023-03-18 08:12:32.702";"2023-03-18";"08:12:32";"F";"31";"672";"1107";"66";"0.393";"10.9";"0.107";"291";"1226";"0.763"
"2023-03-18 08:13:02.999";"2023-03-18";"08:13:02";"F";"32";"699";"1074";"90";"0.349";"13.2";"0.142";"291";"1226";"0.763"
"2023-03-18 08:13:33.294";"2023-03-18";"08:13:33";"F";"33";"727";"1041";"125";"0.302";"15.9";"0.178";"291";"1226";"0.763"
"2023-03-18 08:14:03.596";"2023-03-18";"08:14:03";"F";"34";"764";"1016";"190";"0.248";"19.8";"0.207";"291";"1226";"0.763"
"2023-03-18 08:14:33.884";"2023-03-18";"08:14:33";"F";"35";"803";"980";"285";"0.181";"21.7";"0.251";"291";"1226";"0.763"
"2023-03-18 08:15:04.183";"2023-03-18";"08:15:04";"F";"36";"835";"952";"420";"0.123";"21.7";"0.288";"291";"1226";"0.763"
"2023-03-18 08:15:34.475";"2023-03-18";"08:15:34";"F";"37";"859";"926";"625";"0.072";"18.9";"0.324";"291";"1226";"0.763"
"2023-03-18 08:15:37.369";"2023-03-18";"08:15:37";"SLCE";"";"Light Curve end ";""
"2023-03-18 08:16:11.039";"2023-03-18";"08:16:11";"SLCS";"";"Light Curve start ";"ul29"
"2023-03-18 08:16:11.039";"2023-03-18";"08:16:11";"REG1";"";"#1: alpha: 0.260, ETRm: 28.309, Ik: 109.015   ( beta: 0.053, ETRmPot: 48.892 )   (Platt et al. 1980) ";""
"2023-03-18 08:16:11.039";"2023-03-18";"08:16:11";"REG2";"";"#1: alpha: 0.226, ETRm: 26.810, Ik: 118.663   (Jassby and Platt 1976) ";""
"2023-03-18 08:16:12.772";"2023-03-18";"08:16:12";"FO";"38";"237";"1024";"0";"0.769";"0.0";"-";"237";"1024";"0.769"
"2023-03-18 08:16:43.068";"2023-03-18";"08:16:43";"F";"39";"450";"909";"45";"0.505";"9.5";"0.127";"237";"1024";"0.769"
"2023-03-18 08:17:13.368";"2023-03-18";"08:17:13";"F";"40";"460";"864";"66";"0.468";"13.0";"0.185";"237";"1024";"0.769"
"2023-03-18 08:17:43.667";"2023-03-18";"08:17:43";"F";"41";"461";"834";"90";"0.447";"16.9";"0.228";"237";"1024";"0.769"
"2023-03-18 08:18:13.961";"2023-03-18";"08:18:13";"F";"42";"482";"805";"125";"0.401";"21.1";"0.272";"237";"1024";"0.769"
"2023-03-18 08:18:44.258";"2023-03-18";"08:18:44";"F";"43";"531";"783";"190";"0.322";"25.7";"0.308";"237";"1024";"0.769"
"2023-03-18 08:19:14.552";"2023-03-18";"08:19:14";"F";"44";"585";"764";"285";"0.234";"28.0";"0.340";"237";"1024";"0.769"
"2023-03-18 08:19:44.848";"2023-03-18";"08:19:44";"F";"45";"630";"746";"420";"0.155";"27.3";"0.373";"237";"1024";"0.769"
"2023-03-18 08:20:15.141";"2023-03-18";"08:20:15";"F";"46";"665";"732";"625";"0.092";"24.2";"0.399";"237";"1024";"0.769"
"2023-03-18 08:20:17.765";"2023-03-18";"08:20:17";"SLCE";"";"Light Curve end ";""
"2023-03-18 08:20:54.682";"2023-03-18";"08:20:54";"SLCS";"";"Light Curve start ";"ul30"
"2023-03-18 08:20:54.682";"2023-03-18";"08:20:54";"REG1";"";"#1: alpha: 0.255, ETRm: 23.924, Ik: 93.702   ( beta: 0.008, ETRmPot: 27.595 )   (Platt et al. 1980) ";""
"2023-03-18 08:20:54.682";"2023-03-18";"08:20:54";"REG2";"";"#1: alpha: 0.204, ETRm: 23.422, Ik: 114.653   (Jassby and Platt 1976) ";""
"2023-03-18 08:20:56.438";"2023-03-18";"08:20:56";"FO";"47";"272";"1186";"0";"0.771";"0.0";"-";"272";"1186";"0.771"
"2023-03-18 08:21:26.730";"2023-03-18";"08:21:26";"F";"48";"522";"1065";"45";"0.510";"9.6";"0.114";"272";"1186";"0.771"
"2023-03-18 08:21:57.024";"2023-03-18";"08:21:57";"F";"49";"583";"1042";"66";"0.440";"12.2";"0.138";"272";"1186";"0.771"
"2023-03-18 08:22:27.325";"2023-03-18";"08:22:27";"F";"50";"614";"1027";"90";"0.402";"15.2";"0.155";"272";"1186";"0.771"
"2023-03-18 08:22:57.615";"2023-03-18";"08:22:57";"F";"51";"667";"1016";"125";"0.344";"18.1";"0.167";"272";"1186";"0.771"
"2023-03-18 08:23:27.912";"2023-03-18";"08:23:27";"F";"52";"726";"996";"190";"0.271";"21.6";"0.191";"272";"1186";"0.771"
"2023-03-18 08:23:58.212";"2023-03-18";"08:23:58";"F";"53";"773";"962";"285";"0.196";"23.5";"0.233";"272";"1186";"0.771"
"2023-03-18 08:24:28.503";"2023-03-18";"08:24:28";"F";"54";"799";"925";"420";"0.136";"24.0";"0.282";"272";"1186";"0.771"
"2023-03-18 08:24:58.799";"2023-03-18";"08:24:58";"F";"55";"814";"892";"625";"0.087";"22.8";"0.330";"272";"1186";"0.771"
"2023-03-18 08:25:01.182";"2023-03-18";"08:25:01";"SLCE";"";"Light Curve end ";""
"2023-03-18 08:26:31.619";"2023-03-18";"08:26:31";"SLCS";"";"Light Curve start ";"ul31"
"2023-03-18 08:26:31.619";"2023-03-18";"08:26:31";"REG1";"";"#1: alpha: 0.267, ETRm: 36.501, Ik: 136.914   ( beta: 0.162, ETRmPot: 106.057 )   (Platt et al. 1980) ";""
