"2023-04-03";"11:38:26";"WinControl (rev 1195) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:Fo'";"1:NPQ";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-II (CFMG0360A) ";""
"2023-04-03 07:57:20.899";"2023-04-03";"07:57:20";"SLCS";"";"Light Curve start ";"hm201"
"2023-04-03 07:57:20.899";"2023-04-03";"07:57:20";"REG1";"";"#1: alpha: 0.358, ETRm: 17.891, Ik: 49.973   ( beta: 0.003, ETRmPot: 18.846 )   (Platt et al. 1980) ";""
"2023-04-03 07:57:20.899";"2023-04-03";"07:57:20";"REG2";"";"#1: alpha: 0.283, ETRm: 17.318, Ik: 61.110   (Jassby and Platt 1976) ";""
"2023-04-03 07:57:22.641";"2023-04-03";"07:57:22";"FO";"1";"79";"224";"0";"0.647";"0.0";"-";"-";"79";"224";"0.647"
"2023-04-03 07:57:52.941";"2023-04-03";"07:57:52";"F";"2";"84";"216";"45";"0.611";"11.5";"78";"0.037";"79";"224";"0.647"
"2023-04-03 07:58:23.233";"2023-04-03";"07:58:23";"F";"3";"87";"173";"66";"0.497";"13.8";"72";"0.295";"79";"224";"0.647"
"2023-04-03 07:58:53.529";"2023-04-03";"07:58:53";"F";"4";"88";"147";"90";"0.401";"15.2";"67";"0.524";"79";"224";"0.647"
"2023-04-03 07:59:23.826";"2023-04-03";"07:59:23";"F";"5";"91";"129";"125";"0.295";"15.5";"63";"0.736";"79";"224";"0.647"
"2023-04-03 07:59:54.125";"2023-04-03";"07:59:54";"F";"6";"94";"117";"190";"0.197";"15.7";"60";"0.915";"79";"224";"0.647"
"2023-04-03 08:00:24.419";"2023-04-03";"08:00:24";"F";"7";"96";"113";"285";"0.150";"18.0";"59";"0.982";"79";"224";"0.647"
