"2023-04-14";"11:46:34";"WinControl (rev 1195) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:Fo'";"1:NPQ";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-II (CFMG0360A) ";""
"2023-04-14 07:55:25.603";"2023-04-14";"07:55:25";"SLCS";"";"Light Curve start ";"hm237"
"2023-04-14 07:55:25.603";"2023-04-14";"07:55:25";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.004, ETRmPot: 15.672 )   (Platt et al. 1980) ";""
"2023-04-14 07:55:25.603";"2023-04-14";"07:55:25";"REG2";"";"#1: alpha: 0.292, ETRm: 17.008, Ik: 58.249   (Jassby and Platt 1976) ";""
"2023-04-14 07:55:27.368";"2023-04-14";"07:55:27";"FO";"1";"101";"283";"0";"0.643";"0.0";"-";"-";"101";"283";"0.643"
"2023-04-14 07:55:57.670";"2023-04-14";"07:55:57";"F";"2";"110";"278";"45";"0.604";"11.4";"100";"0.018";"101";"283";"0.643"
"2023-04-14 07:56:27.963";"2023-04-14";"07:56:27";"F";"3";"113";"230";"66";"0.509";"14.1";"93";"0.230";"101";"283";"0.643"
"2023-04-14 07:56:58.261";"2023-04-14";"07:56:58";"F";"4";"115";"189";"90";"0.392";"14.8";"86";"0.497";"101";"283";"0.643"
"2023-04-14 07:57:28.557";"2023-04-14";"07:57:28";"F";"5";"117";"167";"125";"0.299";"15.7";"81";"0.695";"101";"283";"0.643"
"2023-04-14 07:57:58.849";"2023-04-14";"07:57:58";"F";"6";"122";"156";"190";"0.218";"17.4";"78";"0.814";"101";"283";"0.643"
"2023-04-14 07:58:29.152";"2023-04-14";"07:58:29";"F";"7";"126";"145";"285";"0.131";"15.7";"75";"0.952";"101";"283";"0.643"
"2023-04-14 07:58:59.441";"2023-04-14";"07:58:59";"F";"8";"129";"143";"420";"0.098";"17.3";"75";"0.979";"101";"283";"0.643"
"2023-04-14 07:59:29.736";"2023-04-14";"07:59:29";"F";"9";"131";"141";"625";"0.071";"18.6";"74";"1.007";"101";"283";"0.643"
"2023-04-14 07:59:32.931";"2023-04-14";"07:59:32";"SLCE";"";"Light Curve end ";""
"2023-04-14 08:01:04.332";"2023-04-14";"08:01:04";"SLCS";"";"Light Curve start ";"hm238"
"2023-04-14 08:01:04.332";"2023-04-14";"08:01:04";"REG1";"";"#1: alpha: 0.322, ETRm: 21.113, Ik: 65.508   ( beta: 0.011, ETRmPot: 24.483 )   (Platt et al. 1980) ";""
"2023-04-14 08:01:04.332";"2023-04-14";"08:01:04";"REG2";"";"#1: alpha: 0.261, ETRm: 20.162, Ik: 77.123   (Jassby and Platt 1976) ";""
"2023-04-14 08:01:06.029";"2023-04-14";"08:01:06";"FO";"10";"101";"268";"0";"0.623";"0.0";"-";"-";"101";"268";"0.623"
"2023-04-14 08:01:36.327";"2023-04-14";"08:01:36";"F";"11";"120";"259";"45";"0.537";"10.1";"100";"0.035";"101";"268";"0.623"
"2023-04-14 08:02:06.614";"2023-04-14";"08:02:06";"F";"12";"118";"251";"66";"0.530";"14.7";"98";"0.068";"101";"268";"0.623"
"2023-04-14 08:02:36.911";"2023-04-14";"08:02:36";"F";"13";"121";"216";"90";"0.440";"16.6";"93";"0.241";"101";"268";"0.623"
"2023-04-14 08:03:07.207";"2023-04-14";"08:03:07";"F";"14";"125";"190";"125";"0.342";"18.0";"87";"0.411";"101";"268";"0.623"
"2023-04-14 08:03:37.506";"2023-04-14";"08:03:37";"F";"15";"130";"174";"190";"0.253";"20.2";"84";"0.540";"101";"268";"0.623"
"2023-04-14 08:04:07.804";"2023-04-14";"08:04:07";"F";"16";"134";"165";"285";"0.188";"22.5";"82";"0.624";"101";"268";"0.623"
"2023-04-14 08:04:38.095";"2023-04-14";"08:04:38";"F";"17";"140";"157";"420";"0.108";"19.1";"80";"0.707";"101";"268";"0.623"
"2023-04-14 08:05:08.392";"2023-04-14";"08:05:08";"F";"18";"142";"153";"625";"0.072";"18.9";"79";"0.752";"101";"268";"0.623"
"2023-04-14 08:05:10.956";"2023-04-14";"08:05:10";"SLCE";"";"Light Curve end ";""
"2023-04-14 08:05:41.927";"2023-04-14";"08:05:41";"SLCS";"";"Light Curve start ";"hm239"
"2023-04-14 08:05:41.927";"2023-04-14";"08:05:41";"REG1";"";"#1: alpha: 0.252, ETRm: 22.635, Ik: 89.878   ( beta: 0.002, ETRmPot: 23.653 )   (Platt et al. 1980) ";""
"2023-04-14 08:05:41.927";"2023-04-14";"08:05:41";"REG2";"";"#1: alpha: 0.194, ETRm: 22.299, Ik: 115.074   (Jassby and Platt 1976) ";""
"2023-04-14 08:05:43.584";"2023-04-14";"08:05:43";"FO";"19";"120";"323";"0";"0.628";"0.0";"-";"-";"120";"323";"0.628"
