"2025-01-17";"11:36:43";"WinControl (rev 1195) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:Fo'";"1:NPQ";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-III (CFMG1014B) ";""
"2025-01-17 07:57:39.660";"2025-01-17";"07:57:39";"SLCS";"";"Light Curve start ";"h39"
"2025-01-17 07:57:39.660";"2025-01-17";"07:57:39";"REG1";"";"#1: alpha: 0.191, ETRm: 4.136, Ik: 21.691   ( beta: 0.000, ETRmPot: 4.209 )   (Platt et al. 1980) ";""
"2025-01-17 07:57:39.660";"2025-01-17";"07:57:39";"REG2";"";"#1: alpha: 0.141, ETRm: 4.072, Ik: 28.965   (Jassby and Platt 1976) ";""
"2025-01-17 07:57:41.053";"2025-01-17";"07:57:41";"FO";"1";"251";"725";"0";"0.654";"0.0";"-";"-";"251";"725";"0.654"
"2025-01-17 07:58:11.043";"2025-01-17";"07:58:11";"F";"2";"317";"437";"25";"0.275";"2.9";"204";"0.659";"251";"725";"0.654"
"2025-01-17 07:58:41.032";"2025-01-17";"07:58:41";"F";"3";"315";"393";"45";"0.198";"3.7";"194";"0.845";"251";"725";"0.654"
"2025-01-17 07:59:11.020";"2025-01-17";"07:59:11";"F";"4";"317";"369";"65";"0.141";"3.8";"188";"0.965";"251";"725";"0.654"
"2025-01-17 07:59:41.012";"2025-01-17";"07:59:41";"F";"5";"321";"359";"90";"0.106";"4.0";"186";"1.019";"251";"725";"0.654"
"2025-01-17 08:00:11.014";"2025-01-17";"08:00:11";"F";"6";"324";"350";"125";"0.074";"3.9";"183";"1.071";"251";"725";"0.654"
"2025-01-17 08:00:41.003";"2025-01-17";"08:00:41";"F";"7";"326";"345";"190";"0.055";"4.4";"182";"1.101";"251";"725";"0.654"
"2025-01-17 08:01:10.998";"2025-01-17";"08:01:10";"F";"8";"326";"339";"285";"0.038";"4.5";"180";"1.139";"251";"725";"0.654"
"2025-01-17 08:01:40.985";"2025-01-17";"08:01:40";"F";"9";"326";"333";"420";"0.021";"3.7";"178";"1.177";"251";"725";"0.654"
"2025-01-17 08:01:44.336";"2025-01-17";"08:01:44";"SLCE";"";"Light Curve end ";""
"2025-01-17 08:02:45.195";"2025-01-17";"08:02:45";"SLCS";"";"Light Curve start ";"u39"
"2025-01-17 08:02:45.195";"2025-01-17";"08:02:45";"REG1";"";"#1: alpha: 0.207, ETRm: 9.644, Ik: 46.689   ( beta: 0.004, ETRmPot: 10.550 )   (Platt et al. 1980) ";""
"2025-01-17 08:02:45.195";"2025-01-17";"08:02:45";"REG2";"";"#1: alpha: 0.162, ETRm: 9.392, Ik: 57.904   (Jassby and Platt 1976) ";""
"2025-01-17 08:02:46.586";"2025-01-17";"08:02:46";"FO";"10";"550";"2336";"0";"0.765";"0.0";"-";"-";"550";"2336";"0.765"
"2025-01-17 08:03:16.568";"2025-01-17";"08:03:16";"F";"11";"1093";"1852";"25";"0.410";"4.3";"518";"0.261";"550";"2336";"0.765"
"2025-01-17 08:03:46.557";"2025-01-17";"08:03:46";"F";"12";"1210";"1778";"45";"0.319";"6.0";"512";"0.314";"550";"2336";"0.765"
"2025-01-17 08:04:16.552";"2025-01-17";"08:04:16";"F";"13";"1289";"1770";"65";"0.272";"7.4";"511";"0.320";"550";"2336";"0.765"
"2025-01-17 08:04:46.542";"2025-01-17";"08:04:46";"F";"14";"1386";"1782";"90";"0.222";"8.4";"512";"0.311";"550";"2336";"0.765"
"2025-01-17 08:05:16.533";"2025-01-17";"08:05:16";"F";"15";"1468";"1775";"125";"0.173";"9.1";"512";"0.316";"550";"2336";"0.765"
"2025-01-17 08:05:46.516";"2025-01-17";"08:05:46";"F";"16";"1509";"1716";"190";"0.121";"9.7";"507";"0.361";"550";"2336";"0.765"
"2025-01-17 08:06:16.505";"2025-01-17";"08:06:16";"F";"17";"1479";"1609";"285";"0.081";"9.7";"497";"0.452";"550";"2336";"0.765"
"2025-01-17 08:06:46.499";"2025-01-17";"08:06:46";"F";"18";"1408";"1484";"420";"0.051";"9.0";"485";"0.574";"550";"2336";"0.765"
"2025-01-17 08:06:49.921";"2025-01-17";"08:06:49";"SLCE";"";"Light Curve end ";""
"2025-01-17 08:07:08.019";"2025-01-17";"08:07:08";"SLCS";"";"Light Curve start ";"h40"
"2025-01-17 08:07:08.019";"2025-01-17";"08:07:08";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.177, ETRmPot: - 4.312 )   (Platt et al. 1980) ";""
"2025-01-17 08:07:08.019";"2025-01-17";"08:07:08";"REG2";"";"#1: alpha: 0.087, ETRm: 6.142, Ik: 70.572   (Jassby and Platt 1976) ";""
"2025-01-17 08:07:09.406";"2025-01-17";"08:07:09";"FO";"19";"149";"350";"0";"0.574";"0.0";"-";"-";"149";"350";"0.574"
"2025-01-17 08:07:39.399";"2025-01-17";"08:07:39";"F";"20";"162";"223";"25";"0.274";"2.9";"120";"0.570";"149";"350";"0.574"
"2025-01-17 08:08:09.381";"2025-01-17";"08:08:09";"F";"21";"160";"202";"45";"0.208";"3.9";"114";"0.733";"149";"350";"0.574"
"2025-01-17 08:08:39.376";"2025-01-17";"08:08:39";"F";"22";"157";"188";"65";"0.165";"4.5";"109";"0.862";"149";"350";"0.574"
"2025-01-17 08:09:09.363";"2025-01-17";"08:09:09";"F";"23";"160";"182";"90";"0.121";"4.6";"107";"0.923";"149";"350";"0.574"
"2025-01-17 08:09:39.349";"2025-01-17";"08:09:39";"F";"24";"162";"178";"125";"0.090";"4.7";"106";"0.966";"149";"350";"0.574"
"2025-01-17 08:10:09.364";"2025-01-17";"08:10:09";"F";"25";"163";"175";"190";"0.069";"5.5";"105";"1.000";"149";"350";"0.574"
"2025-01-17 08:10:39.352";"2025-01-17";"08:10:39";"F";"26";"165";"175";"285";"0.057";"6.8";"105";"1.000";"149";"350";"0.574"
"2025-01-17 08:11:09.341";"2025-01-17";"08:11:09";"F";"27";"166";"173";"420";"0.040";"7.1";"104";"1.023";"149";"350";"0.574"
"2025-01-17 08:11:12.689";"2025-01-17";"08:11:12";"SLCE";"";"Light Curve end ";""
"2025-01-17 08:12:05.388";"2025-01-17";"08:12:05";"SLCS";"";"Light Curve start ";"u40"
"2025-01-17 08:12:05.388";"2025-01-17";"08:12:05";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.150, ETRmPot: - 5.471 )   (Platt et al. 1980) ";""
"2025-01-17 08:12:05.388";"2025-01-17";"08:12:05";"REG2";"";"#1: alpha: 0.111, ETRm: 5.291, Ik: 47.797   (Jassby and Platt 1976) ";""
"2025-01-17 08:12:06.790";"2025-01-17";"08:12:06";"FO";"28";"834";"2721";"0";"0.693";"0.0";"-";"-";"834";"2721";"0.693"
"2025-01-17 08:12:36.780";"2025-01-17";"08:12:36";"F";"29";"1747";"2391";"25";"0.269";"2.8";"800";"0.138";"834";"2721";"0.693"
"2025-01-17 08:13:06.770";"2025-01-17";"08:13:06";"F";"30";"1843";"2297";"45";"0.198";"3.7";"789";"0.185";"834";"2721";"0.693"
"2025-01-17 08:13:36.761";"2025-01-17";"08:13:36";"F";"31";"1899";"2281";"65";"0.167";"4.6";"787";"0.193";"834";"2721";"0.693"
"2025-01-17 08:14:06.747";"2025-01-17";"08:14:06";"F";"32";"1989";"2294";"90";"0.133";"5.0";"789";"0.186";"834";"2721";"0.693"
"2025-01-17 08:14:36.729";"2025-01-17";"08:14:36";"F";"33";"2055";"2281";"125";"0.099";"5.2";"787";"0.193";"834";"2721";"0.693"
