"2025-03-17";"11:38:29";"WinControl (rev 1195) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:Fo'";"1:qP";"1:NPQ";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-III (CFMG1014B) ";""
"2025-03-17 07:53:04.515";"2025-03-17";"07:53:04";"SLCS";"";"Light Curve start ";"h301"
"2025-03-17 07:53:04.515";"2025-03-17";"07:53:04";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.004, ETRmPot: 6.977 )   (Platt et al. 1980) ";""
"2025-03-17 07:53:04.515";"2025-03-17";"07:53:04";"REG2";"";"#1: alpha: 0.259, ETRm: 7.721, Ik: 29.846   (Jassby and Platt 1976) ";""
"2025-03-17 07:53:05.913";"2025-03-17";"07:53:05";"FO";"1";"160";"436";"0";"0.633";"0.0";"-";"-";"-";"160";"436";"0.633"
"2025-03-17 07:53:35.897";"2025-03-17";"07:53:35";"F";"2";"189";"391";"25";"0.517";"5.4";"154";"0.852";"0.115";"160";"436";"0.633"
"2025-03-17 07:54:05.891";"2025-03-17";"07:54:05";"F";"3";"194";"310";"45";"0.374";"7.1";"139";"0.678";"0.406";"160";"436";"0.633"
"2025-03-17 07:54:35.878";"2025-03-17";"07:54:35";"F";"4";"199";"268";"65";"0.257";"7.0";"130";"0.500";"0.627";"160";"436";"0.633"
"2025-03-17 07:55:05.868";"2025-03-17";"07:55:05";"F";"5";"203";"249";"90";"0.185";"7.0";"125";"0.371";"0.751";"160";"436";"0.633"
"2025-03-17 07:55:35.853";"2025-03-17";"07:55:35";"F";"6";"207";"241";"125";"0.141";"7.4";"123";"0.288";"0.809";"160";"436";"0.633"
"2025-03-17 07:56:05.840";"2025-03-17";"07:56:05";"F";"7";"213";"236";"190";"0.097";"7.7";"122";"0.202";"0.847";"160";"436";"0.633"
"2025-03-17 07:56:35.830";"2025-03-17";"07:56:35";"F";"8";"217";"233";"285";"0.069";"8.3";"121";"0.143";"0.871";"160";"436";"0.633"
"2025-03-17 07:57:05.820";"2025-03-17";"07:57:05";"F";"9";"220";"231";"420";"0.048";"8.5";"121";"0.100";"0.887";"160";"436";"0.633"
"2025-03-17 07:57:09.455";"2025-03-17";"07:57:09";"SLCE";"";"Light Curve end ";""
"2025-03-17 07:57:56.398";"2025-03-17";"07:57:56";"SLCS";"";"Light Curve start ";"u301"
"2025-03-17 07:57:56.398";"2025-03-17";"07:57:56";"REG1";"";"#1: alpha: 0.254, ETRm: 8.104, Ik: 31.867   ( beta: 0.006, ETRmPot: 9.018 )   (Platt et al. 1980) ";""
"2025-03-17 07:57:56.398";"2025-03-17";"07:57:56";"REG2";"";"#1: alpha: 0.208, ETRm: 7.680, Ik: 36.852   (Jassby and Platt 1976) ";""
"2025-03-17 07:57:57.787";"2025-03-17";"07:57:57";"FO";"10";"555";"2614";"0";"0.788";"0.0";"-";"-";"-";"555";"2614";"0.788"
"2025-03-17 07:58:27.784";"2025-03-17";"07:58:27";"F";"11";"964";"1724";"25";"0.441";"4.6";"500";"0.621";"0.516";"555";"2614";"0.788"
"2025-03-17 07:58:57.773";"2025-03-17";"07:58:57";"F";"12";"1119";"1680";"45";"0.334";"6.3";"496";"0.474";"0.556";"555";"2614";"0.788"
