"2025-03-24";"17:03:03";"WinControl (rev 1195) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR";"1:Fo'";"1:qP";"1:NPQ";"1:Fo";"1:Fm";"1:Fv/Fm"
"";"";"";"D";"";"Device Nr: #1, JUNIOR-PAM-III (CFMG1014B) ";""
"2025-03-24 13:29:24.849";"2025-03-24";"13:29:24";"SLCS";"";"Light Curve start ";"h331"
"2025-03-24 13:29:24.849";"2025-03-24";"13:29:24";"REG1";"";"#1: alpha: 0.182, ETRm: 9.979, Ik: 54.781   ( beta: 0.009, ETRmPot: 12.274 )   (Platt et al. 1980) ";""
"2025-03-24 13:29:24.849";"2025-03-24";"13:29:24";"REG2";"";"#1: alpha: 0.152, ETRm: 9.536, Ik: 62.932   (Jassby and Platt 1976) ";""
"2025-03-24 13:29:26.252";"2025-03-24";"13:29:26";"FO";"1";"199";"304";"0";"0.345";"0.0";"-";"-";"-";"199";"304";"0.345"
"2025-03-24 13:29:56.244";"2025-03-24";"13:29:56";"F";"2";"218";"330";"25";"0.339";"3.6";"210";"0.933";"- 0.079";"199";"304";"0.345"
"2025-03-24 13:30:26.223";"2025-03-24";"13:30:26";"F";"3";"218";"317";"45";"0.312";"5.9";"204";"0.876";"- 0.041";"199";"304";"0.345"
"2025-03-24 13:30:56.221";"2025-03-24";"13:30:56";"F";"4";"219";"301";"65";"0.272";"7.4";"198";"0.796";"0.010";"199";"304";"0.345"
"2025-03-24 13:31:26.211";"2025-03-24";"13:31:26";"F";"5";"219";"281";"90";"0.221";"8.4";"189";"0.674";"0.082";"199";"304";"0.345"
"2025-03-24 13:31:56.199";"2025-03-24";"13:31:56";"F";"6";"220";"266";"125";"0.173";"9.1";"182";"0.548";"0.143";"199";"304";"0.345"
"2025-03-24 13:32:26.184";"2025-03-24";"13:32:26";"F";"7";"222";"254";"190";"0.126";"10.1";"176";"0.410";"0.197";"199";"304";"0.345"
"2025-03-24 13:32:56.172";"2025-03-24";"13:32:56";"F";"8";"224";"244";"285";"0.082";"9.8";"171";"0.274";"0.246";"199";"304";"0.345"
"2025-03-24 13:33:26.161";"2025-03-24";"13:33:26";"F";"9";"226";"238";"420";"0.050";"8.8";"168";"0.171";"0.277";"199";"304";"0.345"
"2025-03-24 13:33:29.969";"2025-03-24";"13:33:29";"SLCE";"";"Light Curve end ";""
"2025-03-24 13:33:44.852";"2025-03-24";"13:33:44";"SLCS";"";"Light Curve start ";"u331"
"2025-03-24 13:33:44.852";"2025-03-24";"13:33:44";"REG1";"";"#1: alpha: 0.284, ETRm: 11.681, Ik: 41.137   ( beta: 0.001, ETRmPot: 11.945 )   (Platt et al. 1980) ";""
"2025-03-24 13:33:44.852";"2025-03-24";"13:33:44";"REG2";"";"#1: alpha: 0.212, ETRm: 11.521, Ik: 54.423   (Jassby and Platt 1976) ";""
"2025-03-24 13:33:46.246";"2025-03-24";"13:33:46";"FO";"10";"551";"2088";"0";"0.736";"0.0";"-";"-";"-";"551";"2088";"0.736"
"2025-03-24 13:34:16.237";"2025-03-24";"13:34:16";"F";"11";"886";"1761";"25";"0.497";"5.2";"525";"0.708";"0.186";"551";"2088";"0.736"
"2025-03-24 13:34:46.217";"2025-03-24";"13:34:46";"F";"12";"953";"1622";"45";"0.412";"7.8";"512";"0.603";"0.287";"551";"2088";"0.736"
"2025-03-24 13:35:16.214";"2025-03-24";"13:35:16";"F";"13";"1035";"1586";"65";"0.347";"9.5";"509";"0.512";"0.317";"551";"2088";"0.736"
"2025-03-24 13:35:46.195";"2025-03-24";"13:35:46";"F";"14";"1112";"1541";"90";"0.278";"10.5";"504";"0.414";"0.355";"551";"2088";"0.736"
"2025-03-24 13:36:16.192";"2025-03-24";"13:36:16";"F";"15";"1144";"1456";"125";"0.214";"11.2";"494";"0.324";"0.434";"551";"2088";"0.736"
"2025-03-24 13:36:46.182";"2025-03-24";"13:36:46";"F";"16";"1142";"1336";"190";"0.145";"11.6";"480";"0.227";"0.563";"551";"2088";"0.736"
"2025-03-24 13:37:16.164";"2025-03-24";"13:37:16";"F";"17";"1097";"1215";"285";"0.097";"11.6";"463";"0.157";"0.719";"551";"2088";"0.736"
"2025-03-24 13:37:46.152";"2025-03-24";"13:37:46";"F";"18";"1031";"1104";"420";"0.066";"11.6";"446";"0.111";"0.891";"551";"2088";"0.736"
"2025-03-24 13:37:49.968";"2025-03-24";"13:37:49";"SLCE";"";"Light Curve end ";""
"2025-03-24 13:38:08.876";"2025-03-24";"13:38:08";"SLCS";"";"Light Curve start ";"h332"
"2025-03-24 13:38:08.876";"2025-03-24";"13:38:08";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.006, ETRmPot: 9.925 )   (Platt et al. 1980) ";""
"2025-03-24 13:38:08.876";"2025-03-24";"13:38:08";"REG2";"";"#1: alpha: 0.198, ETRm: 11.406, Ik: 57.493   (Jassby and Platt 1976) ";""
"2025-03-24 13:38:10.279";"2025-03-24";"13:38:10";"FO";"19";"216";"502";"0";"0.570";"0.0";"-";"-";"-";"216";"502";"0.570"
"2025-03-24 13:38:40.262";"2025-03-24";"13:38:40";"F";"20";"239";"470";"25";"0.491";"5.2";"210";"0.888";"0.068";"216";"502";"0.570"
"2025-03-24 13:39:10.257";"2025-03-24";"13:39:10";"F";"21";"242";"419";"45";"0.422";"8.0";"199";"0.805";"0.198";"216";"502";"0.570"
"2025-03-24 13:39:40.238";"2025-03-24";"13:39:40";"F";"22";"245";"369";"65";"0.336";"9.2";"187";"0.681";"0.360";"216";"502";"0.570"
"2025-03-24 13:40:10.227";"2025-03-24";"13:40:10";"F";"23";"251";"333";"90";"0.246";"9.3";"177";"0.526";"0.508";"216";"502";"0.570"
"2025-03-24 13:40:40.217";"2025-03-24";"13:40:40";"F";"24";"255";"315";"125";"0.190";"10.0";"172";"0.420";"0.594";"216";"502";"0.570"
"2025-03-24 13:41:10.215";"2025-03-24";"13:41:10";"F";"25";"259";"302";"190";"0.142";"11.3";"168";"0.321";"0.662";"216";"502";"0.570"
"2025-03-24 13:41:40.194";"2025-03-24";"13:41:40";"F";"26";"263";"293";"285";"0.102";"12.2";"165";"0.234";"0.713";"216";"502";"0.570"
"2025-03-24 13:42:10.186";"2025-03-24";"13:42:10";"F";"27";"266";"286";"420";"0.070";"12.3";"163";"0.163";"0.755";"216";"502";"0.570"
"2025-03-24 13:42:13.590";"2025-03-24";"13:42:13";"SLCE";"";"Light Curve end ";""
"2025-03-24 13:42:43.453";"2025-03-24";"13:42:43";"SLCS";"";"Light Curve start ";"u332"
"2025-03-24 13:42:43.453";"2025-03-24";"13:42:43";"REG1";"";"#1: alpha: 0.285, ETRm: 10.380, Ik: 36.452   ( beta: 0.011, ETRmPot: 12.312 )   (Platt et al. 1980) ";""
"2025-03-24 13:42:43.453";"2025-03-24";"13:42:43";"REG2";"";"#1: alpha: 0.233, ETRm: 9.714, Ik: 41.661   (Jassby and Platt 1976) ";""
"2025-03-24 13:42:44.843";"2025-03-24";"13:42:44";"FO";"28";"546";"1983";"0";"0.725";"0.0";"-";"-";"-";"546";"1983";"0.725"
"2025-03-24 13:43:14.840";"2025-03-24";"13:43:14";"F";"29";"865";"1668";"25";"0.481";"5.1";"519";"0.699";"0.189";"546";"1983";"0.725"
"2025-03-24 13:43:44.841";"2025-03-24";"13:43:44";"F";"30";"962";"1564";"45";"0.385";"7.3";"508";"0.570";"0.268";"546";"1983";"0.725"
"2025-03-24 13:44:14.840";"2025-03-24";"13:44:14";"F";"31";"1029";"1554";"65";"0.338";"9.2";"507";"0.501";"0.276";"546";"1983";"0.725"
"2025-03-24 13:44:44.822";"2025-03-24";"13:44:44";"F";"32";"1158";"1602";"90";"0.277";"10.5";"512";"0.407";"0.238";"546";"1983";"0.725"
"2025-03-24 13:45:14.811";"2025-03-24";"13:45:14";"F";"33";"1320";"1641";"125";"0.196";"10.3";"516";"0.285";"0.208";"546";"1983";"0.725"
"2025-03-24 13:45:44.807";"2025-03-24";"13:45:44";"F";"34";"1368";"1559";"190";"0.123";"9.8";"508";"0.182";"0.272";"546";"1983";"0.725"
"2025-03-24 13:46:14.795";"2025-03-24";"13:46:14";"F";"35";"1320";"1432";"285";"0.078";"9.3";"494";"0.119";"0.385";"546";"1983";"0.725"
"2025-03-24 13:46:44.779";"2025-03-24";"13:46:44";"F";"36";"1260";"1324";"420";"0.048";"8.5";"480";"0.076";"0.498";"546";"1983";"0.725"
"2025-03-24 13:46:48.153";"2025-03-24";"13:46:48";"SLCE";"";"Light Curve end ";""
"2025-03-24 13:47:15.238";"2025-03-24";"13:47:15";"SLCS";"";"Light Curve start ";"h329"
"2025-03-24 13:47:15.238";"2025-03-24";"13:47:15";"REG1";"";"#1: alpha: 0.266, ETRm: 9.631, Ik: 36.252   ( beta: 0.001, ETRmPot: 9.829 )   (Platt et al. 1980) ";""
"2025-03-24 13:47:15.238";"2025-03-24";"13:47:15";"REG2";"";"#1: alpha: 0.197, ETRm: 9.501, Ik: 48.131   (Jassby and Platt 1976) ";""
"2025-03-24 13:47:16.633";"2025-03-24";"13:47:16";"FO";"37";"243";"450";"0";"0.460";"0.0";"-";"-";"-";"243";"450";"0.460"
"2025-03-24 13:47:46.621";"2025-03-24";"13:47:46";"F";"38";"266";"451";"25";"0.410";"4.3";"243";"0.889";"- 0.002";"243";"450";"0.460"
"2025-03-24 13:48:16.605";"2025-03-24";"13:48:16";"F";"39";"273";"440";"45";"0.380";"7.2";"240";"0.835";"0.023";"243";"450";"0.460"
"2025-03-24 13:48:46.594";"2025-03-24";"13:48:46";"F";"40";"274";"396";"65";"0.308";"8.4";"226";"0.718";"0.136";"243";"450";"0.460"
"2025-03-24 13:49:16.589";"2025-03-24";"13:49:16";"F";"41";"278";"364";"90";"0.236";"8.9";"216";"0.581";"0.236";"243";"450";"0.460"
"2025-03-24 13:49:46.579";"2025-03-24";"13:49:46";"F";"42";"283";"343";"125";"0.175";"9.2";"208";"0.444";"0.312";"243";"450";"0.460"
"2025-03-24 13:50:16.566";"2025-03-24";"13:50:16";"F";"43";"289";"328";"190";"0.119";"9.5";"202";"0.310";"0.372";"243";"450";"0.460"
"2025-03-24 13:50:46.558";"2025-03-24";"13:50:46";"F";"44";"294";"320";"285";"0.081";"9.7";"199";"0.215";"0.406";"243";"450";"0.460"
"2025-03-24 13:51:16.546";"2025-03-24";"13:51:16";"F";"45";"297";"314";"420";"0.054";"9.5";"197";"0.145";"0.433";"243";"450";"0.460"
"2025-03-24 13:51:20.061";"2025-03-24";"13:51:20";"SLCE";"";"Light Curve end ";""
"2025-03-24 13:51:30.067";"2025-03-24";"13:51:30";"SLCS";"";"Light Curve start ";"u329"
"2025-03-24 13:51:30.067";"2025-03-24";"13:51:30";"REG1";"";"#1: alpha: - , ETRm: - , Ik: -   ( beta: 0.000, ETRmPot: 9.337 )   (Platt et al. 1980) ";""
"2025-03-24 13:51:30.067";"2025-03-24";"13:51:30";"REG2";"";"#1: alpha: 0.161, ETRm: 9.242, Ik: 57.238   (Jassby and Platt 1976) ";""
"2025-03-24 13:51:31.461";"2025-03-24";"13:51:31";"FO";"46";"635";"2367";"0";"0.732";"0.0";"-";"-";"-";"635";"2367";"0.732"
"2025-03-24 13:52:01.448";"2025-03-24";"13:52:01";"F";"47";"936";"1577";"25";"0.406";"4.3";"560";"0.630";"0.501";"635";"2367";"0.732"
"2025-03-24 13:52:31.442";"2025-03-24";"13:52:31";"F";"48";"1000";"1480";"45";"0.324";"6.1";"547";"0.514";"0.599";"635";"2367";"0.732"
"2025-03-24 13:53:01.426";"2025-03-24";"13:53:01";"F";"49";"1067";"1460";"65";"0.269";"7.3";"544";"0.429";"0.621";"635";"2367";"0.732"
